sig,ex,side,ent,stop,tgt,risk_pct,pct,R,why,sid,skey,dow,rng,ts
194986,194988,-1,19127.5,19260.7,19020.94,0.6963795582276865,-0.7053718468174133,-1.0129129129129129,stop,2,202504012,1,93.5,2025-04-01 10:00:00-04:00
195022,195045,-1,19401.6,19474.4,19343.359999999997,0.3752267854197742,0.05040821375556655,0.13434065934065395,session flat,0,202504020,2,62.400000000001455,2025-04-01 20:15:00-04:00
195051,195061,-1,19348.1,19413.3,19295.94,0.3369839932603239,0.26069743282286045,0.7736196319018297,target,1,202504021,2,48.70000000000073,2025-04-02 03:30:00-04:00
195078,195088,1,19426.6,19147.3,19650.039999999997,1.437719415646584,1.1413216929364824,0.7938417472252033,target,2,202504022,2,214.0,2025-04-02 10:15:00-04:00
195113,195119,1,18838.3,18707.8,18942.7,0.692737667411603,0.5450597983894591,0.7868199233716586,target,0,202504030,3,86.60000000000218,2025-04-02 20:15:00-04:00
195144,195151,1,18950.3,18860.0,19022.539999999997,0.4765096067080694,-0.48558598016917554,-1.0190476190476192,stop,1,202504031,3,68.29999999999927,2025-04-03 04:00:00-04:00
195168,195171,-1,18739.8,18909.0,18604.44,0.902891172798006,0.713134611895541,0.7898345153664303,target,2,202504032,3,160.5,2025-04-03 10:00:00-04:00
195210,195217,-1,18478.7,18552.7,18419.5,0.4004610713957151,0.31106084302467557,0.7767567567567666,target,0,202504040,4,59.400000000001455,2025-04-03 21:45:00-04:00
195234,195236,-1,18426.2,18488.1,18376.680000000004,0.3359347016747773,-0.34526923619627387,-1.0277867528271416,stop,1,202504041,4,46.599999999998545,2025-04-04 03:45:00-04:00
195259,195262,-1,17847.6,18091.5,17652.479999999996,1.3665702951657448,1.0836190860395942,0.7929479294793008,target,2,202504042,4,238.90000000000146,2025-04-04 10:00:00-04:00
195298,195318,1,16691.4,16365.0,16952.520000000004,1.9554980409073022,-0.6028254070958784,-0.3082720588235325,session flat,0,202504070,0,259.59999999999854,2025-04-06 21:00:00-04:00
195325,195326,1,16539.7,16339.1,16700.18,1.212839410630183,0.9598723072365252,0.7914257228315019,target,1,202504071,0,130.6999999999989,2025-04-07 03:45:00-04:00
195349,195350,1,17135.3,16535.7,17614.98,3.4992092347376387,2.7893296294783303,0.7971314209473006,target,2,202504072,0,303.8999999999978,2025-04-07 09:45:00-04:00
195388,195391,-1,17576.4,17709.8,17469.680000000004,0.7589722582553754,-0.7687581074622665,-1.0128935532233885,stop,0,202504080,1,133.09999999999854,2025-04-07 20:45:00-04:00
195414,195418,1,17726.6,17611.0,17819.079999999998,0.6521273114979667,-0.6618302438143725,-1.0148788927335641,stop,1,202504081,1,69.0,2025-04-08 03:15:00-04:00
195440,195445,1,18111.3,17926.1,18259.46,1.0225660223175628,-1.0320628557861706,-1.0092872570194384,stop,2,202504082,1,138.90000000000146,2025-04-08 09:45:00-04:00
195483,195492,1,16981.9,16731.7,17182.06,1.4733333725908215,-1.4834618034495592,-1.0068745003996802,stop,0,202504090,2,132.09999999999854,2025-04-08 21:45:00-04:00
195506,195520,1,17268.1,16875.5,17582.179999999997,2.2735564422258303,-2.2835170053451077,-1.004381049414162,stop,1,202504091,2,388.2000000000007,2025-04-09 03:30:00-04:00
195544,195545,1,17463.6,17069.6,17778.8,2.2561213037403514,1.79504798552418,0.7956345177664993,target,2,202504092,2,347.40000000000146,2025-04-09 13:00:00-04:00
195568,195569,-1,19099.6,19196.1,19022.399999999998,0.5052461831661397,0.39519152233555016,0.7821761658031163,target,0,202504100,3,74.19999999999709,2025-04-09 20:15:00-04:00
195596,195597,-1,18895.4,19046.9,18774.2,0.8017824444044581,0.6323232109402327,0.7886468646864735,target,1,202504101,3,84.5,2025-04-10 03:15:00-04:00
195622,195628,-1,18524.2,18732.2,18357.8,1.122855507930167,0.888999255028565,0.7917307692307762,target,2,202504102,3,189.10000000000218,2025-04-10 09:45:00-04:00
195659,195661,-1,18069.7,18228.6,17942.58,0.8793726514551864,0.6939794241188231,0.7891755821271285,target,0,202504110,4,99.59999999999854,2025-04-10 20:15:00-04:00
195687,195691,-1,18424.1,18561.8,18313.94,0.7473906459474315,0.5885769182755188,0.7875090777051509,target,1,202504111,4,123.20000000000073,2025-04-11 03:15:00-04:00
195715,195718,-1,18169.6,18435.9,17956.559999999998,1.4656349066572898,-1.4751012680521474,-1.0064588809613217,stop,2,202504112,4,215.0,2025-04-11 10:15:00-04:00
195779,195786,1,19011.7,18943.4,19066.34,0.35925246032705793,-0.3682995208213851,-1.0251830161054176,stop,1,202504141,0,56.29999999999927,2025-04-14 03:30:00-04:00
195841,195864,1,18789.8,18722.4,18843.719999999998,0.3587052549787535,-0.06822850695589386,-0.19020771513351573,session flat,0,202504150,1,39.29999999999927,2025-04-14 20:15:00-04:00
195870,195887,1,18901.2,18791.7,18988.8,0.5793282966160879,-0.5884282479419296,-1.0157077625570776,stop,1,202504151,1,96.0,2025-04-15 03:30:00-04:00
195896,195897,1,18960.4,18842.7,19054.56,0.6207674943566629,-0.6298390329317984,-1.0146134239592182,stop,2,202504152,1,116.79999999999927,2025-04-15 10:00:00-04:00
195932,195933,-1,18562.9,18612.1,18523.540000000005,0.2650447936475286,0.20277004131895845,0.7650406504064873,target,0,202504160,2,49.0,2025-04-15 20:15:00-04:00
195960,195962,-1,18439.8,18491.2,18398.679999999997,0.278744888773205,0.21366826104406025,0.766536964980574,target,1,202504161,2,42.400000000001455,2025-04-16 03:15:00-04:00
195986,195992,-1,18400.2,18555.3,18276.120000000003,0.8429256203736837,-0.8522733448549393,-1.011089619600258,stop,2,202504162,2,104.39999999999782,2025-04-16 09:45:00-04:00
196025,196046,1,18368.2,18256.8,18457.320000000003,0.6064829433477502,0.48714626365131436,0.8032315978455975,session flat,0,202504170,3,80.90000000000146,2025-04-16 20:45:00-04:00
196051,196057,1,18520.7,18435.9,18588.54,0.45786606337773017,-0.46715296938020306,-1.0202830188679246,stop,1,202504171,3,34.099999999998545,2025-04-17 03:15:00-04:00
196079,196094,-1,18202.0,18389.2,18052.239999999998,1.0284584111636124,-1.037907922206355,-1.0091880341880342,stop,2,202504172,3,125.40000000000146,2025-04-17 10:15:00-04:00
196114,196116,1,18250.8,18197.6,18293.36,0.29149407149276046,-0.30091831590944357,-1.0323308270676688,stop,0,202504210,0,36.5,2025-04-20 20:15:00-04:00
196206,196208,-1,17881.1,17914.2,17854.619999999995,0.18511165420473116,-0.1947307492268495,-1.0519637462235616,stop,0,202504220,1,31.299999999999272,2025-04-21 20:30:00-04:00
196235,196252,-1,17979.8,18062.9,17913.319999999996,0.4621853413275019,0.09165841666759768,0.19831528279182065,session flat,1,202504221,1,76.70000000000073,2025-04-22 03:45:00-04:00
196259,196264,1,18147.3,17995.2,18268.98,0.838141211089245,0.661034974899849,0.7886916502301212,target,2,202504222,1,109.29999999999927,2025-04-22 09:45:00-04:00
196296,196301,-1,18595.3,18666.6,18538.26,0.3834302216151354,0.2974945281872348,0.7758765778401324,target,0,202504230,2,43.89999999999782,2025-04-22 20:15:00-04:00
196325,196327,1,18666.8,18610.4,18711.92,0.3021406989949955,0.232498339297571,0.7695035460993025,target,1,202504231,2,50.0,2025-04-23 03:30:00-04:00
196353,196356,1,19015.2,18811.9,19177.84,1.069144684252594,-1.0781900795153312,-1.0084604033448106,stop,2,202504232,2,191.29999999999927,2025-04-23 10:30:00-04:00
196391,196396,-1,18705.5,18771.5,18652.7,0.35283740076448106,0.2730747641068096,0.7739393939393829,target,0,202504240,3,49.0,2025-04-23 21:15:00-04:00
