feat,dir,n,mu,pf,p
p_cpos,hi,738,0.03346709542345215,1.1484769484815962,0.2775
vol.atr_rank,lo,738,0.03343683146536798,1.169948118983701,0.2775
don.w55,hi,738,0.03311132547788915,1.1386204959379416,0.2825
d_vah,hi,738,0.03263919184188297,1.1539870179043565,0.2875
vol.rv26,hi,738,0.031323004905864614,1.0973006700933339,0.315
mom.d_ema26,hi,738,0.030553538041699323,1.1487222217787973,0.325
mom.rsi14,hi,738,0.02963244472853826,1.1437899881915146,0.345
tod.atr,hi,731,0.029780142379810415,1.0917036576288817,0.345
don.opp20,hi,738,0.029599658338512146,1.1420286003399482,0.345
vol.rv78,lo,738,0.029423910461088443,1.1935780971556367,0.3475
tod.park,hi,731,0.029017677445845148,1.0942476058155346,0.355
ffd.level,hi,732,0.02891509338123562,1.125180442000036,0.3625
mom.d_ema250,hi,738,0.028570219664360307,1.1589511408514297,0.3775
p_bear,lo,1162,0.028061764295613634,1.1195519010642836,0.3825
mom.roc4,hi,738,0.028023993878525336,1.1292946406852291,0.385
don.pos55,lo,739,0.027233826640511168,1.1031024688056836,0.4
vol.park,lo,739,0.027152602228670504,1.1737743469549813,0.4025
str.bar_i,lo,744,0.026161533600086894,1.1067907988848305,0.43
don.pos20,lo,739,0.02609098677015276,1.0992072144084308,0.43
vol.atr_ratio,lo,738,0.026093164763454853,1.1223901636477387,0.43
hmm.dir,hi,738,0.026226634781889475,1.1548664505955117,0.43
vol.gk,lo,739,0.02496842303818403,1.157257218027978,0.4575
don.exc55,lo,739,0.024649146938906005,1.0934244668332302,0.47
don.wr55,lo,739,0.02430111438228054,1.1015723592440254,0.4875
don.exc20,lo,739,0.023816075905132347,1.090526008515966,0.4925
p_nhvn,lo,878,0.02387888904713361,1.1050954760356786,0.4925
hmm.bull,lo,739,0.023817652673304015,1.0769375454399714,0.4925
hmm.bear,lo,739,0.02313299318622238,1.13546644392152,0.5025
p_pocpos,hi,738,0.02285828145587599,1.104051905583897,0.5075
tod.tv,hi,731,0.021284292596784903,1.0653627213913002,0.5475
don.slope55,hi,738,0.021148888864562915,1.095007497395268,0.55
don.wr20,lo,739,0.02084355585214947,1.0843441698186258,0.5525
don.wr20,hi,738,0.020932390960905257,1.0900205086798886,0.5525
tod.tv,lo,732,0.01994851588585212,1.1288828351578168,0.555
don.slope55,lo,739,0.020627350909119224,1.0802500686239063,0.555
lvn_up,lo,453,0.020383516431510217,1.080692637097013,0.555
p_pocpos,lo,739,0.018920271433626602,1.0727827998355448,0.56
hmm.bear,hi,738,0.0186398514082225,1.0603246761511258,0.565
don.exc20,hi,738,0.01795584310297255,1.0829188844555548,0.5675
hmm.bull,hi,738,0.01795426419825864,1.105614377531983,0.5675
don.wr55,hi,738,0.017470147392115477,1.0726664604025786,0.58
don.exc55,hi,738,0.0171216432466599,1.079343588486994,0.5875
vol.atr_ratio,hi,737,0.01712703862340838,1.0644455714390701,0.5875
vol.gk,hi,738,0.016801934523941128,1.0523425618428282,0.5925
p_nhvn,hi,599,0.016503886010856818,1.0638865736719718,0.6
hmm.dir,lo,739,0.01555647609587565,1.050146808526502,0.6175
don.pos20,hi,738,0.015677849702904673,1.0723689441552413,0.6175
str.bar_i,hi,733,0.0155352132406847,1.066217882335968,0.62
vol.park,hi,738,0.014614795741055609,1.0451735891763663,0.6225
don.pos55,hi,738,0.0145334612690363,1.067444471931091,0.6225
mom.roc4,lo,739,0.013761549149573527,1.0523476538083871,0.6375
vol.rv78,hi,737,0.013791773596469993,1.0421716276562996,0.6375
mom.d_ema250,lo,739,0.013216062505532658,1.044076962834671,0.6475
lvn_up,hi,452,0.012474566076891474,1.04517070897613,0.6625
ffd.level,lo,732,0.012587311405346503,1.0505551896732201,0.6625
don.opp20,lo,739,0.012188016847178056,1.0449385458549956,0.67
mom.rsi14,lo,739,0.012155274823038291,1.044437412594175,0.67
tod.park,lo,732,0.01222569577019223,1.0708728508195744,0.67
tod.atr,lo,732,0.011464272454989202,1.073645043816384,0.6875
mom.d_ema26,lo,739,0.011235427914901808,1.0409787081180084,0.6925
vol.rv26,lo,739,0.010467002277886956,1.066307531446724,0.715
