tf,ent,exi,stop,tgt,hold,sess,n,tot,mu,pf,med_hold,cost_risk
15,10,5,2.5,2.0,8,1,5037,-39.17499940425437,-0.007777446774717961,0.9440280087390422,60.0,0.018672188210299777
15,10,5,2.5,2.0,8,0,14977,-137.3367424375537,-0.00916984325549534,0.905599276732129,75.0,0.029886180820629046
15,10,5,2.5,2.0,16,1,4753,-30.855969390429593,-0.006491893412671911,0.9567841926455274,60.0,0.018608256127517434
15,10,5,2.5,2.0,16,0,13638,-121.14563857076385,-0.008882947541484372,0.9180706330927908,75.0,0.029581617023094683
15,10,5,2.5,2.0,26,1,4690,-30.920854406462663,-0.006592932709267092,0.9568525581590723,60.0,0.018525176553474153
15,10,5,2.5,2.0,26,0,13213,-134.60672927744798,-0.01018744639956467,0.9089641588438522,75.0,0.02927637985374718
15,10,5,2.5,3.0,8,1,4761,-33.36902888881188,-0.00700882774392184,0.9513898178467318,75.0,0.018844710979178687
15,10,5,2.5,3.0,8,0,14126,-114.24999726813586,-0.008087922785511528,0.9204703653950934,105.0,0.030142969912786255
15,10,5,2.5,3.0,16,1,4376,-38.45255323074339,-0.008787146533533682,0.9451356349931389,75.0,0.01874992716957712
15,10,5,2.5,3.0,16,0,12411,-104.52146988325961,-0.008421679951918427,0.9272241295481923,105.0,0.029893313184946035
15,10,5,2.5,3.0,26,1,4269,-34.7539693389891,-0.008141009449282994,0.9503915650341858,90.0,0.018696322566998665
15,10,5,2.5,3.0,26,0,11861,-114.62755059463177,-0.009664239996175009,0.9197339338125673,105.0,0.029518286279670472
15,10,10,0.75,0.0,8,1,5290,-31.007673425500336,-0.005861563974574733,0.9428082635772889,30.0,0.06230365045555181
15,10,10,0.75,0.0,8,0,15932,-108.88347969296687,-0.0068342630989810995,0.9060683095214767,45.0,0.10137684745425683
15,10,10,0.75,0.0,16,1,4844,-19.46922072084571,-0.0040192445749062155,0.9628888643111688,30.0,0.06248064190927234
15,10,10,0.75,0.0,16,0,13938,-111.28876655618494,-0.007984557795679793,0.8993591020721347,37.5,0.10203755090597771
15,10,10,0.75,0.0,26,1,4645,-14.093980086774614,-0.003034226068196903,0.9724097622015196,30.0,0.0624349912852578
15,10,10,0.75,0.0,26,0,12604,-96.6996493174722,-0.0076721397427381936,0.9064387368629991,30.0,0.10171102898079268
15,10,10,0.75,1.5,8,1,5968,-30.71494506178314,-0.005146606076036049,0.9454830232861166,15.0,0.06099652410813833
15,10,10,0.75,1.5,8,0,18270,-165.86588703780643,-0.009078592612906757,0.8645023411814434,15.0,0.09886022967973902
15,10,10,0.75,1.5,16,1,5885,-29.72951535498993,-0.005051744325401857,0.9477221509779831,15.0,0.06083155547202848
15,10,10,0.75,1.5,16,0,17656,-157.99543237130868,-0.008948540573816758,0.871725582129232,15.0,0.09805776746767783
15,10,10,0.75,1.5,26,1,5879,-28.276801277093814,-0.004809797801853004,0.9502863792453147,15.0,0.0607836663260747
15,10,10,0.75,1.5,26,0,17391,-159.72770201313816,-0.00918450359456835,0.870353055804825,15.0,0.09709796024704949
15,10,10,0.75,2.0,8,1,5706,-33.518857575002016,-0.005874317836488261,0.9405772180471774,15.0,0.061472290178807426
15,10,10,0.75,2.0,8,0,17469,-149.06508212025045,-0.008533120506053607,0.8785082296576975,30.0,0.09930501670056552
15,10,10,0.75,2.0,16,1,5567,-30.186513476901286,-0.0054224022771513,0.9469267110184212,15.0,0.06126180894391532
15,10,10,0.75,2.0,16,0,16583,-141.8024345274666,-0.008551072455373973,0.8849532467267833,30.0,0.09832090761429493
15,10,10,0.75,2.0,26,1,5549,-28.018061773738353,-0.005049209186112517,0.9507138802581592,15.0,0.06121166421301553
15,10,10,0.75,2.0,26,0,16187,-142.5563632063428,-0.008806842726035881,0.883798765425468,30.0,0.09721644030637665
15,10,10,0.75,3.0,8,1,5459,-30.56007489442494,-0.005598108608614204,0.9449923773705549,30.0,0.06190757668038581
15,10,10,0.75,3.0,8,0,16643,-121.32858422202409,-0.007290066948388157,0.898876205988903,30.0,0.10007978524225986
15,10,10,0.75,3.0,16,1,5198,-21.51319704008189,-0.004138745101978048,0.9613127187479606,30.0,0.06172280739565138
15,10,10,0.75,3.0,16,0,15395,-120.2334684468818,-0.007809903764006612,0.8995983826366922,30.0,0.09933852005660594
15,10,10,0.75,3.0,26,1,5142,-14.979237864086869,-0.0029131151038675356,0.9730094396309857,30.0,0.06153268345023821
15,10,10,0.75,3.0,26,0,14768,-109.6682835085885,-0.007426075535521973,0.9069956338416882,30.0,0.09801540506718848
15,10,10,1.0,0.0,8,1,5042,-36.70277913136493,-0.0072794087924166855,0.9385045411113383,45.0,0.04699077863490933
15,10,10,1.0,0.0,8,0,14985,-104.97852747543445,-0.0070055740724347315,0.9164143767723469,75.0,0.07598772977781845
15,10,10,1.0,0.0,16,1,4508,-7.0257041480898526,-0.0015584969272603932,0.9877200772623277,45.0,0.04730487303846623
15,10,10,1.0,0.0,16,0,12677,-93.59625049546673,-0.007383154570913208,0.921770035394746,75.0,0.07647624863309851
15,10,10,1.0,0.0,26,1,4248,2.852212492936621,0.0006714247864728392,1.0051632528189258,45.0,0.04716567495448863
15,10,10,1.0,0.0,26,0,11293,-75.1728276717111,-0.006656586174772966,0.9322027837486871,75.0,0.0764532633242397
15,10,10,1.0,1.5,8,1,5742,-23.833686979168696,-0.004150764015877516,0.9612117898484241,30.0,0.045906425480907447
15,10,10,1.0,1.5,8,0,17387,-157.75493821104567,-0.009073154552886965,0.8807026597428843,30.0,0.07415004288128263
15,10,10,1.0,1.5,16,1,5586,-7.157008360235971,-0.001281240307954882,0.988361082671336,30.0,0.04571090306172523
15,10,10,1.0,1.5,16,0,16508,-138.63796418642679,-0.008398228991181656,0.8957457361391163,30.0,0.07328756641736736
15,10,10,1.0,1.5,26,1,5570,-5.737871992617211,-0.0010301385983154778,0.9906786261562053,30.0,0.04568014316980855
15,10,10,1.0,1.5,26,0,16149,-137.5758701710931,-0.00851915723395214,0.8965613819515563,30.0,0.07257367841281327
15,10,10,1.0,2.0,8,1,5466,-34.87989447577961,-0.006381246702484377,0.9436897218482944,30.0,0.04635301494116832
15,10,10,1.0,2.0,8,0,16564,-152.60320790844725,-0.009212944210845644,0.8851758353453509,45.0,0.07451329244135778
15,10,10,1.0,2.0,16,1,5242,-19.401428428740036,-0.0037011500245593353,0.9687786178627342,30.0,0.04611146846855179
15,10,10,1.0,2.0,16,0,15377,-136.47062702449935,-0.008874983873609894,0.8976308472660037,45.0,0.07359908327293793
15,10,10,1.0,2.0,26,1,5207,-15.471334454202193,-0.0029712568569622033,0.9751144909200206,30.0,0.04604590660862918
15,10,10,1.0,2.0,26,0,14885,-133.95614828416944,-0.008999405326447394,0.8990157278041229,30.0,0.07275197175599357
15,10,10,1.0,3.0,8,1,5208,-32.83131515124913,-0.006304015966061661,0.9461998997851283,45.0,0.04669430946735151
15,10,10,1.0,3.0,8,0,15710,-127.9168722071761,-0.008142385245523623,0.9018636988957215,45.0,0.07495656381878489
15,10,10,1.0,3.0,16,1,4867,-16.45104825367165,-0.003380120865763643,0.973063745287879,45.0,0.046380914353026416
15,10,10,1.0,3.0,16,0,14129,-123.53988697554134,-0.008743710593498573,0.9050289518997298,45.0,0.0743240282033519
15,10,10,1.0,3.0,26,1,4780,-7.49083203895829,-0.0015671196734222364,0.987710794260042,45.0,0.0463413605416592
15,10,10,1.0,3.0,26,0,13393,-105.34205167902013,-0.007865455960503257,0.9176241365939206,45.0,0.0729973609009014
15,10,10,1.5,0.0,8,1,4739,-17.453312236649204,-0.00368291036856915,0.9726373284870323,90.0,0.03160216235143998
15,10,10,1.5,0.0,8,0,13904,-71.6814723701877,-0.005155456873575065,0.9459437350647919,120.0,0.05087146373890898
15,10,10,1.5,0.0,16,1,4109,7.731788226180418,0.001881671507953375,1.0125551845450307,90.0,0.03168995764165352
15,10,10,1.5,0.0,16,0,11267,-55.68338948883634,-0.004942166458581374,0.9561360002238742,150.0,0.051186462267630364
15,10,10,1.5,0.0,26,1,3763,4.554811688878894,0.001210420326568933,1.0076368713676371,90.0,0.03160216235143998
15,10,10,1.5,0.0,26,0,9756,-54.10425491033113,-0.0055457415857247975,0.9540770178527891,150.0,0.051004484246775506
15,10,10,1.5,1.5,8,1,5460,-13.004479763790403,-0.002381772850511063,0.9802093069396982,45.0,0.030650835755926194
15,10,10,1.5,1.5,8,0,16319,-109.23912751307297,-0.00669398416036969,0.9212474670670628,45.0,0.049508585872677736
15,10,10,1.5,1.5,16,1,5216,-8.44150242530612,-0.001618386201170652,0.9874788005657585,30.0,0.030416814285251538
15,10,10,1.5,1.5,16,0,15011,-103.69419386453927,-0.006907880478618298,0.9267011486853908,45.0,0.048602892868578496
15,10,10,1.5,1.5,26,1,5181,-8.830923001311968,-0.001704482339569961,0.9869694223600167,30.0,0.030313589079685104
15,10,10,1.5,1.5,26,0,14486,-101.32229252512445,-0.006994497620124565,0.9283900718045129,45.0,0.04800091940578238
15,10,10,1.5,2.0,8,1,5173,-16.30816415064932,-0.003152554446288289,0.9753575041765931,45.0,0.030980826476807204
15,10,10,1.5,2.0,8,0,15478,-109.78715971275912,-0.00709311020240077,0.9214759361145258,60.0,0.04976433925800415
15,10,10,1.5,2.0,16,1,4855,-7.833684369652084,-0.0016135292213495538,0.988411201320131,45.0,0.030782390797855604
15,10,10,1.5,2.0,16,0,13910,-108.25237259768582,-0.007782341667698477,0.924247966197978,60.0,0.04907406414096687
15,10,10,1.5,2.0,26,1,4790,-4.509591184110861,-0.0009414595373926641,0.9933694362612965,45.0,0.03068322926920546
15,10,10,1.5,2.0,26,0,13272,-104.62204189763891,-0.007882914549249465,0.9265517097178447,60.0,0.048475914270360146
15,10,10,1.5,3.0,8,1,4913,-10.759704608984705,-0.0021900477526938136,0.9834235248855548,60.0,0.031232851123337436
15,10,10,1.5,3.0,8,0,14624,-88.45740286857554,-0.006048783018912441,0.9356891229044597,90.0,0.05007248506446067
15,10,10,1.5,3.0,16,1,4473,-7.840021148556309,-0.0017527433821945694,0.988209595917741,60.0,0.031096714064809603
15,10,10,1.5,3.0,16,0,12624,-89.30802901676444,-0.007074463642012392,0.9356823890715735,90.0,0.04952220781169969
15,10,10,1.5,3.0,26,1,4332,-1.5444236782793013,-0.0003565151611909744,0.9976846549138503,60.0,0.030919841933917662
15,10,10,1.5,3.0,26,0,11740,-74.55592252365776,-0.006350589652781751,0.9455960441825229,90.0,0.048419404984951786
15,10,10,2.5,0.0,8,1,4486,-37.10331847339381,-0.008270913614220644,0.9446232227227751,120.0,0.019028617664331504
15,10,10,2.5,0.0,8,0,12950,-101.90018380937934,-0.007868740062500336,0.9263780275124337,120.0,0.03069864468517676
15,10,10,2.5,0.0,16,1,3773,-26.239049591409543,-0.006954426077765583,0.96021403755691,135.0,0.019154740416870424
15,10,10,2.5,0.0,16,0,10005,-87.21182067474052,-0.008716823655646229,0.934962065756747,225.0,0.030812315317843442
15,10,10,2.5,0.0,26,1,3318,-27.75743559556561,-0.00836571295827776,0.9565470200023506,150.0,0.01899582103393384
15,10,10,2.5,0.0,26,0,8405,-50.577053909413436,-0.006017496003499516,0.9587509404090753,225.0,0.03085130489272815
15,10,10,2.5,1.5,8,1,5227,-41.54917646209866,-0.007948952833766723,0.940246148849713,60.0,0.01844163642825482
15,10,10,2.5,1.5,8,0,15317,-148.24756826425138,-0.009678629513889887,0.8971640181252873,75.0,0.02976385014102998
15,10,10,2.5,1.5,16,1,4824,-30.124950540881716,-0.006244807326053424,0.9575443188672261,60.0,0.01827962578956334
15,10,10,2.5,1.5,16,0,13563,-143.23578506914257,-0.010560774538755627,0.9029125806844143,75.0,0.0292637112725007
15,10,10,2.5,1.5,26,1,4739,-33.80805765322209,-0.007134006679304092,0.9530485804540305,60.0,0.018174686527473748
15,10,10,2.5,1.5,26,0,12849,-136.5428638903026,-0.010626730787633482,0.9071412741768082,75.0,0.028824608181618375
15,10,10,2.5,2.0,8,1,4937,-38.62589995915805,-0.007823759359764645,0.9449075986215668,75.0,0.018672188210299777
15,10,10,2.5,2.0,8,0,14517,-166.35312397736476,-0.0114591943223369,0.8868284483926511,105.0,0.029862336881250427
15,10,10,2.5,2.0,16,1,4479,-30.025757558106548,-0.006703674382251964,0.9581399915640707,75.0,0.0185200975880445
15,10,10,2.5,2.0,16,0,12505,-146.75445459620704,-0.011735662102855421,0.9019997035653806,105.0,0.029548860579626312
15,10,10,2.5,2.0,26,1,4351,-30.393825969500604,-0.006985480572167456,0.9582754141992378,75.0,0.018400781843010014
15,10,10,2.5,2.0,26,0,11684,-150.15024467165827,-0.012850928164298038,0.8994069087245077,105.0,0.029100420270179797
15,10,10,2.5,3.0,8,1,4664,-33.25705829569711,-0.0071305871131426045,0.9515655380206292,105.0,0.018866944834488246
15,10,10,2.5,3.0,8,0,13664,-124.82846680359438,-0.009135572804712704,0.913464538914098,120.0,0.030165614948374934
15,10,10,2.5,3.0,16,1,4101,-22.344040594289556,-0.0054484371115068415,0.9681999679820374,105.0,0.01873049738557734
15,10,10,2.5,3.0,16,0,11274,-135.99976525024687,-0.012063133337790213,0.9070550761152333,150.0,0.02979668918098909
15,10,10,2.5,3.0,26,1,3889,-21.107943164964208,-0.005427601739512525,0.9702957341471519,105.0,0.01862087005335442
15,10,10,2.5,3.0,26,0,10264,-107.09080044732482,-0.010433632155818865,0.925920944618241,150.0,0.029106312940914238
15,10,20,0.75,0.0,8,1,5290,-31.007673425500336,-0.005861563974574733,0.9428082635772889,30.0,0.06230365045555181
15,10,20,0.75,0.0,8,0,15931,-108.96934551679865,-0.006840081948201535,0.9059968333397532,45.0,0.10135394860763071
15,10,20,0.75,0.0,16,1,4823,-15.961780109698616,-0.003309512774144436,0.9695454101215586,30.0,0.062494931471320576
15,10,20,0.75,0.0,16,0,13805,-105.18824806377117,-0.007619576100236955,0.9049232096844557,30.0,0.10202549633565143
15,10,20,0.75,0.0,26,1,4555,-3.9017450565266714,-0.0008565850837599717,0.9923455695616691,30.0,0.06240056975779731
15,10,20,0.75,0.0,26,0,12179,-86.61221457810097,-0.0071116031347484175,0.9161890373124452,30.0,0.10196833151079802
15,10,20,0.75,1.5,8,1,5968,-30.71494506178314,-0.005146606076036049,0.9454830232861166,15.0,0.06099652410813833
15,10,20,0.75,1.5,8,0,18269,-165.98032514275627,-0.00908535361228071,0.8644124047557453,15.0,0.09885629025016478
15,10,20,0.75,1.5,16,1,5879,-28.120592640188388,-0.004783227188329374,0.9505188958016711,15.0,0.06078977349246189
15,10,20,0.75,1.5,16,0,17601,-153.7083685350098,-0.008732933840975503,0.8749437601513026,15.0,0.09795199115668812
15,10,20,0.75,1.5,26,1,5872,-26.557922237227544,-0.004522806920508778,0.9532808164975839,15.0,0.06071269048356084
15,10,20,0.75,1.5,26,0,17240,-155.08634100644912,-0.008995727436568974,0.8739121871256297,15.0,0.09680127272866125
15,10,20,0.75,2.0,8,1,5706,-33.518857575002016,-0.005874317836488261,0.9405772180471774,15.0,0.061472290178807426
15,10,20,0.75,2.0,8,0,17468,-149.20918067077469,-0.008541858293495231,0.8783939617015504,30.0,0.09930029840105489
15,10,20,0.75,2.0,16,1,5563,-27.811391537546257,-0.004999351345954747,0.9510870956582204,15.0,0.06126180894391532
15,10,20,0.75,2.0,16,0,16510,-136.87775800797328,-0.008290597093154045,0.8888372078576748,30.0,0.09813163931051261
15,10,20,0.75,2.0,26,1,5535,-24.823670942123996,-0.004484854732091056,0.956360763437906,15.0,0.061174489202827365
15,10,20,0.75,2.0,26,0,15982,-136.55400311175856,-0.008544237461629243,0.8886913395662753,30.0,0.09683615511219315
15,10,20,0.75,3.0,8,1,5459,-30.56007489442494,-0.005598108608614204,0.9449923773705549,30.0,0.06190757668038581
15,10,20,0.75,3.0,8,0,16642,-121.41445004585586,-0.007295664586339134,0.8988073420045853,30.0,0.10007502252011438
15,10,20,0.75,3.0,16,1,5187,-17.40034329489109,-0.003354606380353015,0.9686826729367385,30.0,0.06178765673007526
15,10,20,0.75,3.0,16,0,15288,-114.09452770604884,-0.0074630120163558895,0.9045999348238537,30.0,0.09930029840105489
15,10,20,0.75,3.0,26,1,5113,-7.341015797656888,-0.001435755094397983,0.9867903521148083,30.0,0.06148389381551312
15,10,20,0.75,3.0,26,0,14497,-98.1196271735842,-0.006768271171524054,0.9167482490015868,30.0,0.09761986043604
15,10,20,1.0,0.0,8,1,5042,-36.70277913136493,-0.0072794087924166855,0.9385045411113383,45.0,0.04699077863490933
15,10,20,1.0,0.0,8,0,14983,-104.86356136977143,-0.006998836105571076,0.9164999286373621,75.0,0.0759384094624032
15,10,20,1.0,0.0,16,1,4482,-5.092810630773385,-0.0011362808190034325,0.9910908048275172,45.0,0.04744024363101323
15,10,20,1.0,0.0,16,0,12514,-83.19771079219575,-0.0066483706882048705,0.9303236054580903,75.0,0.0764351148587569
15,10,20,1.0,0.0,26,1,4142,13.374323338908253,0.00322895300311643,1.0243179332307255,45.0,0.04715369717573527
15,10,20,1.0,0.0,26,0,10812,-71.96206472755195,-0.006655758853824635,0.9353487030910865,75.0,0.0762817940563354
15,10,20,1.0,1.5,8,1,5742,-23.833686979168696,-0.004150764015877516,0.9612117898484241,30.0,0.045906425480907447
15,10,20,1.0,1.5,8,0,17385,-157.69922202224538,-0.009070993501423374,0.8807366730351339,30.0,0.0741494383928599
