,ret
2022-07-14,0.10507550546885802
2022-07-15,0.027948808480776285
2022-07-18,0.48695567178739396
2022-07-19,0.3179773611660458
2022-07-20,0.1704321530720256
2022-07-21,-0.08089740157014182
2022-07-22,0.018090856154019765
2022-07-25,-0.05548653247308466
2022-07-26,0.6680614012861859
2022-07-27,0.09189954787969963
2022-07-28,0.2125917267385621
2022-07-29,0.0500351151915208
2022-08-01,-0.1242077227444113
2022-08-02,0.15876326237407246
2022-08-03,0.13082087168454848
2022-08-04,-0.06158768134655511
2022-08-05,-0.14144186227711592
2022-08-08,0.0881901148629757
2022-08-09,-0.028317496481356463
2022-08-10,-0.011707665625553948
2022-08-11,0.19248955615332639
2022-08-12,0.0236611569205743
2022-08-15,0.050466652664398454
2022-08-16,0.08270843300824293
2022-08-17,0.0625349324774731
2022-08-18,-0.07992923886486968
2022-08-19,-0.14904152838664542
2022-08-22,0.17464054433913262
2022-08-23,-0.010385578020804023
2022-08-24,0.0681783902668674
2022-08-25,0.0
2022-08-26,-0.417370440239646
2022-08-29,0.0530771991887758
2022-08-30,0.11577244148687271
2022-08-31,0.049284803852146765
2022-09-01,-0.03303587282840605
2022-09-02,0.021666864557675525
2022-09-05,0.008987800503811271
2022-09-06,-0.2031029860780784
2022-09-07,0.2587024481689564
2022-09-08,-0.14373458162025612
2022-09-09,0.12718546364060895
2022-09-12,-0.1820171927539765
2022-09-13,-0.16541797112327183
2022-09-14,-0.1878410895010766
2022-09-15,-0.03865792568013788
2022-09-16,-0.027602673749508637
2022-09-19,-0.21939543459958072
2022-09-20,0.02484286163815401
2022-09-21,-0.717722168357454
2022-09-22,-0.13396832615023682
2022-09-23,0.08192605225188289
2022-09-26,0.15323908696784716
2022-09-27,-0.13537706231847568
2022-09-28,0.0
2022-09-29,0.053058371709890015
2022-09-30,1.0420348767669372
2022-10-03,0.06468903681695051
2022-10-04,0.11359637140536107
2022-10-05,0.15633614374628857
2022-10-06,-0.36543442081843347
2022-10-07,0.02069735953854676
2022-10-10,-0.10828451854154211
2022-10-11,-0.00669584823764377
2022-10-12,-0.11258576985448485
2022-10-13,0.46586552822188954
2022-10-14,1.2263344851296472
2022-10-17,-0.007661488475957653
2022-10-18,0.3450387055880896
2022-10-19,0.023890952529004597
2022-10-20,-0.00671617315257185
2022-10-21,0.5154827131562636
2022-10-24,-0.05590018377718774
2022-10-25,0.16647295291182848
2022-10-26,0.11918622648717575
2022-10-27,-0.040765542125941696
2022-10-28,0.5386706066135747
2022-10-31,-0.050953802297023836
2022-11-01,-0.0044574706345069885
2022-11-02,-0.2082776140120302
2022-11-03,-0.13062113141359044
2022-11-04,0.0651618710777947
2022-11-07,0.0846741951161051
2022-11-08,-0.06722681019249185
2022-11-09,1.1269184023830168
2022-11-10,0.06545470615126532
2022-11-11,0.04245011948860847
2022-11-14,-0.2128973820509149
2022-11-15,-0.06381145137651785
2022-11-16,-0.09733215651996258
2022-11-17,-0.09812376164599432
2022-11-18,0.018781172232999493
2022-11-21,-0.019589510707448465
2022-11-22,0.07414213228359215
2022-11-23,-0.11651218698240588
2022-11-24,0.0
2022-11-25,0.0
2022-11-28,0.7633173593793146
2022-11-29,-0.04040900399755522
2022-11-30,0.018736645618750894
2022-12-01,-0.0931590358640661
2022-12-02,0.010144190571304251
2022-12-05,-0.036193934392440064
2022-12-06,0.1583479152919126
2022-12-07,0.013362236875641906
2022-12-08,-0.0565596356523904
2022-12-09,0.309845283420637
2022-12-12,0.05715160950029223
2022-12-13,0.15419282016252187
2022-12-14,-0.024410384337497707
2022-12-15,-0.15772399622559896
2022-12-16,0.0
2022-12-19,0.0873012420113364
2022-12-20,-0.08070194904403571
2022-12-21,0.05524351630124588
2022-12-22,0.0
2022-12-23,0.03464461842929128
2022-12-27,0.04147983038819679
2022-12-28,0.42251731361093303
2022-12-29,0.08589268979529105
2022-12-30,-0.012087224753621612
2023-01-03,-0.046334188804883464
2023-01-04,0.07881410374319738
2023-01-05,0.2107336283764503
2023-01-06,0.18567126797193026
2023-01-09,-0.061373676233894406
2023-01-10,-0.11594138328129845
2023-01-11,0.055475917520730195
2023-01-12,0.12556746759301599
2023-01-13,0.039779507870656594
2023-01-16,0.0
2023-01-17,-0.09459246108540231
2023-01-18,0.21410708424865477
2023-01-19,0.06490303634924695
2023-01-20,0.20922085683703628
2023-01-23,0.2920429121539038
2023-01-24,0.011232206875292331
2023-01-25,-0.24622433455658999
2023-01-26,-0.11206818855446662
2023-01-27,-0.01918468750394152
2023-01-30,0.13904667433107004
2023-01-31,0.0292973084947398
2023-02-01,-0.028393217083943007
2023-02-02,0.10403100408073146
2023-02-03,0.15274699788148255
2023-02-06,-0.03422451121996189
2023-02-07,-0.11266537082789513
2023-02-08,-0.13374545024256296
2023-02-09,0.01877685181522273
2023-02-10,0.005191106264004913
2023-02-13,0.19131807157196712
2023-02-14,0.05202509068318119
2023-02-15,0.03595946990366838
2023-02-16,-0.04440065682943872
2023-02-17,-0.005726581909172034
2023-02-20,-0.0005296649967303354
2023-02-21,-0.1199443157099625
2023-02-22,0.024012198806024773
2023-02-23,0.09124823848817595
2023-02-24,0.0021561367867557607
2023-02-27,-0.20935028598373906
2023-02-28,0.02140209528013759
2023-03-01,0.001488469821385167
2023-03-02,0.03658532970869752
2023-03-03,0.22933425587403344
2023-03-06,-0.21673348974965273
2023-03-07,0.057669618992583244
