time,side,reason,pts,usd,R,qty,path,action,orbBps,stopPts,tgtPts,trig,lock,regime,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
2025-04-30 10:03:00,1,target,125.0,247.5,1.25,1,delay_hv,control,86.55402099875813,100.0,125.0,1.25,0.0,hv,170.70504869392212,-81.46689942923669,-653.3827011892779,-80.84284547007714,45.410973614706805,19.134178426213346,-1.0,1.0,86.55402099875813,3.0,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2025-05-02 10:15:00,1,close1600,43.0,167.0,0.43,2,parent_no_condition,control,45.22165828783105,100.0,300.0,1.25,0.0,base,102.76468587532284,-14.555334530105268,273.9332825818375,47.476658326721655,23.837152609094137,22.71525407432362,1.0,2.0,45.22165828783105,11.0,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
2025-05-05 10:00:00,1,stop,0.0,-5.0,0.0,2,rc1_direct,direct,32.80626213650782,85.0,255.0,1.25,0.0,base,-79.93968622476477,194.33939246065623,319.095074031539,763.5731306755966,14.557076505035127,12.052549114136557,1.0,1.0,32.80626213650782,5.0,0.0,1.0,0.8660254037844387,-0.4999999999999998
2025-05-06 10:01:00,1,cond1530,194.5,386.5,1.945,1,intraday_reverse,h2cap,40.67218704335119,100.0,300.0,1.25,0.0,base,126.06559745701462,30.370325910810124,-251.8145459931853,-1370.600073931081,20.021812889399193,39.638631859246765,-1.0,1.0,40.67218704335119,8.0,0.9510565162951535,0.30901699437494745,0.8660254037844387,-0.4999999999999998
2025-05-07 10:00:00,1,stop,-72.75,-296.0,-1.0,2,rc1_direct,direct,28.271724029145357,72.75,218.5,1.25,0.0,base,-11.392696554315407,-47.52542127546611,132.87975732865,1291.7750102641312,18.696828433584223,8.482997648997515,1.0,1.0,28.271724029145357,9.0,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998
2025-05-08 10:00:00,-1,stop,-95.25,-193.0,-1.0,1,rc1_direct,direct,36.58061227549399,95.25,286.0,0.75,0.1,ct,-98.22778685054212,56.65415704387944,-135.60735173310024,-1536.368203639611,16.20336502782149,21.23830093592516,-1.0,1.0,36.58061227549399,11.0,-0.587785252292473,-0.8090169943749476,0.8660254037844387,-0.4999999999999998
2025-05-09 10:30:00,-1,cond1530,-34.5,-71.5,-0.4946236559139785,1,parent_no_condition,control,26.597806575502588,69.75,209.0,0.75,0.1,ct,-36.67173999017281,-103.03661371561468,-135.9263398279964,-435.9843415836018,50.49047193675715,62.843582680451874,-1.0,3.0,26.597806575502588,11.0,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
2025-05-13 10:00:00,1,cond1530,206.75,822.0,2.0675,2,parent_no_condition,control,49.5741340341958,100.0,300.0,1.25,0.0,base,27.257397611513134,250.5150001183898,425.0349178827717,1089.1672430133958,28.03815066128479,29.17394100891313,1.0,1.0,49.5741340341958,9.0,0.9510565162951535,0.30901699437494745,0.8660254037844387,-0.4999999999999998
2025-05-14 10:00:00,-1,stop,-100.0,-202.5,-1.0,1,rc1_direct,direct,42.370961163728644,100.0,300.0,0.75,0.1,ct,-13.295605631882257,-172.35400194201668,-665.3819583318187,-1204.069160449186,13.729394566663888,24.468711767637874,-1.0,1.0,42.370961163728644,11.0,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998
2025-05-15 11:15:00,1,stop,0.0,-5.0,0.0,2,parent_no_condition,control,27.932960893854748,76.75,230.75,1.25,0.0,base,-40.83294687192485,60.653648322637196,694.8527188048148,1233.243967828419,30.98298370496355,33.05090520864029,1.0,6.0,27.932960893854748,14.0,-0.587785252292473,-0.8090169943749476,0.8660254037844387,-0.4999999999999998
