n,net,R,pf,win,dd,top5,R_is,R_oos,n_oos,stop_share,sumR_stop,sumR_tgt,sumR_1530,sumR_1600,stop,tgt,trig,cond
343,11015.5,0.1441174470113461,1.3782665430445382,0.3848396501457726,-3500.5,1.3488720439380872,0.12946085154579853,0.1634285018477095,148,0.6180758017492711,-148.5071235659824,16.6625,159.47919815785787,21.797709733016266,1.0,8.0,0.75,True
343,10441.0,0.14533592573078047,1.3583047357584077,0.40233236151603496,-3237.5,1.331816875778182,0.14162421466567077,0.15022635585035074,148,0.6297376093294461,-149.4080669622088,26.661677215189876,0.0,172.59661227267662,1.0,8.0,0.75,False
343,8551.0,0.12025247778051937,1.2638668168423002,0.3935860058309038,-3203.0,1.7376330253771488,0.11202069610488985,0.13109840633962588,148,0.597667638483965,-159.60682145117875,16.6625,162.41950421051703,21.771417119379905,1.0,8.0,1.25,True
343,7683.5,0.11718771085499916,1.237269555013433,0.4110787172011662,-3060.5,1.809787206351272,0.1147140425262009,0.1204469360179428,148,0.6122448979591837,-160.50776484740518,26.661677215189876,0.0,174.04147245548,1.0,8.0,1.25,False
343,6626.5,0.10119318980499795,1.1891097444385783,0.40524781341107874,-3409.0,2.2422847657134235,0.09372066381855619,0.11103874769253949,148,0.5830903790087464,-169.60682145117877,16.6625,164.232827909939,23.42075764435409,1.0,8.0,2.0,True
343,5730.0,0.09770340729107885,1.1633316230545578,0.4227405247813411,-3266.5,2.426788830715532,0.09641401023986723,0.09940227502747256,148,0.597667638483965,-170.50776484740518,26.661677215189876,0.0,177.35835633305535,1.0,8.0,2.0,False
343,6716.5,0.0919413440552221,1.1819869128744258,0.3673469387755102,-3037.5,2.212238517084791,0.07421035153056886,0.11530312474648817,148,0.5306122448979592,-182.0,16.6625,170.78980826282154,26.083572748119664,1.0,8.0,off,True
343,5785.0,0.08755940029276985,1.154402540902661,0.3848396501457726,-2894.0,2.4037165082108904,0.0742756221403484,0.10506167556116296,148,0.5422740524781341,-186.0,26.661677215189876,0.0,189.3711970852302,1.0,8.0,off,False
343,9778.5,0.12136451566424804,1.3352360382597963,0.5247813411078717,-2209.0,0.9707010277649947,0.11389321030671866,0.13132625614095392,147,0.43440233236151604,-124.50061488985898,149.84480726038709,2.495817905666064,13.788018596642914,1.25,1.5,0.75,True
343,9564.0,0.11895859651330842,1.3247483064803653,0.5422740524781341,-2214.5,1.0043914680050188,0.10698268778282541,0.1349264748206191,147,0.4402332361516035,-126.50061488985898,152.84883551411113,0.0,14.45457797981265,1.25,1.5,0.75,False
343,8054.5,0.10922430043672081,1.2584220995893223,0.5276967930029155,-2209.0,1.1784716618039606,0.11325298691676046,0.10385271846333462,147,0.4227405247813411,-129.60238480136343,149.852804619989,3.280434906131674,13.933080325037974,1.25,1.5,1.25,True
343,7934.0,0.1092086333398339,1.2516852506859961,0.5481049562682215,-2214.5,1.210738593395513,0.10672349862432808,0.1125221462938416,147,0.42857142857142855,-131.60238480136343,152.85683287371302,0.0,16.204113163213393,1.25,1.5,1.25,False
343,8054.5,0.10922430043672081,1.2584220995893223,0.5276967930029155,-2209.0,1.1784716618039606,0.11325298691676046,0.10385271846333462,147,0.4227405247813411,-129.60238480136343,149.852804619989,3.280434906131674,13.933080325037974,1.25,1.5,2.0,True
343,7934.0,0.1092086333398339,1.2516852506859961,0.5481049562682215,-2214.5,1.210738593395513,0.10672349862432808,0.1125221462938416,147,0.42857142857142855,-131.60238480136343,152.85683287371302,0.0,16.204113163213393,1.25,1.5,2.0,False
343,8341.0,0.10735950980901163,1.2614487665736764,0.5043731778425656,-2209.0,1.1379930463973145,0.11134019102170517,0.10205193485875355,147,0.3965014577259475,-136.0,152.8490732767054,3.8167794748687953,16.158459112916763,1.25,1.5,off,True
343,8234.5,0.10660515500019227,1.2541630013735203,0.5247813411078717,-2116.0,1.1720201590867692,0.10709475588541897,0.10595235381989,147,0.40233236151603496,-138.0,157.35310153042946,0.0,17.212466634636485,1.25,1.5,off,False
343,10597.5,0.13725155822640187,1.3537865763073995,0.49271137026239065,-2357.0,1.0335456475583864,0.14905808347510144,0.12150952456146913,147,0.478134110787172,-127.99683686919089,132.78923499504876,20.79513334750234,21.489752998295625,1.25,2.0,0.75,True
343,10348.5,0.13424661854184605,1.342257573753142,0.5102040816326531,-2318.5,1.0757114557665362,0.13898504994398533,0.12792871000566042,147,0.4839650145772595,-129.99683686919087,136.78812145699573,0.0,39.25530557204834,1.25,2.0,0.75,False
343,9647.0,0.13400151274171265,1.3064193374201951,0.49854227405247814,-2357.0,1.1353788742614284,0.16012361631878325,0.09917204130561853,147,0.4606413994169096,-131.09860678069532,132.78923499504876,22.6370759293633,21.634814726690685,1.25,2.0,1.25,True
343,9469.0,0.13274542569429992,1.2978890741498097,0.521865889212828,-2318.5,1.1756257260534375,0.14660508640688308,0.11426587807752236,147,0.46647230320699706,-133.09860678069532,136.78812145699573,0.0,41.84216633684444,1.25,2.0,1.25,False
343,8329.5,0.12333086882874163,1.25294948298638,0.5014577259475219,-2454.0,1.3149648838465695,0.15576121396087983,0.0800904086525573,147,0.45481049562682213,-135.09860678069532,132.78923499504876,22.48453494575674,22.127324848148177,1.25,2.0,2.0,True
343,8175.5,0.12208290681120029,1.2463761564656601,0.5247813411078717,-2285.5,1.3616292581493488,0.14496098448390773,0.09157880324759038,147,0.4606413994169096,-137.09860678069532,136.78812145699573,0.0,42.184922359941275,1.25,2.0,2.0,False
343,8145.0,0.10900529774933125,1.2384297883551418,0.46355685131195334,-2405.5,1.3447513812154697,0.132993512587823,0.07702101129800897,147,0.41690962099125367,-143.0,134.78923499504873,21.328072032681458,24.2715101002904,1.25,2.0,off,True
343,7836.0,0.10382208042963609,1.2259092154008044,0.4868804664723032,-2333.0,1.4206227667177131,0.11973368312016398,0.08260661017559892,147,0.42857142857142855,-147.0,138.78812145699575,0.0,43.82285213036945,1.25,2.0,off,False
342,12446.0,0.1659739208488586,1.4067918484744488,0.4590643274853801,-2849.5,1.0732765547163747,0.20471484646848362,0.1145828970677233,147,0.5175438596491229,-129.69683686919086,101.98700133934449,56.933496888401955,27.539419571754063,1.25,3.0,0.75,True
342,12732.5,0.17366032948602406,1.4131379992861546,0.47953216374269003,-2865.5,1.051953661888867,0.21400045463825615,0.12014791856979788,147,0.5233918128654971,-131.6968368691909,106.23700133934449,0.0,84.85166821406662,1.25,3.0,0.75,False
342,11020.5,0.15506899105480124,1.3353059299601424,0.47076023391812866,-2870.0,1.2121047139421985,0.1998898415917781,0.0956127607506482,147,0.49415204678362573,-135.6968368691909,104.48700133934449,58.69901089883434,25.544419571754066,1.25,3.0,1.25,True
342,11250.0,0.1609755313468458,1.3389932653337955,0.49415204678362573,-3049.0,1.1905777777777777,0.20223243068870395,0.10624699140356458,147,0.5029239766081871,-138.69683686919092,108.7370013393445,0.0,85.01346725046764,1.25,3.0,1.25,False
342,8822.5,0.13162378211125572,1.2553028330005498,0.47076023391812866,-2967.0,1.495721167469538,0.17292489934140448,0.07683658578554815,147,0.47953216374269003,-139.7986067806953,101.49136815157156,57.08558068956657,26.236991421606618,1.25,3.0,2.0,True
342,9236.0,0.1406147230933253,1.2653298668466941,0.5,-3005.0,1.435036812472932,0.17546532634108625,0.09438433102996888,147,0.49122807017543857,-143.7986067806953,105.74136815157158,0.0,86.14747392704098,1.25,3.0,2.0,False
342,10092.0,0.1385949406509594,1.2829149320886422,0.43567251461988304,-2829.0,1.3313020214030915,0.17079842565780068,0.09587603196841478,147,0.4298245614035088,-147.0,107.48700133934449,55.92911777649129,30.98335058679232,1.25,3.0,off,True
342,10350.5,0.14363911973642435,1.285957011824511,0.4649122807017544,-2419.0,1.2942853002270422,0.17086663933350998,0.10752098149539241,147,0.4473684210526316,-153.0,111.7370013393445,0.0,90.38757761051264,1.25,3.0,off,False
342,13949.5,0.18776789544485462,1.4557096421162672,0.4415204678362573,-2828.5,1.0281013656403455,0.2269090537035563,0.13584595081596465,147,0.5350877192982456,-129.6968368691909,80.0025539638034,85.29898357577372,28.611919571754065,1.25,4.0,0.75,True
342,12761.0,0.18134071308841762,1.4137942216025163,0.4590643274853801,-2830.0,1.0755818509521198,0.2223290673345528,0.12696840643538118,147,0.543859649122807,-131.6968368691909,81.6700539638034,0.0,112.04530678162634,1.25,4.0,0.75,False
342,12552.5,0.17727963231746394,1.376770920878857,0.45614035087719296,-2812.0,1.1425214100776737,0.22580199754479946,0.11291322946487599,147,0.5058479532163743,-137.6968368691909,83.3375539638034,88.31699758620611,26.671919571754067,1.25,4.0,1.25,True
342,11314.5,0.16918223073871302,1.3367260390161153,0.47953216374269003,-3036.5,1.2130893985593707,0.21447129979525703,0.1091048942351343,147,0.5175438596491229,-140.69683686919092,85.0050539638034,0.0,113.55210581802737,1.25,4.0,1.25,False
342,10077.5,0.15020869237976636,1.2862641498714615,0.4590643274853801,-2909.0,1.3856611262713967,0.1924780809354515,0.09413705449977593,147,0.48830409356725146,-142.7986067806953,79.34192077603046,86.70356737693834,28.124491421606617,1.25,4.0,2.0,True
342,9023.5,0.14519569149104045,1.2547428151995934,0.48830409356725146,-3003.5,1.4801906133983487,0.18134522108866494,0.0972422338615386,147,0.5029239766081871,-146.7986067806953,81.00942077603047,0.0,115.44611249460071,1.25,4.0,2.0,False
342,11427.0,0.15792546495455775,1.3146373698992235,0.4239766081871345,-3035.5,1.2550538199002363,0.1954798123800528,0.10810847347175816,147,0.43859649122807015,-150.0,83.3375539638034,87.80210446386305,32.870850586792315,1.25,4.0,off,True
342,10226.0,0.1492953140777865,1.2773641455442992,0.45321637426900585,-2417.5,1.3422159202034032,0.18070923804379266,0.10762378228614577,147,0.45614035087719296,-156.0,85.0050539638034,0.0,122.05394345079964,1.25,4.0,off,False
