feed,cell,side,filter,block,n,R,pct,pf,win
US100,US30 Optuna retdd,SHORT,both regimes,research,218,-0.0772,-0.0387,0.84,31.7
US100,US30 Optuna retdd,SHORT,both regimes,LOCKED,126,-0.0184,-0.0814,0.959,34.9
US100,US30 Optuna retdd,SHORT,bull only,research,175,-0.0368,-0.0001,0.924,32.6
US100,US30 Optuna retdd,SHORT,bull only,LOCKED,103,0.036,-0.0377,1.083,35.0
US100,US30 Optuna retdd,SHORT,bear only,research,43,-0.2417,-0.1958,0.482,27.9
US100,US30 Optuna retdd,SHORT,bear only,LOCKED,23,-0.2617,-0.2772,0.473,34.8
US30,As published L,LONG,both regimes,research,333,0.1975,0.0151,1.402,31.5
US30,As published L,LONG,both regimes,LOCKED,177,-0.0762,-0.0073,0.859,28.2
US30,As published L,LONG,bull only,research,285,0.2108,0.049,1.432,31.6
US30,As published L,LONG,bull only,LOCKED,144,-0.0816,-0.006,0.851,28.5
US30,As published L,LONG,bear only,research,48,0.1187,-0.1862,1.232,31.2
US30,As published L,LONG,bear only,LOCKED,33,-0.0526,-0.0131,0.897,27.3
US30,As published L,SHORT,both regimes,research,293,-0.1767,-0.0311,0.705,22.9
US30,As published L,SHORT,both regimes,LOCKED,187,-0.0428,0.0023,0.916,26.2
US30,As published L,SHORT,bull only,research,220,-0.257,-0.0673,0.592,21.4
US30,As published L,SHORT,bull only,LOCKED,129,-0.0383,0.0132,0.924,26.4
US30,As published L,SHORT,bear only,research,73,0.065,0.0781,1.128,27.4
US30,As published L,SHORT,bear only,LOCKED,58,-0.0528,-0.0221,0.899,25.9
US30,As published S,LONG,both regimes,research,333,0.1975,0.0151,1.402,31.5
US30,As published S,LONG,both regimes,LOCKED,177,-0.0762,-0.0073,0.859,28.2
US30,As published S,LONG,bull only,research,285,0.2108,0.049,1.432,31.6
US30,As published S,LONG,bull only,LOCKED,144,-0.0816,-0.006,0.851,28.5
US30,As published S,LONG,bear only,research,48,0.1187,-0.1862,1.232,31.2
US30,As published S,LONG,bear only,LOCKED,33,-0.0526,-0.0131,0.897,27.3
US30,As published S,SHORT,both regimes,research,293,-0.1767,-0.0311,0.705,22.9
US30,As published S,SHORT,both regimes,LOCKED,187,-0.0428,0.0023,0.916,26.2
US30,As published S,SHORT,bull only,research,220,-0.257,-0.0673,0.592,21.4
US30,As published S,SHORT,bull only,LOCKED,129,-0.0383,0.0132,0.924,26.4
US30,As published S,SHORT,bear only,research,73,0.065,0.0781,1.128,27.4
US30,As published S,SHORT,bear only,LOCKED,58,-0.0528,-0.0221,0.899,25.9
US30,US100 Optuna totR,LONG,both regimes,research,195,-0.0062,0.0173,0.989,30.8
US30,US100 Optuna totR,LONG,both regimes,LOCKED,147,0.0951,0.0013,1.166,30.6
US30,US100 Optuna totR,LONG,bull only,research,154,-0.0641,-0.0085,0.894,28.6
US30,US100 Optuna totR,LONG,bull only,LOCKED,107,0.0366,0.0026,1.062,30.8
US30,US100 Optuna totR,LONG,bear only,research,41,0.2112,0.1142,1.423,39.0
US30,US100 Optuna totR,LONG,bear only,LOCKED,40,0.2518,-0.002,1.489,30.0
US30,US100 Optuna totR,SHORT,both regimes,research,348,-0.0361,0.0243,0.938,28.7
US30,US100 Optuna totR,SHORT,both regimes,LOCKED,198,-0.2005,-0.0662,0.658,24.7
US30,US100 Optuna totR,SHORT,bull only,research,303,-0.0847,0.0191,0.857,27.7
