feat,fam,h,block,n,ic,t,p
rp.volofvol,rp,5,locked,263,0.14495834905523464,1.5516830546460358,0.1207380792408721
rp.volofvol,rp,10,research,471,0.11623262074462344,1.040100228694748,0.29829333743774944
rp.volofvol,rp,10,locked,258,0.26903241517303594,2.1562203264898523,0.031066465082807637
rp.volofvol,rp,20,research,471,0.20817608834966844,1.5190195037909113,0.12875758672163862
rp.volofvol,rp,20,locked,248,0.36206101669312746,1.9253013582573377,0.05419166782635698
rp.semi_skew,rp,1,research,490,0.03145472900591772,0.6558732412049156,0.5119056866098421
rp.semi_skew,rp,1,locked,267,0.009356571035167996,0.15359132127076874,0.8779319803615753
rp.semi_skew,rp,5,research,490,-0.01626058842564177,-0.18638885996201773,0.8521398278217336
rp.semi_skew,rp,5,locked,263,-0.009127058469641116,-0.07968121575697591,0.936490799597699
rp.semi_skew,rp,10,research,490,0.010319773705591343,0.09549680687745182,0.9239202264132556
rp.semi_skew,rp,10,locked,258,-0.14428750660765863,-1.109386488279572,0.2672634887228309
rp.semi_skew,rp,20,research,490,0.008447076805307608,0.07071427473850277,0.9436251596811578
rp.semi_skew,rp,20,locked,248,-0.3915591843670883,-2.3919576231961006,0.01675877722454433
rp.rskew60,rp,1,research,476,0.01047301939643782,0.22572715836870166,0.821413633858642
rp.rskew60,rp,1,locked,267,0.10227417445172549,1.5633499207368406,0.1179703124137168
rp.rskew60,rp,5,research,476,0.07558118381414135,0.8836375523628842,0.37689190069750333
rp.rskew60,rp,5,locked,263,0.16951024188420058,1.394448257628005,0.16318228410634594
rp.rskew60,rp,10,research,476,0.08368056656624914,0.7464505217651927,0.4553953097815602
rp.rskew60,rp,10,locked,258,0.36945275484774165,2.4578244538603284,0.013978148228035892
rp.rskew60,rp,20,research,476,0.07433266851924485,0.5409982943505901,0.5885087583537969
rp.rskew60,rp,20,locked,248,0.5883662638014511,3.6154912858806307,0.00029977855949137044
rp.rkurt60,rp,1,research,476,-0.05363720065980712,-1.1007840663192523,0.2709906480957105
rp.rkurt60,rp,1,locked,267,0.07920333283317299,1.3498365139336217,0.17706842954060908
rp.rkurt60,rp,5,research,476,-0.13079958497798325,-1.4655830695563168,0.14276190641616537
rp.rkurt60,rp,5,locked,263,0.2085542095555737,1.814484888674862,0.06960310713783802
rp.rkurt60,rp,10,research,476,-0.1737773957646614,-1.5402777538142243,0.12349266400073478
rp.rkurt60,rp,10,locked,258,0.3747493631667009,2.5068682484077427,0.012180610444765039
rp.rkurt60,rp,20,research,476,-0.18498688452540898,-1.5588931084396556,0.11902168172863758
rp.rkurt60,rp,20,locked,248,0.41519532485433436,1.805183821268939,0.07104592178471791
rp.on_mean20,rp,1,research,490,-0.06929758821424939,-1.5207824081335293,0.12831445047304424
rp.on_mean20,rp,1,locked,267,-0.019612800238059513,-0.3055712237465733,0.759931133207602
rp.on_mean20,rp,5,research,490,-0.11991507584753942,-1.6017064971919224,0.10922052775250868
rp.on_mean20,rp,5,locked,263,-0.0661744722058773,-0.5600331587631211,0.575456820595009
rp.on_mean20,rp,10,research,490,-0.08087495540742506,-0.8821464889354822,0.3776975949416985
rp.on_mean20,rp,10,locked,258,-0.17922835124898287,-1.0166194019106713,0.30933452076159806
rp.on_mean20,rp,20,research,490,-0.005901494205068982,-0.05072394288735384,0.959545497539372
rp.on_mean20,rp,20,locked,248,-0.0661997605152227,-0.29133652008950767,0.7707939592158408
rp.rth_mean20,rp,1,research,490,-0.055370985998887706,-1.1776317887503003,0.23894343107223737
rp.rth_mean20,rp,1,locked,267,-0.034026244548147164,-0.5523654773810366,0.5806979781818273
rp.rth_mean20,rp,5,research,490,-0.052607228089841515,-0.6447621044597596,0.5190813632087732
rp.rth_mean20,rp,5,locked,263,0.025993910017072,0.22054572125735758,0.8254461684190406
rp.rth_mean20,rp,10,research,490,-0.06862164255203913,-0.6735780763594348,0.5005795952767076
rp.rth_mean20,rp,10,locked,258,0.1628368158998871,1.0294560905662464,0.3032654031585218
rp.rth_mean20,rp,20,research,490,-0.009391789152280807,-0.08389316938272945,0.9331413704593365
rp.rth_mean20,rp,20,locked,248,0.35244150167340377,1.6674571852648266,0.09542353106859025
rp.on_share20,rp,1,research,490,-0.01913144501362576,-0.407233403956926,0.6838365698010398
rp.on_share20,rp,1,locked,267,-0.023149648395683155,-0.3808123482461219,0.7033424958751806
rp.on_share20,rp,5,research,490,-0.09013990912422097,-1.3825760182354627,0.16679490662931284
rp.on_share20,rp,5,locked,263,-0.058480195681600476,-0.5797264539918758,0.5620991008844829
rp.on_share20,rp,10,research,490,-0.04834694464043787,-0.6376215043963579,0.5237200937871944
rp.on_share20,rp,10,locked,258,-0.02641840620304108,-0.2060393475228693,0.8367601757659457
rp.on_share20,rp,20,research,490,0.0022371894042686985,0.025438472307633957,0.9797052245641527
rp.on_share20,rp,20,locked,248,0.1594729446714637,1.019229474480523,0.30809403679120617
rp.on_rth_spread,rp,1,research,490,0.012128823390963474,0.25310699620201094,0.8001855326833938
rp.on_rth_spread,rp,1,locked,267,0.03857749354099655,0.6135504338521726,0.5395124458793137
rp.on_rth_spread,rp,5,research,490,-0.007195144247895704,-0.08821959492042956,0.9297021435415385
rp.on_rth_spread,rp,5,locked,263,-0.04251378030149108,-0.36184048068418556,0.7174712397127456
rp.on_rth_spread,rp,10,research,490,0.01501997772857472,0.15259932519458225,0.8787142571834998
rp.on_rth_spread,rp,10,locked,258,-0.20799913633141393,-1.242059788954812,0.21421450327414893
rp.on_rth_spread,rp,20,research,490,-0.010642701722274257,-0.09959746988391899,0.9206639025792689
rp.on_rth_spread,rp,20,locked,248,-0.3547246318432932,-1.6448233414656888,0.10000624718154083
rp.tsmom20,rp,1,research,490,-0.08525753534830148,-1.7872706117145387,0.07389376150012295
rp.tsmom20,rp,1,locked,267,-0.038302615502364835,-0.6158756653939906,0.5379765834561305
rp.tsmom20,rp,5,research,490,-0.10434782386959258,-1.2729530146018062,0.20303471519575256
rp.tsmom20,rp,5,locked,263,-0.04272091360298482,-0.3816967890071494,0.7026862820864694
rp.tsmom20,rp,10,research,490,-0.13243256544430523,-1.3534195524411992,0.17592163452898157
rp.tsmom20,rp,10,locked,258,-0.08579073016680473,-0.6080552119875421,0.543150855894021
rp.tsmom20,rp,20,research,490,-0.09529696551193043,-0.7655504790566438,0.44394381975078323
rp.tsmom20,rp,20,locked,248,0.08682345943785588,0.42876179976146683,0.6680965813149522
rp.tsmom20_vs,rp,1,research,490,-0.07772299028691482,-1.6566294065173581,0.09759442327062562
rp.tsmom20_vs,rp,1,locked,267,-0.04774555876526802,-0.8061132166263141,0.4201775715585807
rp.tsmom20_vs,rp,5,research,490,-0.08550029235389382,-1.0569091637781844,0.29055304582302055
rp.tsmom20_vs,rp,5,locked,263,-0.06270399991556348,-0.5814951893186736,0.5609067595472299
rp.tsmom20_vs,rp,10,research,490,-0.11642865685251774,-1.2142612236424664,0.22464798792723295
rp.tsmom20_vs,rp,10,locked,258,-0.08004551729101543,-0.6060308018515534,0.5444942996718418
rp.tsmom20_vs,rp,20,research,490,-0.08928730164113427,-0.7148018050746358,0.47473151963755367
rp.tsmom20_vs,rp,20,locked,248,0.1078137809170599,0.5366085694631301,0.5915380235043683
rp.tsmom60,rp,1,research,476,-0.09158412123538591,-1.9473391173342043,0.05149409193218468
rp.tsmom60,rp,1,locked,267,-0.04913003622589931,-0.8221053172685389,0.4110169595006772
rp.tsmom60,rp,5,research,476,-0.1711461784316507,-2.0018579047847727,0.04530001613331236
rp.tsmom60,rp,5,locked,263,-0.07798766699297856,-0.7149289853681297,0.47465292542273385
rp.tsmom60,rp,10,research,476,-0.23749863003791388,-2.127074574577579,0.033413887437528045
rp.tsmom60,rp,10,locked,258,-0.13418971151303066,-0.8584879973222855,0.3906230553666341
rp.tsmom60,rp,20,research,476,-0.2759609345227664,-2.01398956053643,0.04401062954143575
rp.tsmom60,rp,20,locked,248,-0.04682226358745678,-0.19471630272170776,0.8456150484679144
rp.tsmom60_vs,rp,1,research,476,-0.07734975618847341,-1.6661421972420363,0.09568509559461869
rp.tsmom60_vs,rp,1,locked,267,-0.037372695532223145,-0.645099136032569,0.5188629437130647
rp.tsmom60_vs,rp,5,research,476,-0.13709634797315154,-1.6089368381810703,0.107630153365037
rp.tsmom60_vs,rp,5,locked,263,-0.04071158864645643,-0.37241573335703504,0.7095833415235
