W,scheme,n_trades,ev_per_trade_%,hist_cagr_%,hist_maxdd_%,mc_median_terminal_x,mc_median_maxdd_%,mc_p5_maxdd_%,P_ruin50_%
23,split 1/3 (2x),105,1.46,14.61,-42.74,3.54,-38.42,-64.67,21.57
24,fixed 1x,106,1.18,13.44,-21.59,3.12,-19.33,-35.59,0.3
24,split 1/3 (1x),106,0.74,8.36,-16.69,2.08,-17.09,-32.98,0.08
24,split 1/3 (2x),106,1.36,14.31,-36.11,3.41,-35.49,-61.5,16.41
25,fixed 1x,100,1.39,15.32,-15.6,3.62,-15.39,-28.71,0.03
25,split 1/3 (1x),100,1.1,12.01,-13.55,2.75,-13.47,-26.48,0.01
25,split 1/3 (2x),100,2.11,22.01,-26.7,5.97,-28.47,-50.38,5.37
26,fixed 1x,97,1.53,16.5,-16.1,3.95,-15.79,-28.99,0.04
26,split 1/3 (1x),97,1.33,14.29,-14.28,3.34,-13.28,-25.23,0.01
26,split 1/3 (2x),97,2.6,27.0,-29.78,8.46,-28.33,-49.86,4.97
27,fixed 1x,99,1.56,17.63,-13.05,4.35,-13.07,-24.31,0.01
27,split 1/3 (1x),99,1.25,13.9,-10.79,3.24,-10.77,-21.2,0.0
27,split 1/3 (2x),99,2.36,26.27,-22.56,8.16,-23.38,-43.02,1.5
28,fixed 1x,94,1.6,16.74,-15.45,4.0,-15.28,-28.04,0.01
28,split 1/3 (1x),94,1.13,11.61,-13.34,2.69,-13.65,-26.62,0.0
28,split 1/3 (2x),94,2.15,21.33,-26.85,5.79,-28.45,-51.78,6.08
29,fixed 1x,90,1.56,15.4,-20.02,3.6,-15.59,-28.77,0.01
29,split 1/3 (1x),90,1.04,10.32,-15.17,2.41,-13.15,-25.07,0.0
29,split 1/3 (2x),90,1.95,18.63,-32.93,4.73,-26.94,-47.77,3.62
30,fixed 1x,91,1.42,13.97,-15.67,3.24,-17.06,-31.45,0.08
30,split 1/3 (1x),91,1.03,10.22,-16.01,2.39,-14.57,-27.85,0.01
30,split 1/3 (2x),91,1.92,18.43,-34.26,4.65,-29.27,-52.24,6.63
