algn,cfrm,entry,stop_k,tp_r,fill,n,R,usd,net,pf,win,avg_w,avg_l,dd,retdd,sharpe,sortino,p90,p10
True,False,edge,1.5,1.5,0.4212218649517685,3705,-0.185125789140514,-4.870751398612977,-18046.133931861077,0.7824060761598542,0.39838056680161943,43.9625899007248,-37.2072304285917,18681.575019461918,-0.9659856791015288,-4.820786081594044,-7.047166683850464,53.957615225105535,-49.346333607189
True,False,edge,1.5,2.0,0.3772542988955683,3351,-0.18304487890455937,-4.681443127824462,-15687.515921339773,0.8119765588268087,0.3339301700984781,60.5418360868227,-37.38074843301718,16571.480989084845,-0.9466574491243532,-3.6329643983757403,-5.676374335819655,68.95801535218897,-50.73735414197319
False,True,close,1.0,1.5,0.6131467428796689,18762,-0.2693691439448266,-4.581203658289408,-85952.54303682588,0.708789736805161,0.4011832427246562,27.793776314569026,-26.27114351193475,86349.11019489041,-0.9954073972833134,-15.122997863449172,-19.2245985126393,34.695889529042766,-34.42000700617529
False,True,close,1.0,2.0,0.5339312111954272,16319,-0.2796718392880987,-4.795923237946174,-78264.67132004362,0.7269749579257112,0.3324958637171395,38.40634197284435,-26.31575166296678,78827.35563849646,-0.9928618141012706,-12.989890865000467,-17.705229681102903,43.92385215864751,-35.46042345243943
False,True,close,1.5,1.5,0.3828323642455898,11786,-0.19720494336348132,-5.377670689857809,-63381.226750664144,0.762724657844056,0.39368742575937554,43.9094339613593,-37.380492629634944,63886.109444225716,-0.9920971444660854,-8.936249230551256,-12.240565546882763,53.62009609611021,-50.08383140350299
False,True,close,1.5,2.0,0.3141224007095693,9721,-0.20025502463228437,-5.893349018196962,-57289.245805892664,0.769260668333385,0.3272297088776875,60.042854842538524,-37.96415398471067,57789.56511378337,-0.9913423936154284,-7.948466049781839,-11.584887023321768,67.65562279507111,-52.360327200294996
False,True,edge,1.0,1.5,0.3340691830097566,10026,-0.26807017069564076,-4.456997382792834,-44685.85575988096,0.7112989292908798,0.4025533612607221,27.278637976118134,-25.840140005257716,44692.30950917356,-0.9998555959769482,-10.911623027697159,-15.142823823738697,34.10220630788506,-33.79890312614618
False,True,edge,1.0,2.0,0.3025327683059032,9100,-0.30399988664578115,-5.196406678382576,-47287.300773281444,0.70269415468528,0.3254945054945055,37.733089296159726,-25.91279101800367,47519.29054636626,-0.9951179874443105,-10.511329703119237,-14.326452648546626,42.83624978600099,-34.99952966433368
False,True,edge,1.5,1.5,0.24231792648073322,7327,-0.22055060626271564,-5.393723082309344,-39519.80902408056,0.7581814507317742,0.3856967380919885,43.84562077896899,-36.30916092989268,40358.896055992765,-0.9792093661147698,-7.742943588332888,-11.212087234013161,53.42884332378281,-48.837011735995766
False,True,edge,1.5,2.0,0.20904700896816794,6401,-0.2183874682717803,-5.460423511223472,-34952.17089534144,0.7808874169709213,0.3232307451960631,60.20530635510976,-36.822933920605635,37156.646845854804,-0.9406707510594624,-6.492895535505772,-9.960142401411698,67.2309353899397,-50.85540836923639
