etf,cfrm,entry,stop_k,tp_r,train_n,train_usd,train_pf,valid_n,valid_usd,valid_pf,oos_n,oos_usd,oos_pf
5,False,edge,1.5,2.0,695,-5.1642102818173035,0.8853227406118833,241,9.207049342991919,1.1469348889260584,258,-5.290461666901442,0.9071678445273763
15,True,close,1.0,1.5,455,0.43018019960486464,1.0101468007647127,150,7.074660668295164,1.1109035857178955,153,-18.263027280014533,0.6912224542925394
15,True,close,1.0,2.0,426,-1.566819816002894,0.9660178599854685,136,11.561588328741339,1.1660228337215972,150,-11.939876190787123,0.8059434415076747
15,True,close,1.5,1.5,399,-0.6703825738758016,0.9880420938372252,131,0.19435428858592763,1.0021203309994615,134,-18.03458580488404,0.7634776255688284
15,True,close,1.5,2.0,374,2.8282072154015507,1.049299621107606,126,-7.007293227035136,0.928769639170236,127,-19.002663270089716,0.765544961417609
15,True,edge,1.0,1.5,296,-2.0498481024210884,0.9518228794046104,101,2.6851578883252345,1.041312833332806,97,-8.722714289264484,0.8421441101880655
15,True,edge,1.0,2.0,286,0.8191877253333393,1.0182498004456617,95,9.959723042452113,1.1490619002812377,98,-4.003491973615778,0.9302219495056685
15,True,edge,1.5,1.5,274,-1.5236554214461442,0.971987035615651,91,-13.466183082621836,0.856341293902916,89,-13.0889393136569,0.8169025061025771
15,True,edge,1.5,2.0,267,3.9498131469464717,1.0703090847766366,88,-18.87438099264682,0.806007014073173,87,-10.150336413202542,0.8629227754635231
15,False,close,1.0,1.5,420,0.03757538399921646,1.0009516456614802,145,-14.15958573214551,0.7865163745620619,143,-11.261810331398014,0.7935764447580859
15,False,close,1.0,2.0,394,4.6372709869035615,1.1111814705624867,138,-19.703285215586558,0.7259935413862338,135,-17.43120100508678,0.7183589868424242
15,False,close,1.5,1.5,365,4.173936763049113,1.0816839447127946,131,-14.53128097475243,0.8360550335147613,127,-20.15680404140574,0.7281692161961617
15,False,close,1.5,2.0,348,7.302632861476012,1.1397371126200642,120,-12.629700424951725,0.8575551596649693,123,-24.147385099101083,0.6933494759847814
15,False,edge,1.0,1.5,294,1.4323242715024271,1.0356192902451569,116,5.67655470753176,1.0983805950860852,105,-17.071153008006448,0.7066072485310326
15,False,edge,1.0,2.0,282,6.447862326328587,1.1566377833847503,114,7.590812345598787,1.1246846940023116,102,-13.730717084370193,0.7756872485913154
15,False,edge,1.5,1.5,273,8.662127420361168,1.1819788359172023,107,4.739213270164046,1.0606342382257081,95,-18.701867698497907,0.7479231082088754
15,False,edge,1.5,2.0,264,13.71025561386496,1.275921460313957,99,2.3827444601865477,1.0288608764521838,92,-29.05149285157192,0.6416153280420852
