etf,cfrm,cost,entry,stop_k,tp_r,sig,fill,n,R,usd,net,pf,win,avg_w,avg_l,dd,retdd,sharpe,sortino,p90,p10
1,False,gross,edge,1.0,2.0,14306,0.49014399552635257,4295,0.004818159833803361,0.2001056267704103,859.4536669789122,1.0147992407348754,0.3345750873108265,41.0115704143588,-20.319864597080013,1873.6533265854523,0.4587047426458455,0.30516281722534894,0.5536276094605536,45.797894096194064,-28.726701525974203
1,False,net,edge,1.5,1.5,14306,0.431986579057738,3821,-0.19001503892591004,-4.571972326045424,-17469.506257819565,0.786358134428657,0.3998953153624706,42.08150838297673,-35.660728768865255,18096.438399896277,-0.9653560480674305,-4.751626047053873,-7.078372955228856,51.27288582199224,-46.85331656964292
1,False,gross,edge,1.5,1.5,14306,0.431986579057738,3821,0.0001647000641923679,0.18010304689429335,688.1737421830949,1.009801183503548,0.3998953153624706,46.40150838297673,-30.620728768864087,2624.670691611009,0.2621943180844137,0.1881555914452113,0.3110291156153846,55.59288582199224,-41.813316569641756
1,False,net,edge,1.5,2.0,14306,0.3880190130015378,3436,-0.19245745326619998,-4.586285092977912,-15758.475579472104,0.807892571475426,0.3338183934807916,57.77769889051341,-35.83638978020577,16624.537777044457,-0.9479045848259172,-3.8280398398910536,-5.967776763035199,66.22895178764855,-48.5788594423396
1,False,gross,edge,1.5,2.0,14306,0.3880190130015378,3436,-0.0002030754795571767,0.2129465717492858,731.684420530546,1.0103793303792514,0.3338183934807916,62.09769889051342,-30.797018875879576,3237.4381950670286,0.22600722436815418,0.17927600282138373,0.3062674377343931,70.54895178764855,-43.538859442338435
5,True,net,close,1.0,1.5,3465,0.6158730158730159,1269,-0.07384429795029816,-2.0557895722903754,-2608.796967236486,0.9314733889680914,0.42001576044129235,66.53103346468087,-51.725323103140475,3844.742726447804,-0.6785361603757502,-0.8576515296508975,-1.5348696444984433,81.0014509434969,-66.88826776024244
5,True,gross,close,1.0,1.5,3465,0.6158730158730159,1269,0.04559528397268738,2.6806643284195144,3401.7630327643637,1.0989954046338177,0.42080378250591016,70.72022628590805,-46.75216027742929,1142.3235556184518,2.9779330173425826,1.1154326689768823,2.1392902328039556,85.3214509434969,-61.848267760241285
5,True,net,close,1.0,2.0,3465,0.5673881673881674,1170,-0.057850413803225434,-1.145663664999066,-1340.426488048907,0.965410312084172,0.358974358974359,89.07565011738895,-51.66959938313636,3884.003669723138,-0.3451146296533896,-0.40042791007129647,-0.7861561312288837,103.24353259411991,-69.08285326354081
5,True,gross,close,1.0,2.0,3465,0.5673881673881674,1170,0.06245649895677357,3.634028642693981,4251.8135119519575,1.1215659701056482,0.3598290598290598,93.17618301497234,-46.69607414866675,1423.6803795677079,2.9864944217626963,1.2695884015796695,2.707927923957126,107.5635325941199,-64.04285326353966
5,True,net,close,1.5,1.5,3465,0.4932178932178932,1017,-0.029400805526536327,-1.221393558275265,-1242.1572487659446,0.9713039383083455,0.42674532940019666,96.87678126019112,-74.24816520701353,4569.917590391677,-0.27181173931398667,-0.31152778866810965,-0.6189296509329894,119.65506158383619,-100.1428154460943
5,True,gross,close,1.5,1.5,3465,0.4932178932178932,1017,0.04946821497297308,3.4978984771236035,3557.362751234705,1.088125429147506,0.4287118977384464,100.74404373147463,-69.47855476022072,2455.300264162048,1.4488503924177976,0.8892324710188356,1.856854468711037,123.97506158383618,-95.10281544609315
5,True,net,close,1.5,2.0,3465,0.44357864357864357,923,-0.03951157764182806,-1.8184891632307492,-1678.4654976619815,0.9612214395663068,0.3640303358613218,123.8240221776198,-73.73651950484195,4801.673358337774,-0.3495584502322388,-0.38806849356450096,-0.8128789311644325,150.63098106887912,-101.93110354808188
5,True,gross,close,1.5,2.0,3465,0.44357864357864357,923,0.040123687146801895,2.9414674998252086,2714.9745023386677,1.0672874195296826,0.36728060671722645,127.0321281760479,-69.09061121462598,2662.553358337438,1.019688298015542,0.6276157078618917,1.3844424836953257,154.95098106887912,-96.89110354808072
5,True,net,edge,1.0,1.5,3465,0.42828282828282827,885,-0.1179487932045989,-3.7706469192486414,-3337.0225235350476,0.8756357648726442,0.40225988700564974,65.99896555307318,-50.723353989469004,4394.534036535648,-0.7593575327421356,-1.593389855320425,-2.793328962676504,79.60728282570462,-65.87478675485063
5,True,gross,edge,1.0,1.5,3465,0.42828282828282827,885,0.004394292340401152,0.9772852841418772,864.8974764655613,1.0357859178730386,0.40225988700564974,70.31896555307317,-45.68743716527124,1333.3709195832816,0.6486548219724694,0.4164892692875782,0.7848548832149155,83.92728282570461,-60.83478675484948
