ema,trend_pct,untouched,trend,research_n,research_mean,research_net,research_pf,research_sh,locked_n,locked_mean,locked_net,locked_pf,locked_sh
15,85.0,1,1,9,-20.590799940812254,-185.31719946731027,0.7558977012308842,-0.2917102015011894,1,23.636157832115714,23.636157832115714,23636157832.11571,1.2433874174764072
20,50.0,0,0,337,4.210374417050007,1418.8961785458523,1.0651013742766933,0.31343704663158445,163,21.28480285135313,3469.4228647705604,1.3468950409026597,1.656228520040448
20,50.0,0,1,152,4.7590814168313855,723.3803753583707,1.0648160463377876,0.20549287053530751,67,-1.7929539330379252,-120.12791351354099,0.9742474778162411,-0.08728642929733434
20,50.0,1,0,37,4.085582780692454,151.1665628856208,1.0472697522382894,0.06339140388962394,19,-1.1714830940331205,-22.258178786629287,0.9827680450392334,-0.03979470992947368
20,50.0,1,1,31,23.233795493093155,720.2476602858878,1.28031245522593,0.3084795691526053,15,16.801349115217455,252.0202367282618,1.2636578437085675,0.48446126350332314
20,60.0,0,0,337,4.210374417050007,1418.8961785458523,1.0651013742766933,0.31343704663158445,163,21.28480285135313,3469.4228647705604,1.3468950409026597,1.656228520040448
20,60.0,0,1,110,22.90179223632506,2519.1971459957567,1.34189605015967,0.7936051691824814,52,6.12190192459107,318.3389000787356,1.0896300581828386,0.25398681718215704
20,60.0,1,0,37,4.085582780692454,151.1665628856208,1.0472697522382894,0.06339140388962394,19,-1.1714830940331205,-22.258178786629287,0.9827680450392334,-0.03979470992947368
20,60.0,1,1,30,22.251757115216847,667.5527134565054,1.259804162400819,0.2860011619311547,14,35.83001690916145,501.62023672826035,1.7102477311799686,1.047503812642058
20,65.0,0,0,337,4.210374417050007,1418.8961785458523,1.0651013742766933,0.31343704663158445,163,21.28480285135313,3469.4228647705604,1.3468950409026597,1.656228520040448
20,65.0,0,1,89,27.947624288566963,2487.33856168246,1.3906084426294263,0.8033928011371098,43,10.712455125993454,460.63557041771855,1.1618856994991702,0.38770977001875645
20,65.0,1,0,37,4.085582780692454,151.1665628856208,1.0472697522382894,0.06339140388962394,19,-1.1714830940331205,-22.258178786629287,0.9827680450392334,-0.03979470992947368
20,65.0,1,1,28,27.413444397337507,767.5764431254502,1.3153085621536744,0.32966787626115884,8,108.19086241824789,865.5268993459831,865526899345.983,2.936727178662499
20,70.0,0,0,337,4.210374417050007,1418.8961785458523,1.0651013742766933,0.31343704663158445,163,21.28480285135313,3469.4228647705604,1.3468950409026597,1.656228520040448
20,70.0,0,1,63,30.24317909799974,1905.3202831739836,1.3953359081012617,0.6542245060061319,28,22.106279354685935,618.9758219312062,1.3274332678707201,0.6112036420834972
20,70.0,1,0,37,4.085582780692454,151.1665628856208,1.0472697522382894,0.06339140388962394,19,-1.1714830940331205,-22.258178786629287,0.9827680450392334,-0.03979470992947368
20,70.0,1,1,26,20.569706901613806,534.8123794419589,1.2196926754255133,0.2305911225254366,6,133.77589039455657,802.6553423673395,802655342367.3395,2.7519531101201693
20,75.0,0,0,337,4.210374417050007,1418.8961785458523,1.0651013742766933,0.31343704663158445,163,21.28480285135313,3469.4228647705604,1.3468950409026597,1.656228520040448
20,75.0,0,1,46,56.41671535949227,2595.1689065366445,1.968192633548242,1.0367341598719775,18,30.692193799071294,552.4594883832833,1.5418654557164169,0.8548157238231864
20,75.0,1,0,37,4.085582780692454,151.1665628856208,1.0472697522382894,0.06339140388962394,19,-1.1714830940331205,-22.258178786629287,0.9827680450392334,-0.03979470992947368
