========================================================================================================
12. THE AROON READING BAR, AND THE SESSION WINDOW / FLATTEN
========================================================================================================
  markets with bars on disk: NQ, US100L, US30L
  points per trade, GROSS. research n/pts/PF then locked n/pts/PF.

========================================================================================================
  A - research top cell: EMA 21/62 cross w40, don 10/10, 3.0N, adx>=20

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  10:00-16:00   none         130    +17.04    1.24      61     +1.31     1.02
  10:00-16:00   16:00        139     +5.25    1.12      62     +9.40     1.19
========================================================================================================
  A + hard flatten at 16:00 NY: EMA 21/62 cross w40, don 10/10, 3.0N, adx>=20

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal       83    +41.28    1.90      50     +6.81     1.08
  osc>=0      signal       70    +48.55    2.13      38    +10.57     1.15
  osc>=0      prior        66    +55.86    2.40      35    +14.09     1.21
  osc>=50     signal       52    +62.52    2.61      32    +18.84     1.29
  osc>=50     prior        44    +75.81    2.97      31     +6.23     1.08
  osc>=-50    signal       76    +47.87    2.12      45     +4.01     1.05
  osc>=-50    prior        73    +51.56    2.24      44     +1.64     1.02
  up>=70      signal       63    +55.15    2.36      37    +14.02     1.20
  up>=70      prior        51    +68.55    2.87      33    +15.25     1.22

  --- NQ: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none          83    +41.28    1.90      50     +6.81     1.08
  all hours     12:00         89     -0.57    0.99      36     -5.02     0.93
  all hours     15:45        103    +17.78    1.40      52     +5.39     1.10
  all hours     16:00        103    +17.78    1.40      52     +5.39     1.10
  09:30-11:00   none          20    +39.71    3.10      11    -36.70     0.57
  09:30-11:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-11:00   15:45         22    +40.41    3.27      11    +11.64     1.39
  09:30-11:00   16:00         22    +40.41    3.27      11    +11.64     1.39
  09:30-12:00   none          27    +73.37    5.49      19    -12.53     0.85
  09:30-12:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-12:00   15:45         30    +46.22    3.94      20     -0.19     1.00
  09:30-12:00   16:00         30    +46.22    3.94      20     -0.19     1.00
  08:00-12:00   none          45    +46.84    1.99      29     +4.92     1.06
  08:00-12:00   12:00         46     -0.30    0.99      24    -14.93     0.73
  08:00-12:00   15:45         53    +24.16    1.60      32    -10.97     0.81
  08:00-12:00   16:00         53    +24.16    1.60      32    -10.97     0.81
  09:30-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  09:30-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
  10:00-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  10:00-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94

  --- US100L: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal      212    +35.22    2.27     139    +17.36     1.29
  osc>=0      signal      183    +25.88    1.89     111    +21.66     1.40
  osc>=0      prior       171    +29.22    2.05     104    +26.25     1.51
  osc>=50     signal      168    +25.49    1.87      87    +25.51     1.45
  osc>=50     prior       150    +23.31    1.74      78    +22.06     1.38
  osc>=-50    signal      198    +29.92    2.06     126    +23.27     1.41
  osc>=-50    prior       194    +30.81    2.12     118    +26.46     1.47
  up>=70      signal      179    +25.54    1.86     103    +25.84     1.48
  up>=70      prior       162    +23.84    1.76      89    +33.96     1.70

  --- US100L: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none         212    +35.22    2.27     139    +17.36     1.29
  all hours     12:00        216     +8.80    1.41     138     -3.43     0.93
  all hours     15:45        260    +10.83    1.45     164    +11.18     1.22
  all hours     16:00        260    +10.83    1.45     164    +11.18     1.22
  09:30-11:00   none          72    +18.04    1.67      34    +33.63     1.81
  09:30-11:00   12:00         75     +2.23    1.20      37     +7.85     1.49
  09:30-11:00   15:45         75     +5.99    1.37      37    +26.53     1.99
  09:30-11:00   16:00         75     +5.99    1.37      37    +26.53     1.99
  09:30-12:00   none          88    +12.62    1.42      49    +15.21     1.30
  09:30-12:00   12:00         75     +2.23    1.20      37     +7.85     1.49
  09:30-12:00   15:45         91     +6.42    1.45      53    +22.50     1.75
  09:30-12:00   16:00         91     +6.42    1.45      53    +22.50     1.75
  08:00-12:00   none         130    +20.07    1.71      80     +7.21     1.11
  08:00-12:00   12:00        134     +8.20    1.63      82     -6.58     0.85
  08:00-12:00   15:45        145     +7.26    1.38      94     +9.11     1.18
  08:00-12:00   16:00        145     +7.26    1.38      94     +9.11     1.18
  09:30-16:00   none         140    +13.60    1.41      76    +18.36     1.35
  09:30-16:00   16:00        136     +7.22    1.58      77    +19.14     1.79
  10:00-16:00   none         140    +13.60    1.41      76    +18.36     1.35
  10:00-16:00   16:00        136     +7.22    1.58      77    +19.14     1.79

  --- US30L: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal      208    +53.49    1.94     103    +14.94     1.15
  osc>=0      signal      178    +42.27    1.70      90    +12.75     1.13
  osc>=0      prior       168    +42.48    1.69      84    +13.60     1.14
  osc>=50     signal      158    +36.68    1.56      80    +14.54     1.16
  osc>=50     prior       145    +30.78    1.46      69    +30.15     1.36
  osc>=-50    signal      199    +41.20    1.67     101    +11.70     1.11
  osc>=-50    prior       193    +41.98    1.68      99    +11.69     1.11
  up>=70      signal      174    +41.22    1.67      89     +8.70     1.09
  up>=70      prior       158    +37.45    1.59      74    +22.78     1.25

  --- US30L: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none         208    +53.49    1.94     103    +14.94     1.15
  all hours     12:00        219    +18.50    1.44      92    +27.94     1.48
  all hours     15:45        259    +20.98    1.39     119    +38.35     1.57
  all hours     16:00        259    +20.98    1.39     119    +38.35     1.57
  09:30-11:00   none          64     -1.66    0.98      18    -56.91     0.46
  09:30-11:00   12:00         70     -3.89    0.81      19     -2.74     0.93
  09:30-11:00   15:45         70     +3.39    1.08      19    -31.45     0.62
  09:30-11:00   16:00         70     +3.39    1.08      19    -31.45     0.62
  09:30-12:00   none          85    -16.06    0.81      32     -5.54     0.93
  09:30-12:00   12:00         70     -3.89    0.81      19     -2.74     0.93
  09:30-12:00   15:45         94     -8.32    0.84      35     +4.28     1.07
  09:30-12:00   16:00         94     -8.32    0.84      35     +4.28     1.07
  08:00-12:00   none         127     +3.07    1.04      58     -4.53     0.95
  08:00-12:00   12:00        129    +15.05    1.55      56    -23.80     0.66
  08:00-12:00   15:45        147    +10.51    1.21      68     +2.37     1.03
  08:00-12:00   16:00        147    +10.51    1.21      68     +2.37     1.03
  09:30-16:00   none         130    +17.04    1.24      61     +1.31     1.02
  09:30-16:00   16:00        139     +5.25    1.12      62     +9.40     1.19
  10:00-16:00   none         130    +17.04    1.24      61     +1.31     1.02
  10:00-16:00   16:00        139     +5.25    1.12      62     +9.40     1.19
========================================================================================================
  A + MACD 12/26/9 macd>0 at the PRIOR bar: EMA 21/62 cross w40, don 10/10, 3.0N, adx>=20

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal       83    +41.28    1.90      50     +6.81     1.08
  osc>=0      signal       70    +48.55    2.13      38    +10.57     1.15
  osc>=0      prior        66    +55.86    2.40      35    +14.09     1.21
  osc>=50     signal       52    +62.52    2.61      32    +18.84     1.29
  osc>=50     prior        44    +75.81    2.97      31     +6.23     1.08
  osc>=-50    signal       76    +47.87    2.12      45     +4.01     1.05
  osc>=-50    prior        73    +51.56    2.24      44     +1.64     1.02
  up>=70      signal       63    +55.15    2.36      37    +14.02     1.20
  up>=70      prior        51    +68.55    2.87      33    +15.25     1.22

  --- NQ: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none          83    +41.28    1.90      50     +6.81     1.08
  all hours     12:00         89     -0.57    0.99      36     -5.02     0.93
  all hours     15:45        103    +17.78    1.40      52     +5.39     1.10
  all hours     16:00        103    +17.78    1.40      52     +5.39     1.10
  09:30-11:00   none          20    +39.71    3.10      11    -36.70     0.57
  09:30-11:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-11:00   15:45         22    +40.41    3.27      11    +11.64     1.39
  09:30-11:00   16:00         22    +40.41    3.27      11    +11.64     1.39
  09:30-12:00   none          27    +73.37    5.49      19    -12.53     0.85
  09:30-12:00   12:00         22    +23.74    3.97      11    +12.25     2.38
  09:30-12:00   15:45         30    +46.22    3.94      20     -0.19     1.00
  09:30-12:00   16:00         30    +46.22    3.94      20     -0.19     1.00
  08:00-12:00   none          45    +46.84    1.99      29     +4.92     1.06
  08:00-12:00   12:00         46     -0.30    0.99      24    -14.93     0.73
  08:00-12:00   15:45         53    +24.16    1.60      32    -10.97     0.81
  08:00-12:00   16:00         53    +24.16    1.60      32    -10.97     0.81
  09:30-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  09:30-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94
  10:00-16:00   none          46    +71.64    4.56      34     +6.11     1.07
  10:00-16:00   16:00         47    +39.51    4.35      32     -2.04     0.94

  --- US100L: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal      212    +35.22    2.27     139    +17.36     1.29
  osc>=0      signal      183    +25.88    1.89     111    +21.66     1.40
  osc>=0      prior       171    +29.22    2.05     104    +26.25     1.51
  osc>=50     signal      168    +25.49    1.87      87    +25.51     1.45
  osc>=50     prior       150    +23.31    1.74      78    +22.06     1.38
  osc>=-50    signal      198    +29.92    2.06     126    +23.27     1.41
  osc>=-50    prior       194    +30.81    2.12     118    +26.46     1.47
  up>=70      signal      179    +25.54    1.86     103    +25.84     1.48
  up>=70      prior       162    +23.84    1.76      89    +33.96     1.70

  --- US100L: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none         212    +35.22    2.27     139    +17.36     1.29
  all hours     12:00        216     +8.80    1.41     138     -3.43     0.93
  all hours     15:45        260    +10.83    1.45     164    +11.18     1.22
  all hours     16:00        260    +10.83    1.45     164    +11.18     1.22
  09:30-11:00   none          72    +18.04    1.67      34    +33.63     1.81
  09:30-11:00   12:00         75     +2.23    1.20      37     +7.85     1.49
  09:30-11:00   15:45         75     +5.99    1.37      37    +26.53     1.99
  09:30-11:00   16:00         75     +5.99    1.37      37    +26.53     1.99
  09:30-12:00   none          88    +12.62    1.42      49    +15.21     1.30
  09:30-12:00   12:00         75     +2.23    1.20      37     +7.85     1.49
  09:30-12:00   15:45         91     +6.42    1.45      53    +22.50     1.75
  09:30-12:00   16:00         91     +6.42    1.45      53    +22.50     1.75
  08:00-12:00   none         130    +20.07    1.71      80     +7.21     1.11
  08:00-12:00   12:00        134     +8.20    1.63      82     -6.58     0.85
  08:00-12:00   15:45        145     +7.26    1.38      94     +9.11     1.18
  08:00-12:00   16:00        145     +7.26    1.38      94     +9.11     1.18
  09:30-16:00   none         140    +13.60    1.41      76    +18.36     1.35
  09:30-16:00   16:00        136     +7.22    1.58      77    +19.14     1.79
  10:00-16:00   none         140    +13.60    1.41      76    +18.36     1.35
  10:00-16:00   16:00        136     +7.22    1.58      77    +19.14     1.79

  --- US30L: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 10 the signal-bar reading is binds (aroon len > donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal      208    +53.49    1.94     103    +14.94     1.15
  osc>=0      signal      178    +42.27    1.70      90    +12.75     1.13
  osc>=0      prior       168    +42.48    1.69      84    +13.60     1.14
  osc>=50     signal      158    +36.68    1.56      80    +14.54     1.16
  osc>=50     prior       145    +30.78    1.46      69    +30.15     1.36
  osc>=-50    signal      199    +41.20    1.67     101    +11.70     1.11
  osc>=-50    prior       193    +41.98    1.68      99    +11.69     1.11
  up>=70      signal      174    +41.22    1.67      89     +8.70     1.09
  up>=70      prior       158    +37.45    1.59      74    +22.78     1.25

  --- US30L: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none         208    +53.49    1.94     103    +14.94     1.15
  all hours     12:00        219    +18.50    1.44      92    +27.94     1.48
  all hours     15:45        259    +20.98    1.39     119    +38.35     1.57
  all hours     16:00        259    +20.98    1.39     119    +38.35     1.57
  09:30-11:00   none          64     -1.66    0.98      18    -56.91     0.46
  09:30-11:00   12:00         70     -3.89    0.81      19     -2.74     0.93
  09:30-11:00   15:45         70     +3.39    1.08      19    -31.45     0.62
  09:30-11:00   16:00         70     +3.39    1.08      19    -31.45     0.62
  09:30-12:00   none          85    -16.06    0.81      32     -5.54     0.93
  09:30-12:00   12:00         70     -3.89    0.81      19     -2.74     0.93
  09:30-12:00   15:45         94     -8.32    0.84      35     +4.28     1.07
  09:30-12:00   16:00         94     -8.32    0.84      35     +4.28     1.07
  08:00-12:00   none         127     +3.07    1.04      58     -4.53     0.95
  08:00-12:00   12:00        129    +15.05    1.55      56    -23.80     0.66
  08:00-12:00   15:45        147    +10.51    1.21      68     +2.37     1.03
  08:00-12:00   16:00        147    +10.51    1.21      68     +2.37     1.03
  09:30-16:00   none         130    +17.04    1.24      61     +1.31     1.02
  09:30-16:00   16:00        139     +5.25    1.12      62     +9.40     1.19
  10:00-16:00   none         130    +17.04    1.24      61     +1.31     1.02
  10:00-16:00   16:00        139     +5.25    1.12      62     +9.40     1.19
========================================================================================================
  B + MACD 12/26/9 macd>0 at the SIGNAL bar (inert): EMA 21/62 cross w40, don 55/20, 3.0N, chop<=45

  --- NQ: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 55 the signal-bar reading is IDENTITY (aroon len <= donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal       54    +67.30    2.03      33    -20.02     0.83
  osc>=0      signal       54    +67.30    2.03      33    -20.02     0.83
  osc>=0      prior        52    +74.52    2.19      32    -16.07     0.86
  osc>=50     signal       47    +70.23    2.12      32    -72.07     0.43
  osc>=50     prior        39   +107.75    3.31      29    -71.31     0.46
  osc>=-50    signal       54    +67.30    2.03      33    -20.02     0.83
  osc>=-50    prior        53    +69.42    2.06      33    -20.02     0.83
  up>=70      signal       54    +67.30    2.03      33    -20.02     0.83
  up>=70      prior        45    +98.19    2.94      30    -11.82     0.90

  --- NQ: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none          54    +67.30    2.03      33    -20.02     0.83
  all hours     12:00         47    +16.02    1.46      28     +3.28     1.06
  all hours     15:45         65    +30.79    1.77      35    +12.42     1.28
  all hours     16:00         65    +30.79    1.77      35    +12.42     1.28
  09:30-11:00   none          15    +48.62    1.84       8   -119.53     0.00
  09:30-11:00   12:00         16    +11.25    1.66       9    -20.31     0.36
  09:30-11:00   15:45         16    +27.91    1.84       9    -18.15     0.64
  09:30-11:00   16:00         16    +27.91    1.84       9    -18.15     0.64
  09:30-12:00   none          21    +75.21    2.56      13    -48.56     0.43
  09:30-12:00   12:00         16    +11.25    1.66       9    -20.31     0.36
  09:30-12:00   15:45         22    +30.16    2.26      15     -0.81     0.97
  09:30-12:00   16:00         22    +30.16    2.26      15     -0.81     0.97
  08:00-12:00   none          33    +46.49    1.68      22    -52.36     0.46
  08:00-12:00   12:00         31     +0.35    1.01      19    -25.31     0.58
  08:00-12:00   15:45         37     +5.61    1.11      24     -2.90     0.94
  08:00-12:00   16:00         37     +5.61    1.11      24     -2.90     0.94
  09:30-16:00   none          34    +83.33    2.97      23    -66.99     0.43
  09:30-16:00   16:00         38    +35.97    3.26      21    -18.67     0.57
  10:00-16:00   none          34    +83.33    2.97      23    -66.99     0.43
  10:00-16:00   16:00         38    +35.97    3.26      21    -18.67     0.57

  --- US100L: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 55 the signal-bar reading is IDENTITY (aroon len <= donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal      157    +26.61    1.58      87    +44.71     1.52
  osc>=0      signal      157    +26.61    1.58      87    +44.71     1.52
  osc>=0      prior       154    +25.00    1.54      85    +46.78     1.55
  osc>=50     signal      146    +31.24    1.73      80    +21.13     1.24
  osc>=50     prior       132    +30.31    1.68      71    +26.88     1.32
  osc>=-50    signal      157    +26.61    1.58      87    +44.71     1.52
  osc>=-50    prior       155    +27.46    1.60      86    +43.87     1.50
  up>=70      signal      157    +26.61    1.58      87    +44.71     1.52
  up>=70      prior       147    +28.71    1.64      80    +55.47     1.67

  --- US100L: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none         157    +26.61    1.58      87    +44.71     1.52
  all hours     12:00        146     -3.87    0.87      77    +17.12     1.49
  all hours     15:45        184     +2.43    1.09     101    +28.86     1.74
  all hours     16:00        184     +2.43    1.09     101    +28.86     1.74
  09:30-11:00   none          45    +33.89    1.99      25    -28.64     0.67
  09:30-11:00   12:00         47     +6.04    1.65      25    +10.59     1.78
  09:30-11:00   15:45         47    +15.15    1.99      25    +20.31     1.74
  09:30-11:00   16:00         47    +15.15    1.99      25    +20.31     1.74
  09:30-12:00   none          64    +30.92    1.93      35    -10.35     0.87
  09:30-12:00   12:00         47     +6.04    1.65      25    +10.59     1.78
  09:30-12:00   15:45         66     +8.88    1.55      35    +20.60     1.82
  09:30-12:00   16:00         66     +8.88    1.55      35    +20.60     1.82
  08:00-12:00   none          92    +18.12    1.49      55     -5.63     0.94
  08:00-12:00   12:00         85     +5.46    1.36      52     -2.07     0.94
  08:00-12:00   15:45        100     +5.01    1.23      60     +9.17     1.20
  08:00-12:00   16:00        100     +5.01    1.23      60     +9.17     1.20
  09:30-16:00   none          93    +47.31    2.36      55    +29.53     1.34
  09:30-16:00   16:00        100    +10.10    1.73      57    +21.52     1.92
  10:00-16:00   none          93    +47.31    2.36      55    +29.53     1.34
  10:00-16:00   16:00        100    +10.10    1.73      57    +21.52     1.92

  --- US30L: AROON, length 25, read at the SIGNAL bar vs the PRIOR bar -- at donchian 55 the signal-bar reading is IDENTITY (aroon len <= donchian entry)
  aroon       bar       res n   res pts  res PF  lock n  lock pts  lock PF
  off         signal      162    +48.44    1.52      79    +20.28     1.14
  osc>=0      signal      162    +48.44    1.52      79    +20.28     1.14
  osc>=0      prior       156    +50.22    1.56      74    +16.50     1.12
  osc>=50     signal      147    +44.64    1.49      73    +22.16     1.16
  osc>=50     prior       136    +28.99    1.31      66    +16.30     1.12
  osc>=-50    signal      162    +48.44    1.52      79    +20.28     1.14
  osc>=-50    prior       161    +48.75    1.53      78    +19.20     1.14
  up>=70      signal      162    +48.44    1.52      79    +20.28     1.14
  up>=70      prior       152    +44.54    1.49      71    +15.48     1.11

  --- US30L: SESSION WINDOW (New York) x HARD FLATTEN
  window        flatten    res n   res pts  res PF  lock n  lock pts  lock PF
  all hours     none         162    +48.44    1.52      79    +20.28     1.14
  all hours     12:00        141    +12.13    1.25      69     +8.41     1.12
  all hours     15:45        174    +14.67    1.25      93    +14.97     1.20
  all hours     16:00        174    +14.67    1.25      93    +14.97     1.20
  09:30-11:00   none          41     +1.28    1.01      20   -153.37     0.13
  09:30-11:00   12:00         42     -5.68    0.72      20    -10.68     0.78
  09:30-11:00   15:45         42     +2.05    1.06      20    -36.07     0.53
  09:30-11:00   16:00         42     +2.05    1.06      20    -36.07     0.53
  09:30-12:00   none          56    +33.86    1.37      31    -36.64     0.71
  09:30-12:00   12:00         42     -5.68    0.72      20    -10.68     0.78
  09:30-12:00   15:45         60     -1.19    0.97      33     -0.37     0.99
  09:30-12:00   16:00         60     -1.19    0.97      33     -0.37     0.99
  08:00-12:00   none          86    +18.77    1.20      52    -16.98     0.87
  08:00-12:00   12:00         80     +2.63    1.07      51    -41.73     0.47
  08:00-12:00   15:45         94     -2.21    0.96      61    -14.35     0.81
  08:00-12:00   16:00         94     -2.21    0.96      61    -14.35     0.81
  09:30-16:00   none          89    +17.44    1.18      51     -0.78     0.99
  09:30-16:00   16:00         91     +3.39    1.09      55     -4.91     0.92
  10:00-16:00   none          89    +17.44    1.18      51     -0.78     0.99
  10:00-16:00   16:00         91     +3.39    1.09      55     -4.91     0.92
