feed,block,feat,n,ic_mae,ic_giveback,shuffled_sd
ISO,LOCKED,bar.lower_wick,1924,-0.02233188266376388,0.009668540346543159,0.020714987543234004
ISO,LOCKED,bar.upper_wick,1924,0.0018345621238261764,0.004258904686315915,0.02641931476020819
ISO,LOCKED,loc.chan_pos50,1924,-0.019027329292539898,-0.02321624124253425,0.016121067239361683
ISO,LOCKED,loc.d_ema20,1924,-0.05527748972366757,-0.06125634773855553,0.02223857197610565
ISO,LOCKED,loc.d_ema200,1924,-0.004116104833733539,0.007203405829953636,0.01973127590479295
ISO,LOCKED,loc.d_ema50,1924,-0.017191076411045208,-0.010457045800096617,0.0243805504632485
ISO,LOCKED,loc.excess_hi50,1924,-0.016100824587564056,-0.02178057691363932,0.022416401834267654
ISO,LOCKED,mom.roc16,1924,-0.05117768262854065,-0.04411499941494817,0.01789569233321549
ISO,LOCKED,mom.roc4,1924,-0.03793357378380779,-0.07539664067159467,0.02041350266820392
ISO,LOCKED,mom.roc48,1924,0.02844569353149696,0.036390036011988536,0.02931220381755058
ISO,LOCKED,mom.run_up,1924,-0.04472211011992603,-0.053711317694266514,0.022992102451335893
ISO,LOCKED,sess.d_win_open,1924,-0.18606313701477506,-0.205839828861825,0.019250268078537216
ISO,LOCKED,sess.frac_elapsed,1924,-0.3683978802564321,-0.41747031066836776,0.020771187286295668
ISO,LOCKED,sess.mins_left,1924,0.3683978802564321,0.41747031066836776,0.019525222992670833
ISO,LOCKED,sess.ovn_pos,1924,-0.15914298291833393,-0.1508542520574855,0.028072378493700027
ISO,LOCKED,sess.ovn_width,1924,0.18115780412192267,0.16917277186833699,0.023396605472844566
ISO,LOCKED,vlm.tod_ratio,1924,0.026962580784733667,0.07953724509668197,0.025357433973729925
ISO,LOCKED,vlm.trend,1924,-0.1879360846599536,-0.2028172478447779,0.01946497026728676
ISO,LOCKED,vlm.z20,1924,0.0867192882169481,0.09338441767164656,0.017115550427592927
ISO,LOCKED,vol.atr_pct100,1924,-0.23898455895624862,-0.2686315400689084,0.02776976612813241
ISO,LOCKED,vol.atr_pct500,1924,-0.24975995111790703,-0.27875524502517446,0.01651046080954497
ISO,LOCKED,vol.atr_slope,1924,-0.19197349262871882,-0.2394241935848271,0.02552033093794169
ISO,LOCKED,vol.atr_tod,1924,-0.1187487033352868,-0.14730914009188173,0.019510550532073772
ISO,LOCKED,vol.range_exp,1924,0.04634005956938874,0.027064132512069936,0.025844534310251945
ISO,LOCKED,vol.rv20,1924,-0.19922052564798273,-0.2390315568406501,0.018622048024140594
ISO,LOCKED,vol.rv96,1924,-0.07266602605136145,-0.09213418606075607,0.020051586035197456
ISO,LOCKED,vol.rv_ratio,1924,-0.1967910000359298,-0.21250633348967754,0.01891958779548266
MT,research,bar.body_share,961,0.004638928896935421,-0.023530867848648458,0.03233786358367515
MT,research,bar.close_pos,961,0.012318058939766837,-0.024368404404403344,0.041249910423228134
MT,research,bar.gap_prev,961,-0.011433334346216713,0.007851336466265645,0.030395837405466898
MT,research,bar.lower_wick,961,0.011005998962225792,0.020150425520688638,0.038568589299754666
MT,research,bar.upper_wick,961,-0.01226348775547827,0.02433454632208732,0.03394858917664982
MT,research,loc.chan_pos50,961,-0.03257635086459228,-0.048789448827860425,0.024923472894115357
MT,research,loc.d_ema20,961,-0.05538144604221606,-0.08377756065655358,0.030719464931582563
MT,research,loc.d_ema200,961,0.0010129726701006616,0.0015544514620532157,0.035732921473285995
MT,research,loc.d_ema50,961,-0.007424671329458009,-0.019113587006761284,0.03794528329683758
MT,research,loc.excess_hi50,961,-0.023459272327638607,-0.04066989123958441,0.02983218971229959
MT,research,mom.roc16,961,-0.040235058659876546,-0.047516795639637746,0.031204736548439888
MT,research,mom.roc4,961,-0.0624683877025188,-0.12449994887421456,0.02933882902673194
MT,research,mom.roc48,961,0.04872750361824242,0.02831128782763542,0.03360829339245457
MT,research,mom.run_up,961,-0.029660907405444345,-0.04128642076410185,0.029627633077316678
MT,research,sess.d_win_open,961,-0.19521008791950514,-0.2385111023534443,0.03382783630554498
MT,research,sess.frac_elapsed,961,-0.35777201825632293,-0.4315238619314892,0.02678663807415815
MT,research,sess.mins_left,961,0.35777201825632293,0.4315238619314892,0.030498162627891668
MT,research,sess.ovn_pos,961,-0.1738200148840107,-0.19233547983526234,0.03504518706963578
MT,research,sess.ovn_width,961,0.20266687182660126,0.2274421969570146,0.03423304848921754
MT,research,vol.atr_pct100,961,-0.2494228475746973,-0.30565204672428453,0.029829066755822694
MT,research,vol.atr_pct500,958,-0.29159049962367406,-0.33563069005841517,0.03610005915366258
MT,research,vol.atr_slope,961,-0.211902124649263,-0.2850965909745331,0.030339247191761842
MT,research,vol.atr_tod,944,-0.09455957566207941,-0.15668389303224964,0.02586945118763922
MT,research,vol.range_exp,961,0.013681147929326907,-0.011794850177226424,0.027648332084195763
MT,research,vol.rv20,961,-0.22023097799632652,-0.2734680130194602,0.042710497279447375
MT,research,vol.rv96,961,-0.12050978277565164,-0.14399993979954637,0.024442704259850945
MT,research,vol.rv_ratio,961,-0.17693129774295221,-0.21655560717533776,0.025734940174350025
MT,LOCKED,bar.body_share,538,-0.008312170714969055,-0.06702602311375164,0.04836877257872116
MT,LOCKED,bar.close_pos,538,0.03457689495178705,0.04728396780158086,0.05263894256331411
MT,LOCKED,bar.gap_prev,538,0.03720713515704296,-0.01352464498606566,0.04339149686018942
MT,LOCKED,bar.lower_wick,538,0.009686469301306675,0.0809634930374071,0.0403443480541806
MT,LOCKED,bar.upper_wick,538,-0.03457689495178705,-0.04728396780158086,0.04923111100512518
MT,LOCKED,loc.chan_pos50,538,-0.038742493321392436,-0.10650996402356827,0.04890565081524132
MT,LOCKED,loc.d_ema20,538,-0.09304985179392178,-0.09867685371749349,0.04780015226947816
MT,LOCKED,loc.d_ema200,538,0.058712293797160746,-0.04035493937963656,0.05373772385884916
