feed,side,block,cfg,n,R,pf,win,mean_loss,p95_loss,worst,mean_mae,dd,stop_mult,p_stop,dR,boot_p
MT,L,research,A  baseline,961,0.03284738327529181,1.0253808096769332,0.49011446409989595,-2.5381811425725544,-5.546535173780751,-14.98810375973171,-2.5221353277335115,173.54285382046015,0.0,0.0,0.0,
MT,L,LOCKED,A  baseline,538,0.47426176865172975,1.510114422322829,0.570631970260223,-2.165313631481884,-4.804721980122193,-25.698151319195205,-2.115555096424654,78.59826068330457,0.0,0.0,0.0,
MT,L,research,B  + fixed stop,961,0.08627621817979383,1.0828010084304105,0.40582726326742974,-1.753649328988059,-2.2083029198568513,-2.393747309391267,-0.9820092818347269,137.08887061182963,2.0,0.4339229968782518,0.05342883490450201,0.2795
MT,L,LOCKED,B  + fixed stop,538,0.3458493479414895,1.4053156019707067,0.4758364312267658,-1.6278965659380435,-2.072327756598208,-2.153830476882817,-0.9828593631800948,60.77037205642117,2.0,0.37174721189591076,-0.12841242071024023,0.8795
MT,L,research,C  + adaptive stop,961,0.09042285665927928,1.0986064951492325,0.34443288241415193,-1.3987997269615013,-2.621803039227115,-3.1937473093911577,-0.6506287611943793,98.23184648766005,1.3817196935503762,0.5837669094693028,0.05757547338398746,0.2705
MT,L,LOCKED,C  + adaptive stop,538,0.28440385845220345,1.3561210144964189,0.4256505576208178,-1.3904701768061323,-2.58765623043821,-2.940928120378403,-0.7359331692118798,53.12216368112172,1.5487073657766293,0.4944237918215613,-0.18985791019952622,0.934
MT,L,research,D  + secure winner,961,0.06316018176882952,1.103561093975834,0.5473465140478668,-1.347351382794562,-2.3014009659115957,-3.0575349419782674,-0.5388817544220617,55.39685018915376,1.3817196935503762,0.8886576482830385,0.0303127984935377,0.421
MT,L,LOCKED,D  + secure winner,538,0.07861900727016083,1.1370685224777228,0.5743494423791822,-1.3475243373150287,-2.406111614711677,-2.940928120378403,-0.6062165570900008,35.02326672187829,1.5487073657766293,0.8271375464684015,-0.39564276138156884,0.985
MT,L,research,E  + clock tighten,961,0.06862073376008632,1.1125145314437033,0.5473465140478668,-1.347351382794562,-2.3014009659115957,-3.0575349419782674,-0.5388817544220617,53.54129372799449,1.3817196935503762,0.9073881373569199,0.03577335048479448,0.4215
MT,L,LOCKED,E  + clock tighten,538,0.08264245018635735,1.1440832049946548,0.5743494423791822,-1.3475243373150287,-2.406111614711677,-2.940928120378403,-0.6062165570900008,31.131571767046427,1.5487073657766293,0.8475836431226765,-0.39161931846537235,0.979
MT,S,research,A  baseline,821,-0.07383292486634616,0.9438022339581731,0.4531059683313033,-2.4023032971218488,-5.640470743051214,-17.537351189910932,-2.5040615222876497,212.0863385774937,0.0,0.0,0.0,
MT,S,LOCKED,A  baseline,374,-0.09640676105513359,0.9088777155090864,0.45454545454545453,-1.9396542743471588,-4.84526551487948,-16.66862549319611,-1.9304267046463859,84.02349021200749,0.0,0.0,0.0,
MT,S,research,B  + fixed stop,821,-0.11939035696434046,0.8882683286697101,0.34957369062119364,-1.6428384379382721,-2.218919536813738,-2.3003180766820486,-1.022440090946698,231.53008937747163,2.0,0.4238733252131547,-0.04555743209799437,0.643
MT,S,LOCKED,B  + fixed stop,374,-0.09424026575858548,0.8987919202984123,0.393048128342246,-1.5341473083354973,-2.071114930421202,-2.1170784451658697,-1.0618437503982003,67.63655097837949,2.0,0.37967914438502676,0.0021664952965480887,0.481
MT,S,research,C  + adaptive stop,821,-0.11555880627080882,0.8786312504237069,0.2874543239951279,-1.3362368994263893,-2.639239185478247,-3.0982343232987706,-0.6001400471654394,215.74967690196837,1.3116017363484236,0.610231425091352,-0.04172588140446276,0.6075
