n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,stop,tgt,policy,tie
400,2.345,70.70881214734285,0.663283664025778,9.906304581842734,1.0980396255680653,0.34,0.20915999999999998,938.0,0.046900000000000004,1405.289999999999,0.667477887126501,0.2680942412032633,0.005,60.0,0.5475,0.06,0.0,0.3925,0.0,False,50,200,+be1R,0
400,3.4700000000000006,71.98783244444942,0.9640518076933855,10.085495325467365,1.1459059096098174,0.345,0.20915999999999998,1388.0000000000002,0.06940000000000002,1205.289999999999,1.1515900737581837,0.3912958224818707,0.005,60.0,0.5425,0.065,0.0,0.3925,0.0,False,50,200,+be1R,1
438,5.898446801544473,51.913009902445054,2.3779269678559265,6.950359771910781,1.418896386238201,0.3858447488584475,0.20915999999999998,2583.5196990764794,0.11796893603088943,454.5658661439463,5.6834881179977605,0.9574296483367324,0.0045662100456621,15.0,0.8789954337899544,0.02511415525114155,0.0,0.0958904109589041,0.0,False,50,200,+trail1atr,0
438,6.247916094832054,52.92565431564329,2.470620314278428,7.085937404684714,1.4437150256164613,0.3858447488584475,0.20915999999999998,2736.5872495364397,0.12495832189664104,454.5658661439463,6.020221607818328,0.9937318045385033,0.0045662100456621,15.0,0.8744292237442922,0.02968036529680365,0.0,0.0958904109589041,0.0,False,50,200,+trail1atr,1
399,5.336566416040101,91.7375730414077,1.1619866008886306,12.86852971136586,1.1874462452913737,0.39097744360902253,,2129.2900000000004,0.106731328320802,1328.7899999999993,1.6024277726352558,0.47481920449819376,0.0,60.0,0.48872180451127817,0.0,0.0,0.5112781954887218,0.0,False,50,none,flatten,0
399,5.336566416040101,91.7375730414077,1.1619866008886306,12.86852971136586,1.1874462452913737,0.39097744360902253,,2129.2900000000004,0.106731328320802,1328.7899999999993,1.6024277726352558,0.47481920449819376,0.0,60.0,0.48872180451127817,0.0,0.0,0.5112781954887218,0.0,False,50,none,flatten,1
403,4.747220843672457,90.92244852613914,1.0481437191293808,12.690733685852758,1.1679079719710161,0.38461538461538464,,1913.13,0.09494441687344911,1340.789999999999,1.426867742152016,0.4289599755217986,0.0,60.0,0.46153846153846156,0.0,0.05459057071960298,0.4838709677419355,0.0,False,50,none,+chan10,0
403,4.747220843672457,90.92244852613914,1.0481437191293808,12.690733685852758,1.1679079719710161,0.38461538461538464,,1913.13,0.09494441687344911,1340.789999999999,1.426867742152016,0.4289599755217986,0.0,60.0,0.46153846153846156,0.0,0.05459057071960298,0.4838709677419355,0.0,False,50,none,+chan10,1
400,1.9450000000000016,79.12912435255433,0.49160154770175113,11.085990321792861,1.0811804344718419,0.3225,,778.0000000000007,0.038900000000000004,1605.289999999997,0.48464763376087944,0.1998323938018977,0.0,60.0,0.565,0.0,0.0,0.435,0.0,False,50,none,+be1R,0
400,1.9450000000000016,79.12912435255433,0.49160154770175113,11.085990321792861,1.0811804344718419,0.3225,,778.0000000000007,0.038900000000000004,1605.289999999997,0.48464763376087944,0.1998323938018977,0.0,60.0,0.565,0.0,0.0,0.435,0.0,False,50,none,+be1R,1
438,6.101151150453881,53.576352931194066,2.383283426002339,7.173056018875281,1.4332920605724482,0.3858447488584475,,2672.3042038988,0.12202302300907758,454.5658661439463,5.878805257789787,0.9587853923491055,0.0,15.0,0.9018264840182648,0.0,0.0,0.09817351598173515,0.0,False,50,none,+trail1atr,0
438,6.101151150453881,53.576352931194066,2.383283426002339,7.173056018875281,1.4332920605724482,0.3858447488584475,,2672.3042038988,0.12202302300907758,454.5658661439463,5.878805257789787,0.9587853923491055,0.0,15.0,0.9018264840182648,0.0,0.0,0.09817351598173515,0.0,False,50,none,+trail1atr,1
389,3.0313367609254454,71.32922133855918,0.8381881251787745,10.133531302774639,1.103109757910366,0.5012853470437018,0.4416571428571429,1179.1899999999982,0.04041782347900593,1285.1000000000001,0.9175861800638068,0.3397110030459389,0.012853470437017995,60.0,0.3213367609254499,0.2570694087403599,0.0,0.42159383033419023,0.0,False,75,100,flatten,0
389,5.280694087403594,71.5203688439073,1.4562504229506388,10.160687062960198,1.1859027440290828,0.5141388174807198,0.4416571428571429,2054.1899999999982,0.07040925449871457,1171.3600000000001,1.7536794836770917,0.5893010639574349,0.012853470437017995,60.0,0.30848329048843187,0.2699228791773779,0.0,0.42159383033419023,0.0,False,75,100,flatten,1
393,2.5547837150127175,70.53873468771188,0.717997197759398,9.970100150536327,1.087045215343775,0.4860050890585242,0.4416571428571429,1004.029999999998,0.03406378286683625,1233.1000000000004,0.8142324223501726,0.2914283843636727,0.01272264631043257,60.0,0.2875318066157761,0.2544529262086514,0.08651399491094147,0.37150127226463103,0.0,False,75,100,+chan10,0
393,4.781246819338417,70.74544777107026,1.3397968088732075,9.999317433106443,1.168551138172949,0.49872773536895676,0.4416571428571429,1879.029999999998,0.06374995759117891,1119.3600000000004,1.6786645940537426,0.5430502769835673,0.01272264631043257,60.0,0.2748091603053435,0.26717557251908397,0.08651399491094147,0.37150127226463103,0.0,False,75,100,+chan10,1
389,2.183007712082258,69.70628672303422,0.6176722954517839,9.902965786704884,1.0766129323286562,0.4755784061696658,0.4416571428571429,849.1899999999983,0.029106769494430088,1363.9300000000005,0.6226052656661251,0.25035310424574614,0.02056555269922879,60.0,0.34704370179948585,0.2416452442159383,0.0,0.41131105398457585,0.0,False,75,100,+be1R,0
389,5.203573264781486,70.4018881895399,1.4577806027379256,10.00178782769751,1.1893387236176016,0.4961439588688946,0.4416571428571429,2024.1899999999982,0.06938097686375314,1233.3600000000001,1.6411996497373014,0.5896016750305251,0.02056555269922879,60.0,0.3264781491002571,0.2622107969151671,0.0,0.41131105398457585,0.0,False,75,100,+be1R,1
438,4.558435808625848,45.91219222419383,2.077901079524782,6.1469418643792055,1.3199983945905562,0.3972602739726027,0.4416571428571429,1996.5948841781214,0.060779144115011285,433.7707557503346,4.602880341078829,0.8364620924383867,0.0319634703196347,15.0,0.7831050228310502,0.1324200913242009,0.0,0.08447488584474885,0.0,False,75,100,+trail1atr,0
438,7.405858999440785,47.757509351306496,3.2454193790503325,6.394001665974292,1.5462511808412667,0.408675799086758,0.4416571428571429,3243.7662417550637,0.09874478665921048,317.05946464069257,10.230781930547506,1.3062626134166861,0.0319634703196347,15.0,0.7511415525114156,0.1643835616438356,0.0,0.08447488584474885,0.0,True,75,100,+trail1atr,1
