n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,p_pf,excess_total,feed,block,arm,cell
76,6.382368421052614,87.81415314732844,0.6336131015495642,28.22447369231127,1.1840283178857187,0.32894736842105265,0.26145,485.05999999999864,0.1276473684210523,418.32000000000005,1.1595429336393157,0.5820962080804715,0.0,15.0,0.6578947368421053,0.2631578947368421,0.0,0.07894736842105263,0.0,False,1.6496390374332228,1.0465590934140727,1.1313535235007088,4.732729383619391,0.315,0.32,359.68743315507373,US30I,C_forward,+adx<=20,D0 50/150 flat
76,1.5336842105262967,112.14340922042159,0.11922545482540406,36.04417499759468,1.0397526712662806,0.25,,116.55999999999855,0.03067368421052593,804.4699999999957,0.14489042475169886,0.11054437491188682,0.0,22.5,0.7236842105263158,0.0,0.0,0.27631578947368424,0.0,False,2.2905258467024447,1.059241144192686,0.9816014766483994,-0.7568416361761481,0.525,0.525,-57.51996434938725,US30I,C_forward,+adx<=20,D1 50/none flat
73,-9.73383561643848,129.97855163481285,-0.6398434735356812,42.62637430143243,0.8255679223884389,0.3424657534246575,,-710.570000000009,-0.09733835616438478,1289.1000000000013,-0.5512140252889678,-0.591395171507207,0.0,75.0,0.4931506849315068,0.0,0.0,0.5068493150684932,0.0,False,1.8217741935481981,1.0324526230266666,0.7996182139266218,-11.555609809986677,0.75,0.7725,-843.5595161290274,US30I,C_forward,+adx<=20,D2 100/none flat
80,-3.8561979846336194,68.70822534702526,-0.5019906006762718,21.524440374754093,0.8636740939387754,0.35,0.40916,-308.49583877068955,-0.038561979846336206,721.9597774051526,-0.42730336013936476,-0.4629880414979624,0.05,15.0,0.85,0.0875,0.0,0.0625,0.0,False,2.804210718421335,1.1179887940761821,0.7725248218184938,-6.660408703054955,0.8125,0.805,-532.8326962443964,US30I,C_forward,+adx<=20,D3 100/150 trail1
80,0.2898331841307119,64.22052192898812,0.040366330411833615,20.11856350698104,1.0123657250555769,0.3875,,23.18665473045695,0.0019322212275380835,647.0570795613156,0.035834017527753156,0.03732926034284448,0.0,15.0,0.9375,0.0,0.0,0.0625,0.0,False,7.072095096371861,1.3131826423584454,0.7709253019346887,-6.7822619122411485,0.805,0.805,-542.5809529792919,US30I,C_forward,+adx<=20,D4 150/none trail1
173,6.786878612716656,87.00054154851668,1.0260562668366573,18.533909384386078,1.1963940425930477,0.32947976878612717,0.26145,1174.1299999999815,0.13573757225433314,830.1900000000087,1.4142907045374784,0.962458343063359,0.005780346820809248,15.0,0.6416184971098265,0.24855491329479767,0.0,0.10982658959537572,0.0,False,2.0803994635501395,1.0597599910122548,1.1289292412806446,4.706479149166516,0.2475,0.255,814.2208928058074,US30I,C_forward,+ema align,D0 50/150 flat
145,17.398275862068736,146.6932023833377,1.4281710460826122,34.13454508774341,1.4669122069941911,0.27586206896551724,,2522.749999999967,0.3479655172413748,922.9100000000044,2.7334734697857375,1.32827066437231,0.0,30.0,0.696551724137931,0.0,0.0,0.30344827586206896,0.0,False,3.5908917621967733,1.0947675921604434,1.3399302440980625,13.807384099871964,0.105,0.105,2002.0706944814347,US30I,C_forward,+ema align,D1 50/none flat
129,15.575891472867966,169.8676090629681,1.0414470488692193,41.90673731743094,1.28721663071616,0.40310077519379844,,2009.2899999999677,0.15575891472867964,1319.3499999999958,1.5229393261833282,0.9785831495542298,0.0,75.0,0.49612403100775193,0.0,0.0,0.5038759689922481,0.0,False,0.9787544931703989,1.0168373370552362,1.2659022085518055,14.597136979697567,0.1425,0.1425,1883.030670380986,US30I,C_forward,+ema align,D2 100/none flat
183,4.049542684178825,74.0437653049147,0.7398488963580739,15.336670307848115,1.1495521429719562,0.40437158469945356,0.40916,741.066311204725,0.040495426841788286,696.029005334558,1.064706076219509,0.659998530303176,0.0273224043715847,15.0,0.7978142076502732,0.12568306010928962,0.0,0.07650273224043716,0.0,False,2.9864717012518245,1.123541995439779,1.0231501338069666,1.0630709829270009,0.405,0.4575,194.54198987564115,US30I,C_forward,+ema align,D3 100/150 trail1
177,11.634528358705149,84.26675410494285,1.8368730829694369,17.74752363859112,1.4881484282096218,0.4180790960451977,,2059.3115194908114,0.07756352239136766,549.0390923322639,3.7507557262326428,1.6689138267154355,0.0,15.0,0.8813559322033898,0.0,0.0,0.11864406779661017,0.0,False,7.83503697780815,1.3316789424981001,1.1174979048763811,3.799491380896999,0.275,0.33,672.5099744187688,US30I,C_forward,+ema align,D4 150/none trail1
183,6.5460655737704165,86.6029211105191,1.022523635183757,17.93804573955737,1.1898107802344386,0.3333333333333333,0.26145,1197.9299999999862,0.1309213114754083,982.4100000000026,1.2193788744006913,0.9546238089067718,0.00546448087431694,15.0,0.639344262295082,0.2459016393442623,0.0,0.11475409836065574,0.0,False,1.305877856320995,1.0369980759817652,1.1473606439510506,5.240187717449421,0.2325,0.245,958.9543522932441,US30I,C_forward,ema34>89,D0 50/150 flat
154,16.27428571428554,144.03740149655084,1.4021259231112337,32.52243455441091,1.4369476567308028,0.2792207792207792,,2506.2399999999734,0.32548571428571066,879.7000000000044,2.848971240195477,1.2982573527717722,0.0,30.0,0.6948051948051948,0.0,0.0,0.3051948051948052,0.0,False,3.182348484848524,1.0838472799763292,1.3257842532595414,13.091937229437015,0.09,0.095,2016.1583333333003,US30I,C_forward,ema34>89,D1 50/none flat
138,13.504202898550501,166.1801861616409,0.9546172033098521,39.63764364453497,1.2507484455878326,0.39855072463768115,,1863.5799999999692,0.135042028985505,1462.3199999999906,1.2743995842223188,0.897616952482984,0.0,60.0,0.4927536231884058,0.0,0.0,0.5072463768115942,0.0,False,1.8343042149290045,1.0326579971799243,1.2111932982686324,11.669898683621497,0.21,0.2075,1610.4460183397666,US30I,C_forward,ema34>89,D2 100/none flat
193,3.7034684201490884,73.53849906020308,0.6996366291280582,14.832154408768622,1.1375259579107644,0.39896373056994816,0.40916,714.7694050887741,0.03703468420149088,692.313993542065,1.032435299237303,0.631635475378487,0.03626943005181347,15.0,0.7927461139896373,0.12435233160621761,0.0,0.08290155440414508,0.0,False,3.001100719689605,1.1259050954951506,1.0103213516504277,0.7023677004594835,0.445,0.4825,135.55696618868032,US30I,C_forward,ema34>89,D3 100/150 trail1
186,11.245949829731433,82.84190005713089,1.851409818308027,17.020084430418006,1.4799309750388052,0.41397849462365593,,2091.7466683300468,0.07497299886487624,549.0390923322639,3.8098319364555873,1.6778006956104197,0.0,15.0,0.8763440860215054,0.0,0.0,0.12365591397849462,0.0,False,7.287369058032803,1.3154144070228717,1.1250682424775,3.95858077169863,0.2475,0.2825,736.2960235359452,US30I,C_forward,ema34>89,D4 150/none trail1
