n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,stop,tgt,policy,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,excess_total
389,2.9902056555269896,75.9624577918068,0.7763844906567574,10.791761488819871,1.0962419639089531,0.5115681233933161,0.5114500000000001,1163.189999999999,0.029902056555269896,1385.2200000000012,0.8397149911205425,0.31575715483348993,0.005141388174807198,60.0,0.1953727506426735,0.27249357326478146,0.12596401028277635,0.40616966580976865,0.0,False,100,100,+chan10,-2.7803526546863635,0.9063979429717238,1.2094488655995899,5.770558310213353,0.04,2244.7471826729943
383,3.4671801566579616,77.92969743822317,0.8707085424747885,11.157624308293622,1.1098287887346772,0.5326370757180157,0.5114500000000001,1327.9299999999994,0.03467180156657961,1633.2200000000003,0.8130747847809843,0.3528607628498986,0.005221932114882507,75.0,0.2454308093994778,0.27676240208877284,0.0,0.47780678851174935,0.0,False,100,100,+be1R,-2.652014429399016,0.9215947461470437,1.2042481723931182,6.119194586056977,0.07,2343.6515264598224
438,4.307831436923694,47.60222775915275,1.8939498650225024,6.373211830565947,1.2924439780094095,0.4018264840182648,0.5114500000000001,1886.830169372578,0.043078314369236925,522.3859900252626,3.611946348869982,0.7630787883441439,0.02968036529680365,15.0,0.7808219178082192,0.13470319634703196,0.0,0.08447488584474885,0.0,False,100,100,+trail1atr,-0.28828847479226083,0.9822766615481581,1.315763703448272,4.596119911715955,0.02,2013.1005213315882
378,5.564497354497354,88.91952367503711,1.2166753592810053,12.815022075005711,1.1648720571578621,0.5105820105820106,0.40916,2103.38,0.055644973544973546,1741.6299999999997,1.2077077220764458,0.48906893097512993,0.0,75.0,0.2671957671957672,0.164021164021164,0.0,0.5687830687830688,0.0,False,100,150,flatten,-2.0267680691182357,0.9450321654664453,1.2326268879778384,7.5912654236155905,0.05,2869.4983301266934
384,4.970416666666667,87.0111477857316,1.1193953834366086,12.44163385527192,1.1496639179978732,0.4895833333333333,0.40916,1908.64,0.04970416666666666,1605.6299999999992,1.1887172013477583,0.4511460949570465,0.0,75.0,0.21614583333333334,0.16145833333333334,0.1328125,0.4895833333333333,0.0,False,100,150,+chan10,-1.685725568594405,0.9480371489666222,1.2126781310743233,6.656142235261072,0.06,2555.9586183402516
379,5.41184696569921,86.5965117261691,1.2166473488506357,12.463755592131593,1.1696078682690088,0.48021108179419525,0.40916,2051.0900000000006,0.05411846965699208,1587.6299999999994,1.2919194018757527,0.48968631439159976,0.0,75.0,0.29815303430079154,0.158311345646438,0.0,0.5435356200527705,0.0,False,100,150,+be1R,-2.0115791063942297,0.9434075131360278,1.239769507856745,7.42342607209344,0.04,2813.4784813234137
436,6.2415271024340155,54.28074761162767,2.4009785752886192,7.2840129108264975,1.421781202846248,0.39908256880733944,0.40916,2721.305816661231,0.06241527102434016,470.1823259301167,5.78776714177406,0.9772932355809164,0.013761467889908258,15.0,0.8325688073394495,0.07339449541284404,0.0,0.09403669724770643,0.0,False,100,150,+trail1atr,0.6229832118732466,1.0405519186773646,1.3663721889566647,5.618543890560769,0.015,2449.6851362844955
377,5.280291777188328,95.95716557773324,1.068442574982258,13.847611379514133,1.148819674067517,0.493368700265252,0.3409666666666667,1990.6699999999996,0.05280291777188327,1878.3900000000006,1.0597745942003518,0.4253142592076404,0.002652519893899204,75.0,0.2838196286472148,0.10079575596816977,0.0,0.6153846153846154,0.0,False,100,200,flatten,-1.9478598484848515,0.9475217716210792,1.2124467304873057,7.2281516256731795,0.055,2725.0131628787885
383,4.741331592689295,94.02249402272645,0.986888184528681,13.461718694160036,1.1360086222005181,0.4725848563968668,0.3409666666666667,1815.9299999999998,0.04741331592689293,1695.3899999999994,1.0710986852582594,0.3936104453298115,0.0026109660574412533,75.0,0.2297650130548303,0.09921671018276762,0.13577023498694518,0.5352480417754569,0.0,False,100,200,+chan10,-2.3187878787878797,0.9318557790903884,1.2190820164354288,7.060119471477174,0.06,2704.025757575758
378,5.3898941798941795,91.67787955656901,1.1430403955906827,13.212554473421793,1.1684477012458834,0.4523809523809524,0.3409666666666667,2037.3799999999999,0.05389894179894179,1549.6299999999997,1.3147525538354319,0.4567492675510971,0.0026455026455026454,75.0,0.328042328042328,0.09523809523809523,0.0,0.5767195767195767,0.0,False,100,200,+be1R,-1.4639130434782628,0.9571249138938813,1.2207891407739826,6.853807223372442,0.08,2590.739130434783
436,6.538521093324076,56.243715965913914,2.427441471706858,7.54742650524615,1.441851048039561,0.39908256880733944,0.3409666666666667,2850.795196689297,0.06538521093324073,479.69353401463786,5.942951060504194,0.9773290329869276,0.0045871559633027525,15.0,0.8715596330275229,0.02981651376146789,0.0,0.09862385321100918,0.0,False,100,200,+trail1atr,0.8553362721478678,1.0566197274423925,1.3645884234337007,5.683184821176208,0.01,2477.8685820328265
377,8.240503978779842,129.02541704084695,1.2400784974027612,18.619702056685064,1.2220615533951429,0.47745358090185674,,3106.67,0.0824050397877984,2003.6299999999987,1.550520804739399,0.4930826740622435,0.0,90.0,0.29973474801061006,0.0,0.0,0.7002652519893899,0.0,False,100,none,flatten,-1.750045529961032,0.9518411249350587,1.2838923654181473,9.990549508740873,0.03,3766.437164795309
383,7.420182767624021,127.00423407097905,1.143393686539219,18.18389620272698,1.203499096332916,0.45691906005221933,,2841.93,0.07420182767624019,1867.629999999999,1.5216772058705426,0.4551827350708906,0.0,75.0,0.2454308093994778,0.0,0.13838120104438642,0.6161879895561357,0.0,False,100,none,+chan10,-2.145654761904762,0.9391284093806267,1.2815064311883044,9.565837529528782,0.05,3663.7157738095234
378,7.162380952380952,119.89437927878413,1.1614606293010006,17.279097476295433,1.223461575286159,0.42857142857142855,,2707.3799999999997,0.0716238095238095,1749.6299999999997,1.547401450592411,0.46300879438354814,0.0,82.5,0.35185185185185186,0.0,0.0,0.6481481481481481,0.0,False,100,none,+be1R,-0.6067589118198904,0.9815492378978036,1.2464597068064178,7.769139864200842,0.06,2936.734868667918
436,7.384030033652995,60.75314606529497,2.537861553358358,8.15255352559185,1.4989876705385832,0.39908256880733944,,3219.437094672706,0.07384030033652994,459.3874006020714,7.008109256921987,1.018988130623571,0.0,15.0,0.8990825688073395,0.0,0.0,0.10091743119266056,0.0,False,100,none,+trail1atr,1.4537075592934237,1.0967114831670406,1.3668022023530428,5.9303224743595715,0.01,2585.620598820773
