n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,p_pf,excess_total,stop,tgt,policy,arm
672,2.808214285714287,66.86703577777784,1.0886864296937881,7.227624239593595,1.1075159525979947,0.40476190476190477,0.26145,1887.1200000000008,0.05616428571428572,1177.85,1.602173451627967,0.43523401075896495,0.005952380952380952,60.0,0.44047619047619047,0.09970238095238096,0.043154761904761904,0.4166666666666667,0.0,False,-1.583704429363342,0.942200486451547,1.1754567828435833,4.391918715077629,0.013333333333333334,0.013333333333333334,2951.3693765321664,50,150,+chan10,+ema align
681,2.1652129221732763,61.93135293582686,0.9123544584784414,6.649747312078137,1.096164469148991,0.3406754772393539,0.26145,1474.5100000000011,0.04330425844346551,908.0099999999998,1.6238918073589514,0.3695174699592633,0.010279001468428781,45.0,0.5491923641703378,0.08516886930983847,0.0,0.3656387665198238,0.0,False,-1.4747024969831974,0.9360529871699586,1.1710495924628261,3.6399154191564738,0.08666666666666667,0.07333333333333333,2478.782400445559,50,150,+be1R,+ema align
838,2.107299086619788,43.09077173574101,1.4156761517192835,4.170905919081617,1.1532954857707374,0.38066825775656327,0.26145,1765.9166345873825,0.04214598173239576,702.1357535115753,2.515064395674974,0.569317116006491,0.011933174224343675,15.0,0.8365155131264916,0.03699284009546539,0.0,0.12649164677804295,0.0,False,-0.8075862230742826,0.9484453493963154,1.215985176694481,2.914885309694071,0.03333333333333333,0.03333333333333333,2442.6738895236313,50,150,+trail1atr,+ema align
654,4.031100917431193,72.47195759944725,1.4224681542233726,7.940525583723195,1.1505427920944393,0.40825688073394495,0.20915999999999998,2636.34,0.08062201834862384,822.9799999999989,3.203407130185428,0.5658593311783305,0.0030581039755351682,60.0,0.47553516819571867,0.05198776758409786,0.0,0.4724770642201835,0.0,False,-1.9968389384885037,0.9298726970294073,1.2373121565672267,6.027939855919696,0.013333333333333334,0.013333333333333334,3942.272665771481,50,200,flatten,+ema align
658,4.0382674772036475,71.97474500233099,1.4392223453344994,7.862041266802852,1.1527267669295664,0.4012158054711246,0.20915999999999998,2657.1800000000003,0.08076534954407295,821.5599999999993,3.2343103364331305,0.5729736909937131,0.00303951367781155,60.0,0.44680851063829785,0.05167173252279635,0.044072948328267476,0.4574468085106383,0.0,False,-1.570908485552754,0.9437110863492124,1.2214827012247365,5.609175962756401,0.02,0.02,3690.837783493712,50,200,+chan10,+ema align
668,3.010898203592816,65.73768369560024,1.1837770237981675,7.126795500218704,1.1337905481588892,0.3338323353293413,0.20915999999999998,2011.280000000001,0.06021796407185629,845.3000000000004,2.3793682716195437,0.4722967866274367,0.004491017964071856,45.0,0.5583832335329342,0.038922155688622756,0.0,0.4026946107784431,0.0,False,-2.321109596647987,0.905061067984143,1.2527227037664974,5.3320078002408025,0.04666666666666667,0.04666666666666667,3561.781210560856,50,200,+be1R,+ema align
829,2.5776382868760015,44.836295244401846,1.6552725722095556,4.363355377891316,1.1893105746944441,0.38118214716525933,0.20915999999999998,2136.8621398202054,0.05155276573752002,814.2985238990887,2.624175381760872,0.6543325491261895,0.007237635705669481,15.0,0.856453558504222,0.015681544028950542,0.0,0.1278648974668275,0.0,False,-0.1126710810957711,0.9924841611808404,1.1983169316066697,2.6903093679717727,0.04,0.02,2230.2664660485993,50,200,+trail1atr,+ema align
642,4.674174454828662,82.34113599584671,1.4383201917339234,9.105786665374678,1.1723851295263863,0.40031152647975077,,3000.8200000000006,0.09348348909657321,1117.7299999999987,2.6847449741887615,0.5745984701237719,0.0,60.0,0.48130841121495327,0.0,0.0,0.5186915887850467,0.0,False,-1.8155058486545976,0.9390843823589221,1.2484342744380723,6.48968030348326,0.05333333333333334,0.04666666666666667,4166.374754836253,50,none,flatten,+ema align
646,4.67749226006192,81.83778924072922,1.4526983647714142,9.022061035193508,1.1747262583787834,0.3931888544891641,,3021.6600000000003,0.0935498452012384,1117.7299999999987,2.703389906328008,0.5807190735699436,0.0,60.0,0.4520123839009288,0.0,0.04489164086687306,0.5030959752321982,0.0,False,-2.068226362058037,0.9277821423772215,1.266166058519758,6.745718622119957,0.04,0.04,4357.734229889493,50,none,+chan10,+ema align
659,3.4763125948406683,72.54098529331283,1.2302066747985632,7.91787923955014,1.155517434266799,0.3262518968133536,,2290.8900000000003,0.06952625189681336,1121.7299999999987,2.042282902302696,0.48523207282955794,0.0,60.0,0.5644916540212443,0.0,0.0,0.4355083459787557,0.0,False,-1.1041680379186682,0.9550078313066235,1.2099559777283106,4.580480632759336,0.09333333333333334,0.09333333333333334,3018.5367369884025,50,none,+be1R,+ema align
