ent,ex,side,entry,exit,pnl,ret,hold_h
39444,39494,1.0,15051.7,15130.117,1.7815982805434198,0.0052098434063925225,50
39498,39537,-1.0,14814.5,15055.300000000001,-7.340725826856715,-0.01625434540483983,39
39566,39666,1.0,15371.4,15439.5,1.432602875650706,0.004430305632538323,100
39954,40065,-1.0,14690.6,14756.9,-2.312770840738656,-0.004513090003131159,111
40228,40317,1.0,15061.2,15079.2,0.08112155780370439,0.0011951238945104858,89
40415,40569,-1.0,14741.0,14408.689999999999,8.99043445454123,0.0225432467268164,154
40623,40758,1.0,14693.9,15092.788999999999,11.1350747384639,0.027146571026072097,135
40839,41008,1.0,15899.7,15933.7,0.4972746453174355,0.0021384051271406967,169
41595,41666,-1.0,16451.2,16482.4,-1.2682931079696083,-0.0018965181871231085,71
41707,41737,1.0,16756.2,16635.0,-3.5918311314840965,-0.00723314355283422,30
41866,41970,1.0,17127.9,17449.779,7.697752833297704,0.018792671605976086,104
42104,42254,1.0,17674.6,17929.146,5.901156623042516,0.014401796928926291,150
42265,42289,-1.0,17514.9,17805.5,-7.857708236853233,-0.01659158773387226,24
42414,42504,1.0,17860.7,17862.5,-0.3944253692143714,0.00010077992463886076,90
42866,42896,1.0,18381.8,18293.0,-2.554093859207841,-0.0048308653124286005,30
43255,43381,-1.0,17683.2,17350.318,7.76958966736894,0.018824760224393833,126
43385,43412,1.0,17503.7,17341.4,-4.552970705973481,-0.009272325279797933,27
43451,43498,1.0,17730.7,17653.8,-2.341367404456065,-0.004337110209974848,47
43573,43633,1.0,17936.5,17998.6,1.0740811421630128,0.0034622139213336123,60
43758,43892,1.0,18638.9,18566.1,-2.1459609436283418,-0.0039058098922147844,134
44212,44342,1.0,19578.2,19894.532,6.596917506320503,0.01615735869487489,130
44775,44838,-1.0,19819.1,19813.7,-0.321552481913071,0.00027246444086759247,63
44889,44998,-1.0,19101.5,18970.585000000003,2.587282725344999,0.006853650236892217,109
44999,45024,1.0,19268.9,19039.7,-5.72682599348787,-0.011894814960895617,25
45034,45114,-1.0,18642.7,18324.300000000003,7.055971611066201,0.017079071164584403,80
45114,45121,1.0,18422.3,17795.8,-15.593693027896023,-0.034007697193075836,7
45121,45144,-1.0,17795.8,18448.5,-16.21129885850449,-0.03667719349509446,23
45144,45369,1.0,18448.5,19227.984999999997,17.063275155906368,0.042251944602542,225
45557,45658,-1.0,18812.0,18585.98,4.748930307831932,0.012014671486285322,101
45695,45979,1.0,19290.7,19805.757,11.190534964049306,0.02669975687766657,284
46596,46699,1.0,20550.5,20972.455,8.723557108226029,0.020532590447920995,103
46769,46815,-1.0,20351.9,20717.6,-8.645800575513523,-0.017968838290282285,46
47321,47337,-1.0,21069.7,21544.6,-10.525489925265141,-0.022539476119735724,16
47380,47424,1.0,21627.1,21500.5,-2.9897243708356416,-0.005853766801836469,44
47539,47563,1.0,21645.5,21380.4,-5.738917724950845,-0.012247349333579627,24
47698,47858,1.0,21276.0,21626.56,6.615493031572618,0.016476781349877845,160
47911,47973,1.0,21552.9,21014.1,-11.28564402864225,-0.024998956056957677,62
48196,48283,1.0,22086.4,21946.7,-3.0972325376976952,-0.006325159374094502,87
48335,48441,-1.0,21369.9,20972.751,7.387750917882949,0.01858450437297321,106
48467,48604,-1.0,20195.9,19749.040999999997,9.03184273708646,0.022126223639451714,137
48632,48653,-1.0,19172.7,19665.6,-11.659195256251751,-0.025708429172729863,21
48673,48697,1.0,19751.0,19465.5,-6.560143674078215,-0.014454964305604778,24
48787,48837,1.0,20060.0,20004.6,-1.5722213342562879,-0.00276171485543375,50
48882,48923,-1.0,19423.1,19175.218999999997,4.902010898491643,0.012762174936029824,41
48935,48957,1.0,19472.1,18854.0,-13.792348369471048,-0.03174285259422449,22
48957,49069,-1.0,18854.0,18603.760000000002,5.005525734208273,0.01327251511615557,112
49069,49167,1.0,18730.6,18825.906,1.685966247396173,0.005088251310689573,98
49167,49249,-1.0,18546.6,18163.434,8.149970220826333,0.020659635728381365,82
49257,49386,1.0,18660.0,19111.899999999998,9.803979595206723,0.0242175777063236,129
49394,49467,1.0,19734.9,20001.099,5.39583975293515,0.013488743292339844,73
49556,49635,1.0,20333.9,20940.589,12.614716683635312,0.02983633243007966,79
49822,49892,1.0,21350.2,21420.852,1.039086594158407,0.0033091961667806036,70
50264,50392,1.0,22067.8,22502.128,8.427266843374374,0.01968152693064118,128
50910,50939,-1.0,22939.0,23165.3,-4.997767834179162,-0.009865294912594136,29
