,rule (all on),no fresh-cross gate,no breakeven ratchet,no opposite-cross exit,no 10:00 entry cutoff,no 10:30 flatten,long only,short only,market 09:26-10:30
20668,0.1838551437479655,0.1838551437479655,0.1838551437479655,0.1838551437479655,0.1838551437479655,0.1838551437479655,0.0,0.1838551437479655,-0.014487000269038815
20669,0.0,-0.06675021824620106,0.0,0.0,0.0,0.0,0.0,0.0,-0.33501551787430034
20670,-0.03884199657808021,0.14072576171941675,-0.03884199657808021,-0.03884199657808021,-0.03884199657808021,-0.03884199657808021,0.0,-0.03884199657808021,0.6278894782060039
20671,0.0,-0.09503288584920093,0.0,0.0,0.0,0.0,0.0,0.0,-0.37750253717674553
20672,0.0,-0.04669379353796913,0.0,0.0,0.0,0.0,0.0,0.0,0.21914184571894574
20675,0.0,-0.09907056862937826,0.0,0.0,0.0,0.0,0.0,0.0,0.1638349627150272
20676,0.0,-0.09747976958567843,0.0,0.0,0.0,0.0,0.0,0.0,-0.010543372103355318
20677,0.0,0.0013158309286986432,0.0,0.0,0.0,0.0,0.0,0.0,-0.20141453408761137
20678,0.0013157285151725736,0.0013157285151725736,-0.035167488394685774,0.0013157285151725736,0.0013157285151725736,0.0013157285151725736,0.0,0.0013157285151725736,0.13769331270096258
20679,-0.03928772278078711,-0.03796643119034284,-0.03928772278078711,-0.03928772278078711,-0.03928772278078711,-0.03928772278078711,-0.03928772278078711,0.0,0.06935792781569555
20682,0.0,-0.03263126696950327,0.0,0.0,0.0,0.0,0.0,0.0,0.02296837273746708
20683,-0.11855389655137452,-0.16204915510402523,-0.11855389655137452,-0.11855389655137452,-0.11855389655137452,-0.11855389655137452,-0.11855389655137452,0.0,-0.0050559052036581635
20684,0.00132491360070463,-0.0467567168172611,0.1823342365138724,0.00132491360070463,0.00132491360070463,0.00132491360070463,0.0,0.00132491360070463,0.0378709440312275
20685,-0.055138414314589185,-0.10083232551608265,-0.055138414314589185,-0.055138414314589185,-0.055138414314589185,-0.055138414314589185,-0.055138414314589185,0.0,0.14952277158274593
20686,0.0,-0.1193689647907134,0.0,0.0,0.0,0.0,0.0,0.0,0.1721118481947025
20689,0.1834016874231603,0.15308297954815026,0.1834016874231603,0.1834016874231603,0.1834016874231603,0.1834016874231603,0.1834016874231603,0.0,0.3801974094705482
20690,0.18232334918158816,-0.03641430462372979,0.18232334918158816,0.18232334918158816,0.18232334918158816,0.18232334918158816,0.0,0.18232334918158816,-0.3311881584857495
20691,0.0,-0.04339205636981413,0.0,0.0,0.0,0.0,0.0,0.0,-0.25135708567599957
20692,0.0,0.001329842029751001,0.0,0.0,0.0,0.0,0.0,0.0,0.16538429841844593
20693,-0.05101101292736693,-0.07916152992398998,-0.05101101292736693,-0.05101101292736693,-0.05101101292736693,-0.05101101292736693,-0.05101101292736693,0.0,-0.2268444391424965
20696,0.1833373361953797,-0.046798716827508365,0.1833373361953797,0.1833373361953797,0.1833373361953797,0.1833373361953797,0.0,0.1833373361953797,-0.5145360652882102
20697,0.0,-0.04157370890797722,0.0,0.0,0.0,0.0,0.0,0.0,0.47715319397611194
20698,0.0,0.1845744077978012,0.0,0.0,0.0,0.0,0.0,0.0,0.3860398322058934
20699,0.0,0.0013295332402035872,0.0,0.0,0.0,0.0,0.0,0.0,-0.12302172822121646
20700,0.0,-0.04411409507305067,0.0,0.0,0.0,0.0,0.0,0.0,-0.20690505917448127
20703,0.03900291156452336,0.01073048942697083,0.03900291156452336,0.03900291156452336,0.03900291156452336,0.1840161510849627,0.0,0.03900291156452336,-0.11610992241148145
20704,0.18433310128982233,0.14656795781864465,0.18433310128982233,0.18433310128982233,0.18433310128982233,0.18433310128982233,0.0,0.18433310128982233,-0.6704325486803474
20705,0.0,-0.10475831132016686,0.0,0.0,0.0,0.0,0.0,0.0,-0.12125111353062892
20706,0.0,0.18712905987325554,0.0,0.0,0.0,0.0,0.0,0.0,-0.09901691714563983
20707,0.0013493789055966914,-0.05335958484687756,-0.09958447890722368,0.0013493789055966914,0.0013493789055966914,0.0013493789055966914,0.0013493789055966914,0.0,0.01961325703840373
20710,0.0,0.0013557276629546462,0.0,0.0,0.0,0.0,0.0,0.0,-0.10063897153464763
20711,0.0,-0.05162376595864119,0.0,0.0,0.0,0.0,0.0,0.0,-0.8321317048482073
20712,0.0,0.0013596765884756877,0.0,0.0,0.0,0.0,0.0,0.0,-0.41886681873812176
