geom,side,be_pts,be_off,feed,block,per_pub,per_fix,delta,n,through
1.5N / no target,long,75.0,10.0,US30I,C_forward,-0.0004776112763266691,-0.0047460615412575026,-0.004268450264930833,263,0.053231939163498096
1.5N / no target,long,75.0,25.0,US30L,A_research,-0.001680515469310196,-0.005629640912842367,-0.003949125443532171,1378,0.034107402031930335
1.5N / no target,long,75.0,25.0,US30L,B_holdout,0.002929553849468561,0.0008913087527205517,-0.0020382450967480095,585,0.041025641025641026
1.5N / no target,long,75.0,25.0,US30I,C_forward,0.00890307601191714,0.00273677623980065,-0.006166299772116491,263,0.07604562737642585
1.5N / no target,long,100.0,0.0,US30L,A_research,0.004952255068475431,0.004027347308892684,-0.0009249077595827474,1378,0.007982583454281567
1.5N / no target,long,100.0,0.0,US30L,B_holdout,6.358155159787907e-05,6.476500438875893e-06,-5.710505115900317e-05,585,0.005128205128205128
1.5N / no target,long,100.0,0.0,US30I,C_forward,-0.004820788707808609,-0.0063982575540412175,-0.0015774688462326086,263,0.019011406844106463
1.5N / no target,long,100.0,5.0,US30L,A_research,0.004589228657616639,0.0035101515284061456,-0.0010790771292104933,1378,0.010159651669085631
1.5N / no target,long,100.0,5.0,US30L,B_holdout,-0.0007968399828029497,-0.0009224594637426629,-0.00012561948093971318,585,0.005128205128205128
1.5N / no target,long,100.0,5.0,US30I,C_forward,-0.005181861391130479,-0.00694874288146847,-0.0017668814903379912,263,0.019011406844106463
1.5N / no target,long,100.0,10.0,US30L,A_research,0.004778686024160353,0.003546275845626212,-0.0012324101785341412,1378,0.010159651669085631
1.5N / no target,long,100.0,10.0,US30L,B_holdout,0.0014054320597158088,0.0012112981489953859,-0.00019413391072042288,585,0.005128205128205128
1.5N / no target,long,100.0,10.0,US30I,C_forward,-0.006489534853376412,-0.00844582898781979,-0.0019562941344433782,263,0.019011406844106463
1.5N / no target,long,100.0,25.0,US30L,A_research,0.0006822907226189615,-0.001125637843287932,-0.0018079285659068935,1378,0.013062409288824383
1.5N / no target,long,100.0,25.0,US30L,B_holdout,0.00442405787735968,0.003929119318955675,-0.0004949385584040048,585,0.013675213675213675
1.5N / no target,long,100.0,25.0,US30I,C_forward,0.0009036271510931095,-0.0017901024977365573,-0.002693729648829667,263,0.030418250950570342
1.5N / no target,long,150.0,0.0,US30L,A_research,0.015904186742387513,0.015612375007703383,-0.0002918117346841307,1378,0.002902757619738752
1.5N / no target,long,150.0,0.0,US30L,B_holdout,-0.0022610838117039316,-0.0022610838117039316,0.0,585,0.0
1.5N / no target,long,150.0,0.0,US30I,C_forward,-0.010175999301203205,-0.01045537547020239,-0.00027937616899918576,263,0.0038022813688212928
1.5N / no target,long,150.0,5.0,US30L,A_research,0.015328959523545904,0.014990692238220362,-0.00033826728532554244,1378,0.00362844702467344
1.5N / no target,long,150.0,5.0,US30L,B_holdout,-0.003619219475523029,-0.003619219475523029,0.0,585,0.0
1.5N / no target,long,150.0,5.0,US30I,C_forward,-0.012134867749968692,-0.012449607990993091,-0.0003147402410243992,263,0.0038022813688212928
1.5N / no target,long,150.0,10.0,US30L,A_research,0.014474003448650168,0.014082933500774013,-0.00039106994787615514,1378,0.00362844702467344
1.5N / no target,long,150.0,10.0,US30L,B_holdout,-0.003653029642137072,-0.003653029642137072,0.0,585,0.0
1.5N / no target,long,150.0,10.0,US30I,C_forward,-0.01504033697765823,-0.015390441290707844,-0.0003501043130496144,263,0.0038022813688212928
1.5N / no target,long,150.0,25.0,US30L,A_research,0.01582773972143372,0.015309520907930389,-0.0005182188135033298,1378,0.002902757619738752
1.5N / no target,long,150.0,25.0,US30L,B_holdout,-0.0008406007711610353,-0.0008406007711610353,0.0,585,0.0
1.5N / no target,long,150.0,25.0,US30I,C_forward,-0.013391931589380093,-0.013872485488239808,-0.0004805538988597157,263,0.0076045627376425855
1.5N / no target,both,0.0,0.0,US30L,A_research,-0.00046075098166723655,-0.00048537669412906535,-2.4625712461828807e-05,1760,0.0011363636363636363
1.5N / no target,both,0.0,0.0,US30L,B_holdout,-0.008583875229747566,-0.008583875229747566,0.0,761,0.0
1.5N / no target,both,0.0,0.0,US30I,C_forward,-0.004504857573301143,-0.004504857573301143,0.0,325,0.0
1.5N / no target,both,25.0,0.0,US30L,A_research,0.005900888308901633,-0.0049012103970498,-0.010802098705951432,1873,0.11478910838227442
1.5N / no target,both,25.0,0.0,US30L,B_holdout,-0.00846176847257091,-0.01948733550269068,-0.01102556703011977,811,0.14180024660912455
1.5N / no target,both,25.0,0.0,US30I,C_forward,0.010164802476597477,-0.006040599673414193,-0.01620540215001167,341,0.19648093841642228
1.5N / no target,both,25.0,5.0,US30L,A_research,0.00956905072760433,-0.003441749300555084,-0.013010800028159413,1875,0.13813333333333333
1.5N / no target,both,25.0,5.0,US30L,B_holdout,-0.00716272145004037,-0.020469739499126526,-0.013307018049086156,813,0.17712177121771217
1.5N / no target,both,25.0,5.0,US30I,C_forward,0.012992325102572675,-0.005416366567772467,-0.018408691670345142,341,0.2316715542521994
1.5N / no target,both,25.0,10.0,US30L,A_research,0.012418664088632821,-0.0033245881540641072,-0.015743252242696928,1877,0.16941928609483217
1.5N / no target,both,25.0,10.0,US30L,B_holdout,-0.0014949279057944185,-0.01737597095402006,-0.01588104304822564,815,0.2085889570552147
1.5N / no target,both,25.0,10.0,US30I,C_forward,0.010148405626039735,-0.010727619199804365,-0.0208760248258441,342,0.2543859649122807
1.5N / no target,both,25.0,25.0,US30L,A_research,0.02253503229522555,-0.005890507715049003,-0.02842554001027455,1878,0.3136315228966986
1.5N / no target,both,25.0,25.0,US30L,B_holdout,0.013846915993488983,-0.013019859066309997,-0.02686677505979898,816,0.3480392156862745
1.5N / no target,both,25.0,25.0,US30I,C_forward,0.02424907082865023,-0.005185507293146387,-0.029434578121796617,342,0.30409356725146197
1.5N / no target,both,50.0,0.0,US30L,A_research,0.003250015085083142,-0.002377501567668319,-0.005627516652751461,1833,0.046917621385706494
1.5N / no target,both,50.0,0.0,US30L,B_holdout,-0.013191362476866387,-0.01826459482147427,-0.005073232344607883,796,0.06281407035175879
1.5N / no target,both,50.0,0.0,US30I,C_forward,0.005428380243463733,-0.001195248723220797,-0.00662362896668453,339,0.07964601769911504
1.5N / no target,both,50.0,5.0,US30L,A_research,0.001133197284274552,-0.005341243678029027,-0.0064744409623035785,1836,0.054466230936819175
1.5N / no target,both,50.0,5.0,US30L,B_holdout,-0.013732765967305221,-0.019719674203989776,-0.005986908236684555,799,0.07259073842302878
1.5N / no target,both,50.0,5.0,US30I,C_forward,0.006965297622033543,-0.00056936370908556,-0.007534661331119103,339,0.10029498525073746
1.5N / no target,both,50.0,10.0,US30L,A_research,0.0021947494000635445,-0.00526026863669849,-0.007455018036762035,1837,0.06096897114861187
1.5N / no target,both,50.0,10.0,US30L,B_holdout,-0.00935098161251246,-0.01636206333991185,-0.007011081727399388,801,0.07865168539325842
1.5N / no target,both,50.0,10.0,US30I,C_forward,0.004682096832921749,-0.003937049621928491,-0.00861914645485024,340,0.11176470588235295
1.5N / no target,both,50.0,25.0,US30L,A_research,0.005277883320949404,-0.006146020813692221,-0.011423904134641625,1837,0.09526401741970604
1.5N / no target,both,50.0,25.0,US30L,B_holdout,-0.003935843728783609,-0.015087743758003778,-0.01115190002922017,801,0.1348314606741573
1.5N / no target,both,50.0,25.0,US30I,C_forward,0.013459026687316803,0.00102888113068323,-0.012430145556633573,340,0.14705882352941177
1.5N / no target,both,75.0,0.0,US30L,A_research,0.004730997049490763,0.0028740811592843636,-0.0018569158902063993,1811,0.019878520154610713
1.5N / no target,both,75.0,0.0,US30L,B_holdout,-0.01515108317979808,-0.016268606748752672,-0.0011175235689545922,786,0.022900763358778626
1.5N / no target,both,75.0,0.0,US30I,C_forward,-0.0030191399875367456,-0.007105028957328634,-0.0040858889697918885,335,0.04477611940298507
1.5N / no target,both,75.0,5.0,US30L,A_research,0.001933124412313373,-0.0002801357781634392,-0.002213260190476812,1812,0.023178807947019868
1.5N / no target,both,75.0,5.0,US30L,B_holdout,-0.017225204075209992,-0.018646932362973885,-0.0014217282877638932,789,0.024081115335868188
1.5N / no target,both,75.0,5.0,US30I,C_forward,-0.0025028464086709005,-0.007061770980661739,-0.004558924571990838,335,0.04776119402985075
1.5N / no target,both,75.0,10.0,US30L,A_research,0.003335165510411204,0.0007402775524818489,-0.002594887957929355,1813,0.024820739106453393
1.5N / no target,both,75.0,10.0,US30L,B_holdout,-0.014565309167183066,-0.01630982625550918,-0.001744517088326113,791,0.025284450063211124
1.5N / no target,both,75.0,10.0,US30I,C_forward,-0.004826718112976131,-0.009861411735463066,-0.005034693622486935,336,0.050595238095238096
1.5N / no target,both,75.0,25.0,US30L,A_research,0.0020595456791222154,-0.002082819489709718,-0.004142365168831933,1813,0.03695532266960838
1.5N / no target,both,75.0,25.0,US30L,B_holdout,-0.010375818360629585,-0.013432421551010132,-0.003056603190380546,791,0.0493046776232617
1.5N / no target,both,75.0,25.0,US30I,C_forward,0.0011424513601431712,-0.005647264361459855,-0.0067897157216030265,336,0.06845238095238096
1.5N / no target,both,100.0,0.0,US30L,A_research,0.005714584213920781,0.004803049007712661,-0.0009115352062081207,1798,0.008342602892102336
1.5N / no target,both,100.0,0.0,US30L,B_holdout,-0.01581629311782618,-0.016549919377836866,-0.0007336262600106842,781,0.0076824583866837385
1.5N / no target,both,100.0,0.0,US30I,C_forward,-0.00964063030268755,-0.010897140198080909,-0.0012565098953933596,333,0.018018018018018018
1.5N / no target,both,100.0,5.0,US30L,A_research,0.004928966150369122,0.003868414444177205,-0.0010605517061919164,1799,0.010005558643690939
1.5N / no target,both,100.0,5.0,US30L,B_holdout,-0.016659668115837894,-0.017487785749909567,-0.0008281176340716734,784,0.007653061224489796
1.5N / no target,both,100.0,5.0,US30I,C_forward,-0.009545594023419169,-0.01098529201754427,-0.0014396979941251019,333,0.018018018018018018
1.5N / no target,both,100.0,10.0,US30L,A_research,0.005508394621539772,0.004296882488679975,-0.0012115121328597966,1799,0.010561423012784881
1.5N / no target,both,100.0,10.0,US30L,B_holdout,-0.01466608755538395,-0.015589149058127,-0.0009230615027430496,786,0.007633587786259542
1.5N / no target,both,100.0,10.0,US30I,C_forward,-0.012787583446528621,-0.014405610598987692,-0.0016180271524590707,334,0.017964071856287425
1.5N / no target,both,100.0,25.0,US30L,A_research,0.002622383441341073,0.0007812654647349496,-0.0018411179766061234,1799,0.014452473596442469
1.5N / no target,both,100.0,25.0,US30L,B_holdout,-0.012547753939048945,-0.013927559990789377,-0.0013798060517404322,786,0.020356234096692113
1.5N / no target,both,100.0,25.0,US30I,C_forward,-0.008259293423029215,-0.010619717405016238,-0.0023604239819870233,334,0.029940119760479042
1.5N / no target,both,150.0,0.0,US30L,A_research,0.007175670286543812,0.0069496469479646715,-0.00022602333857914096,1784,0.002242152466367713
1.5N / no target,both,150.0,0.0,US30L,B_holdout,-0.01977438482154201,-0.01977438482154201,0.0,766,0.0
1.5N / no target,both,150.0,0.0,US30I,C_forward,-0.020036600153401238,-0.020304964923281352,-0.0002683647698801146,327,0.0061162079510703364
1.5N / no target,both,150.0,5.0,US30L,A_research,0.007359088374797352,0.007105369349176399,-0.00025371902562095275,1784,0.002802690582959641
1.5N / no target,both,150.0,5.0,US30L,B_holdout,-0.021865705359812276,-0.021865705359812276,0.0,767,0.0
1.5N / no target,both,150.0,5.0,US30I,C_forward,-0.021295799473001028,-0.021625688519010065,-0.00032988904600903673,327,0.0061162079510703364
