p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
555,short,0.0,30,atr,1.241484035000759,80.27446446017424,points,1.4152923411971319,317.807601928909,960,25.0,10.0,state,15,state,off,off,0.25,-0.13454010406633654,-0.28775067513029834,0.948213308129921,-2.9647823476686828,644,104.31086474501109,-0.3119672233883371,True,-0.6942462730441457,-1.2156672563609798,0.7590348734703439,-4.391316013087473,260,-0.977320986021568
555,long,0.5,30,points,0.5868898332908556,96.48196930481095,points,3.042155953729373,332.71432931739906,960,25.0,25.0,200all,15,state,off,behind,0.5,0.08557796388514995,0.13975926824884846,1.0273726226834594,1.8264782198351657,769,124.55753880266076,0.19587135076395448,True,-0.004422092513843659,-0.0077309607008798934,0.9986162381502096,-0.03175760901853575,316,-0.005774750129660915
555,long,0.0,30,points,2.0909805328255944,40.46000327313695,points,0.8109552609187443,340.22234115602583,960,25.0,3.0,cross,30,state,off,off,0.5,0.5298090342004109,1.6653085052805685,1.7921146716688952,4.161673758472497,86,13.929711751662971,3.199448386976229,False,1.0855604352788157,4.57499281330948,2.7968339404199116,3.9775851746172117,51,5.600491228670622
555,long,0.0,30,points,0.9719404625792281,64.88993025370661,none,3.9738193011152183,256.66363723344824,960,0.0,10.0,state,15,state,off,off,1.0,0.4471312996839036,0.9941150397531885,1.1287187405620847,14.475393169568418,791,128.1209534368071,1.2286217840356701,True,-0.380118117659225,-0.7897625830875381,0.9100937440722976,-3.811464634983911,329,-0.49201265983368914
555,long,0.0,7,range,0.8220577117535557,35.51166552594405,r,0.936965484925334,234.5824603851632,960,150.0,3.0,state,15,state,off,off,0.5,-0.043963003524006145,-0.06575803730322806,0.9863257919033814,-0.9060510791054623,639,103.5009977827051,-0.10384964024570456,True,-1.3122457387127606,-1.5381298239480765,0.6661103994848879,-11.04417335692866,274,-0.9052103818895846
555,long,0.3,30,points,1.7011556307952427,81.4870637801848,none,3.8193612865122373,224.46722401334506,960,100.0,10.0,cross,15,state,off,off,0.5,-0.01751193608148856,-0.03269328190068377,0.9838747269826096,-0.13605006175194415,67,10.852217294900221,-0.05082012297048497,False,0.7459433175028617,1.941996667676831,1.746354988000269,3.359023890426904,44,2.0156676458139637
555,both,0.0,30,points,1.105851586977496,142.36680161721233,none,5.298814954521157,245.99555052977806,960,0.0,10.0,off,15,state,off,off,1.0,0.36855132648824457,0.6455720051918516,1.0690516836247923,24.00397165387922,1634,264.6645232815965,0.8273160318591826,True,-0.33712092034715524,-0.5573048623636777,0.9458160632218305,-7.031141567592055,680,-0.5636917380467603
555,long,0.0,30,atr,3.360166923036219,57.998185775322725,points,1.662322905144542,381.1333157241308,960,150.0,10.0,state,75,cross,off,through,1.0,0.5036918363546545,0.8464506345360288,1.1339235489411732,21.358809999535932,874,141.56474501108647,1.652016219582596,True,-0.09115971506574747,-0.14883660745795893,0.9789487160829704,-1.2690310673469942,352,-0.1744023836281596
570,long,0.0,30,atr,2.555660165503822,84.63331476050378,points,0.9631393064871,365.1241191747109,960,150.0,10.0,state,15,cross,state,behind,1.0,0.640651855441092,1.1884391259494174,1.1841658616775663,22.794895528527867,830,134.4379157427938,1.764700651237915,True,-0.7463987140251707,-1.109026267198548,0.8295550965958047,-9.627213659656737,353,-0.7699663110475415
570,both,0.1,30,atr,2.667766471225978,130.2346575242973,r,1.3791393108457821,328.6107727325602,960,150.0,10.0,state,15,cross,state,confluence,1.0,0.219859494582524,0.36494594996554786,1.043949650427872,10.071486465533624,1454,235.50931263858092,0.6779339558059628,True,-1.2068577634093987,-1.6383735417326721,0.8130554934375881,-17.48199398212722,613,-0.9378985356337848
570,long,0.0,7,atr,2.1872125798375524,145.3285987598939,points,2.310693539379593,353.3652166767458,960,150.0,10.0,state,300,cross,state,behind,1.0,0.5056715501819825,0.8538418814890373,1.141161697696102,19.11808571837483,849,137.51541019955653,1.683507894712512,True,-0.4700965609481142,-0.7213707848929272,0.8961728350869551,-6.278586670037951,365,-0.6092020962153091
