feed,block,side,geom,read,strict,recency,arm,n,per,keep,mde,p,base,vs_none
US30L,B_holdout,long,1.5N / none,all,True,75,fresh,76,0.021646515656447346,0.10852329038652131,0.17156520427918645,0.35333333333333333,0.009765797683072603,0.011880717973374743
US30L,A_research,long,1.5N / none,all,True,150,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,all,True,150,m200,777,0.014987706401283076,0.5411298315163529,0.043519074729487496,0.4766666666666667,0.014533567355964509,0.0004541390453185676
US30L,A_research,long,1.5N / none,all,True,150,or,872,0.012148153977630085,0.6144697720515362,0.04143144165844662,0.63,0.014533567355964509,-0.002385413378334424
US30L,A_research,long,1.5N / none,all,True,150,fresh,200,0.006344293255549655,0.15213082259663033,0.10068326404688883,0.62,0.014533567355964509,-0.008189274100414853
US30L,B_holdout,long,1.5N / none,all,True,150,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,all,True,150,m200,315,-0.004518698563282263,0.5411298315163529,0.05513349291312986,0.7233333333333334,0.009765797683072603,-0.014284496246354866
US30L,B_holdout,long,1.5N / none,all,True,150,or,368,-0.009295551894948257,0.6144697720515362,0.0559391496787678,0.8866666666666667,0.009765797683072603,-0.01906134957802086
US30L,B_holdout,long,1.5N / none,all,True,150,fresh,107,0.02369690613831953,0.15213082259663033,0.13376989657856073,0.35333333333333333,0.009765797683072603,0.013931108455246926
US30L,A_research,long,1.5N / none,all,False,30,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,all,False,30,m200,777,0.014987706401283076,0.5411298315163529,0.043519074729487496,0.4766666666666667,0.014533567355964509,0.0004541390453185676
US30L,A_research,long,1.5N / none,all,False,30,or,821,0.014494299505052904,0.5763131813676908,0.04239409654113844,0.52,0.014533567355964509,-3.9267850911604146e-05
US30L,A_research,long,1.5N / none,all,False,30,fresh,91,0.007669845891849825,0.07135777998017839,0.11703212487053194,0.5833333333333334,0.014533567355964509,-0.006863721464114684
US30L,B_holdout,long,1.5N / none,all,False,30,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,all,False,30,m200,315,-0.004518698563282263,0.5411298315163529,0.05513349291312986,0.7233333333333334,0.009765797683072603,-0.014284496246354866
US30L,B_holdout,long,1.5N / none,all,False,30,or,342,-0.013273983290478844,0.5763131813676908,0.055568751716282866,0.8966666666666666,0.009765797683072603,-0.023039780973551447
US30L,B_holdout,long,1.5N / none,all,False,30,fresh,53,0.01608861925263593,0.07135777998017839,0.20048862960034633,0.41,0.009765797683072603,0.006322821569563328
US30L,A_research,long,1.5N / none,all,False,75,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
