knob,value,n,pct,tot,win,t,live
cross_min,40.0,124,0.009198251772870219,1.1405832198359072,0.4435483870967742,1.0884087117317658,False
be_pts,0.0,44,0.05693988341738361,2.505354870364879,0.4772727272727273,3.07577075841866,False
be_pts,20.0,45,0.034856713714618986,1.5685521171578543,0.7111111111111111,2.409680156722507,False
be_pts,30.0,44,0.047608716029778744,2.094783505310265,0.6363636363636364,3.0056154276607607,False
be_pts,43.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
be_pts,60.0,44,0.061701889050123214,2.7148831182054214,0.5909090909090909,3.598262599836274,False
be_pts,80.0,44,0.06182303205548237,2.7202134104412243,0.5227272727272727,3.4707629946207,False
open_m,551.0,72,0.015768844072564486,1.135356773224643,0.4861111111111111,1.4392589548883024,False
open_m,556.0,59,0.037452838107284975,2.2097174483298136,0.5423728813559322,2.7652812409464587,False
open_m,561.0,58,0.038005565226926906,2.2043227831617607,0.5172413793103449,2.681811849508199,False
open_m,566.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
open_m,571.0,54,0.01416612718407588,0.7649708679400975,0.5740740740740741,0.9739808616068255,False
open_m,581.0,26,0.008943324942363873,0.2325264485014607,0.5769230769230769,0.37246617770698504,False
open_m,591.0,22,-0.022983830786003443,-0.5056442772920757,0.45454545454545453,-1.0920364274168695,False
end_m,576.0,37,0.05390278187128801,1.9944029292376564,0.6216216216216216,3.0345509702036066,False
end_m,586.0,41,0.06241781443001556,2.559130391630638,0.6585365853658537,3.6720834081995557,False
end_m,600.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
end_m,630.0,45,0.057825601331804054,2.6021520599311825,0.6444444444444445,3.516509647815894,False
end_m,700.0,45,0.057825601331804054,2.6021520599311825,0.6444444444444445,3.516509647815894,False
end_m,960.0,47,0.05437282288691035,2.5555226756847866,0.6382978723404256,3.4114015274907983,False
flat_m,600.0,44,0.053645109051765165,2.3603847982776673,0.6136363636363636,3.2338102301047496,False
flat_m,615.0,44,0.05450114942673825,2.398050574776483,0.6363636363636364,3.2962102701831193,False
flat_m,630.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
flat_m,660.0,44,0.058053716982876515,2.5543635472465667,0.6363636363636364,3.459613216054093,False
flat_m,720.0,44,0.058053716982876515,2.5543635472465667,0.6363636363636364,3.459613216054093,False
flat_m,960.0,44,0.058053716982876515,2.5543635472465667,0.6363636363636364,3.459613216054093,False
range_end,543.0,43,0.05064716272672694,2.1778279972492585,0.6046511627906976,3.0255947224527815,False
range_end,545.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
range_end,550.0,51,0.03782810123194245,1.9292331628290649,0.5294117647058824,2.4551189373845754,False
range_end,555.0,55,0.03720932042438835,2.0465126233413593,0.5272727272727272,2.418279459431729,False
range_end,570.0,54,0.026995573916141758,1.457760991471655,0.5,1.7236252222897848,False
