arm,feed,block,n,tpy,sharpe,sortino,pf,tot,per,maxdd,retdd,win,dsd,hold_med,hold_mean,x_flatten,x_stop,x_target,x_rollover,x_cross,x_end
intraday_sharpe,US30L,B_holdout,719,284.2150974025974,-0.546760449878917,-0.7373976640267098,0.8978042466275985,-12.182031525671684,-0.016943020202603177,21.683568806518373,-0.5618093421046817,0.6328233657858137,0.33280666447710644,270.0,243.0250347705146,0.502086230876217,0.42698191933240615,0.06536856745479833,0.004172461752433936,,0.0013908205841446453
intraday_sortino,US30L,B_holdout,295,116.61120129870129,-0.09942058797606262,-0.14607655588109528,0.9692869382268026,-0.845773782146916,-0.0028670297699895458,7.925464400721143,-0.10671599030461337,0.5932203389830508,0.11664006436749426,30.0,90.55932203389831,0.1423728813559322,0.559322033898305,0.006779661016949152,,0.29152542372881357,
intraday_retdd,US30L,B_holdout,332,131.23701298701297,0.08218924976324797,0.14342336967123234,1.0249227345653418,0.7413080045672324,0.0022328554354434714,5.095388515253562,0.1454860610428531,0.5451807228915663,0.10412447403516957,30.0,84.12650602409639,0.14457831325301204,0.5542168674698795,0.02710843373493976,,0.2740963855421687,
free_sharpe,US30L,B_holdout,305,120.56412337662337,-0.07230351321730008,-0.11184720753743431,0.9787018134103823,-0.6973474143379841,-0.002286384965042571,7.954785993927336,-0.08766388119936065,0.6163934426229508,0.12560244750536087,60.0,171.0,,0.7836065573770492,0.08852459016393442,,0.12786885245901639,
free_sortino,US30L,B_holdout,336,132.8181818181818,-0.08228487397201621,-0.25266809986133787,0.9697615863417866,-0.5285283041801376,-0.0015730009052980286,3.539121296230544,-0.14933884994082114,0.3273809523809524,0.04213974357187361,0.0,155.08928571428572,,0.9077380952380952,,,0.09226190476190477,
free_retdd,US30L,B_holdout,321,126.8887987012987,0.08150016877169147,0.14123821189889146,1.0223478667266974,1.2774951400030066,0.00397973563863865,9.916706706332045,0.12882251919251544,0.4984423676012461,0.18221373017297324,345.0,665.8878504672897,,0.3987538940809969,0.028037383177570093,,0.573208722741433,
DEFAULT (shipped),US30L,B_holdout,733,289.7491883116883,0.02582949560777927,0.053216543588467134,1.0056078311942285,0.6378124038977653,0.0008701397051811259,11.446375424834557,0.05572177918556992,0.2878581173260573,0.2414461863696831,75.0,151.6575716234652,0.3165075034106412,0.6834924965893588,,,,
USER (their inputs),US30L,B_holdout,135,53.364448051948045,-1.0510536284928462,-1.3389716919125536,0.7040467748471243,-5.400997600644484,-0.04000738963440358,6.459821421161432,-0.8360908527519978,0.4666666666666667,0.08125996704241974,30.0,59.77777777777778,0.037037037037037035,0.5703703703703704,0.37037037037037035,0.007407407407407408,0.014814814814814815,
RANDOM cell 1,US30L,B_holdout,34,13.439935064935064,-0.30810721962637394,-0.5693782508399627,0.7844031708436643,-0.8481944981055315,-0.024946897003103867,2.333968776511561,-0.36341295849436145,0.29411764705882354,0.030010182053443142,15.0,78.08823529411765,0.20588235294117646,0.5882352941176471,,,0.20588235294117646,
RANDOM cell 2,US30L,B_holdout,228,90.12662337662337,-1.2846595545073172,-2.529619864866949,0.6085481343219655,-10.400407776363153,-0.045615823580540144,12.469148944521418,-0.8340912296931692,0.23684210526315788,0.08282647089631232,15.0,76.90789473684211,0.11842105263157894,0.881578947368421,,,,
RANDOM cell 3,US30L,B_holdout,245,96.8465909090909,-1.112897128323618,-1.6014367539852692,0.636480691884972,-8.566964440561922,-0.034967201798211923,9.320796566292119,-0.9191236370873743,0.5387755102040817,0.10776834800065326,30.0,81.42857142857143,0.09795918367346938,0.8326530612244898,0.012244897959183673,0.00816326530612245,0.04897959183673469,
intraday_sharpe,US30I,C_forward,318,286.08251231527095,-0.6228706452242594,-0.823481961959903,0.8848921403013484,-5.742051392247632,-0.018056765384426514,12.406132164345454,-0.46283977279800176,0.6477987421383647,0.3180782776363616,210.0,211.17924528301887,0.4119496855345912,0.46226415094339623,0.11949685534591195,0.006289308176100629,,
intraday_sortino,US30I,C_forward,124,111.55418719211823,-0.2137830098741806,-0.32711612828417086,0.930405932407279,-0.8068465748416331,-0.006506827216464783,4.949813243566148,-0.16300545801205452,0.5887096774193549,0.11251489749129207,30.0,69.91935483870968,0.0967741935483871,0.5887096774193549,0.06451612903225806,,0.25,
intraday_retdd,US30I,C_forward,141,126.8479064039409,-0.978603874182487,-1.5524055209550724,0.744712474674504,-3.5722834250131825,-0.025335343439809806,4.981055004156901,-0.7171740569080166,0.5319148936170213,0.10496916834533532,15.0,55.212765957446805,0.07801418439716312,0.6170212765957447,0.06382978723404255,,0.24113475177304963,
free_sharpe,US30I,C_forward,132,118.7512315270936,-1.125054343249171,-1.4616506330316117,0.7034314700142453,-4.42819294088042,-0.03354691621879106,6.053898004286844,-0.7314614381915188,0.6136363636363636,0.13819870794225925,30.0,80.79545454545455,,0.8257575757575758,0.09090909090909091,,0.08333333333333333,
free_sortino,US30I,C_forward,148,133.14532019704433,-7.068224957915642,-7.65586050656975,0.16374901805958267,-6.096144396130477,-0.041190164838719436,6.026740460033213,-1.0115159988317932,0.20945945945945946,0.03632304594193702,0.0,29.493243243243242,,0.972972972972973,,,0.02702702702702703,
free_retdd,US30I,C_forward,157,141.24199507389162,-0.7841633660391097,-1.2684594598716126,0.8221947826147287,-5.110149933930074,-0.03254872569382213,5.503998356245476,-0.9284432158544351,0.49044585987261147,0.18377146499832345,225.0,475.9872611464968,,0.5605095541401274,0.050955414012738856,,0.3885350318471338,
DEFAULT (shipped),US30I,C_forward,315,283.3836206896552,0.3103930188649551,0.6207991729061914,1.0545322678750408,2.515512374843148,0.007985753570930627,5.93356302487453,0.4239463479696232,0.3142857142857143,0.18484016815870688,60.0,156.38095238095238,0.346031746031746,0.653968253968254,,,,
USER (their inputs),US30I,C_forward,59,53.07820197044335,-0.7029479238300514,-0.9337460284135475,0.7950012805398511,-1.1449114463253172,-0.019405278751276563,2.1585021613903566,-0.5304194115737392,0.5254237288135594,0.05593249031675894,15.0,33.813559322033896,0.03389830508474576,0.559322033898305,0.3559322033898305,,0.05084745762711865,
RANDOM cell 1,US30I,C_forward,18,16.19334975369458,0.6526346131049418,2.258897608998342,1.71918448730348,1.3533483206727626,0.07518601781515348,0.8331916785521234,1.6242940916363207,0.2222222222222222,0.02732964994993633,37.5,78.33333333333333,0.16666666666666666,0.7222222222222222,0.1111111111111111,,,
RANDOM cell 2,US30I,C_forward,105,94.46120689655173,-1.3025719645493232,-2.719516997224674,0.6209553215264015,-4.042640707281619,-0.03850134006934875,5.197852807279792,-0.7777520559296611,0.24761904761904763,0.0678101013853255,0.0,58.57142857142857,0.13333333333333333,0.8666666666666667,,,,
RANDOM cell 3,US30I,C_forward,110,98.95935960591133,-0.5444758959493327,-0.9888568806805155,0.8037975260208043,-2.263361703133796,-0.020576015483034508,4.596112061389043,-0.49245137474950074,0.4909090909090909,0.10440986875462355,15.0,74.31818181818181,0.1,0.8090909090909091,0.01818181818181818,,0.07272727272727272,
