feed,win,buf,side,ema,stop,tgt,flat,block,n,pct,tot,pf,win_r
US30L15,540-570,0.0,long,off,2.0,1.0,720,res,1378,-0.004998126808124133,-6.887418741595056,0.9695850278981318,0.5152394775036284
US30L15,540-570,0.0,long,off,2.0,1.0,720,lock,585,-0.024567675689807555,-14.37209027853742,0.81089768042882,0.48717948717948717
US30L15,540-570,0.0,long,off,2.0,1.0,960,res,1378,-0.005902523123507845,-8.133676864193811,0.9728686368119059,0.5137880986937591
US30L15,540-570,0.0,long,off,2.0,1.0,960,lock,585,-0.012294838632328671,-7.1924805999122725,0.9091251052148562,0.48717948717948717
US30L15,540-570,0.0,long,off,2.0,1.0,0,res,1362,-0.008556375973958107,-11.653784076530942,0.957297411515324,0.5102790014684288
US30L15,540-570,0.0,long,off,2.0,1.0,0,lock,573,-0.015028308927068749,-8.611221015210393,0.893618936870098,0.4869109947643979
US30L15,540-570,0.0,long,off,2.0,1.5,660,res,1378,-0.005913891787858091,-8.14934288366845,0.957330032330506,0.4818577648766328
US30L15,540-570,0.0,long,off,2.0,1.5,660,lock,585,-0.019636099856459387,-11.487118416028741,0.8369649377934867,0.4307692307692308
US30L15,540-570,0.0,long,off,2.0,1.5,720,res,1378,0.005929401114203001,8.170714735371735,1.0383359272066366,0.4746008708272859
US30L15,540-570,0.0,long,off,2.0,1.5,720,lock,585,-0.023170384084200073,-13.554674689257043,0.8271472115908732,0.4393162393162393
US30L15,540-570,0.0,long,off,2.0,1.5,960,res,1378,0.012551318689869244,17.295717154639817,1.0664094693595638,0.44194484760522496
US30L15,540-570,0.0,long,off,2.0,1.5,960,lock,585,-0.002024794592971686,-1.1845048368884363,0.9722591483599806,0.4170940170940171
US30L15,540-570,0.0,long,off,2.0,1.5,0,res,1335,0.009847724317586721,13.146711963978273,1.0442589862356622,0.4254681647940075
US30L15,540-570,0.0,long,off,2.0,1.5,0,lock,559,-0.004262374122217457,-2.3826671343195582,0.960463255756177,0.4007155635062612
US30L15,540-570,0.0,long,off,2.0,2.0,660,res,1378,-0.004004677812522325,-5.518446025655765,0.9716798602753434,0.47750362844702465
US30L15,540-570,0.0,long,off,2.0,2.0,660,lock,585,-0.020937337584621,-12.248342487003287,0.8303341959243042,0.4205128205128205
US30L15,540-570,0.0,long,off,2.0,2.0,720,res,1378,0.008950435175414254,12.333699671720842,1.0620701736837488,0.4637155297532656
US30L15,540-570,0.0,long,off,2.0,2.0,720,lock,585,-0.022971876685627144,-13.438547861091878,0.8337189154429538,0.4256410256410256
US30L15,540-570,0.0,long,off,2.0,2.0,960,res,1378,0.008825333980254497,12.161310224790697,1.0544919474649839,0.40638606676342526
US30L15,540-570,0.0,long,off,2.0,2.0,960,lock,585,-0.0037794909679459226,-2.2110022162483647,0.9665146032234379,0.37606837606837606
US30L15,540-570,0.0,long,off,2.0,2.0,0,res,1276,0.013834538756742296,17.65287145360317,1.0648816852697776,0.35893416927899685
US30L15,540-570,0.0,long,off,2.0,2.0,0,lock,537,-0.009951980112953058,-5.344213320655792,0.9429065441102417,0.32774674115456237
US30L15,540-570,0.0,long,off,2.0,3.0,660,res,1378,-0.004939926953877367,-6.807219342443011,0.9664703558317682,0.47677793904209
US30L15,540-570,0.0,long,off,2.0,3.0,660,lock,585,-0.02060641165121653,-12.05475081596167,0.837223707505442,0.4170940170940171
US30L15,540-570,0.0,long,off,2.0,3.0,720,res,1378,0.009215605317024735,12.699104126860085,1.0665250387713838,0.46081277213352684
US30L15,540-570,0.0,long,off,2.0,3.0,720,lock,585,-0.022299158305285262,-13.04500760859188,0.8442190168999865,0.4222222222222222
US30L15,540-570,0.0,long,off,2.0,3.0,960,res,1378,0.009238854999014006,12.7311421886413,1.0577118434704396,0.386066763425254
US30L15,540-570,0.0,long,off,2.0,3.0,960,lock,585,0.008532244922059638,4.991363279404888,1.0402650736590462,0.3606837606837607
US30L15,540-570,0.0,long,off,2.0,3.0,0,res,1143,0.02399748994530556,27.429131007484255,1.1032866268110657,0.28608923884514437
US30L15,540-570,0.0,long,off,2.0,3.0,0,lock,474,0.03653351321330756,17.316885263107785,1.1690474210074377,0.27848101265822783
US30L15,540-570,0.0,long,off,3.0,0.0,660,res,1378,0.0026111619373207955,3.598181149628056,1.005661515101372,0.5072568940493469
US30L15,540-570,0.0,long,off,3.0,0.0,660,lock,585,-0.017406025927959794,-10.182525167856479,0.8707222827728947,0.4581196581196581
US30L15,540-570,0.0,long,off,3.0,0.0,720,res,1378,0.01826597344281818,25.170511404203452,1.1049780888239809,0.5217706821480407
US30L15,540-570,0.0,long,off,3.0,0.0,720,lock,585,-0.022640541355371222,-13.244716692892165,0.8506746407366582,0.48034188034188036
US30L15,540-570,0.0,long,off,3.0,0.0,960,res,1378,0.0189237560017648,26.076935770431895,1.0762268807588622,0.46661828737300437
US30L15,540-570,0.0,long,off,3.0,0.0,960,lock,585,0.009844733478167528,5.759169084728004,1.0406782558363668,0.4376068376068376
