p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
555,long,0.2,14,range,5.72828310094674,27.500023835942432,points,6.218090329041123,319.75531811966465,0,50.0,25.0,200all,150,state,cross,confluence,0.5,0.4601445471930592,0.9399311441803354,1.1762530743766204,10.836297572391892,699,113.21940133037694,2.7647390130846845,True,0.011269413678444725,0.0202351103544992,1.0036783029102088,0.09740538709499003,300,0.01677948567726261
570,long,0.2,14,points,4.847495985133682,66.76575538804326,points,3.8334983970544503,292.66099526447977,0,25.0,3.0,200any,150,state,cross,off,0.5,0.15306429452965797,0.3436534717725402,1.0567997197725427,3.789392253505262,785,127.1491130820399,0.3959484322759503,True,0.18241494261660646,0.42308063314036476,1.066046668377054,1.4194592493677702,333,0.25672075130702277
570,long,0.3,14,points,5.888608056916903,32.883998673225626,r,2.361271303152247,361.61416779080685,0,50.0,3.0,200all,300,state,state,behind,0.5,-0.07092583535329323,-0.12416717379513276,0.9830605340024337,-0.9203802143459141,767,124.23359201773836,-0.1311041884252213,True,0.002525122114683289,0.004426089674203032,1.0005837673104008,0.009530624893212325,312,0.0037460565636383758
570,both,0.5,30,atr,3.239439363847242,132.55098544770345,none,0.9189711789699809,277.9786849509605,0,50.0,25.0,200any,150,state,cross,behind,0.25,0.264444087344107,0.4614763232359862,1.0797841939890411,12.510641657277866,1232,199.55121951219513,0.9033194518232335,True,-0.7020542443408887,-1.0812421730574215,0.8405304398646173,-9.54164295820205,538,-0.6327924164562286
570,short,0.3,30,points,1.7859371693362172,219.22293494142005,none,1.3321246856898294,198.7913970278486,0,50.0,25.0,200all,30,cross,cross,behind,0.5,-0.9840073464343151,-1.083370420653789,0.3933942932105031,-7.655166251584633,74,11.986031042128603,-1.0,False,-0.34710137884470826,-0.4875420160783515,0.6604101309283031,-1.0110213241872539,25,-0.40276205620014705
570,long,0.3,14,range,5.614257817211754,34.79865196824221,points,4.856198991427397,362.65792244280215,900,75.0,3.0,200all,150,state,cross,behind,0.5,-0.0958690069691988,-0.17001882857090866,0.9700054769245793,-2.1546502530391143,716,115.97294900221729,-0.40323585945038043,True,-0.024024567184793073,-0.04155537150756444,0.9925379288228721,-0.20889340348100482,289,-0.03201076698001001
570,both,0.3,50,range,1.781288153033512,259.8183079546012,points,4.456326714489191,263.1334034227299,0,50.0,5.0,state,15,state,cross,through,0.25,-0.2080273491140888,-0.28057699766865724,0.9353641992861429,-8.7875195825942,1193,193.2342572062084,-0.42898880467085065,True,-0.8578861552863634,-1.340663851919424,0.7995179796539622,-9.690841044333265,512,-0.8972898259584251
570,short,0.2,30,points,4.98715264473472,94.73501090705437,points,7.309478346579307,388.62813749669,0,50.0,3.0,200all,15,state,cross,behind,0.5,-0.41588633727166086,-0.8254761719714288,0.8406434442761479,-11.550546717016108,536,86.81773835920177,-0.6600371672309056,False,-1.8348975581930607,-2.9606028799833872,0.4782344164626477,-12.895958995812489,234,-0.93237822651072
570,both,0.3,21,points,2.129862620155523,175.8874367868034,none,1.5864431939078494,145.94953786773368,0,50.0,25.0,off,30,state,state,confluence,0.25,0.042755365196492576,0.08148410358547846,1.035693625133564,0.45656314758996563,135,21.86640798226164,0.07894326319912355,False,-0.5103734932215126,-0.6354110462710595,0.6831050173042157,-1.3646052880329413,55,-0.6819338119136296
570,long,0.3,10,points,5.5107938021012695,115.033524476919,points,3.906262224227396,333.88113353452945,0,50.0,3.0,cross,150,cross,off,behind,0.25,-0.10703186374254711,-0.20349813445223244,0.9348145981046605,-2.111085736884769,214,34.66230598669623,-0.2108708726577437,False,0.33798630533408996,0.7179929419712848,1.1964034880191803,2.423118346946033,116,0.703735083483218
570,long,0.0,10,points,5.782991234813534,37.45717216957918,points,2.9853513135305603,305.4061517045221,0,50.0,3.0,200all,150,state,cross,behind,0.5,1.0264451483865822,3.2507224602003095,1.4395513566553853,27.25794426242266,754,122.12793791574279,6.10765156963317,True,0.4984156010085703,1.4892754995408037,1.1857338015630734,3.854978969710207,336,1.3066836364294945
570,both,0.5,30,points,1.3035992614958882,99.6110866316332,none,3.1829386958026435,78.42203814701409,0,50.0,25.0,200all,15,state,cross,confluence,0.25,0.3054559549638799,0.6677409977804286,1.0928254588540263,12.777769674802645,1128,182.70598669623058,0.8940769540050395,True,-0.40024029764564256,-0.7241346621018965,0.9055837106595925,-4.408089727865946,496,-0.47291992421814466
570,long,0.2,21,points,5.332716218551674,64.6653637066791,points,4.319333604476379,302.57320979005516,900,50.0,10.0,200all,150,state,off,behind,0.5,0.25898885254161863,0.48546113829345383,1.0756494829918117,5.625887973884456,781,126.50121951219512,0.8307744452373469,True,0.29315433447272865,0.6083873791950679,1.0883507747969874,2.193405924014069,323,0.4361629048621612
570,both,0.0,10,points,4.908749087674299,46.99099376681957,points,2.919548479100738,218.6290608217409,0,50.0,5.0,200all,150,state,state,behind,0.5,0.6011298545933876,1.3696150087194727,1.1544987871729173,17.605234742754263,1305,211.37527716186253,1.9573460850127555,True,-0.8074079934578113,-1.6184461615676329,0.8335742279415793,-6.389014474423965,570,-0.7061994677111119
