arm,keep,n,pct,pf,ctl,p,delta,mde,note
p1.closes_lower_third [refuse],0.8171428571428572,212.0,0.01784435161130289,1.630901846290651,0.019008021236257513,0.5323383084577115,-0.009548527638369102,0.1884209142592172,
p1.long_upper_wick [require],0.16342857142857142,92.0,-0.05109245823437054,1.0198915336641863,-0.022178162108605064,0.6965174129353234,-0.07848533748404253,0.23239445806167597,
p1.long_upper_wick [refuse],0.8365714285714285,209.0,0.04055093301260817,1.7141861146542254,0.0214759937861672,0.16417910447761194,0.013158053762936175,0.18501189227052262,
p2.engulf_bull [require],0.09142857142857143,65.0,-0.009915797662394015,1.4815519703200715,-0.019374610557645104,0.4577114427860697,-0.037308676912066005,0.29244471094306357,
p2.engulf_bull [refuse],0.9085714285714286,206.0,0.033435300079049504,1.687891742645043,0.02535063733177656,0.2885572139303483,0.006042420829377511,0.19232402368285623,
p2.engulf_bear [require],0.025142857142857144,19.0,,,,,,,thin
p2.engulf_bear [refuse],0.9748571428571429,216.0,0.024753328299874963,1.6530378780165977,0.028719564588967832,0.7313432835820896,-0.00263955094979703,0.18614844573849265,
p2.harami_bull [require],0.0,,,,,,,,inert
p2.harami_bull [refuse],1.0,,,,,,,,inert
p2.harami_bear [require],0.0,,,,,,,,inert
p2.harami_bear [refuse],1.0,,,,,,,,inert
p2.piercing [require],0.0,,,,,,,,inert
p2.piercing [refuse],1.0,,,,,,,,inert
p2.dark_cloud [require],0.001142857142857143,,,,,,,,inert
p2.dark_cloud [refuse],0.9988571428571429,,,,,,,,inert
p2.tweezer_top [require],0.025142857142857144,19.0,,,,,,,thin
p2.tweezer_top [refuse],0.9748571428571429,216.0,0.017958285930344358,1.6332156334358594,0.028719564588967832,0.8557213930348259,-0.009434593319327635,0.1860848258898893,
p2.tweezer_bottom [require],0.04,32.0,0.11395404213575744,1.8421374458813555,-0.0494371355178083,0.12437810945273632,0.08656116288608545,0.5088977945015853,
p2.tweezer_bottom [refuse],0.96,212.0,0.03155243551697204,1.6803671828273372,0.028790627751135264,0.3034825870646766,0.004159556267300045,0.1897969763091337,
p2.inside_bar [require],0.0,,,,,,,,inert
p2.inside_bar [refuse],1.0,,,,,,,,inert
p2.outside_bar [require],0.1417142857142857,89.0,-0.11414477901624333,0.8769687769795571,-0.02679957897053828,0.8756218905472637,-0.14153765826591533,0.21295970846588155,
p2.outside_bar [refuse],0.8582857142857143,206.0,0.038132213540384416,1.7467343916291411,0.02464528223148227,0.20398009950248755,0.010739334290712423,0.19285503586819328,
p2.gap_up [require],0.04114285714285714,29.0,-0.12409333695050641,0.6511173058278064,-0.0494371355178083,0.7711442786069652,-0.1514862162001784,0.36876573221562664,
p2.gap_up [refuse],0.9588571428571429,217.0,0.025437671406973485,1.6479610182812645,0.028790627751135264,0.6666666666666666,-0.0019552078426985087,0.18390912517661037,
p2.gap_dn [require],0.0034285714285714284,,,,,,,,inert
p2.gap_dn [refuse],0.9965714285714286,,,,,,,,inert
p2.kicker_bull [require],0.006857142857142857,,,,,,,,inert
p2.kicker_bull [refuse],0.9931428571428571,215.0,0.027649701583198977,1.6734006853451338,0.02758168851323871,0.4975124378109453,0.0002568223335269841,0.1873075715195421,
p2.prev_upper_wick [require],0.096,62.0,0.07400199289121503,1.5878614303893173,-0.03835080515539513,0.16417910447761194,0.04660911364154304,0.3483033494874423,
p2.prev_upper_wick [refuse],0.904,215.0,-0.0019541442377799968,1.5504330725642532,0.022767408221714594,0.8855721393034826,-0.02934702348745199,0.17600778608091308,
p3.morning_star [require],0.04342857142857143,32.0,-0.09616243326369783,0.9420943549258314,-0.0494371355178083,0.6915422885572139,-0.12355531251336982,0.41258497328313054,
p3.morning_star [refuse],0.9565714285714285,210.0,0.03168488771080188,1.674807357212416,0.028790627751135264,0.29850746268656714,0.004292008461129884,0.1910256222762497,
p3.evening_star [require],0.009142857142857144,,,,,,,,inert
p3.evening_star [refuse],0.9908571428571429,214.0,0.03288466627445228,1.6953796627257025,0.02758168851323871,0.029850746268656716,0.005491787024780287,0.1877472216514723,
p3.three_white [require],0.07085714285714285,39.0,-0.004389172578286393,0.9602062438761622,-0.02724921426586808,0.417910447761194,-0.03178205182795839,0.30536383520160415,
p3.three_white [refuse],0.9291428571428572,211.0,0.03505779353874463,1.7213941238131898,0.027812058736547577,0.263681592039801,0.007664914289072636,0.1901097053851576,
p3.three_black [require],0.004571428571428572,,,,,,,,inert
p3.three_black [refuse],0.9954285714285714,,,,,,,,inert
p3.three_inside_up [require],0.026285714285714287,21.0,,,,,,,thin
p3.three_inside_up [refuse],0.9737142857142858,213.0,0.032851383883747684,1.6908176910805977,0.028719564588967832,0.20398009950248755,0.005458504634075691,0.18875979808583712,
seq.up_closes_3 [require],0.43314285714285716,144.0,0.05382946245309593,1.7525523829620773,0.007379559407063174,0.15920398009950248,0.026436583203423937,0.22998597820785718,
seq.up_closes_3 [refuse],0.5668571428571428,178.0,-0.0014474945455658559,1.4398992085677527,0.006587722151192433,0.5621890547263682,-0.02884037379523785,0.18859465994409827,
seq.up_closes_5 [require],0.5805714285714285,158.0,-0.007579354837785528,1.2766130910034903,0.008731418720720719,0.681592039800995,-0.03497223408745752,0.18705497964036155,
seq.up_closes_5 [refuse],0.41942857142857143,152.0,0.04626180298466008,1.8008771713857765,0.005287973811985256,0.14925373134328357,0.018868923734988087,0.23014545824945995,
seq.higher_highs_3 [require],0.5428571428571428,152.0,0.0984130195058033,1.9439622723508345,0.009105575075363033,0.014925373134328358,0.07102014025613132,0.2233734828150119,
seq.higher_highs_3 [refuse],0.45714285714285713,169.0,-0.050063159508499024,1.2674437931518667,0.00489152412529266,0.8805970149253731,-0.07745603875817102,0.17914031841084604,
seq.bull_share_10 [require],0.7691428571428571,190.0,0.0009164081661875189,1.4952332832185828,0.01972496487706306,0.7611940298507462,-0.026476471083484474,0.18719271503689708,
seq.bull_share_10 [refuse],0.23085714285714284,101.0,0.01908274677233167,1.5419969171354286,-0.009454904788490849,0.31343283582089554,-0.008310132477340325,0.23594376073938716,
seq.wick_rej_5 [require],0.5497142857142857,159.0,0.013511925014800287,1.4697073434170402,0.011688176003576599,0.47761194029850745,-0.013880954234871706,0.2160212842553483,
seq.wick_rej_5 [refuse],0.4502857142857143,143.0,0.006195719330876977,1.466989139876782,-0.002266358235486874,0.43781094527363185,-0.021197159918795016,0.20573011819536574,
