mkt,tf,mode,block,n,units,per_unit,per_acct,tot_unit,tot_acct,dd,rdd,pf
NQ,120,carried,research,82,2.7439024390243905,0.023008320718556557,0.8288597780218605,1.8866822989216376,67.96650179779256,9.679181593302623,7.02192650717712,1.9956519063756188
NQ,120,carried,locked,59,3.0508474576271185,-0.29027842140044924,-0.3637220995093647,-17.126426862626506,-21.459603871052515,29.244997577764977,-0.7337871652746618,0.6985478296524978
NQ,120,matched,research,44,2.7954545454545454,0.14195294665189945,1.3492356149233458,6.245929652683576,59.36636705662721,9.575053655983538,6.2001080296326725,2.7140191854932265
NQ,120,matched,locked,46,3.0652173913043477,-0.2740932167173412,-0.3076474656188885,-12.608287968997697,-14.15178341846887,23.597775080032513,-0.5997083780344843,0.7693587185539676
NQ,240,carried,research,36,3.0,0.2608014776333774,1.977190356139995,9.388853194801587,71.17885282103983,10.931793739963826,6.511177809807026,3.164660027650559
NQ,240,carried,locked,31,3.225806451612903,-0.15387111796584993,0.021459045953204935,-4.770004656941348,0.665230424549353,11.998132658168874,0.05544449653141932,1.0142531817879286
NQ,240,matched,research,36,3.0,0.2608014776333774,1.977190356139995,9.388853194801587,71.17885282103983,10.931793739963826,6.511177809807026,3.164660027650559
NQ,240,matched,locked,31,3.225806451612903,-0.15387111796584993,0.021459045953204935,-4.770004656941348,0.665230424549353,11.998132658168874,0.05544449653141932,1.0142531817879286
US100L,15,carried,research,2080,2.841826923076923,-0.0589697509262543,0.05667065733816381,-122.65708192660894,117.87496726338073,55.21359553172566,2.1348902589698207,1.1459340832734684
US100L,15,carried,locked,1144,2.75,-0.048156854355063054,0.08272321730242867,-55.09144138219214,94.63536059397839,34.03781132965244,2.7803009916661616,1.237938456604106
US100L,15,matched,research,279,3.039426523297491,-0.030619447965726146,0.14838469310018432,-8.542825982437595,41.39932937495143,53.26004650733723,0.7773055430818702,1.255315038744399
US100L,15,matched,locked,143,2.86013986013986,0.06640077522874774,0.6160819772289249,9.495310857710926,88.09972274373627,13.210566465883048,6.668883046859363,2.2086221567630844
US100L,30,carried,research,1084,2.874538745387454,-0.07264927568464172,0.14754673436214583,-78.75181484215162,159.9406600485661,60.55743029169198,2.6411401421455087,1.2565667575659514
US100L,30,carried,locked,601,2.7570715474209653,-0.01648064996894188,0.3498094100315232,-9.90487063133407,210.23545542894544,18.72622685295309,11.226792085763487,1.6904634078077003
US100L,30,matched,research,216,2.962962962962963,0.027392879249671993,0.5542502343832085,5.91686191792915,119.71805062677305,43.501521025467284,2.7520428666548464,1.797735677899886
US100L,30,matched,locked,115,2.756521739130435,0.06712209363907234,0.7375394572400334,7.71904076849332,84.81703758260385,13.210109389560662,6.42061583908085,2.164338253581406
US100L,60,carried,research,513,2.8635477582846005,-0.0813380360873308,0.37087481585903587,-41.7264125128007,190.2587805356854,55.92366390790485,3.402115799297481,1.4926909633087009
US100L,60,carried,locked,265,2.8679245283018866,-0.03908670762032012,0.3919671550315727,-10.357977519384832,103.87129608336677,22.459136965369535,4.624901493032847,1.5389397117196313
US100L,60,matched,research,192,3.015625,-0.08314741020042836,0.36341075706728415,-15.964302758482246,69.77486535691855,43.86141871308009,1.5908027465630223,1.3843962825869713
US100L,60,matched,locked,89,3.2134831460674156,0.054105896278070165,0.6208288663231037,4.815424768748245,55.25376910275623,15.288716881267622,3.6140226502889505,1.6514083801773192
US100L,120,carried,research,260,2.919230769230769,-0.09338860281241046,0.5089547665804247,-24.28103673122672,132.32823931091042,45.75767571387336,2.891935336453061,1.5068764827298806
US100L,120,carried,locked,120,3.05,0.14387063806884334,1.1970137781004628,17.264476568261202,143.64165337205554,11.253565680887869,12.764101391970788,2.2516698836733804
US100L,120,matched,research,167,3.065868263473054,-0.14731038165830915,0.2744702871457355,-24.600833736937627,45.83653795333783,32.1408275620238,1.4261156737450122,1.2171311170794263
US100L,120,matched,locked,77,3.2337662337662336,0.20801408975817337,1.337866083969911,16.01708491137935,103.01568846568314,15.139666030080281,6.804356731582201,2.2757502309521866
US100L,240,carried,research,131,3.145038167938931,-0.093250857127722,0.6365053683450314,-12.215862283731584,83.38220325319911,42.589572497179645,1.957807941338712,1.4414772617575098
US100L,240,carried,locked,72,3.1944444444444446,0.07464324324758756,1.0682863100150455,5.374313513826304,76.91661432108327,24.089460331326237,3.192957138232771,1.7296749695126636
