variant,sig,tf,side,depth,block,signals,fill,n,lim_sig,lim_trd,lim_pf,mkt_sig,mkt_trd,mkt_pf,edge_sig,edge_trd
unconstrained,donch,5,1,1.0,locked,7674,0.11884284597341674,912,0.07012810589640565,0.5900911015888345,1.010753390892678,0.16071738771386723,1.0586654363229333,1.0164115946798669,-0.09058928181746158,-0.4685743347340988
unconstrained,donch,5,-1,0.25,research,11094,0.19848566792861005,2202,-1.2525799829643993,-6.310682257496388,0.8679030941225248,-1.4886017244327152,-6.810122693136719,0.8555849987953035,0.2360217414683159,0.4994404356403317
unconstrained,donch,5,-1,0.5,research,11094,0.17991707229132864,1996,-0.8914921381772247,-4.955016924317701,0.894186050190743,-1.4886017244327152,-6.810122693136719,0.8555849987953035,0.5971095862554905,1.8551057688190182
unconstrained,donch,5,-1,0.75,research,11094,0.16468361276365603,1827,-0.50316657382405,-3.0553530213486644,0.9321986618548932,-1.4886017244327152,-6.810122693136719,0.8555849987953035,0.9854351506086653,3.754769671788055
unconstrained,donch,5,-1,1.0,research,11094,0.1259239228411754,1397,-0.8548118886999031,-6.788320038107892,0.8513163990109748,-1.4886017244327152,-6.810122693136719,0.8555849987953035,0.6337898357328121,0.021802655028827722
unconstrained,donch,5,-1,0.25,locked,5916,0.21264367816091953,1258,-0.23339327738503424,-1.097579196351242,0.9841717257094788,-0.5420439623110755,-2.497454891769722,0.964432591848739,0.3086506849260413,1.39987569541848
unconstrained,donch,5,-1,0.5,locked,5916,0.19219066937119675,1137,0.3603225397639536,1.8748180696952943,1.0271928379389488,-0.5420439623110755,-2.497454891769722,0.964432591848739,0.9023665020750291,4.372272961465017
unconstrained,donch,5,-1,0.75,locked,5916,0.17393509127789047,1029,-0.6780873424054045,-3.8985079860742204,0.9436180982314563,-0.5420439623110755,-2.497454891769722,0.964432591848739,-0.13604338009432893,-1.4010530943044985
unconstrained,donch,5,-1,1.0,locked,5916,0.14131169709263017,836,-1.3578723588789368,-9.609058463071518,0.8611310594873424,-0.5420439623110755,-2.497454891769722,0.964432591848739,-0.8158283965678612,-7.111603571301796
unconstrained,donch,15,1,0.25,research,5211,0.17040875071963155,888,1.682163666337254,9.871345569012872,1.1448930014454581,0.704101872323139,4.0099178761485,1.05625885947934,0.9780617940141149,5.861427692864372
unconstrained,donch,15,1,0.5,research,5211,0.16618691230090193,866,1.2498466444356242,7.520728480547388,1.1112317215291962,0.704101872323139,4.0099178761485,1.05625885947934,0.5457447721124852,3.5108106043988876
unconstrained,donch,15,1,0.75,research,5211,0.15639992323930146,815,1.6864750276729294,10.783093704544337,1.1712227478047583,0.704101872323139,4.0099178761485,1.05625885947934,0.9823731553497904,6.7731758283958365
unconstrained,donch,15,1,1.0,research,5211,0.13452312416042986,701,0.5788804478954337,4.303204014241234,1.068260860783969,0.704101872323139,4.0099178761485,1.05625885947934,-0.12522142442770534,0.29328613809273385
unconstrained,donch,15,1,0.25,locked,2880,0.15416666666666667,444,0.3958665342667186,2.5677829249733097,1.024342622814399,1.821674569833981,11.581507198944514,1.1099454773958974,-1.4258080355672624,-9.013724273971205
unconstrained,donch,15,1,0.5,locked,2880,0.14756944444444445,425,-0.9550133323707728,-6.471619758183119,0.9392856843682958,1.821674569833981,11.581507198944514,1.1099454773958974,-2.7766879022047535,-18.053126957127635
unconstrained,donch,15,1,0.75,locked,2880,0.13229166666666667,381,0.4955000601013413,3.7455122653329735,1.0389385443857873,1.821674569833981,11.581507198944514,1.1099454773958974,-1.3261745097326396,-7.835994933611541
unconstrained,donch,15,1,1.0,locked,2880,0.1111111111111111,320,1.3549851404408515,12.194866263967665,1.1389969009231997,1.821674569833981,11.581507198944514,1.1099454773958974,-0.4666894293931294,0.6133590650231504
