variant,sig,tf,side,depth,block,signals,fill,n,lim_sig,lim_trd,lim_pf,mkt_sig,mkt_trd,mkt_pf,edge_sig,edge_trd
intraday,everybar,15,1,0.25,locked,5780,0.09515570934256055,550,-0.3947839770669533,-4.148820704449073,0.9606276435922813,0.3225433299153245,2.9639116803029815,1.0280766086642146,-0.7173273069822778,-7.1127323847520545
intraday,everybar,15,1,0.5,locked,5780,0.08581314878892733,496,-0.7686299383182055,-8.957018232821024,0.916194907394978,0.3225433299153245,2.9639116803029815,1.0280766086642146,-1.09117326823353,-11.920929913124006
intraday,everybar,15,1,0.75,locked,5780,0.07681660899653979,444,-0.670501288508755,-8.72859785491127,0.9134641521096829,0.3225433299153245,2.9639116803029815,1.0280766086642146,-0.9930446184240795,-11.692509535214251
intraday,everybar,15,1,1.0,locked,5780,0.06522491349480969,377,0.05045854581195802,0.7736084742523007,1.0081758310036961,0.3225433299153245,2.9639116803029815,1.0280766086642146,-0.27208478410336645,-2.1903032060506806
intraday,everybar,15,-1,0.25,research,10837,0.10205776506413214,1106,-1.0952023870864955,-10.731200966416232,0.8565177996376804,-1.050629831512472,-9.30962835985336,0.8760857752939386,-0.04457255557402351,-1.4215726065628722
intraday,everybar,15,-1,0.5,research,10837,0.0891390606256344,966,-1.5484353073470472,-17.371007687080695,0.7670927928689117,-1.050629831512472,-9.30962835985336,0.8760857752939386,-0.49780547583457513,-8.061379327227336
intraday,everybar,15,-1,0.75,research,10837,0.0748362092830119,811,-1.1114883339402781,-14.852279993724776,0.7920355167706749,-1.050629831512472,-9.30962835985336,0.8760857752939386,-0.060858502427806105,-5.542651633871417
intraday,everybar,15,-1,1.0,research,10837,0.06164067546368921,668,-0.690628148295161,-11.204097669273443,0.8352144759636698,-1.050629831512472,-9.30962835985336,0.8760857752939386,0.3600016832173111,-1.8944693094200833
intraday,everybar,15,-1,0.25,locked,5780,0.09619377162629758,556,-0.510948135705933,-5.31165507982067,0.95018087055883,-1.33264709934255,-12.403704080837262,0.8866633236080864,0.8216989636366171,7.0920490010165915
intraday,everybar,15,-1,0.5,locked,5780,0.0875432525951557,506,-0.2508573952147302,-2.865525186444942,0.972355015883807,-1.33264709934255,-12.403704080837262,0.8866633236080864,1.08178970412782,9.53817889439232
intraday,everybar,15,-1,0.75,locked,5780,0.07525951557093426,435,-0.757704449641434,-10.06788900902871,0.901152737155634,-1.33264709934255,-12.403704080837262,0.8866633236080864,0.5749426497011161,2.335815071808552
intraday,everybar,15,-1,1.0,locked,5780,0.06366782006920416,368,0.5076999390922435,7.974200130307521,1.089506025248053,-1.33264709934255,-12.403704080837262,0.8866633236080864,1.8403470384347935,20.37790421114478
intraday,donch,5,1,0.25,research,4202,0.19324131366016184,812,0.25448509578850437,1.316929030176472,1.0250258010594386,-0.5928664056385454,-2.8406210222271016,0.9472508315629412,0.8473515014270498,4.157550052403574
intraday,donch,5,1,0.5,research,4202,0.17158495954307473,721,-0.37778951932670374,-2.2017636063950192,0.958697048304603,-0.5928664056385454,-2.8406210222271016,0.9472508315629412,0.2150768863118417,0.6388574158320823
intraday,donch,5,1,0.75,research,4202,0.1473108043788672,619,0.33525312493941406,2.275821697892436,1.0457475271143422,-0.5928664056385454,-2.8406210222271016,0.9472508315629412,0.9281195305779595,5.1164427201195375
intraday,donch,5,1,1.0,research,4202,0.11470728224654926,482,0.004517182657341692,0.039380086153837736,1.0007796242953404,-0.5928664056385454,-2.8406210222271016,0.9472508315629412,0.5973835882958871,2.8800011083809394
intraday,donch,5,1,0.25,locked,2196,0.18397085610200364,404,1.2857487196345405,6.988871753261017,1.0954937712145596,0.8345799695833553,4.184332450239836,1.0564014750655484,0.4511687500511852,2.8045393030211807
intraday,donch,5,1,0.5,locked,2196,0.16302367941712204,358,1.280760455796089,7.8562848070620435,1.1111298921267143,0.8345799695833553,4.184332450239836,1.0564014750655484,0.44618048621273365,3.6719523568222074
intraday,donch,5,1,0.75,locked,2196,0.14253187613843352,313,2.3044658092085637,16.168073217322704,1.244135831874472,0.8345799695833553,4.184332450239836,1.0564014750655484,1.4698858396252084,11.983740767082868
intraday,donch,5,1,1.0,locked,2196,0.10564663023679417,232,2.8598866365993114,27.070306267121065,1.431938484677245,0.8345799695833553,4.184332450239836,1.0564014750655484,2.025306667015956,22.88597381688123
intraday,donch,5,-1,0.25,research,3170,0.23186119873817035,735,-1.2717760244777898,-5.485074826659311,0.9133536281361846,-0.9264426781008767,-3.6437013518359542,0.9418085831734354,-0.34533334637691315,-1.8413734748233566
intraday,donch,5,-1,0.5,research,3170,0.20757097791798107,658,-1.37872252259949,-6.64217385507657,0.8928268981267351,-0.9264426781008767,-3.6437013518359542,0.9418085831734354,-0.45227984449861325,-2.998472503240616
intraday,donch,5,-1,0.75,research,3170,0.1662460567823344,527,-0.7423655771501377,-4.465462769574833,0.9249571994829849,-0.9264426781008767,-3.6437013518359542,0.9418085831734354,0.18407710095073893,-0.8217614177388786
intraday,donch,5,-1,1.0,research,3170,0.12082018927444794,383,-0.4724274314305854,-3.910169602180041,0.9316273709227146,-0.9264426781008767,-3.6437013518359542,0.9418085831734354,0.45401524667029125,-0.26646825034408694
