rule,geom,n,pts,sd,mde,pf,win,be,res_win,amb,flat_sh,tot,kept,ctl_med,p,lift_pts,fam,lift_br
atrpct250>=0.5,30/150,840,-0.43880952380952226,52.11393494552093,5.038280636646446,0.9785861639663119,0.31785714285714284,0.17938888888888888,0.08994708994708994,0.008333333333333333,0.325,-368.5999999999987,0.6850853548966757,1.1122567718219905,0.96,-1.9003790305359816,ATR,1.1560384572064233
atrpct250>=0.8,30/150,375,-2.7859999999999974,49.34251521240716,7.139598354356594,0.8632470689255716,0.304,0.17938888888888888,0.08163265306122448,0.008,0.3466666666666667,-1044.749999999999,0.2830188679245283,0.3915664556962042,0.9675,-4.247569506726457,ATR,1.0872176941892324
atrpct250<=0.5,30/150,432,5.314166666666669,61.53853625424922,8.296089325194798,1.2509230416106503,0.3287037037037037,0.17938888888888888,0.1411042944785276,0.0023148148148148147,0.24537037037037038,2295.7200000000007,0.31761006289308175,0.5126255915544253,0.0075,3.8525971599402093,ATR,0.7725450993197478
ema13>48,30/150,916,2.405414847161574,56.55321997318906,5.235735896315018,1.1162998515215479,0.324235807860262,0.17938888888888888,0.11455108359133127,0.008733624454148471,0.29475982532751094,2203.360000000002,0.8418688230008985,1.2250812258104973,0.05,0.9438453404351148,EMA,1.4918458723009513
ema13<48,30/150,271,-3.784464944649444,53.302412623369264,9.072570516244298,0.8294781541694795,0.2693726937269373,0.17938888888888888,0.10344827586206896,0.0036900369003690036,0.25092250922509224,-1025.5899999999992,0.15813117699910154,0.5283270676691756,0.94,-5.246034451375904,EMA,0.3629471901234738
ema13x48 fresh<=5,30/150,260,-3.243846153846152,51.06160433131177,8.873110969847739,0.8493756429306207,0.2923076923076923,0.17938888888888888,0.08743169398907104,0.015384615384615385,0.29615384615384616,-843.3999999999995,0.1918238993710692,0.5554725041757704,0.9425,-4.705415660572611,EMA,2.0535768767563227
ema13>34>89,30/150,704,3.1858522727272756,56.7191126300225,5.989784933295579,1.157095948134326,0.32954545454545453,0.17938888888888888,0.11776859504132231,0.008522727272727272,0.3125,2242.840000000002,0.6621743036837376,1.1033661988962058,0.015,1.7242827660008162,EMA,1.5689377596605267
d_ema200>=0,30/150,944,1.3477118644067807,55.463133432547345,5.0580898012878075,1.0648504820815525,0.3167372881355932,0.17938888888888888,0.10708898944193061,0.006355932203389831,0.2976694915254237,1272.240000000001,0.8566936208445642,1.369980583695476,0.5125,-0.11385764231967865,EMA,1.459418886322288
d_ema200>=1.0,30/150,847,1.1987839433293996,55.289049649702,5.323111348392163,1.0573787954391722,0.31641086186540734,0.17938888888888888,0.10217755443886097,0.0070838252656434475,0.29515938606847697,1015.3700000000015,0.7794249775381851,1.2557224786421026,0.5225,-0.2627855633970597,EMA,1.5535393428066597
d_ema200>=2.0,30/150,731,2.499329685362519,56.53612685189069,5.859161854766273,1.1218368115874373,0.3228454172366621,0.17938888888888888,0.11394891944990176,0.008207934336525308,0.3036935704514364,1827.0100000000014,0.692722371967655,1.0857988965381868,0.0725,1.0377601786360597,EMA,1.6453464344752893
d_ema200<=1.0,30/150,325,0.09153846153846364,58.10730519804646,9.031443833452277,1.0041630050879617,0.28615384615384615,0.17938888888888888,0.13253012048192772,0.006153846153846154,0.23384615384615384,29.750000000000682,0.2205750224618149,0.5820604350619104,0.5625,-1.3700310451879958,EMA,0.4426632430675127
