param,don,stop,tgt,cell,atr_u_n,atr_u_days,atr_u_mean,atr_u_sd,atr_u_se,atr_u_n_eff,atr_u_t,atr_u_mde80,atr_u_pf,atr_u_win,pct_n,pct_days,pct_mean,pct_sd,pct_se,pct_n_eff,pct_t,pct_mde80,pct_pf,pct_win,med_min,amb,n_US30,m_US30,n_US100,m_US100,n_NQ,m_NQ
atr,20,0.9676,4.838,don20 0.9676N/4.838N,2869,1492,0.0010764204708617405,1.8516627868557227,0.03867375400216103,2292.403887710776,0.027833358789053467,0.1083478175413916,1.0015101420491748,0.3001045660508888,2869,1492,-0.00161020588398583,0.3013869439385408,0.006646800313225287,2056.002347721111,-0.24225278451377083,0.018621577505280613,0.9840480405320811,0.3001045660508888,30.0,0.001742767514813524,1129,0.05285509392086198,1282,-0.048965609453909535,458,0.013512577760177193
atr,20,0.9676,1000000000.0,don20 0.9676N/none,2754,1492,0.018445501738667724,2.2665542376982644,0.047818768793431346,2246.6501654976423,0.3857376968099919,0.13396835580003896,1.0248135907671132,0.2774146695715323,2754,1492,-0.0006325372646019457,0.3333091966267326,0.007474271924599547,1988.6429071246362,-0.08462861279104927,0.02093980974011486,0.9938967410194025,0.2774146695715323,30.0,0.0,1089,0.04814107360750533,1230,-0.0009161843153932239,435,-0.0011489900283879028
atr,20,1.6127,3.2253,don20 1.6127N/3.2253N,2774,1492,0.0018384065649156064,1.9571718985618447,0.04094125769042956,2285.259817322004,0.04490351954540353,0.11470042235646134,1.00213655167478,0.4260994953136265,2774,1492,-0.003826924243184152,0.32283299604677396,0.007299797933152455,1955.843748168744,-0.5242507091605857,0.020451005984731516,0.9687642869474349,0.4260994953136265,45.0,0.009012256669069935,1106,0.03192906542231921,1225,0.00880465344579256,443,-0.09254967723951478
atr,20,1.6127,4.838,don20 1.6127N/4.838N,2642,1492,-0.0004199831560647248,2.2556438375899055,0.04878057538593496,2138.194535658865,-0.00860963924148012,0.13666293893228068,0.9995493763407874,0.39174867524602575,2642,1492,-0.002790581536945151,0.3602067334815687,0.008329064868559796,1870.2995313132078,-0.33504139792198295,0.023334585016461157,0.9784456185693575,0.39174867524602575,45.0,0.000757002271006813,1045,0.07025525605878008,1178,-0.04470369816035617,419,-0.05218468173472231
atr,20,1.6127,1000000000.0,don20 1.6127N/none,2498,1492,0.03234284364014146,2.807434863746845,0.06297196120040775,1987.5814703475414,0.5136070565947696,0.17642131565464572,1.032744382971167,0.3686949559647718,2498,1492,-4.6964007594441555e-05,0.39510142750610505,0.00949687017629564,1730.8370985822175,-0.004945208971231866,0.026606291104247767,0.9996484611685259,0.3686949559647718,60.0,0.0,995,0.06052570018525587,1112,0.03182899867877652,391,-0.03791430895666431
atr,20,3.2253,3.2253,don20 3.2253N/3.2253N,2595,1492,-0.02114533669379427,2.517656700263764,0.05509598902449495,2088.1084682102637,-0.38379085425607534,0.1543561084283394,0.9808169309547319,0.5156069364161849,2595,1492,-0.008678471182237753,0.4016576875766222,0.009447469049043013,1807.5120932037637,-0.9186027641039844,0.026467889636378687,0.9426330015447903,0.5156069364161849,60.0,0.0011560693641618498,1039,0.03875762300950001,1147,-0.043678740418475054,409,-0.11012665957769135
atr,20,3.2253,4.838,don20 3.2253N/4.838N,2450,1492,0.014815707414208085,2.9030162412070757,0.06598243206344448,1935.7189092674064,0.22454018366528608,0.18485540632408923,1.012201813830933,0.4844897959183673,2450,1492,-0.004577197356665343,0.44494826431828854,0.010782389802140071,1702.8993410137607,-0.4245067596941142,0.030207783885607638,0.9718145490338794,0.4844897959183673,75.0,0.00040816326530612246,977,0.11690486107339218,1094,-0.07458739702507626,379,0.00971252306474689
atr,20,3.2253,1000000000.0,don20 3.2253N/none,2277,1492,0.010630476168036076,3.5186393841750214,0.08366825127849793,1768.593949068837,0.1270550777098412,0.23440373600720127,1.0079522985235287,0.45718050065876153,2277,1492,-0.0047665219930232245,0.4897601017448329,0.01246381248914807,1544.062912578263,-0.3824288914145103,0.03491843283092903,0.9723665947155342,0.45718050065876153,75.0,0.0,915,0.10302964134743801,1014,-0.022467320374612652,348,-0.1358754733862941
atr,40,0.9676,3.2253,don40 0.9676N/3.2253N,2540,1320,-0.010876926993916835,1.583538373023365,0.03386832706175508,2186.098335798203,-0.3211533588323977,0.09488500445842844,0.9838537638597616,0.3303149606299213,2540,1320,-0.005278871788068945,0.26259939264664245,0.006169862851843598,1811.4919729299195,-0.8555898104755411,0.01728539656350935,0.9455892750983921,0.3303149606299213,30.0,0.01062992125984252,985,0.06540885653721855,1127,-0.06797521898865841,428,-0.036091230031521
atr,40,0.9676,4.838,don40 0.9676N/4.838N,2439,1320,-0.018439641201160675,1.8217382325975677,0.04031301001754171,2042.1211011277144,-0.45741166916429443,0.11294033296278486,0.9741118784065291,0.2984829848298483,2439,1320,-0.004901266746171531,0.29783543146720365,0.006986890516468818,1817.1251829793052,-0.7014947113624784,0.019574369191512724,0.9513544365502131,0.2984829848298483,30.0,0.0016400164001640015,941,0.05274352183112647,1090,-0.08105429681220892,408,-0.01533518482209109
