,adx>=15,adx>=20,adx>=25,adx>=30,adx<=20,adx<=25,+DI>-DI,-DI>+DI,atr/tod>=1.0,atr/tod>=1.2,atr/tod<=1.0,atr/tod<=0.8,atrpct250>=0.5,atrpct250>=0.8,atrpct250<=0.5,atrpct250<=0.2,ema13>48,ema13<48,ema13x48 fresh<=5,ema13>34>89,d_ema200>=0,d_ema200>=1.0,d_ema200>=2.0,d_ema200<=1.0
atr/tod<=1.0,-0.022820497390195708,-0.04762444266490415,-0.018866815318089557,0.020024469309663413,0.04762444266490453,0.018866815318089595,0.008412925388131902,-0.008412925388130816,-0.9999999999999998,-0.6965724576496037,1.0,0.6076180280231059,-0.17452875350548064,-0.131429882859467,0.17846331827178666,0.10120672566529859,0.1056350438808207,-0.10563504388082037,-0.08773309787827188,0.19207745993046604,0.16920024557950333,0.1958053732766271,0.2102304124593054,-0.1958053732766273
atr/tod<=0.8,-0.041742259206391075,-0.0681692899471066,-0.03361441494118066,0.0044539001572828935,0.06816928994710679,0.033614414941180754,0.00918395912855039,-0.009183959128549543,-0.6076180280231057,-0.4232499830922608,0.6076180280231059,1.0,-0.1967730156008795,-0.1649331635034194,0.20209782098191922,0.11203922426180442,0.07202605028011394,-0.07202605028011363,-0.0764700556502151,0.1515099856041866,0.11177140883305726,0.1442373130533384,0.1718533829143647,-0.14423731305333867
atrpct250>=0.5,0.15957133665520087,0.1685194760041775,0.10133166357764793,0.07225580207502104,-0.1685194760041772,-0.10133166357764795,-0.054040395485701484,0.054040395485701394,0.1745287535054806,0.11691225085242475,-0.17452875350548064,-0.1967730156008795,1.0,0.42596892545463594,-0.9937868989800177,-0.3821050510350782,-0.11623696369426219,0.11623696369426212,0.10432038436338667,-0.12027286948758935,0.007017381297465681,-0.0690988966127708,-0.0993697393523251,0.06909889661277067
atrpct250>=0.8,0.10534300800290253,0.13619346146036426,0.11015119191666367,0.07257991834901548,-0.1361934614603643,-0.11015119191666368,-0.07837334633983803,0.0783733463398381,0.13142988285946683,0.15116316284202022,-0.131429882859467,-0.1649331635034194,0.42596892545463594,1.0,-0.4286320597422175,-0.16276487800020079,-0.11036216727497954,0.1103621672749795,0.1700830522651778,-0.14584695647832338,-0.010579328685205305,-0.08667731580922566,-0.12842956012427711,0.08667731580922555
atrpct250<=0.5,-0.15759505940734966,-0.17100167547243547,-0.10094894137290177,-0.0719905661888211,0.17100167547243528,0.10094894137290167,0.054776285334172586,-0.05477628533417272,-0.178463318271787,-0.11868956561614814,0.17846331827178666,0.20209782098191922,-0.9937868989800177,-0.4286320597422175,1.0,0.3797309937527517,0.11583560712973523,-0.11583560712973533,-0.10445166455093455,0.1159722590021271,-0.007387334923414897,0.06503904276149212,0.0946323527405332,-0.0650390427614921
atrpct250<=0.2,-0.12134393358538621,-0.0952758714765757,-0.06729100513915487,-0.03371184054027486,0.09527587147657554,0.0672910051391549,0.02571948936205595,-0.02571948936205592,-0.10120672566529876,-0.05324302529636351,0.10120672566529859,0.11203922426180442,-0.3821050510350782,-0.16276487800020079,0.3797309937527517,1.0,0.05141807083712999,-0.05141807083712998,-0.05571712530625327,0.09896719697046219,0.05842544342595486,0.08426108907319896,0.07227053245071079,-0.08426108907319894
ema13>48,0.008099165053460448,0.06902081836972428,0.12911308827769494,0.14057652356994893,-0.06902081836972428,-0.12911308827769502,0.1475743413325226,-0.1475743413325226,-0.1056350438808207,-0.11458000470889215,0.1056350438808207,0.07202605028011394,-0.11623696369426219,-0.11036216727497954,0.11583560712973523,0.05141807083712999,1.0,-1.0,0.21114698979127478,0.5963602651561417,0.4271449729440932,0.4524208899235168,0.45591509823923765,-0.45242088992351653
ema13<48,-0.00809916505346043,-0.06902081836972444,-0.1291130882776951,-0.14057652356994874,0.06902081836972429,0.12911308827769502,-0.1475743413325226,0.14757434133252254,0.10563504388082041,0.1145800047088919,-0.10563504388082037,-0.07202605028011363,0.11623696369426212,0.1103621672749795,-0.11583560712973533,-0.05141807083712998,-1.0,1.0,-0.21114698979127478,-0.5963602651561423,-0.4271449729440933,-0.4524208899235172,-0.4559150982392376,0.452420889923517
ema13x48 fresh<=5,-0.03228341690782692,-0.12798926863366675,-0.20529901273995696,-0.22134112559574828,0.12798926863366678,0.20529901273995707,0.04876027123448725,-0.048760271234487174,0.08773309787827198,0.11247472121638721,-0.08773309787827188,-0.0764700556502151,0.10432038436338667,0.1700830522651778,-0.10445166455093455,-0.05571712530625327,0.21114698979127478,-0.21114698979127478,1.0,-0.25268850819608846,-0.06124514048762567,-0.10955849153193706,-0.16765123256805037,0.10955849153193711
ema13>34>89,0.03658248985233868,0.1184721957176491,0.20371685640197426,0.22826897178175926,-0.11847219571764936,-0.2037168564019743,0.10321554260049585,-0.10321554260049563,-0.19207745993046613,-0.19488049724138948,0.19207745993046604,0.1515099856041866,-0.12027286948758935,-0.14584695647832338,0.1159722590021271,0.09896719697046219,0.5963602651561417,-0.5963602651561423,-0.25268850819608846,1.0,0.5509248044502889,0.6783531943066808,0.7471654937742921,-0.678353194306681
d_ema200>=0,0.08970383520380147,0.13247069985763338,0.19070117759298347,0.17174748251618113,-0.13247069985763318,-0.19070117759298336,0.0540316388123896,-0.054031638812389454,-0.16920024557950333,-0.19324649593133497,0.16920024557950333,0.11177140883305726,0.007017381297465681,-0.010579328685205305,-0.007387334923414897,0.05842544342595486,0.4271449729440932,-0.4271449729440933,-0.06124514048762567,0.5509248044502889,1.0,0.7688276405570582,0.6140929774930679,-0.7688276405570581
d_ema200>=1.0,0.09944990605052506,0.11961101655495608,0.21048496505891157,0.21207150280937892,-0.11961101655495607,-0.21048496505891162,0.09258504519275716,-0.09258504519275697,-0.19580537327662673,-0.2051317215642209,0.1958053732766271,0.1442373130533384,-0.0690988966127708,-0.08667731580922566,0.06503904276149212,0.08426108907319896,0.4524208899235168,-0.4524208899235172,-0.10955849153193706,0.6783531943066808,0.7688276405570582,1.0,0.7987394639559544,-0.9999999999999996
d_ema200>=2.0,0.09739753821804326,0.13429382318437624,0.21835846135760753,0.23584567183282218,-0.1342938231843761,-0.2183584613576077,0.11564089127982743,-0.11564089127982737,-0.2102304124593055,-0.21862099022135079,0.2102304124593054,0.1718533829143647,-0.0993697393523251,-0.12842956012427711,0.0946323527405332,0.07227053245071079,0.45591509823923765,-0.4559150982392376,-0.16765123256805037,0.7471654937742921,0.6140929774930679,0.7987394639559544,1.0,-0.7987394639559546
d_ema200<=1.0,-0.0994499060505251,-0.11961101655495618,-0.21048496505891154,-0.21207150280937892,0.11961101655495604,0.2104849650589115,-0.09258504519275718,0.09258504519275691,0.19580537327662734,0.20513172156422116,-0.1958053732766273,-0.14423731305333867,0.06909889661277067,0.08667731580922555,-0.0650390427614921,-0.08426108907319894,-0.45242088992351653,0.452420889923517,0.10955849153193711,-0.678353194306681,-0.7688276405570581,-0.9999999999999996,-0.7987394639559546,1.0
