rule,geom,n,pts,sd,mde,pf,win,be,res_win,amb,flat_sh,tot,kept,ctl_med,p,lift_pts,stk,arm,conds
S1 CONV -ADX,50/150,613,2.602332789559545,72.05334459455452,8.154400512981006,1.0887483831485831,0.38825448613376834,0.26145,0.18453865336658354,0.009787928221859706,0.3458401305057096,1595.230000000001,0.5561545372866128,0.7856428368617527,0.09,1.618648579033228,S1 CONV,-ADX,atr/tod>=1.0 & ema13>48
S1 CONV -ATR,50/150,432,1.7354629629629652,66.28492110160818,8.935955579126407,1.0650479018121306,0.41203703703703703,0.26145,0.16182572614107885,0.006944444444444444,0.44212962962962965,749.7200000000009,0.4335130278526505,0.4153463946069592,0.265,0.7517787524366483,S1 CONV,-ATR,adx>=25 & ema13>48
S1 CONV -EMA,50/150,371,-3.783261455525607,68.73750959075812,9.999423666391461,0.8780279244699315,0.3450134770889488,0.26145,0.15637860082304528,0.008086253369272238,0.3450134770889488,-1403.5900000000001,0.33647798742138363,0.5863117157348832,0.9825,-4.766945666051924,S1 CONV,-EMA,adx>=25 & atr/tod>=1.0
S2 LIFT full,50/150,24,3.001666666666665,63.186734413143256,36.14002270212799,1.1242561705503908,0.4583333333333333,0.26145,0.16666666666666666,0.041666666666666664,0.5,72.03999999999996,0.02021563342318059,-1.326004645760741,0.3525,2.017982456140348,S2 LIFT,full,adx>=30 & atrpct250>=0.5 & ema13x48 fresh<=5
S2 LIFT -ADX,50/150,200,-6.149999999999999,56.7951480693651,11.25289766160346,0.7702205882352943,0.38,0.26145,0.10576923076923077,0.02,0.48,-1229.9999999999998,0.15049415992812218,0.44876061605589396,0.9675,-7.133684210526315,S2 LIFT,-ADX,atrpct250>=0.5 & ema13x48 fresh<=5
S2 LIFT -ATR,50/150,26,-0.9823076923076937,62.2271768479138,34.19491709397274,0.9622942348859528,0.4230769230769231,0.26145,0.15384615384615385,0.038461538461538464,0.5,-25.540000000000035,0.0215633423180593,0.11118577075098993,0.5575,-1.9659919028340105,S2 LIFT,-ATR,adx>=30 & ema13x48 fresh<=5
S2 LIFT -EMA,50/150,268,-3.5511940298507443,58.1138530100833,9.946731721435867,0.8609405638239737,0.39552238805970147,0.26145,0.12121212121212122,0.0037313432835820895,0.5074626865671642,-951.7199999999995,0.238544474393531,0.4557616925375414,0.935,-4.534878240377061,S2 LIFT,-EMA,adx>=30 & atrpct250>=0.5
S3 DIST full,50/150,216,-3.174259259259258,56.9424069087796,10.856181008615039,0.8736776166700442,0.39814814814814814,0.26145,0.10891089108910891,0.004629629629629629,0.5324074074074074,-685.6399999999996,0.1958670260557053,0.22999766336942357,0.8925,-4.157943469785574,S3 DIST,full,adx>=30 & atrpct250>=0.5 & d_ema200>=2.0
S3 DIST -ADX,50/150,510,-1.3135294117647038,59.44963227222411,7.376192047151329,0.9476331742551269,0.4019607843137255,0.26145,0.12449799196787148,0.00784313725490196,0.5117647058823529,-669.899999999999,0.4532794249775382,0.7717482484173963,0.895,-2.2972136222910207,S3 DIST,-ADX,atrpct250>=0.5 & d_ema200>=2.0
S3 DIST -ATR,50/150,274,0.42532846715328537,63.86047622370262,10.809982786566527,1.0160891294143632,0.41605839416058393,0.26145,0.13793103448275862,0.0036496350364963502,0.4708029197080292,116.54000000000019,0.27628032345013476,0.7283469547693687,0.5575,-0.5583557433730315,S3 DIST,-ATR,adx>=30 & d_ema200>=2.0
S3 DIST -EMA,50/150,268,-3.5511940298507443,58.1138530100833,9.946731721435867,0.8609405638239737,0.39552238805970147,0.26145,0.12121212121212122,0.0037313432835820895,0.5074626865671642,-951.7199999999995,0.238544474393531,0.46126718199766237,0.935,-4.534878240377061,S3 DIST,-EMA,adx>=30 & atrpct250>=0.5
