name,market,block,c_tf,c_ema,c_win,c_vwap,c_anchor,c_weight,c_atrg,c_stop,c_trail,c_tp,n,pct,tot,pf,win_rate,dd,filter_p,entry_p,keep
F3 top research total,US100,validation,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,100,0.08174202524220135,8.174202524220135,1.1226522844126974,0.15,17.393580556378843,0.389,0.1225,0.6354759967453214
F3 top research total,US100,test,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,86,0.21937895481585343,18.866590114163394,1.3665719660755193,0.19767441860465115,20.02123060944037,0.162,0.3825,0.6354759967453214
F3 top research total,US30,research,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,242,0.2573735997551462,62.28441114074537,1.6664566828022889,0.2231404958677686,8.840520230084056,0.664,0.25,0.6317198304706669
F3 top research total,US30,validation,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,96,0.08594186743665784,8.250419273919153,1.1856134201824686,0.14583333333333334,10.950353082610354,0.165,0.0475,0.6317198304706669
F3 top research total,US30,test,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,75,0.10136290274973722,7.602217706230292,1.2744507864601922,0.16,9.949502251779577,0.015,0.765,0.6317198304706669
F3 top research total,NQ,research,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,98,0.26967823863499585,26.428467386229595,1.6674708483115073,0.19387755102040816,5.532342523388056,0.802,0.5275,0.6528189910979229
F3 top research total,NQ,locked,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,54,-0.014186997670098699,-0.7660978741853297,0.9780293869011606,0.16666666666666666,19.29837984919584,0.032,0.82,0.6528189910979229
F4 the same trigger with NO VWAP,US100,research,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,534,0.15037662238843935,80.30111635542661,1.6700798384579356,0.4400749063670412,4.299827523432704,,0.0,1.0
F4 the same trigger with NO VWAP,US100,validation,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,192,-0.02870597775891402,-5.511547729711491,0.9344599685900556,0.375,14.638180627085223,,0.2425,1.0
F4 the same trigger with NO VWAP,US100,test,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,182,0.04097295124091946,7.457077125847341,1.138929283450245,0.4065934065934066,10.832126714391794,,0.5125,1.0
F4 the same trigger with NO VWAP,US30,research,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,501,0.058103404507598565,29.109805658306882,1.2670739867448195,0.4171656686626746,8.694394092472116,,0.1125,1.0
F4 the same trigger with NO VWAP,US30,validation,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,199,-0.017145393433986713,-3.4119332933633557,0.9425966772496884,0.37185929648241206,11.130699871453656,,0.61,1.0
F4 the same trigger with NO VWAP,US30,test,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,148,-0.021489648620869595,-3.1804679958887,0.9092277938107957,0.3918918918918919,11.174372378370217,,0.975,1.0
F4 the same trigger with NO VWAP,NQ,research,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,205,0.02838452786888789,5.818828213122017,1.1155269319327863,0.3804878048780488,5.8745324145983,,0.8,1.0
F4 the same trigger with NO VWAP,NQ,locked,60,9/21/50,10,off,-,-,off,3.0,2.5,4.0,105,-0.04020879211215761,-4.221923171776549,0.8781024358180379,0.41904761904761906,12.536134227256637,,0.6675,1.0
