market,side,entry1,exit1,atr_len,atr_mult,pyr_step,max_units,adx_max,ext_max,ao_min,skip_win,res_sharpe,res_pf,res_n,res_R,res_dd,lk_sharpe,lk_pf,lk_n,lk_R,lk_dd
NQ,long,18,12,26,4.800000000000001,0.7000000000000001,1,0.0,3.5,0.25,False,-0.22706123927922217,0.9381486967376707,182,-0.01352807069908723,6.389474764708435,-0.14362011411617134,0.9564456272840957,97,-0.00967597043673539,4.461505019571132
NQ,long,23,22,12,1.8,1.4000000000000001,2,0.0,3.5,0.25,False,-2.3958883315280817,0.5097833758104778,196,-0.28330084312079407,57.88690234358984,-1.1186825727672978,0.6972632519925772,97,-0.17518855341358114,23.608912988147075
NQ,long,12,23,26,4.0,0.1,4,35.0,0.0,0.5,False,-1.1011724438264847,0.7597911323878843,242,-0.07514566798191127,24.708289952783787,-0.5252738004435513,0.8701870325983174,124,-0.03616620189636592,11.079356833978014
NQ,long,22,27,23,2.1,0.7000000000000001,4,30.0,5.0,0.0,False,-3.6460155264663254,0.4307617485566027,267,-0.3001817340163795,81.35378416554535,-2.450462961648505,0.5544668736215093,133,-0.23592162859305715,41.53234200260505
NQ,long,17,37,28,1.9,0.5,3,22.0,8.0,-0.5,False,-2.8757523778533236,0.5659708620592311,349,-0.2493428235276356,92.39189409854366,-1.2608560606824981,0.7529374597801715,161,-0.12859097174922063,33.21182346237036
NQ,long,52,17,17,4.7,1.3,1,45.0,0.0,0.25,True,-0.5482774430225116,0.8390107202260199,153,-0.047786574350304166,14.81965847850061,-1.1032076548554899,0.7109366451001585,87,-0.0771746541451885,12.401217030294545
NQ,long,47,18,20,5.0,1.2000000000000002,4,18.0,0.0,0.0,True,-2.3263223241184146,0.4858655633905594,170,-0.12955003972878593,22.840987095764604,-3.085065601505502,0.3734973043865354,86,-0.1760388357134412,16.678273542024662
NQ,long,36,21,15,3.3000000000000003,1.1,3,26.0,1.5,-999.0,False,-1.877695142485027,0.4734309509452898,96,-0.18012421261026437,17.6748711261643,-0.7492158286690657,0.7025130386686451,42,-0.0823886436590069,3.498736956398211
NQ,long,21,22,14,2.1,0.1,4,18.0,2.5,-0.5,False,-1.4060720434246152,0.6115877092835206,126,-0.2029943104366705,28.474608278780394,-0.5417005598531153,0.825965349621064,63,-0.06460153619320841,9.910732619541205
NQ,long,61,39,13,1.2,0.1,2,30.0,3.5,0.0,True,-1.6051630250651352,0.45422884991103196,72,-0.4114485267101036,34.445546848844096,-1.5739167767423083,0.5054195584685163,32,-0.3860032206379739,13.660641513361487
NQ,long,77,27,11,3.7,0.4,4,45.0,0.0,0.25,False,-2.077457673718502,0.5342441249419444,168,-0.17555694007389416,32.22893217198838,-2.118042120571813,0.5322977007683649,93,-0.16993831445945318,22.641355627904723
NQ,long,53,14,19,4.5,0.0,4,22.0,0.0,0.25,True,-0.6617582220656469,0.809357160149088,153,-0.058161057154769435,16.040765992839926,-1.0316797087194556,0.7240042939679197,84,-0.07475792929937608,12.310071306265288
NQ,long,39,21,25,2.2,0.5,2,26.0,8.0,-0.5,False,-1.4767038654061977,0.7087166868770245,268,-0.14162116151881662,47.60780097856497,-0.38608358893576195,0.9063602368470256,135,-0.040181604139522584,19.474464180745798
NQ,long,20,24,20,4.300000000000001,0.6000000000000001,1,35.0,5.0,-999.0,False,-0.42120634606366547,0.9124023480567145,305,-0.024088794726944043,10.280593314768835,0.4505825332811942,1.1160598475000834,147,0.030854061902261545,6.971561803023203
NQ,long,20,19,30,2.3,1.2000000000000002,1,45.0,0.0,-999.0,False,-0.486856360754709,0.910892831105129,383,-0.04331957043768035,28.227097932144652,0.6875191713556867,1.1624582230114748,183,0.0715206157210576,11.305728463789585
