tf,entry_n,exit_n,stop,tp_r,chop_max,adx_min,session,vol_policy,side,n,pf,sharpe,sortino,dd,retdd,calmar,win,net,R,top1,score_norobust,market,block,trades_per_year,robust,score
30,40,30,1.5,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,123,1.255518791982903,0.7327026577001812,1.2820126957461764,10.16916648812966,1.6950969525415611,0.7724492441961545,0.3739837398373983,17.237723123916357,0.1401440904383443,0.1147150182860557,0.20438961322993082,NQ,train,56.0506329113924,1.0,0.3543896132299308
30,40,30,3.0,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,123,1.255518791982903,0.7327026577001812,1.2820126957461764,10.16916648812966,1.6950969525415611,0.7724492441961545,0.3739837398373983,17.237723123916357,0.1401440904383443,0.1147150182860557,0.20438961322993082,NQ,train,56.0506329113924,1.0,0.3543896132299308
30,40,30,2.5,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,123,1.255518791982903,0.7327026577001812,1.2820126957461764,10.16916648812966,1.6950969525415611,0.7724492441961545,0.3739837398373983,17.237723123916357,0.1401440904383443,0.1147150182860557,0.20438961322993082,NQ,train,56.0506329113924,1.0,0.3543896132299308
30,40,30,2.0,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,123,1.255518791982903,0.7327026577001812,1.2820126957461764,10.16916648812966,1.6950969525415611,0.7724492441961545,0.3739837398373983,17.237723123916357,0.1401440904383443,0.1147150182860557,0.20438961322993082,NQ,train,56.0506329113924,1.0,0.3543896132299308
15,40,20,1.5,2.0,40.0,20.0,"(480, 720)",,-1,188,1.184959607667856,0.7389781621171051,1.6914433860532114,8.437075645231836,2.516108150551477,1.14658092936523,0.3936170212765957,21.22859479778719,0.1129180574350382,0.0928047151311977,0.22385036646929252,NQ,train,85.67088607594935,0.8571428571428571,0.35242179504072113
30,40,20,1.5,2.0,40.0,,"(570, 960)",,-1,129,1.2405551183282817,0.7172926800772729,1.2152156596550698,10.077961088923246,1.6511337466091196,0.752415378201624,0.3953488372093023,16.64006165093476,0.1289927259762384,0.1188352402083166,0.1978405195390363,NQ,train,58.78481012658227,1.0,0.3478405195390363
30,40,15,1.5,0.0,40.0,20.0,"(570, 960)",,-1,106,1.3155961238479033,0.6297542248536051,1.282279090695386,12.239739909135908,1.502256269031966,0.6845724770272249,0.3679245283018867,18.38722600982016,0.1734643963190581,0.4542891409082519,0.19668080176377986,NQ,train,48.303797468354425,1.0,0.34668080176377986
30,40,30,2.0,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,121,1.2466546190391072,0.7093232695746545,1.22173008457137,10.16916648812966,1.6145663690903715,0.7357517631297895,0.3801652892561983,16.41879421341499,0.1356925141604544,0.1204367201188484,0.1966679600218127,NQ,train,55.13924050632911,1.0,0.34666796002181266
30,40,30,1.5,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,121,1.2466546190391072,0.7093232695746545,1.22173008457137,10.16916648812966,1.6145663690903715,0.7357517631297895,0.3801652892561983,16.41879421341499,0.1356925141604544,0.1204367201188484,0.1966679600218127,NQ,train,55.13924050632911,1.0,0.34666796002181266
30,40,30,2.5,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,121,1.2466546190391072,0.7093232695746545,1.22173008457137,10.16916648812966,1.6145663690903715,0.7357517631297895,0.3801652892561983,16.41879421341499,0.1356925141604544,0.1204367201188484,0.1966679600218127,NQ,train,55.13924050632911,1.0,0.34666796002181266
30,40,30,3.0,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,121,1.2466546190391072,0.7093232695746545,1.22173008457137,10.16916648812966,1.6145663690903715,0.7357517631297895,0.3801652892561983,16.41879421341499,0.1356925141604544,0.1204367201188484,0.1966679600218127,NQ,train,55.13924050632911,1.0,0.34666796002181266
