n,mean,total,per_yr,win,pf,sharpe,dd,ret_dd,yrs,trades_yr,strategy,feed,block,selection
17,0.21266453951267716,3.6152971717155116,3.531220493303523,0.8235294117647058,4.1312300226432175,1.679865999265399,0.7649351059044713,4.726279580855068,1.0238095238095237,16.6046511627907,TRENDDAY,NQ,locked,False
63,0.03218569514551452,2.0276987941674145,0.3977534825830549,0.6666666666666666,1.1495657148053184,0.16155175505708436,4.964640644958913,0.4084281097417063,5.0978781656399725,12.358082706766918,TRENDDAY,US100,research,True
38,0.22971404177232346,8.729133587348292,4.417151935766605,0.7894736842105263,1.9949619530295437,1.0833758756608913,2.578534191216877,3.385308450468438,1.9761904761904763,19.2289156626506,TRENDDAY,US100,validation,False
24,0.23522739170085602,5.645457400820544,3.27800752305709,0.8333333333333334,8.738473737366212,2.1452578436839724,0.6719940196630132,8.401053038614226,1.7222222222222223,13.935483870967742,TRENDDAY,US100,test,False
64,0.0034068325592148396,0.21803728378974974,0.042527395909455826,0.59375,1.0220320021771487,0.020861023272046912,5.525248933326472,0.039461983780426806,5.126984126984127,12.482972136222909,TRENDDAY,US30,research,True
21,0.08751671617950675,1.8378510397696417,0.929996911690662,0.7619047619047619,1.8066023871115875,0.7437093732578306,1.0800143706467082,1.7016912827457509,1.9761904761904763,10.626506024096384,TRENDDAY,US30,validation,False
21,0.04143302106996422,0.8700934424692487,0.5770093355322387,0.6190476190476191,1.1710769675183508,0.13888473975350502,3.0684030463519267,0.2835655646684736,1.507936507936508,13.926315789473685,TRENDDAY,US30,test,False
20,0.10702738176539621,2.1405476353079242,1.5912035519103152,0.75,1.4597460443516397,0.3628508737931516,2.9327928042059916,0.7298666418705444,1.3452380952380953,14.86725663716814,TRENDDAY,US30_ISO,research,True
4,0.2564821779112614,1.0259287116450455,1.5860983762855918,1.0,1025928711.6450454,2.0895299725664165,0.0,,0.6468253968253969,6.184049079754601,TRENDDAY,US30_ISO,locked,False
145,0.07450600574904825,10.803370833611996,4.54499073467483,0.503448275862069,1.3994920316143342,1.0725969329150655,3.354460469459678,3.2205986423063013,2.376984126984127,61.0016694490818,TFI,NQ,research,True
81,0.054546181350334275,4.418240689377076,3.4470484635387715,0.5555555555555556,1.3023426783622833,0.6574935677474399,2.554138315276246,1.7298361106568405,1.2817460317460319,63.19504643962848,TFI,NQ,locked,False
362,0.04685990058458148,16.963284011618498,2.705536437296115,0.5386740331491713,1.279913037735422,0.732025108677824,10.302390072921968,1.6465387052470015,6.26984126984127,57.73670886075949,TFI,US100,research,True
125,0.15033835478877314,18.79229434859664,7.63815834813928,0.576,1.641649903086964,1.399860645644204,5.120389256969336,3.6700909648653264,2.4603174603174605,50.806451612903224,TFI,US100,validation,False
126,0.03904373220206445,4.9195102574601215,2.2663922941132553,0.5158730158730159,1.2154660808653743,0.6122728497919454,2.840398908646507,1.7319786465501574,2.1706349206349205,58.04753199268739,TFI,US100,test,False
335,0.0006779014373182314,0.2270969815016075,0.035656348497448656,0.4626865671641791,1.0044609057704936,0.010526012826821135,8.298467649835436,0.027366134458102154,6.369047619047619,52.598130841121495,TFI,US30,research,True
134,0.004626982094112335,0.6200156006110529,0.2520063408935247,0.4925373134328358,1.0232030738003715,0.0689703057062831,4.381107104532177,0.14152030201901658,2.4603174603174605,54.464516129032255,TFI,US30,validation,False
108,-0.011563229893610168,-1.248828828509898,-0.6570038930782762,0.42592592592592593,0.9347081839480283,-0.19233931078488772,5.792362194973244,-0.21559922989513033,1.9007936507936507,56.81837160751566,TFI,US30,test,False
90,0.012398760086256476,1.1158884077630828,0.6570184083091049,0.4888888888888889,1.0793751587438962,0.20625483746385675,3.72285798892633,0.2997397190766614,1.6984126984126984,52.99065420560748,TFI,US30_ISO,iso_pre2026,False
38,-0.10591340440229395,-4.02470936728717,-4.971699806648857,0.3684210526315789,0.5130071193114609,-1.9286800185606379,5.1802726169903535,-0.7769300314595132,0.8095238095238095,46.94117647058823,TFI,US30_ISO,iso_2026,False
157,0.12027435180634374,18.88307323359597,7.944130976404314,0.35668789808917195,1.725489298603918,1.375056232558196,2.0493078525686386,9.214366309057759,2.376984126984127,66.05008347245409,V56_CVD,NQ,research,True
87,0.1371445919844538,11.931579502647482,9.251563183591278,0.40229885057471265,1.5762328558378245,1.1731073600001678,7.830772053115247,1.523678562179683,1.2896825396825398,67.45846153846153,V56_CVD,NQ,locked,False
79,0.3227352630447768,25.496085780537367,13.469630223680118,0.620253164556962,1.6595993261243016,1.3606023188164684,8.874779941379323,2.872869631579254,1.8928571428571428,41.735849056603776,IBS_SESSION,NQ,research,True
35,0.3170604228898994,11.097114801146478,10.839042363910515,0.5428571428571428,1.405297277201435,0.702894358512543,8.012957797880732,1.3848961995134237,1.0238095238095237,34.18604651162791,IBS_SESSION,NQ,locked,False
167,0.3708071040613358,61.924786378243084,12.108152154525314,0.6227544910179641,1.5838135492619436,1.0451229265132211,8.42426378598887,7.35076535485933,5.114305270362765,32.65350642398287,IBS_SESSION,US100,research,True
96,0.5204048758441145,49.958868081035,25.273513250135778,0.6145833333333334,1.6880956490184174,1.5165033648247983,9.96514400581851,5.013361377604248,1.9767282683093772,48.56509695290858,IBS_SESSION,US100,validation,False
56,0.22550134377557926,12.628075251432438,7.3493648114572165,0.5892857142857143,1.2910703546604019,0.5217476255322856,11.488387455060776,1.0992034609582755,1.7182539682539681,32.59122401847575,IBS_SESSION,US100,test,False
174,0.12128865088638079,21.104225254230258,4.153188725273492,0.4942528735632184,1.2000558681470082,0.3791974439903165,19.42765464377164,1.086298147728095,5.08145106091718,34.2421875,IBS_SESSION,US30,research,True
78,0.24150676261701795,18.8375274841274,9.636424248708028,0.5512820512820513,1.3964179351983628,0.8680480156265817,10.519760059271984,1.7906803366227197,1.9548254620123204,39.90126050420168,IBS_SESSION,US30,validation,False
46,-0.012907219006743407,-0.5937320743101967,-0.39286347851775244,0.5434782608695652,0.9765697557866788,-0.055079076508383513,8.039599881380038,-0.07385094819025739,1.51129363449692,30.4375,IBS_SESSION,US30,test,False
47,0.047021651137001394,2.2100176034390655,1.5821716933711492,0.574468085106383,1.0985965391249748,0.22703601923689926,8.288606331647905,0.2666331968259469,1.3968253968253967,33.64772727272727,IBS_SESSION,US30_ISO,iso_pre2026,False
27,0.2661717440260702,7.186637088703895,10.779955633055843,0.5555555555555556,1.6771649350622109,1.3815800670712177,3.765954071508814,1.9083177734625423,0.6666666666666666,40.5,IBS_SESSION,US30_ISO,iso_2026,False
523,0.003968535158248899,2.075543887764174,1.0000708598787222,0.4894837476099426,1.1795542432051156,0.64309144051982,1.0105157437607912,2.053945127108772,2.0753968253968256,251.99999999999997,CMMA,NQ,research,True
225,0.009096639083018644,2.046743793679195,2.2923530489206985,0.5022222222222222,1.303875448601617,0.6865010768522632,1.351046621017224,1.5149320251718403,0.8928571428571429,252.0,CMMA,NQ,locked,False
1583,0.0010124570854370464,1.6027195662468443,0.25513918553013565,0.4718888186986734,1.0307618601009536,0.11898018811208945,3.7299529906529,0.42968894521276535,6.281746031746032,252.0,CMMA,US100,research,True
