family,side,n,immed,mkt,gap_atr,gap_R
ema.below200.S,S,2535,-0.07962046861388383,-0.1174319080257977,-0.0034207769929441322,-0.0017103884964720661
ema.below50.L,L,5628,-0.036927393461630084,-0.0015262916611476893,0.0030836222349729992,0.0015418111174864996
ema.below50.S,S,5628,-0.07560310523804319,-0.15013432368918758,-0.0030836222349729992,-0.0015418111174864996
null.random0.L,L,566,-0.11909301049992037,-0.00020973777857349229,-0.0005272781852916804,-0.0002636390926458402
null.random0.S,S,566,-0.03015958534861218,-0.11133050590972386,0.0005272781852916804,0.0002636390926458402
null.random1.L,L,549,-0.06330549067394471,-0.10464062486107716,0.0016858176464179292,0.0008429088232089646
null.random1.S,S,549,-0.026142184632733108,-0.3008930146447501,-0.0016858176464179292,-0.0008429088232089646
null.random2.L,L,533,-0.09223368693808055,-0.07218429114397759,0.0005831497489963584,0.0002915748744981792
null.random2.S,S,533,-0.019671669705147273,-0.04798596285960142,-0.0005831497489963584,-0.0002915748744981792
null.random3.L,L,555,-0.036810604160094476,0.08426508290215473,-0.002281434025289079,-0.0011407170126445396
null.random3.S,S,555,-0.10879128709082272,-0.1919888106463787,0.002281434025289079,0.0011407170126445396
roc.dn12.L,L,12779,-0.021461365801102774,0.035815367017842124,-0.00023337190293762496,-0.00011668595146881248
roc.dn12.S,S,12779,-0.019316188468378473,-0.08892311938746052,0.00023337190293762496,0.00011668595146881248
roc.dn192.L,L,12832,-0.05495138294867293,-0.05564895929722425,0.00043539886563350106,0.00021769943281675053
roc.dn192.S,S,12832,-0.03437089150323743,-0.03286863870717109,-0.00043539886563350106,-0.00021769943281675053
roc.dn48.L,L,12543,-0.017144712554130206,0.024259338090880184,0.0004248121378115618,0.0002124060689057809
roc.dn48.S,S,12543,-0.03566281273954099,-0.037065966855765166,-0.0004248121378115618,-0.0002124060689057809
roc.up12.L,L,12398,0.0057940714380084815,0.1299249409119844,0.0001322295429507331,6.611477147536655e-05
roc.up12.S,S,12398,-0.056724268088559994,-0.14934385248110643,-0.0001322295429507331,-6.611477147536655e-05
roc.up192.L,L,10661,-0.007683686787920743,0.05841248188901137,0.0005407091547909651,0.00027035457739548255
roc.up192.S,S,10661,-0.10991381359794355,-0.3273369676540584,-0.0005407091547909651,-0.00027035457739548255
roc.up48.L,L,11804,0.006006168090308058,0.24001024180195465,0.00012698670796767918,6.349335398383959e-05
roc.up48.S,S,11804,-0.07365007596809124,-0.20690518560384402,-0.00012698670796767918,-6.349335398383959e-05
rsi.hi14.L,L,7805,-0.021755573635140395,0.18843692826660544,-0.0008138517758547586,-0.0004069258879273793
rsi.hi14.S,S,7805,-0.08299228728105201,-0.1084948190619243,0.0008138517758547586,0.0004069258879273793
rsi.hi28.L,L,2253,0.034275813412729644,0.23094968503796612,0.0010724245215754285,0.0005362122607877142
rsi.hi28.S,S,2253,-0.10342419170658239,-0.22372768015531466,-0.0010724245215754285,-0.0005362122607877142
rsi.hi7.L,L,18856,-0.035800780934699385,0.09547198035129736,-0.001288844742164475,-0.0006444223710822375
rsi.hi7.S,S,18856,-0.07268134895955543,-0.15983353941570203,0.001288844742164475,0.0006444223710822375
rsi.lo14.L,L,6168,-0.0568487960056595,-0.020402795083996228,0.000871278649634488,0.000435639324817244
rsi.lo14.S,S,6168,-0.013213311437561505,0.0008101754520233067,-0.000871278649634488,-0.000435639324817244
rsi.lo28.L,L,1709,-0.08572854604510773,0.019582095017288862,-0.00018358035709486168,-9.179017854743084e-05
rsi.lo28.S,S,1709,0.032516367869190495,-0.02819728033182111,0.00018358035709486168,9.179017854743084e-05
rsi.lo7.L,L,15069,-0.04821172420208704,-0.03762965376607629,0.002143716612938147,0.0010718583064690734
rsi.lo7.S,S,15069,-0.03559410630511313,-0.05430664200848516,-0.002143716612938147,-0.0010718583064690734
shock.dn2.0.L,L,4550,-0.0184298616570702,0.051266770755277004,0.0014344626334823261,0.0007172313167411631
shock.dn2.0.S,S,4550,-0.019640649777498475,-0.04191744902904962,-0.0014344626334823261,-0.0007172313167411631
shock.dn3.0.L,L,1830,-0.0015202180091549362,0.059063145136056726,0.0010198923110424608,0.0005099461555212304
shock.dn3.0.S,S,1830,-0.019050444909924073,-0.013177716432031021,-0.0010198923110424608,-0.0005099461555212304
shock.up2.0.L,L,4265,-0.005363242954222784,0.07904808181199496,-0.0008463620692834526,-0.0004231810346417263
shock.up2.0.S,S,4265,-0.04278433526538889,-0.10471312970253345,0.0008463620692834526,0.0004231810346417263
shock.up3.0.L,L,1513,-0.010602653631231217,0.10138216252556673,0.00018292958558223813,9.146479279111907e-05
shock.up3.0.S,S,1513,-0.03227250427363449,-0.1540466577469926,-0.00018292958558223813,-9.146479279111907e-05
