family,side,expiry,fill_res,c1_immed,c1_sel,c1_mkt,c1_lim,c1_price,c1_delta,c1.5_immed,c1.5_sel,c1.5_mkt,c1.5_lim,c1.5_price,c1.5_delta,c2_immed,c2_sel,c2_mkt,c2_lim,c2_price,c2_delta
don.break200.S,S,13,0.3533781393703573,-0.07731010415514916,-0.44046722388982307,-0.16237265513131718,-0.16355911184199454,0.43928076717914566,-0.0011864567106773527,-0.09614783121540078,-0.44099217921801515,-0.1837721887019362,-0.18820221833667888,0.4365621495832725,-0.004430029634742677,-0.11543854958497746,-0.4410150434256025,-0.2089071413011123,-0.2160210399234616,0.4339011448032532,-0.007113898622349318
don.break30.L,L,14,0.35088467277765933,-0.04275950224325087,-0.5889190412139318,0.06315262320732946,0.007820099126711664,0.533586517133314,-0.0553325240806178,-0.06819785490314818,-0.5871774510671112,0.03036574940939338,-0.028330434417200043,0.5284812672405177,-0.058696183826593425,-0.09493670082866855,-0.5885003788698682,-0.0026444641363137346,-0.06431945132245213,0.5268253916837298,-0.0616749871861384
don.break30.S,S,13,0.34925033752575857,-0.07061789666551387,-0.45383355545752513,-0.14831639520080275,-0.11770303317787043,0.48444691748045743,0.030613362022932328,-0.096504474472916,-0.4577221609360268,-0.17819776304420645,-0.15234918624566943,0.4835707377345638,0.025848576798537026,-0.12270159340946327,-0.46235432185777736,-0.2117655086187561,-0.18377296690697567,0.4903468635695578,0.027992541711780422
don.break55.L,L,14,0.3540247529502063,-0.041360853700292,-0.619419564149435,0.10518448667308479,0.033082007838738665,0.5473170853150889,-0.07210247883434612,-0.06498260208402645,-0.6185561245008542,0.07464228379065531,0.00023752260556247036,0.5441513633157613,-0.07440476118509284,-0.09026423239665371,-0.6211601087995343,0.04224238943302017,-0.03236641089119102,0.5465513084753231,-0.07460880032421119
don.break55.S,S,13,0.3541206946176725,-0.06276220726818751,-0.43659578633450247,-0.14523387678049446,-0.10726638885410063,0.47456327426089634,0.03796748792639383,-0.08694300963390045,-0.4392489229633888,-0.17308825045842027,-0.13634375144239733,0.47599342197941175,0.03674449901602295,-0.11163239440201105,-0.4440946200354914,-0.2067562461935378,-0.16662296766973306,0.48422789855929615,0.040133278523804744
don.low10.L,L,12,0.34666929444225464,-0.03669132366034585,-0.5766367887793571,0.017878960942817112,-0.008692726359868539,0.5500651014766714,-0.02657168730268565,-0.0630562752755532,-0.5752139598366877,-0.01698199433156559,-0.042548272169413565,0.5496476819988396,-0.025566277837847973,-0.08940514273603885,-0.5759768539750738,-0.050628949703635295,-0.08107264708760359,0.5455331565911055,-0.030443697383968293
don.low10.S,S,12,0.34346669294442256,-0.05413358190234555,-0.5166681057429281,-0.0980532060639635,-0.160761667733375,0.45395964407351663,-0.06270846166941149,-0.08065942633575157,-0.5149651444686847,-0.1313790107634409,-0.19318551598803482,0.45315863924409083,-0.06180650522459391,-0.10723194368757466,-0.5159383322482858,-0.16501193451289914,-0.22959796024531356,0.45135230651587144,-0.06458602573241443
don.low100.L,L,12,0.34895383019194187,-0.032637496751178205,-0.6122348859523753,0.02200781227815258,-0.05908681575163238,0.5311402579225903,-0.08109462802978495,-0.05054141153296809,-0.610958274691073,0.00029955346300831445,-0.08002619288452201,0.5306325283435427,-0.08032574634753033,-0.06870878203324012,-0.6073024531590505,-0.0242162504409375,-0.11500266610971507,0.5165160374902729,-0.09078641566877757
don.low100.S,S,12,0.3429016081618537,-0.018308879835876393,-0.4945425680546983,-0.03305234264983302,0.04780112374261122,0.5753960344471426,0.08085346639244424,-0.03663243406976826,-0.4916832077589164,-0.058214872259132154,0.02644593862817771,0.5763440186462262,0.08466081088730987,-0.05546944403164432,-0.4916639764031339,-0.08903730874295684,0.0032304427474043156,0.5839317278934951,0.09226775149036116
don.low20.L,L,12,0.35284636237086964,-0.040453410050388584,-0.5762812332748285,0.016288310554306958,-0.027058396333270812,0.5329345263872508,-0.043346706887577774,-0.06532305075497283,-0.5715152626309679,-0.017693559715547248,-0.06123626707088635,0.5279725552756287,-0.043542707355339105,-0.09028091459667317,-0.5718553655212507,-0.049687891401548105,-0.09947248246311445,0.5220707744596843,-0.049784591061566345
don.low20.S,S,12,0.3485237013700637,-0.04260260369485336,-0.5209396220225515,-0.07561697322253888,-0.11404373313755005,0.48251286210754035,-0.03842675991501117,-0.06772710756777646,-0.5195062444811344,-0.10853524523114809,-0.1439876183915733,0.48405387132070915,-0.035452373160425224,-0.0930163005962634,-0.5221192994319934,-0.1428412417689583,-0.18299215868883323,0.4819683825121185,-0.040150916919874935
don.low200.L,L,13,0.3456196581196581,-0.008041931734414353,-0.5926230481173524,0.06131896114278,0.025129723996651032,0.5564338109712235,-0.03618923714612897,-0.02188085249393195,-0.5929937846444454,0.04571516087052064,0.008620910424896369,0.5558995341988211,-0.03709425044562427,-0.03651052694917469,-0.5937286832847793,0.029807532245591725,-0.011329841637844276,0.5525913094013434,-0.041137373883436
don.low200.S,S,13,0.343482905982906,-0.031323536615996586,-0.5126970928495054,-0.08941641622810022,-0.10231591966655973,0.4997975894110459,-0.012899503438459511,-0.04545071307424311,-0.5115181675433408,-0.10789981789480654,-0.11995984328393355,0.49945814215421375,-0.01206002538912701,-0.06031782949816613,-0.5122160101927407,-0.12481345055275873,-0.13596056626992015,0.5010688944755792,-0.011147115717161413
don.low30.L,L,12,0.35592599377175305,-0.037645640212405865,-0.5875968269608418,0.03128648263671585,-0.02334689795516638,0.5329634463689595,-0.05463338059188223,-0.06111378691408247,-0.5837198175191921,-0.001293611849565339,-0.052669606423093526,0.532343822945664,-0.051375994573528184,-0.08471454150193475,-0.5842122844554668,-0.03225586147417618,-0.09238355758433019,0.5240845883453128,-0.060127696110154005
don.low30.S,S,12,0.3503388899065763,-0.03795877254941883,-0.5202227640074806,-0.07004479292272942,-0.09940873802095626,0.49085881890925376,-0.029363945098226846,-0.06177652140215236,-0.519026217634544,-0.10235444689215725,-0.12879742643298717,0.49258323809371407,-0.026442979540829914,-0.08567434982308667,-0.5214650519329196,-0.13533234094976015,-0.1596564896876733,0.49714090319500637,-0.024324148737913137
don.low55.L,L,12,0.3544483069396163,-0.030441461388425715,-0.5839169083293481,0.039276745546463314,0.013271285579109313,0.557911448361994,-0.026005459967354,-0.05117666133078428,-0.5804793538381464,0.010225659806287365,-0.01291206580021671,0.5573416282316423,-0.023137725606504074,-0.07217705105843412,-0.580203996430575,-0.017191411800352628,-0.051409482312130855,0.5459859259187968,-0.03421807051177823
