family,offset,price,exitpath,immed
don.low20.S,0.49753280606704164,0.4825128621075403,-0.015019943959501347,-0.0426026036948533
don.low200.L,0.49900045088750133,0.5564338109712235,0.05743336008372213,-0.0080419317344143
don.low200.S,0.49951510775385366,0.4997975894110459,0.00028248165719224616,-0.0313235366159965
don.low30.L,0.4990918227109493,0.5329634463689595,0.03387162365801022,-0.0376456402124058
don.low30.S,0.4980394121821561,0.4908588189092537,-0.00718059327290238,-0.0379587725494188
don.low55.L,0.4987644121134689,0.557911448361994,0.05914703624852513,-0.0304414613884257
don.low55.S,0.4985004501819873,0.5318282966903801,0.03332784650839282,-0.0299392383434593
ema.above20.L,0.4952778939472186,0.537935480338313,0.04265758639109435,-0.0417939700761032
ema.above20.S,0.4991782720655289,0.4087338867488848,-0.09044438531664412,-0.0799121708673914
ema.above200.L,0.4977916665882187,0.4460028657274735,-0.05178880086074522,-0.0033145401633521
ema.above200.S,0.5011408919155428,0.4049718951918891,-0.0961689967236537,-0.0735945792666202
ema.above50.L,0.4949576077395822,0.5600228327939195,0.06506522505433732,-0.040183672609027
ema.above50.S,0.5002869914587758,0.4249927683505337,-0.07529422310824208,-0.068329243882815
ema.below20.L,0.4999784563654061,0.6090302671444795,0.10905181077907339,-0.0364682619016163
ema.below20.S,0.49597164130338317,0.4460337322015046,-0.049937909101878564,-0.0880663021885913
ema.below200.L,0.5001810571473246,0.4821318005887357,-0.01804925655858891,-0.0008102428163392
ema.below200.S,0.4961838706257592,0.3820791636313125,-0.11410470699444669,-0.0796204686138838
ema.below50.L,0.4987659639373737,0.5384679236593041,0.03970195972193036,-0.03692739346163
ema.below50.S,0.49589613314997594,0.4887925884752377,-0.007103544674738227,-0.0756031052380431
null.random0.L,0.4963839092994424,0.4888590766118292,-0.0075248326876132254,-0.1190930104999203
null.random0.S,0.49911406426986665,0.2097565397867329,-0.2893575244831338,-0.0301595853486121
null.random1.L,0.4999683178933482,0.5878038767951408,0.08783555890179257,-0.0633054906739447
null.random1.S,0.4983607218503255,0.4131725335386782,-0.08518818831164726,-0.0261421846327331
null.random2.L,0.4958563349032709,0.4097044332070385,-0.08615190169623244,-0.0922336869380805
null.random2.S,0.4978999016164597,0.5457099379239061,0.0478100363074464,-0.0196716697051472
null.random3.L,0.49839937955601243,0.680528149831193,0.1821287702751806,-0.0368106041600944
null.random3.S,0.500520213188461,0.3538874349918949,-0.14663277819656606,-0.1087912870908227
roc.dn12.L,0.49945217223171473,0.5239413970913367,0.02448922485962196,-0.0214613658011027
roc.dn12.S,0.49980227359472224,0.4482511582867197,-0.05155111530800255,-0.0193161884683784
roc.dn192.L,0.49797128718488987,0.4999760488509693,0.0020047616660794354,-0.0549513829486729
roc.dn192.S,0.4979512690003135,0.5168851975167917,0.018933928516478238,-0.0343708915032374
roc.dn48.L,0.5000157288711196,0.5470548365809534,0.04703910770983388,-0.0171447125541302
roc.dn48.S,0.49931487416665143,0.4587769312701838,-0.040537942896467616,-0.0356628127395409
roc.up12.L,0.49955575933004503,0.5754478211005585,0.07589206177051344,0.0057940714380084
roc.up12.S,0.49962928892842656,0.4414691981868077,-0.058160090741618875,-0.0567242680885599
roc.up192.L,0.49874323836546536,0.511803940634733,0.013060702269267643,-0.0076836867879207
roc.up192.S,0.4971489628470602,0.4137270856312369,-0.08342187721582334,-0.1099138135979435
roc.up48.L,0.4994569004627311,0.5981618548346492,0.09870495437191812,0.006006168090308
roc.up48.S,0.4994411784982944,0.3791200841498657,-0.12032109434842869,-0.0736500759680912
rsi.hi14.L,0.49872303165062165,0.517263295247313,0.01854026359669131,-0.0217555736351403
rsi.hi14.S,0.5000240656273621,0.4801725260328168,-0.01985153959454533,-0.082992287281052
rsi.hi28.L,0.5000224401897521,0.5494270748938098,0.04940463470405776,0.0342758134127296
rsi.hi28.S,0.4982196988781713,0.4277346906008739,-0.07048500827729742,-0.1034241917065823
rsi.hi7.L,0.4981422414361438,0.529905037232312,0.0317627957961682,-0.0358007809346993
rsi.hi7.S,0.49960503415204544,0.4593170136212682,-0.040288020530777235,-0.0726813489595554
rsi.lo14.L,0.49897405708560527,0.5608987917092958,0.061924734623690525,-0.0568487960056595
rsi.lo14.S,0.4983256678345015,0.5496993908927534,0.05137372305825194,-0.0132133114375615
rsi.lo28.L,0.4991174116889054,0.4458044746721186,-0.0533129370167868,-0.0857285460451077
rsi.lo28.S,0.49917100462282765,0.5047466590793646,0.005575654456536905,0.0325163678691904
rsi.lo7.L,0.4993765026124757,0.5138555228445328,0.01447902023205716,-0.048211724202087
rsi.lo7.S,0.4973395995529022,0.4911027424715331,-0.006236857081369063,-0.0355941063051131
shock.dn2.0.L,0.5003066797400488,0.5211908153855725,0.020884135645523716,-0.0184298616570702
shock.dn2.0.S,0.4987360720227913,0.4284344942471082,-0.07030157777568308,-0.0196406497774984
shock.dn3.0.L,0.5001920884683333,0.5099920534163491,0.009799964948015827,-0.0015202180091549
shock.dn3.0.S,0.4996618741597083,0.4249888709759345,-0.07467300318377379,-0.019050444909924
shock.up2.0.L,0.49889125901140374,0.5710132850207057,0.07212202600930195,-0.0053632429542227
shock.up2.0.S,0.5002110882542515,0.4999033733393855,-0.00030771491486603075,-0.0427843352653888
shock.up3.0.L,0.49964672920884623,0.6088343189881877,0.10918758977934151,-0.0106026536312312
shock.up3.0.S,0.49967812153199576,0.478985773890535,-0.020692347641460773,-0.0322725042736344
