family,side,expiry,fill_res,n_res,nf_res,mkt_res_R,sel_res,gap_res,immed_res,n_lk,nf_lk,mkt_lk_R,sel_lk,gap_lk,immed_lk,fill_lk
don.low55.S,S,12,0.34865456418179475,7767,2708,-0.0309910053236398,-0.5381134708385775,-0.8261568151815046,-0.029939238343459355,4303,1545,-0.025703331167040936,-0.5707828828185266,-0.89052891398409,0.017632285763661035,0.35905182430862187
ema.above20.L,L,15,0.3507836308228124,9188,3223,-0.025689752653960705,-0.48700014196157276,-0.7501353402083707,-0.04179397007610324,4925,1751,0.08783998050981576,-0.5563469286178321,-0.8632667370645314,-0.011079872807311547,0.35553299492385787
ema.above20.S,S,15,0.34370918589464516,9188,3158,-0.18225983697578066,-0.42585042061659906,-0.6488745712479788,-0.07991217086739148,4925,1705,-0.029411871586440982,-0.5554485640443616,-0.8495603037013916,-0.05122151868083904,0.3461928934010152
ema.above200.L,L,15,0.34834123222748814,2532,882,0.09813463785649958,-0.6002376293526314,-0.9210919257702197,-0.003314540163352111,1409,525,0.1609831920279389,-0.7041166671936202,-1.1222855023482023,-0.027425319223557117,0.37260468417317244
ema.above200.S,S,14,0.34636650868878355,2532,877,-0.1530586957272255,-0.48352297231095576,-0.7397463238014139,-0.07359457926662022,1409,439,0.02517270989738275,-0.6109151494583235,-0.8874014902956473,-0.02335867396947464,0.31156848828956707
ema.above50.L,L,14,0.35187488892838104,5627,1980,0.0025597031801418394,-0.525114007293307,-0.8102046940058785,-0.04018367260902701,3000,1049,0.03156775026782309,-0.5783109810607898,-0.8892531743630802,-0.0246626957980691,0.3496666666666667
ema.above50.S,S,14,0.34547716367513776,5627,1944,-0.13037365031789,-0.4536552274879874,-0.6931083261131972,-0.06832924388281506,3000,961,0.05636356120131971,-0.6485240808662495,-0.9541796187340601,-0.03994481967989284,0.32033333333333336
ema.below20.L,L,13,0.34461002937017293,9193,3168,-0.02164938128185528,-0.4829433467372009,-0.7368793670630851,-0.036468261901616346,4923,1768,0.08769752565074927,-0.5851774234789566,-0.9130993520719186,-0.027365746587452625,0.3591306114158034
ema.below20.S,S,13,0.3508103992167954,9193,3225,-0.19274506261251384,-0.4815050933589961,-0.7417017967910943,-0.08806630218859138,4923,1684,-0.010711439362674723,-0.4726623233376264,-0.7184058715008135,-0.047544398360446806,0.3420678448100752
ema.below200.L,L,13,0.3483234714003945,2535,883,0.09494438695529511,-0.5989831036375215,-0.9191417480152041,-0.0008102428163392147,1408,516,0.17184183845748652,-0.5644691228752811,-0.8910005885744346,-0.041313939668683575,0.3664772727272727
ema.below200.S,S,12,0.3428007889546351,2535,869,-0.1174319080257977,-0.5239663542386358,-0.7972717334903613,-0.07962046861388383,1408,480,0.06519609352174588,-0.6174041236667398,-0.936751084184019,-0.027694705308101843,0.3409090909090909
ema.below50.L,L,12,0.34808102345415776,5628,1959,-0.0015262916611476893,-0.46106996439119835,-0.707250411445534,-0.036927393461630084,2999,1081,0.0025414139453585113,-0.4422526124789072,-0.6915096896893862,-0.04302497193020967,0.3604534844948316
ema.below50.S,S,12,0.3468372423596304,5628,1952,-0.15013432368918758,-0.5087214543335151,-0.7788586357423892,-0.07560310523804319,2999,1025,0.06988712008052513,-0.5581558297610832,-0.8479783857413823,-0.03785777240262831,0.34178059353117707
null.random0.L,L,11,0.3551236749116608,566,201,-0.00020973777857349229,-0.4280382325784509,-0.663752437368228,-0.11909301049992037,279,79,,,,,
null.random0.S,S,16,0.3480565371024735,566,197,-0.11133050590972386,-0.5198415289304344,-0.7973721012862489,-0.03015958534861218,279,96,,,,,
null.random1.L,L,14,0.3570127504553734,549,196,-0.10464062486107716,-0.3800620318805725,-0.591087975927576,-0.06330549067394471,303,98,,,,,
null.random1.S,S,18,0.3551912568306011,549,195,-0.3008930146447501,-0.3934819471486221,-0.6102304773576089,-0.026142184632733108,303,114,-0.11913998148829312,-0.5431533452306327,-0.8707696487030778,-0.048588684994347854,0.37623762376237624
null.random2.L,L,14,0.34896810506566606,533,186,-0.07218429114397759,-0.39614950435791907,-0.608494771823547,-0.09223368693808055,298,100,-0.025972685422598094,-0.5645772599042715,-0.8497172901589541,-0.029274071022418722,0.33557046979865773
null.random2.S,S,16,0.3452157598499062,533,184,-0.04798596285960142,-0.47331000489729536,-0.722848804040855,-0.019671669705147273,298,110,0.024178427742393763,-0.4673649536591059,-0.7408231712256041,-0.021122273139910136,0.3691275167785235
null.random3.L,L,15,0.34594594594594597,555,192,0.08426508290215473,-0.4047064009952133,-0.6187659849926815,-0.036810604160094476,282,104,0.0355199526793506,-0.38669223932528407,-0.6126247836501691,-0.05549292069663683,0.36879432624113473
null.random3.S,S,14,0.35495495495495494,555,197,-0.1919888106463787,-0.589052489613975,-0.9131958987032296,-0.10879128709082272,282,99,,,,,
roc.dn12.L,L,15,0.35448783159871666,12779,4530,0.035815367017842124,-0.5200807687707011,-0.805687009834015,-0.021461365801102774,8676,3339,-0.025441999203990363,-0.4722807421860492,-0.7677548658808624,-0.02467560840388519,0.3848547717842324
roc.dn12.S,S,15,0.3430628374677205,12779,4384,-0.08892311938746052,-0.5307370528581551,-0.8078962237610916,-0.019316188468378473,8676,3094,-0.002487755795703015,-0.5017164270326882,-0.779808620733716,-0.0036517496581902208,0.3566159520516367
roc.dn192.L,L,16,0.357465710723192,12832,4587,-0.05564895929722425,-0.4803648079142049,-0.7476096076598032,-0.05495138294867293,9045,3503,-0.1360433298695244,-0.47370540673368533,-0.7731262006326568,-0.05979577660016274,0.38728579325594253
roc.dn192.S,S,16,0.35364713216957605,12832,4538,-0.03286863870717109,-0.5255075639283697,-0.8130350928778443,-0.03437089150323743,9045,3141,0.19224430124545938,-0.5815757701408011,-0.890981172243148,0.011141724064916815,0.3472636815920398
roc.dn48.L,L,17,0.3527864147333174,12543,4425,0.024259338090880184,-0.513590843892636,-0.7935415071378829,-0.017144712554130206,9201,3512,0.10994414425364353,-0.5832199239780809,-0.943260066887383,-0.028752705608455876,0.3816976415606999
roc.dn48.S,S,16,0.3481623216136491,12543,4367,-0.037065966855765166,-0.48692142502981745,-0.7469979738440558,-0.03566281273954099,9201,3301,0.037504389947645364,-0.5682836375489746,-0.8862335167945958,-0.0062546528513343184,0.35876535159221823
roc.up12.L,L,18,0.35183094047427005,12398,4362,0.1299249409119844,-0.548888759331838,-0.8468296214778657,0.0057940714380084815,8472,2981,0.131369167324301,-0.5694760080224012,-0.878637905657582,0.003085672213989185,0.3518649669499528
roc.up12.S,S,17,0.3548152927891595,12398,4399,-0.14934385248110643,-0.42996721793611997,-0.6664249991213921,-0.056724268088559994,8472,2858,-0.02788794335910835,-0.4660834287827371,-0.7033592462855983,-0.03396800108170708,0.3373465533522191
roc.up192.L,L,16,0.3477159741112466,10661,3707,0.05841248188901137,-0.5616850726478984,-0.8611050560108202,-0.007683686787920743,8470,2978,0.25741046726778083,-0.5791384708859261,-0.8931724050261823,0.013294978319972348,0.3515938606847698
roc.up192.S,S,15,0.3485601725916893,10661,3716,-0.3273369676540584,-0.4233383063477614,-0.6498502064756636,-0.10991381359794355,8470,2868,-0.05436335138080357,-0.4881556254846659,-0.7380717864789574,-0.08432230760498004,0.3386068476977568
roc.up48.L,L,19,0.35403253134530666,11804,4179,0.24001024180195465,-0.6245280237284913,-0.9668103333889981,0.006006168090308058,8516,3164,0.12052107666930541,-0.5618059411495295,-0.8939348645047447,-0.00602928815415814,0.37153593236261157
roc.up48.S,S,17,0.3505591324974585,11804,4138,-0.20690518560384402,-0.4547872023742205,-0.7002749982814113,-0.07365007596809124,8516,2846,-0.03879699007558005,-0.5006364839000189,-0.7519259782879296,-0.0306312812184064,0.3341944574917802
rsi.hi14.L,L,15,0.3464445868033312,7805,2704,0.18843692826660544,-0.6217528585567778,-0.9513391611518625,-0.021755573635140395,3956,1369,0.10600756638954685,-0.5499513372420551,-0.840976996571152,-0.016522978774875813,0.346056622851365
rsi.hi14.S,S,13,0.3468289557975657,7805,2707,-0.1084948190619243,-0.4466574526772374,-0.6838292307073045,-0.08299228728105201,3956,1256,0.02935923359574598,-0.6272487517260215,-0.9190355784548669,-0.038737979135119484,0.31749241658240646
rsi.hi28.L,L,16,0.3484243231247226,2253,785,0.23094968503796612,-0.6694795086131097,-1.0274777472107193,0.034275813412729644,980,357,0.22614103799002036,-0.5665181859538115,-0.8911522026239733,-0.002768692281390149,0.36428571428571427
rsi.hi28.S,S,14,0.355525965379494,2253,801,-0.22372768015531466,-0.3854162456508554,-0.5980322324045297,-0.10342419170658239,980,290,0.027200604041478654,-0.5374018951819514,-0.7632664598236412,-0.013207196332362682,0.29591836734693877
rsi.hi7.L,L,15,0.34174798472634704,18856,6444,0.09547198035129736,-0.5802586084850538,-0.8815143668703008,-0.035800780934699385,10163,3485,0.08107199766638798,-0.5555256628893246,-0.8454338592309383,-0.017060407865898797,0.34291055790613006
rsi.hi7.S,S,14,0.3507106491302503,18856,6613,-0.15983353941570203,-0.4460743502002248,-0.6870193537021513,-0.07268134895955543,10163,3285,0.029957389240427307,-0.5183026625817747,-0.7658490781940356,-0.04276545564188436,0.3232313293318902
rsi.lo14.L,L,11,0.3446822308690013,6168,2126,-0.020402795083996228,-0.531985038321564,-0.811797059962248,-0.0568487960056595,3190,1178,-0.0584603264092824,-0.4642795920873429,-0.7361092936176062,-0.025157787052146233,0.36927899686520377
rsi.lo14.S,S,13,0.34808690012970167,6168,2147,0.0008101754520233067,-0.6375952639910609,-0.9780372017649499,-0.013213311437561505,3190,1198,0.11165856875799311,-0.5736967389469163,-0.9187211833537466,0.003107842961071757,0.3755485893416928
rsi.lo28.L,L,12,0.3569338794616735,1709,610,0.019582095017288862,-0.5803433965176735,-0.9024630251580564,-0.08572854604510773,940,366,0.0017602742387891686,-0.503081875414796,-0.8238623046862512,-0.04697106405645828,0.3893617021276596
rsi.lo28.S,S,15,0.3469865418373318,1709,593,-0.02819728033182111,-0.649792692919894,-0.9950678424732069,0.032516367869190495,940,345,0.29534627227713617,-0.7889893285964025,-1.2464705359338124,0.048330388700449,0.3670212765957447
