trail,stop,target,block,n,R,pf,win,totR,ret_dd
on,1.5,2.0,research,374,-0.0003,0.999,28.6,-0.1,-0.01
on,1.5,2.0,locked,211,0.0749,1.251,34.1,15.8,1.13
on,1.5,3.0,research,372,-0.0095,0.972,28.5,-3.5,-0.28
on,1.5,3.0,locked,211,0.107,1.359,34.1,22.6,1.61
on,1.5,5.0,research,371,0.0094,1.028,28.3,3.5,0.24
on,1.5,5.0,locked,211,0.1355,1.454,34.1,28.6,2.01
on,1.5,0.0,research,371,0.0043,1.013,28.3,1.6,0.11
on,1.5,0.0,locked,211,0.1032,1.345,33.6,21.8,1.53
on,2.5,1.0,research,372,0.0018,1.008,30.4,0.7,0.05
on,2.5,1.0,locked,214,0.0437,1.203,35.5,9.4,1.07
on,2.5,2.0,research,370,-0.006,0.975,28.6,-2.2,-0.24
on,2.5,2.0,locked,211,0.0683,1.311,34.1,14.4,1.44
on,2.5,3.0,research,369,0.0017,1.007,28.5,0.6,0.06
on,2.5,3.0,locked,211,0.0864,1.393,34.1,18.2,1.71
on,2.5,5.0,research,369,0.0102,1.042,28.5,3.7,0.38
on,2.5,5.0,locked,211,0.0767,1.348,33.6,16.2,1.52
on,2.5,0.0,research,369,0.0131,1.054,28.5,4.8,0.49
on,2.5,0.0,locked,211,0.0708,1.321,33.6,14.9,1.4
on,4.0,1.0,research,371,0.0031,1.018,28.8,1.2,0.19
on,4.0,1.0,locked,211,0.0472,1.303,34.1,10.0,1.46
on,4.0,2.0,research,369,0.0027,1.015,28.5,1.0,0.15
on,4.0,2.0,locked,210,0.0617,1.394,34.3,12.9,1.64
on,4.0,3.0,research,369,0.0113,1.064,28.5,4.2,0.57
on,4.0,3.0,locked,210,0.0594,1.378,33.8,12.5,1.58
on,4.0,5.0,research,369,0.0111,1.063,28.5,4.1,0.56
on,4.0,5.0,locked,210,0.0542,1.346,33.8,11.4,1.45
on,4.0,0.0,research,369,0.0117,1.067,28.5,4.3,0.59
on,4.0,0.0,locked,210,0.0542,1.346,33.8,11.4,1.45
OFF,0.25,1.0,research,382,-0.1629,0.723,47.9,-62.2,-0.97
OFF,0.25,1.0,locked,215,-0.073,0.865,49.8,-15.7,-0.42
OFF,0.25,2.0,research,369,-0.0684,0.907,34.7,-25.2,-0.68
OFF,0.25,2.0,locked,210,-0.0311,0.956,34.8,-6.5,-0.2
OFF,0.25,3.0,research,362,-0.106,0.874,25.1,-38.4,-0.83
OFF,0.25,3.0,locked,205,0.2177,1.299,32.2,44.6,2.22
OFF,0.25,5.0,research,342,-0.033,0.964,18.1,-11.3,-0.2
OFF,0.25,5.0,locked,186,0.2374,1.282,21.5,44.1,1.96
OFF,0.5,1.0,research,372,-0.089,0.837,50.5,-33.1,-0.95
OFF,0.5,1.0,locked,215,-0.041,0.922,50.7,-8.8,-0.27
OFF,0.5,2.0,research,362,-0.0132,0.981,35.9,-4.8,-0.17
OFF,0.5,2.0,locked,206,0.0602,1.091,37.4,12.4,0.53
OFF,0.5,3.0,research,349,-0.0659,0.919,25.8,-23.0,-0.62
OFF,0.5,3.0,locked,198,0.2344,1.326,32.3,46.4,2.51
OFF,0.5,5.0,research,327,0.0934,1.106,19.9,30.5,0.92
OFF,0.5,5.0,locked,174,0.3048,1.37,22.4,53.0,2.12
OFF,1.0,1.0,research,359,-0.1143,0.796,47.9,-41.0,-1.02
OFF,1.0,1.0,locked,210,-0.0715,0.867,48.6,-15.0,-0.46
OFF,1.0,2.0,research,348,-0.0464,0.934,34.2,-16.2,-0.57
OFF,1.0,2.0,locked,200,0.0791,1.121,37.5,15.8,0.66
OFF,1.0,3.0,research,325,-0.039,0.951,25.8,-12.7,-0.3
OFF,1.0,3.0,locked,189,0.2649,1.374,32.3,50.1,3.73
OFF,1.0,5.0,research,298,0.0939,1.109,19.5,28.0,0.46
OFF,1.0,5.0,locked,164,0.25,1.304,21.3,41.0,2.0
OFF,1.5,1.0,research,352,-0.0479,0.909,50.3,-16.8,-0.59
OFF,1.5,1.0,locked,206,-0.0257,0.95,50.5,-5.3,-0.28
OFF,1.5,2.0,research,328,-0.0424,0.94,33.8,-13.9,-0.35
OFF,1.5,2.0,locked,188,0.1153,1.18,38.3,21.7,1.39
OFF,1.5,3.0,research,300,-0.0076,0.99,26.3,-2.3,-0.05
OFF,1.5,3.0,locked,173,0.1791,1.247,30.1,31.0,1.53
OFF,1.5,5.0,research,270,0.0755,1.088,18.9,20.4,0.36
OFF,1.5,5.0,locked,159,0.324,1.404,22.6,51.5,2.69
OFF,2.5,1.0,research,328,0.0536,1.113,54.6,17.6,0.78
OFF,2.5,1.0,locked,190,0.0248,1.051,52.6,4.7,0.29
OFF,2.5,2.0,research,286,0.0995,1.154,38.1,28.5,1.02
OFF,2.5,2.0,locked,165,0.1106,1.172,37.6,18.2,0.89
OFF,2.5,3.0,research,266,0.2348,1.331,32.0,62.5,2.17
OFF,2.5,3.0,locked,150,0.1272,1.173,28.7,19.1,0.87
OFF,2.5,5.0,research,219,0.2468,1.301,21.5,54.0,2.07
OFF,2.5,5.0,locked,138,0.233,1.287,21.0,32.2,1.5
OFF,4.0,1.0,research,299,0.061,1.13,54.5,18.2,1.6
OFF,4.0,1.0,locked,170,0.1218,1.278,57.1,20.7,2.63
OFF,4.0,2.0,research,252,0.2077,1.343,41.3,52.3,2.52
OFF,4.0,2.0,locked,143,0.2267,1.379,41.3,32.4,4.46
OFF,4.0,3.0,research,209,0.2512,1.359,32.1,52.5,3.28
OFF,4.0,3.0,locked,126,0.2828,1.411,32.5,35.6,3.31
OFF,4.0,5.0,research,163,0.2947,1.367,22.1,48.0,2.9
OFF,4.0,5.0,locked,108,0.5662,1.732,24.1,61.1,3.4
