stop,target,hold_h,n,pts,sd,se,t,sharpe,pf,win,mde,need_n,med_min,trigger,hold_pts
40,75,4.0,1218,-0.6225123152709371,52.94828046965989,1.5171489348620903,-0.410317208130607,-0.16640948371624859,0.9754381225139529,0.38341543513957305,4.250422029585467,-1,30.0,donch20 long,-4.595718954248376
40,100,1.0,1287,0.8685081585081592,51.26714456877943,1.4290580007173406,0.6077487114394212,0.24844191896075357,1.040578909364439,0.40093240093240096,4.003627770635773,27348,45.0,donch20 long,-3.143996737357224
40,100,2.0,1215,1.0244032921810695,57.10481921184745,1.6382667688568189,0.6252969978118382,0.2526968821011096,1.0415647848275593,0.37613168724279833,4.589743962954959,24389,45.0,donch20 long,-4.562972972972996
40,100,4.0,1174,1.4885349233390108,60.88189913976491,1.7768638132839114,0.8377315763935642,0.3347414948615185,1.0558406728718956,0.3534923339011925,4.9780353938960475,13130,45.0,donch20 long,-5.624634974533119
40,150,1.0,1262,0.7654675118858978,56.20071454213835,1.5820206930049359,0.48385429803193447,0.19525038661398947,1.0348394658780462,0.38589540412044376,4.432165788271463,42309,60.0,donch20 long,-2.9513175675675285
40,150,2.0,1178,1.895059422750427,65.06996206780352,1.8958671796589024,0.9995739380283903,0.399572421683669,1.0742116273681261,0.3522920203735144,5.311433466037904,9253,60.0,donch20 long,-2.2891212653778528
40,150,4.0,1126,2.202007104795739,71.4386103390033,2.128941866269198,1.0343199782409191,0.41143299181675347,1.0776834998774967,0.31261101243339257,5.964412062761621,8261,60.0,donch20 long,-3.4960283687943314
40,0,1.0,1237,1.5046645109135015,64.02829727369316,1.8204849913397108,0.8265184926387148,0.3287067564729876,1.0680004661795162,0.3799514955537591,5.100243841533849,14212,60.0,donch20 long,-3.705224913494746
40,0,2.0,1138,2.39365553602812,77.28639878470877,2.2910361423478167,1.0447916956801653,0.41674539719649795,1.0916703544848634,0.3365553602811951,6.418532990564202,8182,75.0,donch20 long,-2.26822878228779
40,0,4.0,1071,3.0078524743230637,91.88992798203023,2.807845295771923,1.071231552127289,0.42712450801499363,1.102422178113058,0.2875816993464052,7.866417875382655,7325,75.0,donch20 long,-8.10928838951304
50,20,1.0,1483,-4.023648010788939,30.341486398526545,0.7878912494450645,-5.106857086714588,-1.9548122650445974,0.7328580318489304,0.6426163182737694,2.20734447792585,-1,0.0,donch20 long,-7.299503546099274
50,20,2.0,1458,-4.6692866941015065,31.848768137656098,0.8340918489842473,-5.598048583963193,-2.1526734107848093,0.7134993436991969,0.6618655692729767,2.3367793946627815,-1,0.0,donch20 long,-7.612668579626972
50,20,4.0,1449,-4.587446514837817,32.22095249037205,0.8464555985532626,-5.4195949825112475,-2.085686733405868,0.7209604668002985,0.6721877156659766,2.371417492695785,-1,0.0,donch20 long,-7.670200860832136
50,30,1.0,1431,-3.6296226415094317,35.78671222123866,0.9460236291564068,-3.8367145699585303,-1.5015478548005434,0.8010355822919027,0.5611460517120894,2.650365815430174,-1,15.0,donch20 long,-5.923677991137348
