family,mkt_res_n,mkt_res_R,mkt_res_Rk,mkt_res_hold,mkt_res_fill,mkt_lk_n,mkt_lk_R,mkt_lk_Rk,mkt_lk_hold,mkt_lk_fill,lim_res_n,lim_res_R,lim_res_Rk,lim_res_hold,lim_res_fill,lim_lk_n,lim_lk_R,lim_lk_Rk,lim_lk_hold,lim_lk_fill,delta_res,immed_res,delta_lk,immed_lk
null.random0,566,-0.00020973777857349229,-0.11909301049992037,194.98939929328623,1.0,279,0.2657011875222739,-0.005495996400141867,214.98566308243727,1.0,99,0.4947009625851221,0.04890575712800052,202.4949494949495,0.17491166077738515,36,,,,,0.49491070036369555,-0.11909301049992037,,-0.005495996400141867
null.random1,549,-0.10464062486107716,-0.06330549067394471,207.98907103825135,1.0,303,0.24597479168080777,-0.001096604846172281,224.32343234323432,1.0,77,-0.0790348093047228,-0.02529656757310275,166.5974025974026,0.14025500910746813,47,,,,,0.025605815556354355,-0.06330549067394471,,-0.001096604846172281
null.random2,534,-0.0740149361255725,-0.09256231274745103,198.08988764044943,1.0,298,-0.025972685422598094,-0.029274071022418722,189.1006711409396,1.0,71,-0.04145476018568396,0.001765126770166703,193.11267605633802,0.13295880149812733,35,,,,,0.03256017593988854,-0.09256231274745103,,-0.029274071022418722
null.random3,559,0.07592798592465398,-0.03908226125499415,208.44007155635063,1.0,282,0.0355199526793506,-0.05549292069663683,195.75531914893617,1.0,73,0.08471385517657119,-0.016460391610245217,192.13698630136986,0.13059033989266547,46,,,,,0.008785869251917211,-0.03908226125499415,,-0.05549292069663683
roc.dn12,12455,0.05647147013494813,-0.023978847958617332,239.187796065837,1.0,8503,-0.026656747202577314,-0.023152224184811283,216.83782194519583,1.0,2084,0.0462438922115957,-0.03949915719464697,212.6257197696737,0.16732236049779206,1556,-0.016348828746231565,-0.010074261473576292,194.67737789203085,0.18299423732800188,-0.01022757792335243,-0.023978847958617332,0.010307918456345749,-0.023152224184811283
roc.dn192,11841,-0.0617094796275688,-0.054164706958881446,211.62190693353602,1.0,8979,-0.1187777999256733,-0.05598688723647334,195.65820247243568,1.0,1696,-0.08913263713291197,-0.07238320345082759,187.1928066037736,0.1432311460180728,1407,-0.15643004916764638,-0.04344059933270601,175.29921819474058,0.15669896424991647,-0.027423157505343174,-0.054164706958881446,-0.03765224924197308,-0.05598688723647334
roc.dn48,11867,0.03300941700733781,-0.01679734243311472,239.24513356366396,1.0,9003,0.1169180980602798,-0.02506052120075074,224.2620237698545,1.0,1620,0.03636769106494989,-0.04643740290632692,215.2783950617284,0.13651301929721074,1358,-0.0044665736317953085,-0.058654404682368565,194.90648011782034,0.15083860935243806,0.003358274057612083,-0.01679734243311472,-0.1213846716920751,-0.02506052120075074
roc.up12,12635,0.11723390134834069,-0.001419552784818897,250.4444004748714,1.0,8350,0.13281557675746603,0.006542152701865765,247.78035928143711,1.0,1584,0.1045873567664329,-0.0026042934389143334,213.85669191919192,0.12536604669568657,954,0.10480190986687393,-0.0023426700587213414,214.6069182389937,0.11425149700598802,-0.012646544581907795,-0.001419552784818897,-0.028013666890592093,0.006542152701865765
roc.up192,12528,0.06556052141792126,-0.014312763029817618,230.67544699872286,1.0,8389,0.23721541592029793,0.009176287023018481,220.48837763738229,1.0,1716,0.0014462865592265268,-0.013366524076371032,201.12645687645687,0.13697318007662834,1169,0.1270084382410929,0.025817552218829695,198.8443113772455,0.13934914769340803,-0.06411423485869473,-0.014312763029817618,-0.11020697767920504,0.009176287023018481
roc.up48,12558,0.2100353675813497,0.004315750585938668,257.50509635292246,1.0,8370,0.12806895144364294,-0.004863009588351346,245.23237753882916,1.0,1568,0.1466877980614337,-0.021859420111034016,223.9502551020408,0.12486064659977704,1045,0.13083191706232242,0.014756721001634608,225.07177033492823,0.12485065710872162,-0.06334756951991599,0.004315750585938668,0.002762965618679475,-0.004863009588351346
rsi.hi14,7832,0.1902587114675552,-0.02183229145815184,221.90040858018386,1.0,3956,0.10600756638954685,-0.016522978774875813,225.93629929221436,1.0,1139,0.053748514521384905,-0.05823254257161955,188.46971027216856,0.14542900919305413,558,0.1393816880133347,0.040962426703458454,207.5448028673835,0.141051567239636,-0.1365101969461703,-0.02183229145815184,0.03337412162378785,-0.016522978774875813
rsi.hi28,2262,0.23109813075949812,0.03450632316559822,244.75994694960212,1.0,980,0.22614103799002036,-0.002768692281390149,258.8081632653061,1.0,318,0.1370738485185206,-0.03482870914639744,205.41194968553458,0.14058355437665782,135,0.2535345473385226,0.0008297355795578094,229.97037037037038,0.1377551020408163,-0.0940242822409775,0.03450632316559822,0.027393509348502237,-0.002768692281390149
rsi.hi7,18948,0.09983591838989957,-0.036292033227649366,210.1896770107663,1.0,10163,0.08107199766638798,-0.017060407865898797,214.4813539309259,1.0,2642,0.06394644379280977,-0.041229092217916936,187.6218773656321,0.13943424108085287,1416,0.1714732706271956,-0.015446096412679832,197.02401129943502,0.13932893830561843,-0.0358894745970898,-0.036292033227649366,0.09040127296080763,-0.017060407865898797
rsi.lo14,6212,-0.02635403556863677,-0.05907278783480134,200.53976175144882,1.0,3190,-0.0584603264092824,-0.025157787052146233,203.15078369905956,1.0,1306,-0.05203655285251394,-0.09603444303509011,171.7166921898928,0.21023824855119125,745,-0.05426098030980705,-0.01090061535177056,180.63355704697986,0.2335423197492163,-0.02568251728387717,-0.05907278783480134,0.004199346099475351,-0.025157787052146233
rsi.lo28,1719,0.01323271248792457,-0.08685968941596715,206.70040721349622,1.0,940,0.0017602742387891686,-0.04697106405645828,228.60851063829787,1.0,338,-0.14209930328878723,-0.1373265356375419,173.16863905325442,0.1966259453170448,214,-0.0013349419185352232,-0.02950357008942723,193.21028037383178,0.2276595744680851,-0.1553320157767118,-0.08685968941596715,-0.003095216157324392,-0.04697106405645828
rsi.lo7,15161,-0.0412456126790967,-0.049821043290286776,197.5535914517512,1.0,8183,-0.04048379211784707,-0.02388220518028659,194.86630819992666,1.0,3057,-0.08267797745568758,-0.08381390296107977,170.6614327772326,0.20163577600422136,1790,-0.08643236630470047,-0.00902610116181794,174.4240223463687,0.21874618110717342,-0.04143236477659088,-0.049821043290286776,-0.0459485741868534,-0.02388220518028659
shock.dn2.0,4565,0.04876065102692022,-0.018773512710881384,228.53121577217962,1.0,2316,0.028049647078936545,-0.005700316542123583,229.70768566493956,1.0,1037,0.031976855311774605,-0.02630302074834094,205.02121504339442,0.22716319824753559,535,0.000160347349982781,-0.014381408034791912,198.45607476635513,0.23100172711571676,-0.016783795715145614,-0.018773512710881384,-0.027889299728953765,-0.005700316542123583
shock.dn3.0,1835,0.056921417972369624,-0.0022125733714587776,235.31226158038146,1.0,928,0.05109881529093036,-3.550574269876537e-05,227.07327586206895,1.0,455,0.06131499324352257,0.023642179657300543,211.44175824175824,0.24795640326975477,256,0.13411066584239356,0.021491869934250854,211.3046875,0.27586206896551724,0.004393575271152944,-0.0022125733714587776,0.0830118505514632,-3.550574269876537e-05
shock.up2.0,4286,0.07855990129936309,-0.004755754196257013,241.09869342043865,1.0,2146,0.11459346492610088,0.006046989320328759,253.95526561043803,1.0,690,0.07350431186129831,-0.0069327629124207426,212.8695652173913,0.16098926738217453,359,-0.04228242499976968,-0.008587726128918349,223.84122562674094,0.16728797763280523,-0.005055589438064778,-0.004755754196257013,-0.15687588992587057,0.006046989320328759
shock.up3.0,1519,0.10249130719996723,-0.008968357035207021,241.13956550362082,1.0,748,0.11383310860350074,0.027417550963596007,259.120320855615,1.0,289,0.20034650026716852,-0.027836842696874052,221.65397923875432,0.1902567478604345,138,-0.18735180254626063,0.005508842390218216,219.57246376811594,0.18449197860962566,0.0978551930672013,-0.008968357035207021,-0.30118491114976137,0.027417550963596007
