tf,ema,xr,end,fast,slow,uniq,n,pct,pf,win,mde,ratio,t
4.0,3.25/12.0,14.0,590,1,3,5,43,-0.01711814814758364,0.7581597536679225,0.4883720930232558,0.06400467827061576,-0.2674515146409618,-0.7493991440239749
4.0,3.25/12.0,14.0,600,1,3,6,45,-0.016295903683022937,0.75906810127624,0.5111111111111111,0.061148903804061294,-0.2664954344110519,-0.7467202072197674
4.0,3.25/12.0,14.0,615,1,3,7,47,-0.011572779974371743,0.8212940985692184,0.5319148936170213,0.059777125403140875,-0.19359880382879155,-0.542463848328274
4.0,6.5/24.0,3.5,590,2,6,8,25,0.02309593446515008,1.4290991410677225,0.64,0.08821114155565063,0.2618255932055853,0.7336353121620499
4.0,6.5/24.0,3.5,600,2,6,8,25,0.02309593446515008,1.4290991410677225,0.64,0.08821114155565063,0.2618255932055853,0.7336353121620499
4.0,6.5/24.0,3.5,615,2,6,9,26,0.022261519318294034,1.4301404122039982,0.6538461538461539,0.08478276721023915,0.262571275399531,0.735724713669486
4.0,6.5/24.0,7.0,590,2,6,10,29,0.021905172567637455,1.3829396919159866,0.6206896551724138,0.08294368588454712,0.2640969271383503,0.7399995898416576
4.0,6.5/24.0,7.0,600,2,6,11,30,0.02122233348204954,1.3837956924806483,0.6333333333333333,0.08015405251335411,0.26476931379749985,0.7418836172605947
4.0,6.5/24.0,7.0,615,2,6,12,32,0.025814531606313952,1.4979662790196078,0.65625,0.07650120356849394,0.33743954868894827,0.945505615426433
4.0,6.5/24.0,14.0,590,2,6,13,37,0.004516270509523836,1.066571987590137,0.5405405405405406,0.07467464816771655,0.0604793008114408,0.16946300087365712
4.0,6.5/24.0,14.0,600,2,6,14,39,0.004355556755447335,1.0676734218712423,0.5641025641025641,0.07079547071744494,0.06152309902466781,0.1723877234671192
4.0,6.5/24.0,14.0,615,2,6,15,41,0.008762480985439178,1.143126746090816,0.5853658536585366,0.06846026683418759,0.12799367268991396,0.3586382708771389
4.0,13.0/48.0,3.5,590,3,12,16,22,0.008960528935407606,1.1451452710079069,0.5909090909090909,0.09591414923852212,0.09342238873562127,0.26176953323721075
4.0,13.0/48.0,3.5,600,3,12,17,24,0.008329014216209645,1.1471808844023292,0.625,0.08775590677261655,0.09491115210957674,0.265941048211034
4.0,13.0/48.0,3.5,615,3,12,18,25,0.008051899273436967,1.1482125246932675,0.64,0.08417609016040228,0.09565542018040538,0.2680264873454959
4.0,13.0/48.0,7.0,590,3,12,19,26,-0.006826765049794176,0.90747809474695,0.5384615384615384,0.0903027654643773,-0.07559862662774379,-0.21182735181093812
4.0,13.0/48.0,7.0,600,3,12,20,28,-0.006240399524449448,0.9089192308550552,0.5714285714285714,0.08374079559294138,-0.074520423173236,-0.20880622573140728
4.0,13.0/48.0,7.0,615,3,12,21,30,0.0004887940085325273,1.0076436957412098,0.6,0.08013968150478444,0.0060992756566339195,0.01709017038988824
4.0,13.0/48.0,14.0,590,3,12,22,28,-0.02836075552932648,0.6864517972779829,0.4642857142857143,0.08995514062608148,-0.31527665158364054,-0.8834051777373609
4.0,13.0/48.0,14.0,600,3,12,23,30,-0.026377881673702572,0.68754343170803,0.5,0.08394348246222423,-0.3142338261409752,-0.8804831808470126
4.0,13.0/48.0,14.0,615,3,12,24,32,-0.01881067010220365,0.7623254209674614,0.53125,0.08084070710531441,-0.2326880945969243,-0.651992041060582
5.0,3.25/12.0,3.5,590,1,2,0,19,-0.0026219212412111367,0.9558544157067187,0.5789473684210527,0.09349472702541094,-0.02804351993560583,-0.07857794285956753
5.0,3.25/12.0,3.5,600,1,2,0,19,-0.0026219212412111367,0.9558544157067187,0.5789473684210527,0.09349472702541094,-0.02804351993560583,-0.07857794285956753
5.0,3.25/12.0,3.5,615,1,2,1,20,-0.007400161694004798,0.8793431787370238,0.55,0.08970168889128576,-0.08249746226042017,-0.23115788925369732
5.0,3.25/12.0,7.0,590,1,2,2,32,-0.047541165766086045,0.4485224256125608,0.375,0.06965272950159734,-0.6825456246477144,-1.9124928402628958
5.0,3.25/12.0,7.0,600,1,2,3,33,-0.04605746910414509,0.4490374743889221,0.3939393939393939,0.06763693925703756,-0.6809514092456934,-1.908025848706433
5.0,3.25/12.0,7.0,615,1,2,4,34,-0.0475906826686433,0.4336043286126057,0.38235294117647056,0.06575795353937997,-0.7237251177554215,-2.0278777799506913
5.0,3.25/12.0,14.0,590,1,2,5,36,-0.03348374468330238,0.5443132633594735,0.4722222222222222,0.06429489806043115,-0.5207838521157747,-1.4592363536284005
5.0,3.25/12.0,14.0,600,1,2,6,38,-0.032701625907301836,0.5370006622214913,0.47368421052631576,0.0609212383546261,-0.5367853115024313,-1.5040724428298125
5.0,3.25/12.0,14.0,615,1,2,7,39,-0.03438073114806549,0.5180488418184236,0.46153846153846156,0.059524825556649764,-0.577586424261678,-1.6183971607812218
5.0,6.5/24.0,3.5,590,1,5,8,19,-0.03901583923788885,0.44034178204302554,0.5263157894736842,0.08389308413795803,-0.4650662165874035,-1.3031155388779045
5.0,6.5/24.0,3.5,600,1,5,9,20,-0.04223822337170912,0.4084380299652938,0.5,0.08009849950984343,-0.5273285221344052,-1.4775745190206035
5.0,6.5/24.0,3.5,615,1,5,10,21,-0.04983248068137292,0.35788451408838584,0.47619047619047616,0.07910464224261554,-0.6299564635983776,-1.765138011002654
5.0,6.5/24.0,7.0,590,1,5,11,32,-0.04212632968931862,0.4631996408870725,0.46875,0.06906157240100441,-0.6099821974036889,-1.709170117125136
5.0,6.5/24.0,7.0,600,1,5,12,34,-0.04264956611454485,0.44541438296623215,0.47058823529411764,0.06524121267163505,-0.653721234907205,-1.8317269002099883
5.0,6.5/24.0,7.0,615,1,5,13,35,-0.047194367850547814,0.41351309719700297,0.45714285714285713,0.06461702900260669,-0.7303704391708256,-2.046497970556653
5.0,6.5/24.0,14.0,590,1,5,14,38,-0.040549093984453916,0.50091656054139,0.47368421052631576,0.06647598011135135,-0.6099811377964145,-1.7091671481055533
5.0,6.5/24.0,14.0,600,1,5,15,40,-0.04107270673113944,0.48511960966394113,0.475,0.06333677316798905,-0.6484812009952212,-1.81704432518861
5.0,6.5/24.0,14.0,615,1,5,16,42,-0.03944499723797795,0.5116713938640078,0.47619047619047616,0.06316980290514537,-0.6244280561901997,-1.7496474134449393
5.0,13.0/48.0,3.5,590,3,10,17,22,-0.04559420767050059,0.4336701922164894,0.5,0.08573604354695494,-0.531797430628229,-1.4900964006202977
5.0,13.0/48.0,3.5,600,3,10,18,25,-0.03680831940661241,0.5091293323068672,0.52,0.08001715151948584,-0.4600053701942742,-1.2889350472843562
5.0,13.0/48.0,3.5,615,3,10,19,26,-0.043150985078459964,0.4596676509416639,0.5,0.07890548152291682,-0.5468692953344116,-1.5323277655270215
5.0,13.0/48.0,7.0,590,3,10,20,26,-0.05144822936711277,0.418202555041644,0.46153846153846156,0.08156266532332897,-0.6307816102277041,-1.7674500718580268
5.0,13.0/48.0,7.0,600,3,10,21,29,-0.043268599308938956,0.4777451841505464,0.4827586206896552,0.07681031352115587,-0.563317571891195,-1.5784158364391285
5.0,13.0/48.0,7.0,615,3,10,22,31,-0.04092164499060406,0.5129041227866845,0.4838709677419355,0.07624324647489526,-0.5367248495127813,-1.5039030283348136
