mkt,block,rule,n,usd,mc_mean,p5,p50,p95,p_le0,dd_real,dd50,dd95,dd99,p_ctrl
US100L,LOCKED,(no filter -- the base),513,15.832770605299187,16.205408002695485,-5.328596355185771,15.83265824337683,38.488316883235775,0.124,3569.7010525760234,4956.549794238,7806.642319825377,9391.241121263378,
US100L,LOCKED,CHOP14 <= 35,226,38.83202374655993,39.83635515552004,10.562400263008882,38.69880685333507,70.68643456472351,0.016,1330.067916274289,2059.5817245164503,3334.240568784041,4132.978396561509,0.057356608478802994
US100L,LOCKED,CHOP14 <= 40,315,25.737310874262842,25.52433780389127,-1.3423513262820745,24.199029039956546,53.98029458145707,0.059,2024.0090418059335,3052.1248520971194,4924.193332541817,5846.66139980558,0.2518703241895262
US100L,LOCKED,CHOP14 <= 45,385,26.215435694983935,25.479873124277958,1.9102471127269112,25.32824502245181,49.1984894484003,0.038,2675.138817714702,3236.483398615786,5264.237550081769,6217.982054588671,0.20199501246882792
US100L,LOCKED,CHOP14 <= 50,457,15.707615280866616,15.129279216894803,-7.756874870572761,15.103033308860205,38.229953957577195,0.143,3782.1978384683,4475.653277608233,6986.218539861123,8457.29798527486,0.5037406483790524
US100L,LOCKED,ADX14 >= 20,387,21.834174545757925,22.325831712214143,-3.386106106315656,21.973280255424505,50.28502886102505,0.079,2566.7806982946286,3800.355724160121,5946.1225262393145,6872.82509649021,0.2817955112219451
US100L,LOCKED,ADX14 >= 25,283,11.201464088003126,10.212623887336166,-15.863421794381344,10.139660073785599,37.73240528657027,0.261,3041.4404067269006,3451.356585800634,5250.8925470833865,6612.257790540783,0.4912718204488778
US100L,LOCKED,ADX14 >= 30,204,-5.916018868389917,-5.843959901850689,-33.425930427257754,-6.332011741661873,24.066238627691142,0.648,4103.057139552127,4158.97949656222,6302.95179684035,7228.269255931419,0.8428927680798005
US100L,LOCKED,+DI > -DI,497,17.549258851487362,17.80990766384822,-5.454666589040382,17.17512999881631,43.47987908620821,0.112,3579.31266298515,4605.6619910911795,7375.125020728082,8836.79538289704,0.42643391521197005
US100L,LOCKED,RSI14 >= 50,513,15.832770605299187,16.205408002695485,-5.328596355185771,15.83265824337683,38.488316883235775,0.124,3569.7010525760234,4956.549794238,7806.642319825377,9391.241121263378,0.5062344139650873
US100L,LOCKED,RSI14 >= 55,512,15.798092863134103,16.102791847274997,-7.129304574954664,15.895869043792676,39.10272752552519,0.13,3569.7010525760234,5026.3673357820135,7667.7429201009345,9144.793580283793,0.4837905236907731
US100L,LOCKED,RSI14 >= 60,498,15.631633526819781,16.113180650975274,-6.894015931420377,15.262962647266086,40.56845901801127,0.121,3893.287985223386,4885.114768503277,7663.729600745646,9471.47325120799,0.5311720698254364
US100L,LOCKED,close > linreg(9),507,16.185954724153476,16.500253337004548,-6.946497455941375,16.704624601482767,40.66771217360471,0.122,3450.3810525760173,4822.039009503321,7827.866735599008,9206.431445167935,0.5087281795511222
US100L,LOCKED,linreg(9) slope > 0,512,14.635163593049343,14.825771016995255,-7.603777183298996,14.268878989489483,37.29443922277442,0.132,4101.739243039453,5004.332738341083,7906.042696065465,9606.123823637929,0.5261845386533666
US100L,LOCKED,close > linreg(21),509,16.321166015517484,16.67336347383824,-6.499357347594017,16.1796074050404,40.39960685310775,0.116,3617.620865384427,4787.050157152524,7512.179255938523,9081.832495984025,0.5187032418952618
US100L,LOCKED,linreg(21) slope > 0,470,21.571749941364764,22.544491355585762,-1.2367975205950799,22.996054663420246,46.63972099747637,0.062,3772.1381234198125,4267.050732086498,6773.782657766832,8177.775544246344,0.29177057356608477
US100L,LOCKED,close > linreg(50),509,16.25469327383365,16.77636540596899,-6.900564576032585,15.910949314410987,39.911855689166934,0.099,3569.7010525760234,4900.810973392881,7764.735651821469,9260.958313073073,0.5211970074812967
US100L,LOCKED,linreg(50) slope > 0,400,10.440523720647167,10.858757823242865,-11.695172876261248,10.782358491422386,34.071444033768614,0.233,3660.6622022525735,4528.19718282932,7292.886103301425,8598.466263633767,0.6683291770573566
US100L,LOCKED,linreg 9/21 value state,489,13.149431186140275,12.394674967313712,-7.90310931605801,12.09817581561074,33.514345492609564,0.162,3871.214675711327,4717.323369007643,7415.556519910832,8667.366995934275,0.6184538653366584
US100L,LOCKED,linreg 9/21 slope state,489,11.49930307377347,11.633158692075007,-9.918214515287831,11.41351960569334,33.07362148926884,0.172,4254.423377947184,5010.701049288215,7752.8160712520885,9586.10357477554,0.6708229426433915
US100L,LOCKED,close > SMA50,510,15.43696148176659,15.899070166256406,-8.866523363643674,15.417966274752729,39.022686772514724,0.127,3575.621649081917,4914.794754825025,7889.403893790533,9387.481189956687,0.5012468827930174
US100L,LOCKED,close > EMA50,508,16.40556712363784,17.30771162788846,-5.296855280663402,16.753923614745005,41.16749958628652,0.116,3601.810668856659,4907.144605396716,7418.616873683435,8945.782538563592,0.5261845386533666
US100L,LOCKED,close > SMA100,469,7.382040463465524,8.125703084889631,-13.213492502587668,8.015309421447636,30.51697175372221,0.259,3452.5090221551895,5235.557744502488,8301.132508289127,9505.97544665102,0.7506234413965087
US100L,LOCKED,close > EMA100,482,9.054019666550166,8.992202208234904,-15.712877992898859,9.209632436399097,34.3706597529464,0.283,4106.742304380279,5537.98993743129,8739.293140307449,10302.312747984588,0.7356608478802993
US100L,LOCKED,close > SMA200,426,13.314924043817468,13.401632821358286,-9.229000957375865,13.356642937825521,37.5133760529978,0.175,3122.3315046218704,4301.590639911769,6713.212707766001,8113.442260908246,0.57356608478803
US100L,LOCKED,close > EMA200,440,12.992827812655399,13.753543997614747,-8.13898190262995,14.018410669116097,36.05834226553663,0.15,3099.956935151902,4466.775083054401,7064.854279261298,8136.953515057697,0.5311720698254364
US100L,LOCKED,EMA50 > EMA200,344,9.231816284297043,8.740577978518973,-14.673069060179357,8.005088389968787,31.2595784516015,0.261,2834.733938319585,3852.510349679934,5935.778774650811,6738.893851607801,0.6533665835411472
US100L,LOCKED,efficiency ratio(20) >= 0.2,452,24.646018018399783,25.12942939615195,1.2794342395851104,24.606077747571412,49.70091331985134,0.043,3142.324751634318,3871.013503336463,6250.35882493328,7473.8449584721375,0.20448877805486285
US100L,LOCKED,efficiency ratio(20) >= 0.3,382,24.38160648863122,24.50866609779731,1.9048192146952556,23.72462911510786,48.81079513695717,0.038,2476.7369562356694,3197.281790929126,5136.84338858832,6091.627461690554,0.26433915211970077
US100L,LOCKED,ATR expanding (>= 1.10x mean),434,18.543857504280243,19.012820421806634,-6.374948436074588,18.4729859002939,47.95288736090168,0.12,4385.178534749759,4530.033214903036,7536.545788222152,8827.545049778659,0.43640897755610975
US100L,LOCKED,ATR contracting (<= 0.90x mean),201,-3.9081757333746774,-3.9036428480652874,-30.813014297469277,-4.204660619013502,24.82199876143497,0.599,2832.1773140352325,3866.737626562204,5802.932948420031,6459.25215817491,0.7980049875311721
US100L,LOCKED,vol percentile <= 0.5 (calm),290,3.046022895210143,2.877380054474304,-19.366557256800245,2.4550554710153656,26.57606817182664,0.445,2658.171936185153,3927.2084545055013,6008.463731600257,6639.086892920863,0.7680798004987531
US100L,LOCKED,vol percentile > 0.5 (fast),408,21.39721145333414,22.41012465880641,-4.368067293053845,22.824051329096623,48.93127763049499,0.087,4366.237182360319,4298.343437795208,6845.160694337734,7871.63387081931,0.2942643391521197
US100L,LOCKED,ATR pct rank(500) <= 0.2,139,-1.8712217522603294,-0.6309791096997881,-32.090515366312324,-1.011344046276935,29.700499006657203,0.524,2090.4587151909896,2722.6975708133596,4035.1913065298436,4636.214565553733,0.7356608478802993
US100L,LOCKED,"close > Bollinger upper(20,2)",465,6.999427569294247,6.325141114063901,-14.028394882620569,5.733373268614985,27.700616005274384,0.327,4046.53738735984,5519.417172575877,8574.92390966096,9807.380166032937,0.770573566084788
US100L,LOCKED,BB width > its 20-bar mean,444,20.16934935004653,20.919949738764654,-4.4078712687025146,21.29661746481363,46.29967516530003,0.077,4183.740917028149,4452.724975080326,6886.370876455599,8327.61492646629,0.3516209476309227
US100L,LOCKED,MACD histogram > 0,510,14.90822139563456,15.336821347845706,-7.185429073396475,14.56310206477006,38.569738511011245,0.129,3967.7143049499346,4941.596694923252,8091.354401859006,9617.69484658264,0.516209476309227
US100L,LOCKED,close > prior 55-bar high,345,18.408955436017177,19.23699262730857,-5.598864124773761,18.396160927102216,45.40318941945587,0.121,2888.9650801617827,3577.5563030231096,5724.6974880816215,6598.281291592293,0.36658354114713215
US100L,LOCKED,body >= 60% of range,460,16.66644605150093,16.889262946089023,-6.657934310176284,16.620337627176305,40.75736868008645,0.12,3378.275451136702,4668.322321470434,7206.496862114706,8479.233777886588,0.4837905236907731
US100L,LOCKED,body <= 30% of range,151,13.401292396675014,13.680954024285416,-24.382162626019515,13.402892179535929,53.27394161493689,0.28,1897.8704759388074,2763.6481353989757,4349.829634745468,5017.102424662036,0.4513715710723192
