mk,tf,read,n,band,stop,tp,cnt,mu,tot,pf,hold,cr
US30L,30,X slope cross,20,2.0s,1.5,2.0,2818,-0.00861828655320595,-24.28633150693437,0.9477381602999276,180.0,0.034832849423791314
US30L,30,X slope cross,20,2.0s,2.5,0.0,2106,-0.020272016751412165,-42.69286727847402,0.9070261013549361,405.0,0.021413453858030132
US30L,30,X slope cross,20,2.0s,2.5,2.0,2295,-0.02210101189072185,-50.72182228920665,0.8940233237472132,330.0,0.021048785157896908
US30L,30,V close>value,20,2.0s,1.5,0.0,10421,-0.003904639226559865,-40.690245379980354,0.9659262784433394,120.0,0.03541256797694447
US30L,30,V close>value,20,2.0s,1.5,2.0,11914,-0.006646126225824447,-79.18194785447247,0.9420838401049514,90.0,0.03446181540799485
US30L,30,V close>value,20,2.0s,2.5,0.0,9909,-0.004407082198139864,-43.66977750136792,0.9631250928440037,120.0,0.021324125091040508
US30L,30,V close>value,20,2.0s,2.5,2.0,10463,-0.005710883014090535,-59.752968976429266,0.952214911042734,120.0,0.020996578714878426
US30L,30,B channel break,20,2.0s,1.5,0.0,4033,-0.006456339441620488,-26.038416968055426,0.9514590196949506,120.0,0.03414594000807066
US30L,30,B channel break,20,2.0s,1.5,2.0,4290,-0.010716930708665872,-45.97563274017659,0.9188730350930783,90.0,0.033663340642034544
US30L,30,B channel break,20,2.0s,2.5,0.0,3937,-0.009300385093585557,-36.615616113446336,0.9346085544017322,150.0,0.020596924340123866
US30L,30,B channel break,20,2.0s,2.5,2.0,4046,-0.010331663471528913,-41.801910405805984,0.9274581237743644,120.0,0.02046724451295568
US30L,30,R channel revert,20,2.0s,1.5,0.0,4565,-0.010970170324432003,-50.0788275310321,0.9156870090340401,90.0,0.03346908257875381
US30L,30,R channel revert,20,2.0s,1.5,2.0,4581,-0.011977301861609021,-54.868019828030924,0.907541431316892,60.0,0.033441654328135104
US30L,30,R channel revert,20,2.0s,2.5,0.0,4263,-0.008839882723395866,-37.684420049836575,0.9360747755811232,120.0,0.02025064308199108
US30L,30,R channel revert,20,2.0s,2.5,2.0,4268,-0.009232618825945083,-39.40481714913361,0.9333601065343501,120.0,0.02022010930388452
US30L,30,B channel break,20,1.5A,1.5,0.0,3293,-0.009577455507572124,-31.538560986435005,0.9288041020891381,150.0,0.03214456598021334
