sym,n_entry,fast,slow,mode,atr,stop,targ,n,exp,excess,z,p,pf,wr,sel
NAS,10,5,20,sep0.5,pct<0.8,2.0,3.0,1021,-1.280391811400757,0.7711030916798913,0.6184232110217001,0.28,0.9187911610549233,0.41234084231145934,0.43382899628252786
NAS,10,5,20,sep0.5,pct0.2-0.8,1.0,2.0,991,-2.576014949650652,0.36785064939016987,0.40619751116958047,0.34,0.7630550371222901,0.32088799192734613,0.40483271375464686
NAS,10,5,20,sep0.5,pct0.2-0.8,1.5,2.0,991,-2.612331892569896,0.1080854814387684,0.1176199141144414,0.46,0.8017434234687681,0.4117053481331988,0.40483271375464686
NAS,10,5,20,sep0.5,pct0.2-0.8,2.0,3.0,991,-2.104880944918104,-0.0545217315081028,-0.039663549785855186,0.48,0.8722860245063854,0.4066599394550959,0.40483271375464686
NAS,10,5,20,sep0.5,exp>1.2,1.0,2.0,1125,-2.8750231198520275,-0.3951578519945156,-0.4626710221447326,0.62,0.7686735123103771,0.34844444444444445,0.4935563816604709
NAS,10,5,20,sep0.5,exp>1.2,1.5,2.0,1125,-2.971581265832992,-0.4944163527132641,-0.4736526229098508,0.7066666666666667,0.796219115984381,0.42044444444444445,0.4935563816604709
NAS,10,5,20,sep0.5,exp>1.2,2.0,3.0,1125,-3.2382083560684904,-1.020023188108249,-0.7734864879336779,0.78,0.8126043168943704,0.4142222222222222,0.4935563816604709
NAS,10,8,21,state,none,1.0,2.0,1418,-2.385169758636097,0.4324641006569294,0.6136291445875952,0.2733333333333333,0.786471020238577,0.3222849083215797,0.8553903345724907
NAS,10,8,21,state,none,1.5,2.0,1418,-2.46856381694317,0.31236522387926957,0.351360120405534,0.36666666666666664,0.8161278135139219,0.41114245416078987,0.8553903345724907
NAS,10,8,21,state,none,2.0,3.0,1418,-2.075793016979292,0.11783885629163793,0.0955639151705241,0.43333333333333335,0.8762533538906815,0.40550070521861775,0.8553903345724907
NAS,10,8,21,state,pct<0.8,1.0,2.0,1180,-2.654378009748072,0.14775956769900356,0.2081523619927191,0.41333333333333333,0.7485591818653922,0.3135593220338983,0.5275092936802974
NAS,10,8,21,state,pct<0.8,1.5,2.0,1180,-2.3938993265999637,0.368526835739158,0.4172192118529954,0.35333333333333333,0.8106622055525138,0.40847457627118644,0.5275092936802974
NAS,10,8,21,state,pct<0.8,2.0,3.0,1180,-1.7705854202997693,0.4789337606785904,0.35052585122150803,0.32666666666666666,0.8897026122526891,0.40423728813559323,0.5275092936802974
NAS,10,8,21,state,pct0.2-0.8,1.0,2.0,1148,-2.8740886785606823,0.022577525721011682,0.026708845893731317,0.52,0.7391097565157004,0.3083623693379791,0.4905824039653036
NAS,10,8,21,state,pct0.2-0.8,1.5,2.0,1148,-2.8329475734952383,-0.02672591180185524,-0.02655885236921195,0.46,0.7872427380158576,0.40505226480836237,0.4905824039653036
NAS,10,8,21,state,pct0.2-0.8,2.0,3.0,1148,-2.3313396393149417,-0.3849718554374757,-0.29822616554523146,0.64,0.8610889491690702,0.40505226480836237,0.4905824039653036
NAS,10,8,21,state,exp>1.2,1.0,2.0,1300,-2.1494288386346203,0.5118227806830333,0.6586082260540288,0.25333333333333335,0.8238962951223195,0.34615384615384615,0.5993804213135068
NAS,10,8,21,state,exp>1.2,1.5,2.0,1300,-2.624983316481732,-0.1441925031874356,-0.13630489853394706,0.56,0.8196338191400487,0.42,0.5993804213135068
NAS,10,8,21,state,exp>1.2,2.0,3.0,1300,-2.5921550879731092,-0.4862336410759944,-0.41309506195537804,0.6666666666666666,0.8488708281782907,0.41384615384615386,0.5993804213135068
NAS,10,8,21,cross4,none,1.0,2.0,837,-1.9650682135648212,0.5659937961220269,0.5651307453418265,0.26666666666666666,0.8226852903077915,0.32855436081242534,0.3168525402726146
NAS,10,8,21,cross4,none,1.5,2.0,837,-2.1222987542668346,0.5912722021085024,0.46873395314039723,0.3,0.8378970305288482,0.4050179211469534,0.3168525402726146
NAS,10,8,21,cross4,none,2.0,3.0,837,-1.3188953412479318,0.8768996389568067,0.7322123453238802,0.24666666666666667,0.9155564938979392,0.40860215053763443,0.3168525402726146
NAS,10,8,21,cross4,pct<0.8,1.0,2.0,555,-2.084822985359534,0.7705497975187443,0.6964399575207003,0.19333333333333333,0.7988017236210346,0.3171171171171171,0.17608426270136307
NAS,10,8,21,cross4,pct<0.8,1.5,2.0,555,-1.2699245306082678,1.578994951239345,1.1207712830393959,0.14,0.8946159879796122,0.4198198198198198,0.17608426270136307
NAS,10,8,21,cross4,pct<0.8,2.0,3.0,555,0.2979352906174353,2.592943393241402,1.355700696648922,0.06666666666666667,1.0198134490151158,0.42882882882882883,0.17608426270136307
NAS,10,8,21,cross4,pct0.2-0.8,1.0,2.0,523,-1.6620956226818306,1.0731378422678366,0.885778362124111,0.19333333333333333,0.8418194152613881,0.32122370936902483,0.1644361833952912
NAS,10,8,21,cross4,pct0.2-0.8,1.5,2.0,523,-1.210793528499361,1.4724228179327765,1.0449486198432718,0.17333333333333334,0.9024095694077985,0.42447418738049714,0.1644361833952912
NAS,10,8,21,cross4,pct0.2-0.8,2.0,3.0,523,-0.0332167948870666,2.1745463140317307,1.344205081634759,0.09333333333333334,0.9978649862025445,0.43021032504780116,0.1644361833952912
NAS,10,8,21,cross4,exp>1.2,1.0,2.0,691,-0.9717633420082278,1.3535217767092518,1.2155392975345252,0.08666666666666667,0.9164898016437448,0.3429811866859624,0.23382899628252787
NAS,10,8,21,cross4,exp>1.2,1.5,2.0,691,-2.3936012126190604,0.11375512372581476,0.08963916080111935,0.46,0.8306325992590432,0.39652677279305354,0.23382899628252787
NAS,10,8,21,cross4,exp>1.2,2.0,3.0,691,-2.194992354239397,-0.06631928723239566,-0.042670647924046054,0.5333333333333333,0.8649899062318193,0.3979739507959479,0.23382899628252787
NAS,10,8,21,cross8,none,1.0,2.0,944,-1.6658526857077733,1.0798786333997388,1.264151528664359,0.12,0.8468296024703226,0.3294491525423729,0.43804213135068154
NAS,10,8,21,cross8,none,1.5,2.0,944,-1.6004192330620508,1.0779402109482452,0.9549607137065713,0.16,0.8750412615810084,0.4120762711864407,0.43804213135068154
NAS,10,8,21,cross8,none,2.0,3.0,944,-1.185882942964682,0.9153900919205202,0.7685450999351894,0.21333333333333335,0.9243612209853416,0.4078389830508475,0.43804213135068154
NAS,10,8,21,cross8,pct<0.8,1.0,2.0,669,-2.2606415447684567,0.5606014106828212,0.5463038169200866,0.26,0.7808841867813464,0.31390134529147984,0.24857496902106568
NAS,10,8,21,cross8,pct<0.8,1.5,2.0,669,-1.391159895574519,1.5236040036927312,1.188813417009171,0.10666666666666667,0.8842634076013618,0.41853512705530643,0.24857496902106568
NAS,10,8,21,cross8,pct<0.8,2.0,3.0,669,-0.5701658525792559,1.5646131815810973,0.9281178475503439,0.18666666666666668,0.9627999381160834,0.41853512705530643,0.24857496902106568
NAS,10,8,21,cross8,pct0.2-0.8,1.0,2.0,640,-1.914995740425944,1.0065226692870306,1.002337687260332,0.16,0.8198223343976385,0.3203125,0.23271375464684016
NAS,10,8,21,cross8,pct0.2-0.8,1.5,2.0,640,-1.4721483327007945,1.499968483184501,1.2529959339615924,0.09333333333333334,0.883377672298939,0.4234375,0.23271375464684016
NAS,10,8,21,cross8,pct0.2-0.8,2.0,3.0,640,-0.6957667197864765,1.7625715820797878,1.0290016971010623,0.13333333333333333,0.956455627607028,0.425,0.23271375464684016
NAS,10,8,21,cross8,exp>1.2,1.0,2.0,828,-1.3893774307209137,1.2337597707456385,1.0903521880674127,0.12666666666666668,0.8813542699441561,0.3526570048309179,0.3193308550185874
NAS,10,8,21,cross8,exp>1.2,1.5,2.0,828,-3.1324454748040815,-0.7501791192628873,-0.6296492447860207,0.72,0.7838268452039796,0.4057971014492754,0.3193308550185874
NAS,10,8,21,cross8,exp>1.2,2.0,3.0,828,-2.8953745270087103,-0.6285140762599211,-0.4511620541355987,0.6333333333333333,0.8272508875005175,0.4082125603864734,0.3193308550185874
NAS,10,8,21,sep0.25,none,1.0,2.0,1324,-2.7381469003278225,-0.032803364413430014,-0.04686610095331927,0.5266666666666666,0.7594689235842911,0.3255287009063444,0.7080545229244114
NAS,10,8,21,sep0.25,none,1.5,2.0,1324,-3.0799318404041873,-0.36623671636159116,-0.40488834327363127,0.6466666666666666,0.777224573207011,0.4025679758308157,0.7080545229244114
NAS,10,8,21,sep0.25,none,2.0,3.0,1324,-2.913591870264153,-0.7919650369766185,-0.668462989703098,0.7666666666666667,0.8296710045618083,0.3987915407854985,0.7080545229244114
NAS,10,8,21,sep0.25,pct<0.8,1.0,2.0,1040,-2.431503961758896,0.41392801932918566,0.5282199517649704,0.31333333333333335,0.7708240655690247,0.3230769230769231,0.4379182156133829
NAS,10,8,21,sep0.25,pct<0.8,1.5,2.0,1040,-2.289675623763783,0.4224537309209846,0.41934191866642423,0.3,0.8214618587719639,0.4096153846153846,0.4379182156133829
NAS,10,8,21,sep0.25,pct<0.8,2.0,3.0,1040,-1.6795657957482377,0.6972314834133742,0.49449378922397647,0.30666666666666664,0.89626604993691,0.40576923076923077,0.4379182156133829
