,rng.width,rng.width_pct,rng.brk,rng.brk_pct,rng.ext,rng.mins,mom.gap,mom.age,mom.age_opp,mom.slope,mom.gate,mom.ret30,mom.side,vol.park30,vol.rv30,vol.atr_tod,vol.rng_tod,vol.atr_pct,pre.gap,pre.h8dir,pre.h8rng,pre.h8act,vlm.bar_tod,vlm.v10_tod,flow.cpos,flow.cvd10,flow.cvd30,flow.cvd_bar,flow.up10,tf.min
mom.gate,0.028340508342146284,-0.12200117851523809,0.1425500872535834,0.12354111494034535,0.05630694622555895,-0.003420562160058802,0.04502168022876725,-0.6224648283533024,-0.36187456028056286,0.31383859610062,1.0,0.1094822740459781,0.04816236361443075,-0.01583759789153005,-0.00397929595264562,0.01657337934613865,-0.04307609256613486,-0.10923948820676839,-0.0716086901039818,0.013151804434212941,-0.10919122842702768,0.036522393315921366,-0.05344991222618905,-0.09961358822833988,0.15435610765779026,0.17888113815041587,0.05151989987526524,0.18984394523107545,0.14636529645893506,-0.20357119978090768
mom.ret30,-0.010973401328867014,0.14088142982176122,0.8223339593435991,0.9093943341698272,0.6418685647784208,0.009100205810322556,0.1263311309827361,-0.10009081613779072,0.04515108602410783,0.5830142216277644,0.1094822740459781,1.0,-0.07077106832088542,0.14018042996275737,0.18157957275112196,0.2190070860805717,0.10637634960163646,0.11610735766160916,-0.06785205546528468,-0.06833767339784502,0.08861794546559827,0.057505343905864606,0.15201591536410175,0.15862462509122852,0.5329326143638485,0.43102007520060076,0.5645474740209243,0.3649883795783765,0.37023529669878863,0.00892860804238864
mom.side,0.01874647906105948,-0.022695084919909275,-0.0298649331161913,-0.06558264104744277,-0.05921445990823052,-0.040665265434932325,0.11839455672630157,-0.022250128326013877,0.011228763203173045,0.047348659911631716,0.04816236361443075,-0.07077106832088542,1.0,-0.05470188009926853,-0.04431928916334179,0.04256106190898274,0.07520479062474222,-0.04114948076775318,0.1378967480445025,0.05722265486360188,-0.011133539648214352,-0.002938695849466997,0.03669273974680686,-0.03092306123212341,0.01762506108389091,0.16497310142544172,0.08226463818748544,0.041499011909767757,0.05180231630400921,0.0017648238724503208
vol.park30,-0.6084121263419342,0.4361678331195194,-0.18329528707029374,0.005186347454600951,-0.14218009651743757,0.7812840545050839,-0.20558597370021195,0.3042347125900517,0.28174393914377355,-0.1439680887206424,-0.01583759789153005,0.14018042996275737,-0.05470188009926853,1.0,0.9481173398735739,0.23937840908762223,-0.020055411867974344,0.9012679834170464,-0.06539080126270704,-0.01638002877859086,0.20283899865223567,0.00010224544146334256,0.3047783241275814,0.41170901934634097,0.009696706707645653,-0.022082249463346647,-0.09635246507401736,0.012529450008275338,0.015106530957868907,0.5741067000123528
vol.rv30,-0.6215857470115606,0.372316667672044,-0.11888870102731942,0.0649148333179383,-0.09067048632470662,0.7243348196404357,-0.18974739507025837,0.2977117882346672,0.2836543041095198,-0.11931747626796693,-0.00397929595264562,0.18157957275112196,-0.04431928916334179,0.9481173398735739,1.0,0.26572759728338174,-0.020212128363679093,0.86277957508885,-0.070593942018397,-0.004097527722695701,0.1789217956262761,-0.035266647038639756,0.32342562339160524,0.3849209390771924,0.06050333923923184,0.0025926846548357555,-0.07403566072605315,0.041887322986208425,0.026897896562108142,0.543909351818427
vol.atr_tod,0.04433606144051992,0.26325624941016373,0.1567396246017671,0.16938592386488246,0.04305043381043487,-0.19716429789460713,0.1531991418729326,-0.0977428285167589,-0.07213841777047823,0.1852931881292875,0.01657337934613865,0.2190070860805717,0.04256106190898274,0.23937840908762223,0.26572759728338174,1.0,0.6971952646594797,0.1450218275492459,0.01430288291377452,0.08794173212447862,0.36382091212303896,-0.02188869167751524,0.42293770740285014,0.4575436622484978,0.12982081986882524,0.10879134844707138,0.07953927559622948,0.11661092058120005,0.13177989451626024,-0.17578118445066018
vol.rng_tod,0.23498040190699768,0.1942319692356987,0.10595709004740012,0.0666942557248516,0.003096061500688191,-0.24919751331564882,0.265551510070999,-0.04695953116476368,0.013431236145162978,0.14493764027916578,-0.04307609256613486,0.10637634960163646,0.07520479062474222,-0.020055411867974344,-0.020212128363679093,0.6971952646594797,1.0,-0.08610524015428814,0.06746640102997252,0.1352665041136654,0.1907702921750766,0.019692902823703843,0.3550986853505285,0.3477451409068491,-0.019668526647922145,0.01482855061737035,0.11444768907695951,-0.0743944750845057,0.06700061846552942,-0.10939584721615805
vol.atr_pct,-0.7180251964760613,0.4093633685773543,-0.19991744017340785,0.011555181616442024,-0.10865973106873351,0.8297002324678454,-0.24676024701502328,0.4684454447360756,0.4660726577318422,-0.24404704478755015,-0.10923948820676839,0.11610735766160916,-0.04114948076775318,0.9012679834170464,0.86277957508885,0.1450218275492459,-0.08610524015428814,1.0,-0.06284472910019993,-0.022562486313719585,0.1737459798734507,0.003430042527255826,0.2484367743888544,0.3131769595819859,-0.021031866667911236,-0.052094048817196766,-0.08207951611147064,-0.0772132772003307,-0.010591784531829213,0.8118142814601772
pre.gap,0.0957848282011068,0.04178798489754706,-0.06313451219180286,-0.08645827676348249,-0.009885890512437061,-0.08645953060958371,0.4653139601261743,0.026172475726586937,0.015951588267521147,-0.015663870969601753,-0.0716086901039818,-0.06785205546528468,0.1378967480445025,-0.06539080126270704,-0.070593942018397,0.01430288291377452,0.06746640102997252,-0.06284472910019993,1.0,0.34346598395554057,0.021323698846583066,-0.0005089229128399005,0.07302837799371052,0.07534193512003519,-0.09367916850101565,0.013862281587039582,0.07124738257310613,-0.04491303841322603,0.03266214051489541,0.003249953831323352
pre.h8dir,0.03781159211282712,0.03319008168465391,-0.07912654637886966,-0.08253470438122283,-0.09911888029320594,-0.032416771525673474,0.5661108252672061,-0.12775646947528432,0.09825907034298054,0.07316921396120854,0.013151804434212941,-0.06833767339784502,0.05722265486360188,-0.01638002877859086,-0.004097527722695701,0.08794173212447862,0.1352665041136654,-0.022562486313719585,0.34346598395554057,1.0,0.019151542415803424,-0.0020292144506509338,0.10096418667197356,0.08173789367301941,-0.03493154431439827,0.07440967053379172,0.050000908254341885,-0.019523545642737464,0.10368404618861025,-0.008940633755410304
