stop,tgt,be,arm,tr,n_r,pts_r,pf_r,sh_r,dd_r,n_l,pts_l,pf_l,sh_l,dd_l
1.5,2.0,0.0,0.0,1.0,187,-4.682325704649657,0.7632906968536708,-1.0980062045790295,1175.4457502974574,95,5.452566973252139,1.2594308875580693,0.8270562594978259,634.3612838774499
1.5,2.0,0.0,1.0,0.75,187,-3.038165416212445,0.8146105558010441,-0.8216372355286772,1018.1333002098424,97,4.132438583949781,1.2506247105591062,0.8803378245517139,321.77021319707444
1.5,2.0,0.0,1.0,1.0,187,-3.630676455911229,0.7787139866090873,-0.9623523385430375,1003.7649260196292,97,3.4685529652227918,1.2099348760102666,0.6703651441011067,367.3549991660783
1.5,2.0,0.0,1.0,1.5,187,-3.708089006124751,0.7891925268772375,-0.9275828298861929,1063.3607957900356,96,4.959536346445046,1.274664827376522,0.8133198166075793,547.1457883714928
1.5,2.0,0.0,1.5,0.75,187,-4.841019516304251,0.7480871236274175,-1.179746643211317,1191.6548954888353,97,6.565282231613442,1.3499728753559703,1.112767205340717,377.7024528429855
1.5,2.0,0.0,1.5,1.0,187,-4.546312483138966,0.7634228387927581,-1.0811609077089697,1104.533246987158,97,6.909748333990549,1.368335192170179,1.107124786684818,402.8473642350208
1.5,2.0,0.0,1.5,1.5,187,-4.726820816196595,0.7540992237367008,-1.117886422042864,1162.1644340323571,96,6.152588382352469,1.324358123560625,0.9671228660809751,518.3657733157993
1.5,2.0,1.0,0.0,1.0,187,-3.6624355802013904,0.7765174690605002,-0.9692913129747853,1035.420270352134,96,3.870174958422343,1.2322991271115944,0.7248378401326369,391.8758439956571
1.5,2.0,1.0,1.0,0.75,187,-3.038165416212445,0.8146105558010441,-0.8216372355286772,1018.1333002098424,97,4.132438583949781,1.2506247105591062,0.8803378245517139,321.77021319707444
1.5,2.0,1.0,1.0,1.0,187,-3.178915004157256,0.8060219885883839,-0.8422880118656056,957.0256705485488,97,4.197268574994898,1.2545565288816674,0.81280179940223,355.88564771154586
