,0
19835,7.526642641308427
19836,0.0
19837,0.0
19838,15.601744805587513
19839,-76.59258519370152
19842,-68.2239146997685
19843,60.13888120395728
19844,32.53
19845,-49.620365094126754
19846,0.0
19849,-5.97
19850,0.0
19851,0.0
19852,21.429330598775124
19853,0.0
19856,0.0
19857,54.05995097211169
19858,0.0
19859,-29.212739979337783
19860,0.0
19863,8.53
19864,0.0
19865,-9.97
19866,0.0
19867,78.10092284293438
19870,-15.984214470422303
19871,-54.5989809610098
19872,0.0
19873,-67.60678366135238
19874,0.0
19877,-80.44885216348368
19878,13.03
19879,-64.59158506560445
19880,0.0
19881,-75.44515841483619
19884,0.0
19885,0.0
19886,0.0
19887,0.0
19888,-5.72
19891,0.0
19892,0.0
19893,2.392955124324799
19894,0.0
19895,-23.22
19898,0.0
19899,0.0
19900,0.0
19901,-32.87529482266487
19902,-19.81645570776047
19905,79.78921742092032
19906,117.03585363637947
19907,0.0
19908,-9.800383728327434
19909,11.583515402516495
19912,30.03
19913,-7.22
19914,-35.482864896172686
19915,58.7584308761009
19916,65.39531589170045
19919,90.48692356673797
19920,456.91664806425234
19921,0.0
19922,0.0
19923,13.095822806387586
19926,-38.70319909808924
19927,0.0
19928,0.0
19929,228.49617056570176
19930,-13.97
19933,0.0
19934,105.53
19935,-89.49120682588793
19936,-89.5079923173484
19937,0.0
19940,0.0
19941,-183.7206738936936
19942,0.0
19943,29.488556468725875
19944,25.28
19947,0.0
19948,0.0
19949,131.64949637955695
19950,91.51263460416638
19951,0.0
19954,85.87229221940885
19955,0.0
19956,0.0
19957,13.607647540903853
19958,-35.90209790384935
19961,0.0
19962,0.0
19963,87.28
19964,-74.77285881563759
19965,109.48825242531763
19968,0.0
19969,0.0
19970,103.64974095454687
19971,0.0
19972,321.03
19975,0.0
19976,0.0
19977,29.13417549716658
19978,-95.80102245616828
19979,-18.764104384952077
19982,0.0
19983,23.361335723560188
19984,7.181933970014654
19985,-48.62122701419517
19986,0.0
19989,-67.10429611945568
19990,69.9030836848772
19991,0.0
19992,-32.146065173094684
19993,0.0
19996,0.0
19997,0.0
19998,0.0
19999,11.872195690740481
20000,0.0
20003,-74.88667543786272
20004,-42.86907213095648
20005,5.223924137092836
20006,33.50110987512977
20007,18.586767739182108
20010,0.0
20011,8.69893679781424
20012,0.0
20013,-37.51471812721633
20014,25.28
20017,0.0
20018,-2.7199999999999998
20019,0.0
20020,46.588503895776086
20021,0.0
20024,-41.53552541644123
20025,-46.9887019094119
20026,0.0
20027,0.0
20028,11.938558511961018
20031,0.0
20032,12.552079329348343
20033,19.03
20034,0.0
20035,-11.97
20038,0.0
20039,-68.96037220056809
20040,16.28
20041,0.0
20042,-33.077615481803804
20045,0.0
20046,0.0
20047,0.0
20048,6.094856931542893
20049,0.0
20052,0.0
20053,0.0
20054,-39.19415726327017
20055,-15.355963234777592
20056,88.03
20059,18.28
20060,-28.14556528557179
20061,35.233271939980625
20062,0.0
20063,97.84669601446265
20066,84.12655118664276
20067,62.53
20068,70.84806213621894
20069,9.771523966564272
20070,0.0
20073,0.0
20074,0.0
20075,0.0
20076,0.0
20077,0.0
20080,0.0
20081,-31.284317627566196
20083,65.66670259761173
20084,0.0
20087,0.0
20088,-46.97
20090,-85.23349894261148
20091,57.87131429356057
20094,38.81570364272309
20095,0.0
20096,-23.22
20097,8.565316141595103
20098,0.0
20101,-33.97
20102,31.267577284817236
20103,62.03
20104,0.0
20105,0.0
20108,0.0
20109,65.02592156919243
20110,0.0
20111,32.53
20112,35.28
20115,0.0
20116,-105.5587687312752
20117,0.0
20118,-104.22
20119,134.28
20122,-83.81545765380244
20123,0.0
20124,0.0
20125,-26.72
20126,-73.88247048021978
20129,0.0
20130,38.5263094786508
20131,-116.06230940806446
20132,127.17082453511335
20133,34.03
20136,0.0
20137,0.0
20138,25.9917299218892
20139,135.96625582652385
20140,0.0
20143,-46.69580165693216
20144,0.0
20145,0.0
20146,354.3242023699943
20147,-240.46284614699965
20150,45.46962863211098
20151,-188.7411269365318
20152,35.03
20153,0.0
20154,-183.19320819626722
20157,-126.48138718844231
20158,49.81029017073641
20159,187.53
20160,-102.8371226808583
20161,95.03
20164,-63.33335964329919
20165,-30.72
20166,0.0
20167,0.0
20168,-50.92809068431845
20171,0.0
20172,56.28
20173,-37.210171493260276
20174,0.0
20175,-63.867577677572115
20178,0.0
20179,0.0
20180,0.0
20181,46.980599484520354
