stop,tgt,be,arm,tr,n_r,pts_r,pf_r,sh_r,dd_r,n_l,pts_l,pf_l,sh_l,dd_l
1.5,1.5,0.0,1.0,1.5,302,-1.1071890350582905,0.9355727686557237,-0.36153093012498755,975.0461817423922,151,6.8324419823791835,1.344448955129242,1.3968849624742845,460.14266517777787
1.5,1.5,0.0,1.5,0.75,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,1.5,0.0,1.5,1.0,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,1.5,0.0,1.5,1.5,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,1.5,1.0,0.0,1.0,303,-0.40844958659443226,0.9745454528673658,-0.1383719765568136,963.718304890729,151,6.828585200172871,1.3769163103788369,1.4075667620139316,494.6077400378649
1.5,1.5,1.0,1.0,0.75,303,-0.4478437460974824,0.9720904118470487,-0.15510947542538028,992.3152996461985,152,8.73096659503454,1.4851132826085935,1.799326897079958,409.5683701803539
1.5,1.5,1.0,1.0,1.0,303,-0.3742331734053133,0.9766778171316904,-0.12773898743066175,1001.5567404123439,152,7.619569055391814,1.4233613903214526,1.576833518183552,449.1005001862143
1.5,1.5,1.0,1.0,1.5,303,-0.40844958659443226,0.9745454528673658,-0.1383719765568136,963.718304890729,151,6.828585200172871,1.3769163103788369,1.4075667620139316,494.6077400378649
1.5,1.5,1.0,1.5,0.75,303,-0.40844958659443226,0.9745454528673658,-0.1383719765568136,963.718304890729,151,6.828585200172871,1.3769163103788369,1.4075667620139316,494.6077400378649
1.5,1.5,1.0,1.5,1.0,303,-0.40844958659443226,0.9745454528673658,-0.1383719765568136,963.718304890729,151,6.828585200172871,1.3769163103788369,1.4075667620139316,494.6077400378649
1.5,1.5,1.0,1.5,1.5,303,-0.40844958659443226,0.9745454528673658,-0.1383719765568136,963.718304890729,151,6.828585200172871,1.3769163103788369,1.4075667620139316,494.6077400378649
1.5,1.5,1.5,0.0,1.0,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,1.5,1.5,1.0,0.75,303,-0.4478437460974824,0.9720904118470487,-0.15510947542538028,992.3152996461985,152,8.73096659503454,1.4851132826085935,1.799326897079958,409.5683701803539
1.5,1.5,1.5,1.0,1.0,303,-0.6847549402009169,0.9573645854402979,-0.23369756500237163,1024.9743782592786,152,7.066955146791282,1.3924873364331318,1.4822839707911712,451.297314845302
1.5,1.5,1.5,1.0,1.5,302,-1.1071890350582905,0.9355727686557237,-0.36153093012498755,975.0461817423922,151,6.8324419823791835,1.344448955129242,1.3968849624742845,460.14266517777787
1.5,1.5,1.5,1.5,0.75,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,1.5,1.5,1.5,1.0,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,1.5,1.5,1.5,1.5,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,2.0,0.0,0.0,1.0,297,-2.3953880452350873,0.8794687399900901,-0.6788297229824549,1276.622234080284,147,5.574756450237958,1.2237996465222976,0.9508502258822225,589.1209276541888
1.5,2.0,0.0,1.0,0.75,303,-0.7471068854338592,0.9534403557928564,-0.25971779996200084,1065.6470207643638,152,8.150784477844919,1.4528769834179944,1.7002317208279778,441.84907292724915
1.5,2.0,0.0,1.0,1.0,303,-1.2712830893184945,0.920845139839474,-0.42699405962294745,1138.3979555880478,152,6.470755715120759,1.3593753777382251,1.3260068673397294,497.2647059524061
1.5,2.0,0.0,1.0,1.5,300,-1.7596302413454263,0.8979435415323791,-0.5461917044480514,998.0512342116269,151,6.668311612929415,1.3357983023402435,1.2429472470865992,507.9055345919528
1.5,2.0,0.0,1.5,0.75,301,-0.8033499320905324,0.9555196618648479,-0.24603281643566743,1024.117605598917,150,5.940503046734399,1.2673048256882902,1.1918040819397342,447.1541070605358
1.5,2.0,0.0,1.5,1.0,301,-1.150380394328201,0.9363050809121107,-0.34708827997870273,1063.9831240324975,150,5.622308016210154,1.2529870033590986,1.0844760393403738,475.39276391671365
1.5,2.0,0.0,1.5,1.5,299,-1.6163213064505715,0.9108213122127111,-0.4769220172445003,1082.0472358687155,150,6.26201256481477,1.2814592640317692,1.1592499749125922,474.26910099503357
1.5,2.0,1.0,0.0,1.0,302,-0.8424144662941309,0.9474012212079715,-0.2719145365589435,1067.6686377989763,151,7.124556244020668,1.3932529761091352,1.2966975638884446,565.9500721830204
1.5,2.0,1.0,1.0,0.75,303,-0.7471068854338592,0.9534403557928564,-0.25971779996200084,1065.6470207643638,152,8.150784477844919,1.4528769834179944,1.7002317208279778,441.84907292724915
1.5,2.0,1.0,1.0,1.0,303,-0.9607613225228913,0.940125427543512,-0.32263979804050513,1106.6777253340856,152,7.023369623721288,1.3902351310191259,1.4254089870993132,495.0678912933183
1.5,2.0,1.0,1.0,1.5,302,-0.7971516007801475,0.9502273496114124,-0.2573401745095823,1060.0166709800042,151,7.266376245323197,1.4010809917319786,1.3225843199531302,565.9500721830204
1.5,2.0,1.0,1.5,0.75,303,-0.6344960954025837,0.9604582516521574,-0.2143037885047784,989.5246512656853,151,6.14267664936141,1.339056327285618,1.2855758917674351,535.1968256238629
1.5,2.0,1.0,1.5,1.0,303,-0.9104875996020959,0.9432584821275312,-0.3019360219373236,1054.3842920962206,151,6.173415024987291,1.3407529884223424,1.248631803064964,548.8835139840717
1.5,2.0,1.0,1.5,1.5,302,-0.7971516007801475,0.9502273496114124,-0.2573401745095823,1060.0166709800042,151,7.266376245323197,1.4010809917319786,1.3225843199531302,565.9500721830204
1.5,2.0,1.5,0.0,1.0,299,-1.2603043207266467,0.9303593368472132,-0.37164686528324664,1079.0118572742329,150,6.2536081737150395,1.2813936176190812,1.1579318616674485,462.7739913188029
1.5,2.0,1.5,1.0,0.75,303,-0.7471068854338592,0.9534403557928564,-0.25971779996200084,1065.6470207643638,152,8.150784477844919,1.4528769834179944,1.7002317208279778,441.84907292724915
1.5,2.0,1.5,1.0,1.0,303,-1.2712830893184945,0.920845139839474,-0.42699405962294745,1138.3979555880478,152,6.470755715120759,1.3593753777382251,1.3260068673397294,497.2647059524061
1.5,2.0,1.5,1.0,1.5,300,-1.5434896261268771,0.9103436014162472,-0.4784703808428255,987.6254651786762,151,6.917849040439776,1.34875464436678,1.287757026799656,501.84871607048035
1.5,2.0,1.5,1.5,0.75,301,-0.8033499320905324,0.9555196618648479,-0.24603281643566743,1024.117605598917,150,5.940503046734399,1.2673048256882902,1.1918040819397342,447.1541070605358
1.5,2.0,1.5,1.5,1.0,301,-1.150380394328201,0.9363050809121107,-0.34708827997870273,1063.9831240324975,150,5.622308016210154,1.2529870033590986,1.0844760393403738,475.39276391671365
1.5,2.0,1.5,1.5,1.5,299,-1.3845791398039657,0.9234922804772508,-0.4079308999494876,1071.6214668357647,150,6.575563472398572,1.2958806407410255,1.2155720955252933,462.7739913188029
1.5,3.0,0.0,0.0,1.0,293,-3.079115001649116,0.8546204657181516,-0.7659193176951216,1531.2246185215681,145,9.98596343233272,1.386425809340275,1.429764641938882,479.8638492996047
1.5,3.0,0.0,1.0,0.75,303,-0.13712739413035188,0.9914542312402137,-0.045327053839487125,986.0536516283437,152,9.409211721351376,1.5227981959637729,1.8803088067001568,414.71713458101726
1.5,3.0,0.0,1.0,1.0,302,-0.6424731032037793,0.9598499688988109,-0.19833828766773012,1128.1955305168385,152,7.372905269948077,1.4094793147922589,1.472430506099357,460.13468010888755
1.5,3.0,0.0,1.0,1.5,298,-0.8513190992531344,0.9498729176933289,-0.23567752195792085,1096.9157006759456,151,9.111720784890677,1.4588418401191752,1.4921922728428907,462.2419776080401
1.5,3.0,0.0,1.5,0.75,300,-0.22958699355739212,0.9872509481118174,-0.06813446998930604,1003.2443264851536,150,7.38508181481222,1.3323065389701845,1.4124807574314064,419.50748357125985
1.5,3.0,0.0,1.5,1.0,300,-0.9241671967598385,0.9486806488369219,-0.2652021722113619,1123.0723189548864,150,6.248818737705273,1.281178107358811,1.1794712857920553,455.07492557980504
1.5,3.0,0.0,1.5,1.5,297,-1.088236572281713,0.9391062853232337,-0.29404696228471544,1180.9117023330346,150,8.159786842929027,1.3667587018862604,1.3586328374698795,428.60554401112086
1.5,3.0,1.0,0.0,1.0,299,-0.14879581085550908,0.990584670295119,-0.04208092689406249,1083.5087312306832,150,12.395982220863129,1.67968776945726,1.8034932329544866,545.4368120177037
1.5,3.0,1.0,1.0,0.75,303,-0.13712739413035188,0.9914542312402137,-0.045327053839487125,986.0536516283437,152,9.409211721351376,1.5227981959637729,1.8803088067001568,414.71713458101726
1.5,3.0,1.0,1.0,1.0,302,-0.3309231186373293,0.9793008560046053,-0.10212116059630133,1104.7778926699036,152,7.925519178548608,1.4403607072863696,1.5670090279148405,457.9378654497998
1.5,3.0,1.0,1.0,1.5,300,0.00025515105937320943,1.0000161991516272,7.35641243081289e-05,1071.4959328959199,151,9.496206535190703,1.5241605727858334,1.5037175205390136,545.4368120177037
1.5,3.0,1.0,1.5,0.75,302,0.12232125153498627,1.0076511584009167,0.03918487407750224,943.6437566622119,151,7.536491830528952,1.4159905179027872,1.5036268647325062,514.6835654585461
1.5,3.0,1.0,1.5,1.0,302,-0.32817181704864995,0.9794729491118905,-0.10045761938476022,1055.7409908722047,151,6.9714942743618,1.384804439381252,1.3752275441669684,528.3702538187549
1.5,3.0,1.0,1.5,1.5,300,0.00025515105937320943,1.0000161991516272,7.35641243081289e-05,1071.4959328959199,151,9.496206535190703,1.5241605727858334,1.5037175205390136,545.4368120177037
1.5,3.0,1.5,0.0,1.0,296,-0.9021553959680509,0.9496825024177379,-0.23970872117702227,1202.4528091883205,149,10.805834947830727,1.4829886390192601,1.6401824565873833,417.1104343348902
1.5,3.0,1.5,1.0,0.75,303,-0.13712739413035188,0.9914542312402137,-0.045327053839487125,986.0536516283437,152,9.409211721351376,1.5227981959637729,1.8803088067001568,414.71713458101726
1.5,3.0,1.5,1.0,1.0,302,-0.6424731032037793,0.9598499688988109,-0.19833828766773012,1128.1955305168385,152,7.372905269948077,1.4094793147922589,1.472430506099357,460.13468010888755
1.5,3.0,1.5,1.0,1.5,298,-0.6337278758787559,0.9626271789856544,-0.175211106523944,1086.489931642995,151,9.361258212401038,1.47193603959938,1.5312739890112776,456.18515908656764
1.5,3.0,1.5,1.5,0.75,300,-0.22958699355739212,0.9872509481118174,-0.06813446998930604,1003.2443264851536,150,7.38508181481222,1.3323065389701845,1.4124807574314064,419.50748357125985
1.5,3.0,1.5,1.5,1.0,300,-0.9241671967598385,0.9486806488369219,-0.2652021722113619,1123.0723189548864,150,6.248818737705273,1.281178107358811,1.1794712857920553,455.07492557980504
1.5,3.0,1.5,1.5,1.5,297,-0.8549338523243559,0.9520874250414665,-0.23067561001125952,1170.485933300084,150,8.473337750512826,1.38127479315812,1.408777192589568,417.1104343348902
1.5,4.0,0.0,0.0,1.0,291,-1.5812496439903034,0.9256597304484988,-0.34819416402617515,1550.7757126105594,145,10.638928272893736,1.4030318455941801,1.3506619891699712,470.04601096270335
1.5,4.0,0.0,1.0,0.75,303,0.20553327165263044,1.0128088178377843,0.06636387449132349,984.3776513647759,152,9.976074614976003,1.5542944473950453,1.9399268187161918,414.71713458101726
1.5,4.0,0.0,1.0,1.0,302,-0.3359908596893414,0.9790029444050306,-0.09842038072286612,1153.2434976373997,152,7.820588337604707,1.434342913207843,1.526747764580123,462.8209550919455
