market,block,cell,sessions,index_move_in_ranges,n,pts,R,pf,win,sharpe,dd,sumR,stop_share,ctrl_mean,p
US30,research,consensus,1266,86.42654028436019,129,125.5891472868217,0.32164660268410916,1.6205869610888954,0.5038759689922481,0.9283313579632192,7.316997611526276,41.492411746250085,0.49612403100775193,0.20687609798069184,0.136
US30,research,plateau,1266,86.42654028436019,118,134.4406779661017,0.21816734617104924,1.558437923706809,0.5847457627118644,0.8391579018635671,6.740278995295261,25.74374684818381,0.3728813559322034,0.16070367433077584,0.239
US30,validation,EA default,480,3.036734693877551,78,72.5,0.17926791316303448,1.4307331390549247,0.5512820512820513,0.9780056614056227,7.9232567929713635,13.98289722671669,0.3717948717948718,0.015483473718031809,0.034
US30,validation,consensus,480,3.036734693877551,60,43.71666666666667,0.13497383280616154,1.2995489665416513,0.5,0.6345201105536332,7.204895722124181,8.098429968369693,0.43333333333333335,0.006211912028615731,0.119
US30,validation,plateau,480,3.036734693877551,56,73.61607142857143,0.14192769421284188,1.4405247169421738,0.6071428571428571,0.8553057142124982,5.178282661668002,7.947950875919145,0.30357142857142855,0.05421395997399434,0.177
US30,test,EA default,379,17.885372340425537,46,-7.730434782609138,0.04232372676197773,1.0966279057322674,0.5434782608695652,0.22783536840089247,5.788713617379552,1.9468914310509755,0.41304347826086957,0.04963349030411249,0.517
US30,test,consensus,379,17.885372340425537,39,8.646153846153771,0.14401688971137205,1.3039599471433232,0.5384615384615384,0.5706444182335784,8.359146312572445,5.61665869874351,0.46153846153846156,0.02835531953644426,0.204
US30,test,plateau,379,17.885372340425537,35,180.7257142857139,0.22857925362730194,1.8448165029979973,0.6571428571428571,1.1886443596340739,4.422195850799737,8.000273876955568,0.22857142857142856,0.049409780199177675,0.067
NQ,research,EA default,477,42.70566037735849,79,49.697721518987336,0.21605175348790892,1.5924726627123962,0.620253164556962,1.2618343205894098,7.245552390989685,17.068088525544805,0.35443037974683544,0.144165126053192,0.19
NQ,research,consensus,477,42.70566037735849,56,82.65499999999997,0.2212175435341822,1.4833864431339343,0.5357142857142857,0.8878476177929661,5.065675475514605,12.388182437914203,0.44642857142857145,0.15906471829680088,0.308
NQ,research,plateau,477,42.70566037735849,54,102.41657407407403,0.22183034453611905,1.703658151405129,0.6481481481481481,1.1899807802173898,4.344031406141923,11.978838604950429,0.2962962962962963,0.14434874511801565,0.197
NQ,locked,EA default,258,14.618711800658204,35,57.479999999999976,0.06960967996943321,1.1510437745607718,0.5428571428571428,0.36278702062924617,5.5294951364549725,2.436338798930162,0.45714285714285713,0.05562524910851042,0.463
NQ,locked,consensus,258,14.618711800658204,23,23.008260869565195,0.024297002547881707,1.04262670467634,0.43478260869565216,0.080544638390654,5.929900592990959,0.5588310586012792,0.5652173913043478,-0.02870524602505316,0.376
NQ,locked,plateau,258,14.618711800658204,22,43.870909090909066,0.08668209276283384,1.2335837924606343,0.5909090909090909,0.3880842774019083,2.869293305995979,1.9070060407823446,0.36363636363636365,-0.041763839900750506,0.163
US30_ISO,iso_pre2026,EA default,352,17.928500000000003,47,25.182978723404535,0.07625105142895264,1.193394074391072,0.574468085106383,0.4620167957087453,5.745167991202772,3.583799417160774,0.3829787234042553,-0.003567679200033445,0.217
US30_ISO,iso_pre2026,consensus,352,17.928500000000003,33,116.96363636363645,0.26386758587149517,1.5729189694120222,0.5454545454545454,0.8974388487774149,6.934120378453738,8.70763033375934,0.45454545454545453,0.07488865699607461,0.132
US30_ISO,iso_pre2026,plateau,352,17.928500000000003,32,311.9750000000006,0.32488867411153455,2.28741819295541,0.75,1.5345776458841254,4.0448005068676025,10.396437571569106,0.25,0.1285121432470653,0.06
US30_ISO,iso_2026,EA default,168,10.812275132275138,27,132.52962962962974,0.14221908339278577,1.369008802101757,0.5555555555555556,0.8645931098542744,4.136514801200036,3.839915251605216,0.37037037037037035,-0.14763373720287545,0.035
US30_ISO,iso_2026,consensus,168,10.812275132275138,17,260.0705882352944,0.36433185641125093,1.873985455497966,0.5882352941176471,1.3479624308331366,3.027080507028055,6.193641558991266,0.4117647058823529,-0.11831631720984208,0.049
US30_ISO,iso_2026,plateau,168,10.812275132275138,15,185.96999999999971,0.10970610694384098,1.2704478085100106,0.6,0.5057434779455665,2.946091449706378,1.6455916041576146,0.4,-0.10121718450125582,0.167
