trial,fast_type,fast_len,slow_type,slow_len,gate,exit,nR,mR,pfR,tR,nH,mH,pfH,tH
2468,hull,47,ema,188,state,off,43.0,-0.03213580182386931,0.5583939647120817,-1.4430767432684866,42.0,-0.06682322110114447,0.250289155113821,-3.35193535176262
2469,hull,13,linreg,203,15.0,cross,37.0,0.011242114315769366,1.3138590888129997,0.5700135699888672,35.0,-0.02398371655656401,0.5817670275523361,-1.1608937262298675
2470,tema,4,tema,211,state,cross,62.0,0.03779171348345473,2.748191462739676,2.6691626846091054,54.0,-0.009856299573473374,0.810591524470569,-0.612277867348035
2471,hull,7,tema,178,17.5,state,55.0,0.04505301274056241,4.041913752006651,3.172579708970539,48.0,-0.0021244063652951623,0.9465653238623362,-0.13609346631689317
2472,tema,7,tema,200,state,state,60.0,0.038782212210631266,2.729666286338849,2.6210255859576614,54.0,-0.004331321049400653,0.9132449543376745,-0.26008612237169304
2473,sma,3,tema,232,state,state,58.0,0.0360357311055277,2.462559312012834,2.361902591727445,55.0,-0.0046979194167097995,0.9101200352106211,-0.2701696428345927
2474,sma,2,tema,141,state,cross,62.0,0.027728707135289157,2.112953164266849,2.0046053354820117,54.0,0.005159200343405283,1.1138871500775638,0.3115974763061803
2475,sma,4,tema,164,state,off,53.0,0.016449241013881694,1.3912562425136163,0.8656193105828567,49.0,0.011880260861209415,1.263149729642705,0.6026866453836351
2476,sma,2,tema,222,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,54.0,-0.006189312549584678,0.878629680288698,-0.3700661170464971
2477,sma,22,wma,191,13.0,off,12.0,0.038373431795750694,2.4730435128314916,1.0349145217395235,13.0,-0.05914600277262701,0.2000408380762324,-1.7770958037533626
2478,dema,35,dema,182,state,cross,45.0,-0.0007093768353699792,0.9874785115328855,-0.03282645259963528,50.0,-0.01553678342634146,0.7066469229652858,-0.8770588555377382
2479,wma,38,tema,191,state,cross,44.0,0.03254351626710899,1.8655314250721917,1.5599701911339117,44.0,0.0008556908986855367,1.017141313142623,0.041647825830967315
2480,wma,18,ema,177,20.0,cross,19.0,-0.01421227124598753,0.742938021779906,-0.45675478436595895,24.0,-0.014427449406011261,0.7630712212451894,-0.5107777230870902
2481,sma,4,tema,156,state,state,56.0,0.03541523580295365,2.5191097649050085,2.3045266396886763,52.0,-0.0009377300001032678,0.9810476706868321,-0.05302329818611113
2482,sma,27,hull,198,state,off,43.0,-0.00695179630915473,0.877185259100365,-0.3173477605044072,46.0,-0.0033007377330917537,0.9364050131700489,-0.162361187808892
2483,tema,17,hull,178,state,state,57.0,0.01480731445501585,1.3765323317555787,0.887999694135868,54.0,0.004166632539905423,1.090572462135457,0.2414667327361504
2484,sma,2,tema,151,state,state,61.0,0.04033287020339373,3.053787538033251,2.883374056772963,54.0,0.009076472898562261,1.2201890619473956,0.5621981117508912
2485,sma,7,wma,213,state,off,45.0,-0.039674619948983136,0.4946071165715322,-1.8107103096617592,49.0,-0.035727771354413594,0.5146569403509155,-1.782973881384655
2486,tema,2,tema,252,state,cross,62.0,0.024486957150584594,1.8551276159387138,1.7073606030356776,54.0,-0.012544570758004312,0.7519984220422716,-0.8086198551056721
2487,sma,5,tema,171,state,state,53.0,0.02526198834038175,1.7588998098707413,1.466004121222175,51.0,0.0007314233141607206,1.015346990312343,0.04117485784639405
2488,dema,55,hull,190,state,off,46.0,-0.02336586564083762,0.665413941670052,-1.064914348597737,49.0,-0.011704233490098831,0.7963573490393266,-0.5899276892450629
2489,linreg,2,sma,208,18.0,state,41.0,0.012125438989859395,1.3468535406999518,0.6783164611077297,38.0,0.007368158161454349,1.1756359033102415,0.390594279354128
2490,sma,38,hull,185,8.5,off,22.0,-0.028674080266474368,0.5525929560950139,-0.9599626035354465,11.0,-0.057296867449680586,0.2312614606385575,-1.5661358102497014
2491,dema,25,wma,197,15.5,off,23.0,0.01041406121229217,1.2581730202612842,0.3716711622841775,22.0,-0.03808289433797871,0.4717073759319035,-1.2939982064786295
2492,dema,35,tema,183,state,off,47.0,-0.0042299761362370675,0.927028862581834,-0.1959233872823391,47.0,-0.0041928608040267545,0.919031653348198,-0.21066921344195313
2493,tema,20,linreg,200,state,cross,52.0,0.01542014800991001,1.417418740540879,0.8917219962119108,52.0,-0.003673816287184643,0.9295318241790419,-0.2030737174974624
2494,linreg,25,dema,176,14.0,state,32.0,0.010102580371123588,1.2265596845750792,0.43315099001348134,36.0,0.012524925690903453,1.2828261853095442,0.5611393596806891
2495,ema,45,linreg,192,state,state,41.0,0.016950629014467856,1.3816879190051448,0.7730031407885317,46.0,0.017721685874851623,1.4448221059748825,0.9102509883027787
2496,dema,58,ema,191,11.5,off,8.0,0.005947275552402407,1.1375338201631346,0.12262278786700156,10.0,-0.07836448956020181,0.3209407632422678,-1.5563637107051498
2497,wma,20,linreg,175,7.5,off,18.0,-0.027762364179227245,0.43791029072879983,-1.0256229904543006,11.0,-0.039334311688818596,0.30673197541492303,-1.1522151003576602
2498,tema,5,tema,162,state,state,62.0,0.03451605850925908,2.6059104064338574,2.5068721000481444,53.0,0.0011451101881620523,1.0249100575076022,0.07002365233930447
2499,wma,54,tema,357,9.5,state,8.0,0.04162441226142565,2.3182445225768933,0.8323315084632732,13.0,0.0128888657294999,1.288011586944662,0.3231871363962679
2500,hull,42,sma,187,10.5,state,15.0,-0.02632841667879577,0.5223772835315936,-0.8365185358560966,13.0,-0.06738909072629753,0.17725087013937782,-2.1553482305920126
2501,hull,22,ema,203,state,cross,43.0,-0.03021878698673484,0.5977416219175945,-1.344570586779871,47.0,-0.025596791814426804,0.6098265094007952,-1.3036977078089178
2502,dema,20,wma,173,state,state,49.0,-0.024527001548304374,0.6389717015470665,-1.2117395047925361,52.0,-0.039257830558331715,0.42260438565286657,-2.3144526764425395
2503,wma,18,hull,204,state,state,49.0,0.01302649057429356,1.3100727782492991,0.7049641770860533,50.0,0.0015912923840927932,1.0333423378806352,0.08680388224350437
2504,tema,22,ema,179,7.0,off,16.0,-0.03235083157011559,0.5317539360714881,-0.9014414649321536,19.0,-0.014353924067560454,0.803542905525625,-0.39200429307437173
2505,wma,6,tema,162,state,state,57.0,0.04180125923687495,2.847627843752357,2.701869307606019,53.0,0.0011561863865872236,1.023468536023849,0.06519047722258335
2506,hull,31,wma,195,16.5,off,25.0,-0.006715293620784073,0.8539572466656982,-0.25931987851612887,24.0,-0.051187646879061834,0.37847461159501944,-1.8018434475559448
2507,sma,3,tema,219,state,state,58.0,0.04062690426947209,2.7694587207526484,2.663315080503776,54.0,-0.004621495720336087,0.9128228587352539,-0.2610487569529469
2508,sma,28,hull,181,15.5,cross,26.0,-0.029643064686042227,0.556817253555377,-1.0970186393175059,19.0,-0.02032733580582772,0.6714568651261363,-0.651541471072803
2509,sma,2,tema,149,state,state,61.0,0.03549348243964317,2.6711519719091816,2.5501062170196493,54.0,0.009076472898562261,1.2201890619473956,0.5621981117508912
2510,sma,10,linreg,206,5.5,cross,16.0,0.011955135072483537,1.2528869972267722,0.3336781850544193,14.0,-0.01496994459561715,0.7276059161807487,-0.4231035711203579
2511,tema,2,linreg,165,13.5,off,44.0,-0.014992967832015668,0.7458529906543867,-0.7060999142857407,41.0,-0.008969193679027453,0.8357275831795101,-0.4196341448597918
2512,sma,4,tema,220,state,state,52.0,0.01876752815272981,1.5600815249920164,1.1295578163978428,53.0,-0.007518601605859175,0.8592019118904366,-0.4259230025773872
2513,sma,6,tema,210,state,state,52.0,0.010901489802196001,1.263481782207305,0.6048378119555992,49.0,-0.014852024934913798,0.7379984006662954,-0.8100474312761954
