feature,ic_h1,ic_h2,half_sign,ic_calm,ic_mid,ic_fast,regime_sign,stable
mom.tsmom96,0.07276113028325418,0.14138498902122565,True,0.12187766714082503,0.04073968705547652,0.16005689900426742,True,True
vol.atr_pct,-0.11752998257423036,-0.17082806573957018,True,-0.4353058321479374,-0.2292176386913229,-0.04071123755334281,True,True
vol.atr_rank250,-0.08508629812006292,-0.05248174757835454,True,-0.13115386088441736,-0.04481976208717027,0.08394140315826973,False,False
vol.atr_ratio50,-0.0778521884716575,-0.056773571095881305,True,-0.2889900426742532,-0.001479374110953058,0.1458890469416785,False,False
vol.rv96,-0.048031913076160865,-0.13241898995275803,True,-0.35237553342816497,-0.09991465149359885,0.0068847795163584635,False,False
vol.rv_ratio,-0.049637817336932386,-0.0861501097877437,True,-0.15741109530583214,-0.02347083926031294,-0.04827880512091038,True,True
vol.parkinson,-0.013368298766528855,-0.12562379399827003,True,-0.20355618776671408,-0.10153627311522048,-0.013342816500711237,True,True
vol.vol_of_vol,0.060768100591109445,-0.03673730787144854,False,0.011749644381223329,-0.1198293029871977,0.11305832147937411,False,False
volu.vs_tod,-0.09335599822325485,-0.05011976844766785,True,-0.17783783783783785,-0.015675675675675675,-0.12899004267425318,True,True
volu.vs_ma50,-0.09961731643147573,-0.06718677224033537,True,-0.34312944523470834,0.003755334281650071,-0.014935988620199145,False,False
volu.z50,-0.1363993576382957,-0.07641060616142126,True,-0.2961877667140825,0.012660028449502134,-0.05778093883357041,False,False
volu.up_share20,0.24081730276420543,-0.03836748952026084,False,0.03291607396870554,0.17428165007112376,0.08586059743954481,True,False
volu.trend20,-0.16490415826699012,-0.12551566970523656,True,-0.30102418207681364,-0.15337126600284492,-0.02116642958748222,True,True
regime.chop14,-0.1029145453924215,0.026141127154168612,False,0.128820261882788,-0.187425320056899,-0.06924608819345661,False,False
regime.chop48,-0.18424334574777051,-0.0488555459445073,True,-0.15854907539118065,-0.11948790896159316,-0.12073968705547652,True,True
regime.hmm_bear,-0.036355249559271836,-0.21466830793798658,True,-0.3972688477951636,-0.07826458036984352,0.02102433161028718,False,False
regime.hmm_side,0.049518228721768545,0.1708779692594318,True,0.3752489331436699,0.09431009957325745,0.04304409672830725,True,True
regime.hmm_bull,-0.09294598011412171,0.03360170337347795,False,-0.09650071123755333,0.026970128022759603,-0.12978662873399713,False,False
regime.hmm_edge,-0.07604192471255589,0.1766418258034467,False,0.003357041251778094,0.06893314366998576,-0.09450991828061434,False,False
regime.hmm_conf,-0.07863018613559615,0.04192727393705503,False,0.04608819345661451,-0.12864864864864864,0.028734201524208455,False,False
regime.tod,0.10612633328897768,0.08268437625090382,True,0.3155872861973297,0.07183338598811548,-0.06912865895690123,False,False
ffd.price,0.14108039771756586,-0.25653736110186975,False,0.0790896159317212,0.042958748221906116,0.004751066856330015,True,False
ffd.price_z,0.00716677486588991,-0.2615110785814093,False,-0.3172972972972973,-0.05408250355618776,-0.07883357041251778,True,False
ffd.cvd,0.06375781597020536,-0.18402754674296365,False,0.23112375533428164,-0.046031294452347084,-0.025519203413940254,False,False
ffd.cvd_z,-0.07307718590904431,-0.22838345864661655,True,-0.3283072546230441,-0.18850640113798006,-0.07615931721194878,True,True
