tf,stop_atr,tp_r,block,n,n_signals,p_lower,p_upper,ambiguous,p_star,reach_t,reach_s,win,pf,pts,pf_theory_up,pf_theory_lo,hit_tp,hit_sl,flat,t_tp,t_sl
5,1.5,3.0,locked,1699,12876,0.10803044423734079,0.36525318421870145,0.2572227399813607,0.2620792021181855,0.36525318421870145,0.6915967691829761,0.28958210712183635,0.9127628949039388,-2.047799929592413,1.6090146199688717,0.3386590149935655,0.177751618599176,0.6662742789876398,0.1559741024131842,48.0,14.0
5,1.5,4.0,research,2875,23832,0.08782309499832158,0.300226586102719,0.21240349110439743,0.21322613805896035,0.300226586102719,0.6990600872776099,0.26469565217391305,0.9081149923987987,-1.5469936568529679,1.6068336421366918,0.3605860095208626,0.13460869565217393,0.6946086956521739,0.17078260869565218,71.0,16.0
5,1.5,4.0,locked,1494,12876,0.0909443926685306,0.2835507921714818,0.19260639950295122,0.20966336169454838,0.2835507921714818,0.6915967691829761,0.2563587684069612,0.9180966700519617,-2.016837486674032,1.4822609411325236,0.3746835994108467,0.12583668005354753,0.6967871485943775,0.17737617135207498,63.5,14.0
5,1.5,5.0,research,2613,23832,0.07250755287009064,0.22658610271903323,0.1540785498489426,0.17768844838246695,0.22658610271903323,0.6990600872776099,0.24952162265595101,0.9156523902022708,-1.4402356767305255,1.375278333820441,0.36697980816472486,0.1010332950631458,0.7114427860696517,0.18752391886720246,86.0,17.0
5,1.5,5.0,locked,1371,12876,0.0750232991612302,0.21598322460391425,0.14095992544268404,0.17471946807879032,0.21598322460391425,0.6915967691829761,0.2414296134208607,0.9098046285057345,-2.2122592797198233,1.293194856683889,0.3807454025641867,0.08971553610503283,0.7169948942377826,0.19328956965718452,86.0,16.0
5,2.0,0.5,research,7057,23832,0.27274253105068813,0.7752181940248406,0.5024756629741525,0.6997320118140675,0.7752181940248406,0.6328885532057738,0.6461669264560012,0.8897130552201054,-1.1742007714717282,1.5241393399221794,0.16573970003238586,0.6251948420008502,0.30622077369987244,0.06858438429927731,7.0,13.0
5,2.0,0.5,locked,3732,12876,0.27314383348866106,0.7604069586828207,0.48726312519415965,0.6908250709030376,0.7604069586828207,0.6234855545200373,0.6441586280814576,0.8866346570391663,-1.7468705384925636,1.4025997411341329,0.16607520349052635,0.6181672025723473,0.31136120042872456,0.07047159699892819,7.0,13.0
5,2.0,1.0,research,4348,23832,0.21450151057401812,0.6265944947969118,0.41209298422289364,0.5247990088605506,0.6265944947969118,0.6328885532057738,0.4988500459981601,0.9219884764357892,-1.1732937651574888,1.5481467057882112,0.25193659498875987,0.4411223551057958,0.4454921803127875,0.11338546458141674,18.0,16.0
5,2.0,1.0,locked,2315,12876,0.21023609816713265,0.6018173345759553,0.3915812364088227,0.5181188031772782,0.6018173345759553,0.6234855545200373,0.4894168466522678,0.8915098662251129,-2.374761223280268,1.3944039300023192,0.24559315772596502,0.42937365010799133,0.45615550755939527,0.11447084233261338,17.0,16.0
5,2.0,1.5,research,3375,23832,0.17614971466935214,0.5174555219872441,0.34130580731789195,0.4198392070884406,0.5174555219872441,0.6328885532057738,0.4180740740740741,0.9347017256732869,-1.129330314976453,1.5047515971285377,0.3000286893624559,0.3327407407407407,0.5214814814814814,0.14577777777777778,31.0,19.0
5,2.0,1.5,locked,1752,12876,0.16938490214352284,0.4820596458527493,0.31267474370922643,0.41449504254182257,0.4820596458527493,0.6234855545200373,0.4098173515981735,0.9104430572380856,-2.2324464445216603,1.3060210151572667,0.28615676266111945,0.3167808219178082,0.5308219178082192,0.1523972602739726,31.0,18.0
5,2.0,2.0,research,2847,23832,0.1491272239006378,0.4292547834843907,0.2801275595837529,0.34986600590703376,0.4292547834843907,0.6328885532057738,0.3716192483315771,0.9211619042148017,-1.4831768042591733,1.4168550534476656,0.33017551585783006,0.25395152792413067,0.5735862311204777,0.17246224095539164,46.0,21.0
5,2.0,2.0,locked,1497,12876,0.14631873252562907,0.398726312519416,0.25240757999378693,0.3454125354515188,0.398726312519416,0.6234855545200373,0.3687374749498998,0.9307701537369447,-1.821692687365284,1.249266970143091,0.3228915940580873,0.24983299933199732,0.571810287241149,0.17835671342685372,46.0,21.0
5,2.0,3.0,research,2335,23832,0.11266364551863041,0.300226586102719,0.18756294058408862,0.2623995044302753,0.300226586102719,0.6328885532057738,0.3182012847965739,0.923301218748019,-1.5069150787901624,1.2206744173388666,0.36124650846043255,0.16788008565310492,0.6201284796573876,0.21199143468950749,77.5,23.0
5,2.0,3.0,locked,1224,12876,0.11408822615719168,0.2835507921714818,0.16946256601429016,0.2590594015886391,0.2835507921714818,0.6234855545200373,0.3022875816993464,0.9112083730100202,-2.5181213650069183,1.1260394126769118,0.3664025501761507,0.14950980392156862,0.6323529411764706,0.2181372549019608,66.0,22.5
5,2.0,4.0,research,2084,23832,0.08715172876804297,0.20829137294394093,0.12113964417589795,0.2099196035442203,0.20829137294394093,0.6328885532057738,0.2946257197696737,0.9137545174163921,-1.7537167259447486,1.0014456381851775,0.36341168134544133,0.11660268714011517,0.6468330134357005,0.23656429942418425,96.0,27.5
5,2.0,4.0,locked,1116,12876,0.08915812364088226,0.1964895930413172,0.10733146940043493,0.20724752127091128,0.1964895930413172,0.6234855545200373,0.2867383512544803,0.8989028677819958,-2.897431946731138,0.9308281767179746,0.37259704376742864,0.1003584229390681,0.6594982078853047,0.24014336917562723,91.5,24.0
5,2.0,5.0,research,1958,23832,0.06654917757636791,0.14963074857334677,0.08308157099697885,0.17493300295351688,0.14963074857334677,0.6328885532057738,0.2773237997957099,0.9182306768637586,-1.683432484640789,0.8389327578622184,0.3399109084517775,0.08273748723186926,0.6649642492339122,0.2522982635342186,117.0,30.0
