tf,k,stop_atr,tp_r,block,n,pf,pts,R,win,hit_tp,hit_sl,flat,t_tp,t_sl,t_tp_med,t_sl_med,t_flat
5,2,1.5,2.0,locked,595,0.7549509409184876,-4.817515003256044,-0.10524278456045484,0.32941176470588235,0.27563025210084036,0.6319327731092437,0.09243697478991597,45.926829268292686,25.704787234042552,36.0,16.0,29.818181818181817
5,3,0.75,1.0,research,853,0.8076739618716847,-0.7925269195935853,-0.1327079437848778,0.52989449003517,0.52989449003517,0.47010550996483,0.0,6.588495575221239,5.807980049875312,4.0,4.0,
5,3,0.75,1.0,locked,477,0.7008767819016355,-1.795181174351763,-0.195979312150179,0.4716981132075472,0.4716981132075472,0.5262054507337526,0.0020964360587002098,6.408888888888889,5.609561752988048,5.0,4.0,10.0
5,3,0.75,1.5,research,696,0.8903827610061427,-0.5436001750428028,-0.07963285523466798,0.4425287356321839,0.4425287356321839,0.5560344827586207,0.0014367816091954023,11.077922077922079,7.808785529715762,8.0,5.0,20.0
5,3,0.75,1.5,locked,404,0.727823569337655,-1.9568798687165425,-0.23551261891849196,0.3613861386138614,0.3589108910891089,0.6361386138613861,0.0049504950495049506,11.689655172413794,7.315175097276264,9.0,4.0,27.5
5,3,0.75,2.0,research,608,0.8962675657951206,-0.5864784386587265,-0.08748280398604608,0.3651315789473684,0.3651315789473684,0.631578947368421,0.003289473684210526,16.774774774774773,9.768229166666666,14.0,6.0,25.0
5,3,0.75,2.0,locked,357,0.7586357576356377,-1.870284590031142,-0.21777008495426706,0.3081232492997199,0.3025210084033613,0.6862745098039216,0.011204481792717087,15.37962962962963,9.179591836734694,13.0,5.0,23.75
5,3,1.0,1.0,research,635,0.8358360236389347,-0.9039263712307113,-0.10231390689751708,0.5181102362204725,0.5181102362204725,0.48031496062992124,0.0015748031496062992,11.030395136778116,9.514754098360656,7.0,7.0,20.0
5,3,1.0,1.0,locked,368,0.8395478846349415,-1.1817120910163124,-0.1427712682068808,0.48097826086956524,0.4782608695652174,0.5163043478260869,0.005434782608695652,11.454545454545455,9.110526315789473,9.0,7.0,20.0
5,3,1.0,1.5,research,530,0.8997169284384944,-0.6637350264384732,-0.08092477156264255,0.4226415094339623,0.4226415094339623,0.5754716981132075,0.0018867924528301887,18.433035714285715,12.685245901639345,15.0,8.0,30.0
5,3,1.0,1.5,locked,313,0.7769945722636739,-2.0455271416724403,-0.18623942105434174,0.36741214057507987,0.3610223642172524,0.6261980830670927,0.012779552715654952,18.168141592920353,12.066326530612244,15.0,8.0,23.75
5,3,1.0,2.0,research,469,0.9790668319718379,-0.15243828276581392,-0.035525744379966695,0.36886993603411516,0.3646055437100213,0.6311300639658849,0.0042643923240938165,25.304093567251464,15.97972972972973,20.0,10.0,32.5
5,3,1.0,2.0,locked,275,0.7551612236583639,-2.5119463554332397,-0.21564498081390732,0.29818181818181816,0.2872727272727273,0.6945454545454546,0.01818181818181818,27.645569620253166,14.335078534031414,26.0,10.0,29.0
5,3,1.5,1.0,research,451,0.9548701142900987,-0.351333982875468,-0.031186591344178897,0.5277161862527716,0.5277161862527716,0.4656319290465632,0.0066518847006651885,21.722689075630253,20.114285714285714,16.0,15.0,25.0
5,3,1.5,1.0,locked,255,0.7928705107966874,-2.3963482523357738,-0.14079376170225913,0.4627450980392157,0.4549019607843137,0.5294117647058824,0.01568627450980392,22.413793103448278,18.97037037037037,19.0,16.0,23.75
5,3,1.5,1.5,research,380,1.0440564105018775,0.41127029025277223,0.022277353202392148,0.4473684210526316,0.4421052631578947,0.5526315789473685,0.005263157894736842,34.74404761904762,25.7,28.0,18.0,37.5
5,3,1.5,1.5,locked,220,0.6922809866801823,-4.501582091046286,-0.23108224045581538,0.33636363636363636,0.32272727272727275,0.6545454545454545,0.022727272727272728,34.309859154929576,23.520833333333332,31.0,19.0,29.0
5,3,1.5,2.0,research,360,1.0236668569346827,0.25229940500565234,0.03150136388889103,0.37777777777777777,0.36944444444444446,0.6222222222222222,0.008333333333333333,43.744360902255636,30.665178571428573,38.0,21.0,41.666666666666664
5,3,1.5,2.0,locked,206,0.7135978201272837,-4.550775489886557,-0.24919776998801682,0.2766990291262136,0.2621359223300971,0.7135922330097088,0.024271844660194174,45.333333333333336,28.285714285714285,38.5,21.0,29.0
5,4,0.75,1.0,research,126,0.8960364726532882,-0.3029550895859646,-0.07917557704249453,0.5873015873015873,0.5873015873015873,0.4126984126984127,0.0,7.027027027027027,6.326923076923077,5.0,3.5,
5,4,0.75,1.0,locked,74,0.5849634504658464,-2.1787980492026846,-0.29713317899906927,0.43243243243243246,0.43243243243243246,0.5675675675675675,0.0,7.15625,6.142857142857143,5.0,4.0,
5,4,0.75,1.5,research,92,1.0751730156937047,0.27626514554525483,0.0254199998238942,0.5,0.5,0.5,0.0,14.76086956521739,7.956521739130435,9.0,6.0,
