feat,fam,dir,n,thr,mfe,mae,mfe_pts,mae_pts,atr_pts,ratio,tf,win,hz,base_mfe,base_mae,base_n
loc.d_ema20,loc,low,4767,-1.2015447958924046,1.8283032851076282,2.111061249892833,30.616163205370253,34.992080973358505,14.963074816662798,0.8660588531954917,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_ema50,loc,high,4767,2.0710658572668192,1.9340545485120386,2.0659255551561375,28.286710719530102,31.014998951122298,13.704688691829721,0.9361685582934123,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_ema50,loc,low,4767,-1.734510611331693,1.8003983724253299,2.0824791376544116,30.419655968114117,33.93496958254668,14.743288586880926,0.8645456945384808,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_ema200,loc,high,4767,3.9248921006168938,2.1299287167569396,2.0824965357283087,26.757971470526538,27.010016782043213,11.172305673783429,1.0227765954059762,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_ema200,loc,low,4767,-2.660633187707313,1.8001823278153382,2.031665357529758,30.51101321585903,33.045888399412625,14.312672262763153,0.886062422211169,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.don_pos20,loc,high,4767,0.8506616606142673,1.85671418054628,2.023250273624507,27.80616740088106,30.281204111600587,13.69748979026815,0.9176888320494875,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.don_pos20,loc,low,4768,0.20100502512562815,1.8544242685732455,2.105777069507207,29.207424496644297,33.25665897651007,13.981730551272282,0.8806365571295812,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.don_pos50,loc,high,4772,0.8518518518518519,1.9233951570586554,2.0231781617603724,27.80574182732607,29.939857502095556,13.361297883588023,0.9506800703034005,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.don_pos50,loc,low,4767,0.21136759581881534,1.828383340382651,2.0857259830467885,29.457572897000208,33.515995384938115,14.39595582932155,0.8766172331572453,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.bb_pos,loc,high,4767,0.873826577507831,1.869161215761246,2.0570624656954326,27.69519614013006,30.65796098174953,13.684629487100825,0.9086555449493058,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
