kind,tf,ent,exn,stop,tp,piv,win,sess,sh,eh,flat,r_pf,r_retdd,r_n,r_pyr,r_tot,r_dd,l_pf,l_retdd,l_tot,l_n
RETDD,30,18,23,1.5830636889728344,0.0,120,900,False,8,12,True,1.5037320231095488,4.66819570098653,193,100.41773504273505,16.199796665373476,653.4042405115927,1.595489697490142,2.0725717322680275,12.458962390981444,90
RETDD,30,23,8,1.5005077963324043,0.0,45,450,False,12,20,True,1.5846645014056175,7.505126011391617,196,101.97863247863248,15.532589691491886,392.5136660295009,1.6113547424846837,2.2460042170436627,11.918830738850675,113
RETDD,15,33,9,2.493116972178193,0.0,45,150,False,10,16,True,1.2558931931077153,1.2220664627723592,180,93.65384615384615,6.913068180514757,924.2539936116766,1.5191783474362717,1.417685183673673,4.7443630566937625,87
RETDD,30,34,19,1.8900611573039199,4.0,60,150,True,5,15,True,1.9819785979694906,8.406882299056951,81,42.14423076923077,10.559689650778068,233.02047410792693,0.9267697224227608,-0.11821406452477294,-1.0568281412216847,44
RETDD,30,10,18,2.5315245584297275,0.0,45,300,False,4,17,False,1.6881333909706966,6.438826794124986,194,100.93803418803418,22.18657735352654,654.6454112571068,1.47252501052862,1.2899986890124322,12.31903940390778,115
RETDD,30,12,10,1.1503960220168428,0.0,30,150,False,12,13,True,1.2346383799599074,1.7875682667016843,249,129.55448717948718,7.650244958939014,753.9683596761536,1.134425028855454,0.6585631876993473,2.3520374640998596,124
RETDD,30,24,11,2.0922379506039905,0.0,60,1200,False,11,20,True,1.3482605222546569,3.3723969462462704,306,159.21153846153845,16.51610617200067,955.2660895649128,1.5494439972746146,1.9645609535906257,17.763071301920967,160
RETDD,30,16,22,1.095169448594891,0.0,90,150,False,11,15,True,2.1324342915435395,8.622591253926865,95,49.4284188034188,13.132079761521924,285.2945135711532,1.7065344762126746,1.4022596673272039,4.8193698543005,47
RETDD,30,20,12,1.2209005584142076,0.0,60,150,False,11,19,True,2.5956897029054806,16.942665194559144,115,59.83440170940171,21.47744593737419,240.10216504649816,1.010001808217212,0.01838830204745698,-0.6614577625954836,69
RETDD,30,13,9,1.0788323215313615,4.0,60,150,False,11,15,True,1.5845653636718633,5.455256100871512,143,74.40277777777777,10.24861307726905,328.0977060992054,0.9598567949521564,-0.08907734531201011,-1.1049213529174395,87
RETDD,30,27,14,2.440773729928081,0.0,150,600,False,11,19,True,1.4915897469326473,2.4682388790999905,109,56.712606837606835,8.492078815501628,762.1390673149441,1.6742523214786889,1.9798261841619538,8.978011283921873,48
RETDD,30,13,10,1.6332811232722222,0.0,60,150,False,9,20,True,2.0444129381998764,8.499002352293404,131,68.15918803418803,19.336732028176012,412.6446460282996,0.9003346851690325,-0.1899979417325084,-2.4623458093393715,83
RETDD,30,15,15,1.4479698283243339,0.0,60,450,False,11,18,True,1.588541641576727,5.81230301429121,222,115.50641025641025,18.595790893442064,619.9581557493879,1.7415141689205778,2.3782340502034045,15.450494812496967,128
RETDD,30,38,24,1.5664103184081728,0.0,90,450,False,9,15,True,1.6598533539505298,6.542618366826532,119,61.91559829059829,11.948255741779427,358.73272564010244,1.3194976523875401,0.6080539615468553,2.9704390014894657,56
RETDD,30,22,15,1.9030038299981442,0.0,60,150,False,12,18,True,2.2311738483547985,14.27258153681114,103,53.590811965811966,19.231007101277164,256.79635094351306,0.8914343973051427,-0.17536877436217377,-2.8473794317003955,66
RETDD,30,21,19,1.207767453234002,4.0,60,1200,False,11,19,True,1.2252743813376918,3.7278849633161824,429,223.20833333333331,12.236154591995996,645.2284178783561,1.3406553833034511,1.3437121146064117,10.538400435784016,211
RETDD,30,17,17,1.6925177232660862,6.0,60,150,False,10,19,True,1.7406928510688322,6.558192527907197,121,62.95619658119658,14.066817817764962,385.6381450830454,0.8728176907979918,-0.2284591720230404,-2.9319504190813497,69
RETDD,30,10,28,3.6283954158134337,8.0,60,300,True,7,20,False,1.3841269177213658,3.7000527322093126,135,70.24038461538461,12.299325106347482,602.2739605841684,0.8817756394706637,-0.18665978374578612,-4.384643970094677,74
RETDD,15,46,17,1.9893902615632661,4.0,45,1200,False,12,20,True,1.0896175304649445,1.4300595127663478,597,310.6185897435897,6.6437527496508135,937.2850336567292,1.1492453464853662,0.545542080228946,6.04532264571078,283
RETDD,30,20,10,1.2478446282471256,0.0,90,150,False,12,17,False,2.21023283850032,8.051932729955887,92,47.86752136752136,13.305982258223338,302.46970090768787,1.834492039092888,1.6713804031064214,4.814506202001643,40
RETDD,30,26,19,1.2179014229893483,0.0,60,900,True,9,19,True,1.5446384910444857,5.78565738357136,203,105.62072649572649,14.521567952159849,467.7660006995086,1.388682993785611,1.105753925442281,6.1184376481812714,109
RETDD,30,14,11,1.3428095341984738,0.0,60,150,False,12,15,True,2.1558638084358317,10.769791649960384,129,67.11858974358974,19.97993566771187,347.4505632143073,0.9915454422893918,-0.016492140891612026,-0.9436201405858332,76
RETDD,30,16,23,1.8278785620477707,0.0,45,1200,False,11,18,False,1.2512210441499396,2.4389139165799554,308,160.25213675213675,13.116306200953579,1086.5904286527907,1.4132750412660786,1.221372073630709,14.322542747382045,161
RETDD,15,27,8,1.901932325906655,0.0,30,150,False,8,19,True,0.9991880389677987,-0.004846303670412859,282,146.72435897435898,0.7739787282256434,1116.7839714162772,1.1835642039819374,0.8501918182894248,2.7136765422870743,136
RETDD,30,10,15,1.0001206538702132,0.0,60,150,False,10,17,True,1.5311097216671172,4.368012999944023,156,81.16666666666666,10.844078652111264,440.4031200202112,1.2043896494602804,0.3844390667386417,1.9320470210079561,101
RETDD,30,36,11,1.1216433014887908,0.0,30,150,False,12,16,True,1.6616582649486806,4.591680263555185,150,78.0448717948718,12.669117544806873,504.1107323957699,1.131290505836859,0.3940701247663914,1.41516657052712,76
RETDD,30,28,8,1.5633788085989455,0.0,60,900,False,10,17,True,1.3194562886915973,2.532512116043676,272,141.52136752136752,12.430552057463018,913.0119459072021,1.746730747102793,2.7531455804063683,16.714337185052504,141
RETDD,30,24,18,1.903556643611151,0.0,45,150,False,10,19,True,2.079491201832373,12.488098237051164,102,53.07051282051282,17.08396575037471,262.0216250764214,0.8150225851687677,-0.3186726060561695,-3.095442903849495,61
RETDD,30,25,11,1.2833545571410694,0.0,60,150,False,10,19,True,2.6433103072891,16.03958498301106,103,53.590811965811966,20.453195094536195,240.96827506187128,0.8269040550724206,-0.3246383491481993,-2.3764550893247494,65
RETDD,30,16,15,1.5091505309861086,0.0,150,150,False,11,18,True,1.2229943938232413,0.7497652993038406,79,41.10363247863248,2.575225738258673,726.2162154054131,1.168809184308774,0.3550682076931368,0.5498322886523789,26
RETDD,30,22,9,2.273136429004518,0.0,90,150,False,9,20,True,1.8365336465445046,5.433544971996147,88,45.78632478632478,10.735061723080083,374.44500616735786,1.34299455461624,0.592829999653617,2.05714568146968,39
RETDD,30,33,16,1.515885978744288,6.0,90,150,False,10,19,True,2.0306702571683775,6.366071561223209,77,40.06303418803419,11.045403544934292,314.88756943398084,1.8792567136441105,1.6876291111765744,4.307187725235179,30
RETDD,30,33,12,1.1030667453657232,0.0,60,150,False,10,20,True,2.1571601550455326,10.646859548348266,95,49.4284188034188,13.490100748210265,229.27479296705815,1.1456460000929871,0.29661079772994603,1.0556968495792776,56
RETDD,15,22,27,2.124998649685769,6.0,60,450,False,11,20,True,1.3242712296310928,2.3165370474419427,305,158.69123931623932,14.64544439252272,1139.7436386807508,1.5609186613254877,4.714067083006773,12.406702361849936,155
RETDD,30,24,17,1.3605746014593278,0.0,45,1200,False,12,19,True,1.4068583583084897,3.8953060367101795,305,158.69123931623932,16.8704670963359,872.4454973167517,1.7591238527561766,2.43153433759491,20.110852596202797,152
RETDD,30,15,12,2.3814000925918593,6.0,150,150,False,4,20,False,1.0499165181531478,0.16871117913041483,79,41.10363247863248,0.5283781491041735,851.5444020926137,0.6953595967723342,-0.5557932297148197,-2.439948865611021,26
