sweep_bar,inv_bar_1m,gap_bars,level,src,side,pen_atr,sweep_ext,atr,zlo,zhi,tf,defn
931945,931959,2,24316.25,london,-1,41.46701963056997,24459.0,3.442494813269942,24439.75,24441.25,5,close
932088,932104,3,24458.25,asia,-1,1.7584032299347025,24476.5,10.378734347910465,24449.25,24456.25,5,close
933012,933049,7,24454.25,asia,-1,0.631122591297454,24457.0,4.357315104735174,24434.0,24436.75,5,close
934830,934839,1,24310.25,london,-1,0.2681776410583694,24313.75,13.05105073706804,24278.75,24279.5,5,close
935231,935289,11,24318.25,60m,-1,1.7195554014598036,24332.0,7.996252978140188,24311.0,24314.0,5,close
940016,940029,2,23746.5,asia,-1,0.5033557022071571,23749.0,4.966666691243958,23737.5,23741.5,5,close
940088,940104,3,23749.25,60m,-1,1.4199481658969022,23756.25,4.929757415178948,23756.25,23758.75,5,close
940307,940324,3,23774.75,london,-1,1.9097825010237686,23817.25,22.253843030406454,23779.25,23788.25,5,close
941474,941484,2,23979.5,asia,-1,6.0791686201319,23996.0,2.714186927692425,23987.0,23991.75,5,close
941663,941679,3,23946.0,240m,-1,7.2819376530102655,23982.5,5.0124021571252175,23970.5,23972.25,5,close
941754,941804,10,24062.5,60m,-1,0.44861825957661305,24068.25,12.817133224640939,24087.75,24089.25,5,close
942846,942869,4,23978.25,60m,-1,0.38937616496949834,23980.0,4.494368575788623,23984.0,23984.5,5,close
943644,943664,4,24094.0,prevday,-1,2.342242254305487,24100.0,2.5616479204791296,24093.25,24097.75,5,close
944573,944604,6,24115.0,london,-1,0.397778580827833,24118.75,9.427355269345384,24100.0,24109.0,5,close
944720,944759,7,24144.0,prevday,-1,0.6310293621171709,24147.75,5.942671173680967,24122.75,24142.0,5,close
945508,945529,4,24151.5,prevday,-1,0.4400255452597223,24154.25,6.249637162262545,24127.0,24128.25,5,close
945815,945839,4,24183.0,240m,-1,1.1098908890060213,24200.0,15.316820931131883,24146.0,24174.5,5,close
948692,948719,5,23996.5,60m,-1,0.44626123079372876,23998.0,3.3612599448356097,23991.75,23992.75,5,close
950948,950959,2,23946.0,london,-1,0.726848626959178,23949.25,4.471357418114144,23938.0,23940.25,5,close
951085,951094,1,23881.75,60m,-1,11.567136456344183,23949.5,5.857110811798318,23887.25,23894.5,5,close
951148,951199,10,23952.5,london,-1,0.27488426910404345,23956.75,15.461052077852365,23991.0,23996.5,5,close
951791,951804,2,24019.25,60m,-1,1.097535490204414,24026.0,6.150142806537239,24010.25,24010.5,5,close
952477,952484,1,24026.0,60m,-1,0.34854687785697946,24032.0,17.214327200090434,23967.75,23974.75,5,close
952582,952604,4,24029.0,london,-1,0.23270380736703528,24031.75,11.817597791438473,24020.0,24028.5,5,close
953387,953439,10,24256.0,asia,-1,2.515571371609118,24264.25,3.279573019915066,24276.25,24276.75,5,close
953617,953624,1,24282.0,asia,-1,0.46385407462395656,24283.5,3.2337756248364102,24278.75,24279.25,5,close
953795,953859,12,24297.75,240m,-1,0.9442459438811388,24322.25,25.94662985715091,24364.0,24371.0,5,close
